	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	6.58	0.14	-0.24	-144.3	-0.0803	6.917	2010-06-29
1	6.56	0.1379	-0.02	-198.9	-0.09371	6.894	2010-06-30
2	6.52	0.1352	-0.04	-185.0	-0.1063	6.87	2010-07-01
3	6.61	0.1348	0.09	-134.5	-0.1078	6.853	2010-07-02
4	6.67	0.1349	0.06	-59.41	-0.1017	6.827	2010-07-06
5	6.66	0.1324	-0.01	-61.23	-0.09664	6.816	2010-07-07
6	6.64	0.1293	-0.02	-63.47	-0.09313	6.805	2010-07-08
7	6.74	0.133	0.1	-31.16	-0.08135	6.8	2010-07-09
8	6.73	0.1313	-0.01	-21.03	-0.07199	6.796	2010-07-12
9	6.63	0.1305	-0.1	-51.41	-0.07181	6.785	2010-07-13
10	6.66	0.1283	0.03	-43.07	-0.06846	6.777	2010-07-14
11	6.58	0.1277	-0.08	-71.41	-0.07143	6.764	2010-07-15
12	6.53	0.1272	-0.05	-116.7	-0.07694	6.749	2010-07-16
13	6.58	0.136	0.05	-114.0	-0.07639	6.738	2010-07-19
14	6.68	0.1362	0.1	-29.6	-0.06711	6.735	2010-07-20
15	6.68	0.1351	0.0	22.34	-0.05907	6.731	2010-07-21
16	6.71	0.134	0.03	47.93	-0.04971	6.73	2010-07-22
17	6.75	0.1302	0.04	93.12	-0.03862	6.731	2010-07-23
18	6.75	0.1287	0.0	118.9	-0.02949	6.732	2010-07-26
19	6.7	0.1231	-0.05	92.3	-0.02599	6.73	2010-07-27
20	6.82	0.125	0.12	152.2	-0.01338	6.736	2010-07-28
21	6.88	0.1268	0.06	223.1	0.001445	6.745	2010-07-29
22	6.85	0.1249	-0.03	161.8	0.01065	6.752	2010-07-30
23	6.88	0.1217	0.03	160.3	0.02013	6.76	2010-08-02
24	6.79	0.1244	-0.09	125.1	0.02015	6.762	2010-08-03
25	6.83	0.1227	0.04	80.14	0.02312	6.767	2010-08-04
26	6.75	0.1203	-0.08	49.14	0.01881	6.765	2010-08-05
27	6.82	0.1203	0.07	60.03	0.0208	6.769	2010-08-06
28	6.84	0.1167	0.02	71.4	0.02372	6.774	2010-08-09
29	6.66	0.122	-0.18	-10.38	0.01137	6.766	2010-08-10
30	6.65	0.1182	-0.01	-66.67	0.0007754	6.759	2010-08-11
31	6.56	0.1177	-0.09	-122.4	-0.01472	6.746	2010-08-12
32	6.6	0.1142	0.04	-121.2	-0.02349	6.737	2010-08-13
