	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	5.43	0.2429	-0.46	-267.1	-0.1468	6.169	2010-06-29
1	5.46	0.2413	0.03	-214.9	-0.1782	6.123	2010-06-30
2	5.55	0.2412	0.09	-179.2	-0.1936	6.086	2010-07-01
3	5.46	0.2333	-0.09	-152.1	-0.2106	6.046	2010-07-02
4	5.5	0.2295	0.04	-120.1	-0.2184	6.011	2010-07-06
5	5.67	0.2266	0.17	-85.56	-0.2084	5.989	2010-07-07
6	5.81	0.2247	0.14	-36.67	-0.187	5.977	2010-07-08
7	5.86	0.2187	0.05	-26.77	-0.1642	5.97	2010-07-09
8	5.98	0.2123	0.12	6.832	-0.1348	5.97	2010-07-12
9	6.18	0.2158	0.2	58.56	-0.09433	5.984	2010-07-13
10	6.16	0.2089	-0.02	60.6	-0.06314	5.995	2010-07-14
11	6.1	0.2083	-0.06	45.16	-0.04276	6.002	2010-07-15
12	5.92	0.2077	-0.18	27.35	-0.04067	5.997	2010-07-16
13	6.0	0.2064	0.08	31.24	-0.03218	5.997	2010-07-19
14	6.01	0.2031	0.01	40.26	-0.02437	5.998	2010-07-20
15	5.87	0.2029	-0.14	30.12	-0.02914	5.99	2010-07-21
16	6.0	0.2005	0.13	49.55	-0.02217	5.99	2010-07-22
17	5.94	0.2369	-0.06	-32.55	-0.02125	5.987	2010-07-23
18	5.92	0.2343	-0.02	15.85	-0.02188	5.983	2010-07-26
19	5.86	0.2304	-0.06	11.38	-0.02691	5.975	2010-07-27
20	5.86	0.2204	0.0	12.22	-0.03054	5.967	2010-07-28
21	5.84	0.2161	-0.02	1.56	-0.03464	5.959	2010-07-29
22	5.89	0.2156	0.05	-7.514	-0.03346	5.955	2010-07-30
23	6.0	0.2102	0.11	42.88	-0.02339	5.958	2010-08-02
24	6.12	0.2066	0.12	102.5	-0.005653	5.968	2010-08-03
25	6.38	0.2133	0.26	229.6	0.02905	5.995	2010-08-04
26	6.39	0.2059	0.01	209.3	0.0567	6.02	2010-08-05
27	6.42	0.1998	0.03	175.5	0.08011	6.046	2010-08-06
28	6.44	0.1934	0.02	166.1	0.09914	6.071	2010-08-09
29	6.5	0.1889	0.06	148.1	0.1177	6.099	2010-08-10
30	6.29	0.1925	-0.21	89.48	0.1142	6.111	2010-08-11
31	6.33	0.1909	0.04	69.22	0.1133	6.125	2010-08-12
32	6.23	0.1887	-0.1	57.08	0.1033	6.132	2010-08-13
33	6.3	0.1909	0.07	52.14	0.09989	6.143	2010-08-16
34	6.44	0.1916	0.14	88.08	0.1073	6.162	2010-08-17
35	6.48	0.1872	0.04	92.63	0.115	6.183	2010-08-18
36	6.38	0.1852	-0.1	66.59	0.1118	6.195	2010-08-19
37	6.39	0.1791	0.01	49.91	0.1088	6.208	2010-08-20
38	6.33	0.1764	-0.06	48.36	0.1004	6.216	2010-08-23
39	6.23	0.1759	-0.1	-11.79	0.0847	6.217	2010-08-24
40	6.34	0.1762	0.11	13.89	0.08022	6.225	2010-08-25
41	6.24	0.1736	-0.1	-3.717	0.06782	6.226	2010-08-26
42	6.33	0.1769	0.09	-42.82	0.06451	6.232	2010-08-27
43	6.24	0.1767	0.05	-111.4	0.04208	6.23	2010-08-31
44	6.62	0.1919	0.38	153.5	0.06569	6.255	2010-09-01
45	6.76	0.1896	0.14	245.5	0.09461	6.288	2010-09-02
46	6.94	0.1911	0.18	280.9	0.1306	6.33	2010-09-03
47	6.86	0.1846	-0.08	206.2	0.1508	6.364	2010-09-07
48	6.96	0.1835	0.1	179.7	0.173	6.403	2010-09-08
49	7.02	0.1783	0.06	169.5	0.1932	6.443	2010-09-09
50	7.25	0.1745	0.13	159.6	0.2396	6.536	2010-09-13
51	7.29	0.1727	0.04	139.5	0.2595	6.584	2010-09-14
52	7.27	0.1683	-0.02	115.0	0.2705	6.628	2010-09-15
53	7.41	0.167	0.14	119.6	0.2873	6.679	2010-09-16
54	7.42	0.1643	0.01	111.5	0.2979	6.727	2010-09-17
55	7.57	0.169	0.15	117.3	0.3148	6.781	2010-09-20
56	7.54	0.1705	-0.03	114.4	0.3221	6.83	2010-09-21
57	7.97	0.1917	-0.07	136.7	0.3804	7.062	2010-09-27
58	7.99	0.1994	0.02	121.5	0.3897	7.122	2010-09-28
59	7.95	0.1995	-0.04	121.0	0.3893	7.176	2010-09-29
60	7.85	0.2045	-0.1	96.42	0.3766	7.219	2010-09-30
61	7.78	0.2135	-0.03	23.14	0.2725	7.414	2010-10-08
62	7.65	0.2133	-0.13	3.365	0.2433	7.43	2010-10-11
63	7.82	0.218	0.17	12.8	0.2312	7.455	2010-10-12
64	7.76	0.2132	-0.06	10.87	0.2143	7.475	2010-10-13
65	7.78	0.2079	0.02	10.13	0.2002	7.494	2010-10-14
66	8.23	0.2259	0.45	160.3	0.2228	7.542	2010-10-15
67	8.18	0.2219	-0.05	170.3	0.234	7.583	2010-10-18
68	7.93	0.2297	-0.25	63.1	0.2201	7.605	2010-10-19
69	7.93	0.2247	0.0	27.37	0.2067	7.626	2010-10-20
70	8.25	0.2358	0.32	168.3	0.2194	7.666	2010-10-21
71	8.46	0.2475	0.21	205.9	0.2436	7.718	2010-10-22
72	8.45	0.2427	-0.01	210.2	0.259	7.765	2010-10-25
73	8.5	0.2375	0.05	167.0	0.2721	7.812	2010-10-26
74	8.38	0.2327	-0.12	119.7	0.2697	7.849	2010-10-27
75	8.34	0.2282	-0.04	88.2	0.2615	7.881	2010-10-28
76	8.26	0.2255	-0.08	71.99	0.2458	7.905	2010-10-29
77	8.13	0.2222	-0.13	23.65	0.2203	7.92	2010-11-01
78	8.23	0.2185	0.1	43.75	0.2057	7.94	2010-11-02
79	8.42	0.2257	0.19	62.09	0.2072	7.971	2010-11-03
80	8.45	0.2246	0.03	103.9	0.2083	8.002	2010-11-04
81	8.6	0.2193	0.06	109.6	0.2209	8.073	2010-11-08
82	8.51	0.2187	-0.09	94.6	0.2165	8.101	2010-11-09
83	8.67	0.2173	0.16	110.3	0.2234	8.138	2010-11-10
84	8.52	0.2161	-0.15	79.55	0.2143	8.162	2010-11-11
85	8.28	0.2228	-0.24	6.601	0.1855	8.17	2010-11-12
86	7.95	0.2319	-0.33	-122.8	0.1346	8.156	2010-11-15
87	7.89	0.2303	-0.06	-171.0	0.08836	8.139	2010-11-16
88	8.21	0.2328	0.29	-71.17	0.04875	8.13	2010-11-18
89	8.24	0.224	0.03	-48.42	0.04685	8.137	2010-11-19
90	8.52	0.2287	0.28	42.24	0.06716	8.162	2010-11-22
91	8.41	0.2331	-0.11	15.45	0.07354	8.178	2010-11-23
92	8.86	0.2507	0.45	163.6	0.1136	8.222	2010-11-24
93	8.86	0.2407	0.0	163.7	0.1437	8.263	2010-11-26
94	8.97	0.2399	0.11	168.1	0.1744	8.309	2010-11-29
95	8.77	0.2392	-0.2	104.5	0.1805	8.338	2010-11-30
96	8.83	0.2364	0.06	110.5	0.188	8.37	2010-12-01
97	8.83	0.2317	0.0	83.9	0.1918	8.4	2010-12-02
98	8.78	0.2244	-0.05	68.31	0.1885	8.424	2010-12-03
99	8.9	0.2219	0.12	81.38	0.1934	8.455	2010-12-06
100	8.84	0.2232	-0.06	87.97	0.1903	8.48	2010-12-07
101	8.81	0.218	-0.03	61.56	0.1832	8.501	2010-12-08
102	8.74	0.2181	-0.07	47.86	0.1701	8.517	2010-12-09
103	8.78	0.2119	0.04	38.2	0.161	8.534	2010-12-10
104	8.71	0.2117	-0.07	38.27	0.1464	8.545	2010-12-13
105	8.7	0.2066	-0.01	21.81	0.1326	8.555	2010-12-14
106	8.78	0.2111	0.08	40.32	0.1266	8.569	2010-12-15
107	8.9	0.2075	0.12	55.07	0.1301	8.591	2010-12-16
108	9.16	0.2077	0.28	194.1	0.1502	8.645	2010-12-20
109	9.24	0.2036	0.08	250.3	0.171	8.683	2010-12-21
110	9.24	0.1933	0.0	227.4	0.1853	8.719	2010-12-22
111	9.13	0.191	-0.11	142.8	0.1857	8.746	2010-12-23
112	9.17	0.1818	0.12	91.65	0.1728	8.812	2010-12-29
113	9.14	0.1752	-0.03	92.4	0.1685	8.833	2010-12-30
114	9.0	0.1741	-0.14	30.57	0.1521	8.844	2010-12-31
115	9.25	0.1843	0.04	109.4	0.1573	8.892	2011-01-04
116	9.37	0.1833	0.12	111.1	0.1676	8.923	2011-01-05
117	9.29	0.1781	-0.08	100.2	0.1673	8.947	2011-01-06
118	9.27	0.1818	-0.02	89.6	0.1635	8.968	2011-01-07
119	9.23	0.1788	-0.04	51.01	0.1556	8.985	2011-01-10
120	9.22	0.176	-0.01	55.01	0.1467	9.0	2011-01-11
121	9.2	0.1713	-0.02	41.54	0.1366	9.013	2011-01-12
122	9.28	0.1691	0.08	67.63	0.1334	9.03	2011-01-13
123	9.44	0.1713	0.16	148.6	0.1422	9.056	2011-01-14
124	9.56	0.1712	0.12	236.7	0.157	9.089	2011-01-18
125	9.34	0.1768	-0.22	126.4	0.1493	9.105	2011-01-19
126	9.1	0.1849	-0.24	-51.78	0.1224	9.105	2011-01-20
127	8.87	0.1946	-0.23	-173.4	0.0816	9.09	2011-01-21
128	8.84	0.1957	-0.03	-215.7	0.0463	9.073	2011-01-24
129	8.84	0.191	0.0	-194.4	0.01811	9.058	2011-01-25
130	9.22	0.2096	0.45	-25.48	0.004409	9.051	2011-01-27
131	8.56	0.2567	-0.66	-209.7	-0.03719	9.02	2011-01-28
132	8.48	0.2527	-0.08	-185.8	-0.07574	8.985	2011-01-31
133	8.61	0.2468	0.13	-128.1	-0.0947	8.961	2011-02-01
134	9.27	0.2318	0.12	67.9	-0.02295	8.949	2011-02-09
135	9.31	0.2281	0.04	78.25	0.009119	8.973	2011-02-10
136	9.46	0.2268	0.15	102.9	0.0461	9.004	2011-02-11
137	9.52	0.2214	0.06	122.3	0.07934	9.037	2011-02-14
138	9.45	0.2134	-0.07	114.2	0.09889	9.064	2011-02-15
139	9.33	0.211	-0.12	96.63	0.1035	9.081	2011-02-16
140	9.39	0.2088	0.06	87.52	0.1107	9.101	2011-02-17
141	9.32	0.206	-0.07	71.68	0.1096	9.115	2011-02-18
142	9.02	0.2163	-0.3	13.33	0.08345	9.109	2011-02-22
143	8.83	0.2251	-0.19	-33.33	0.04688	9.091	2011-02-23
144	8.89	0.2276	0.06	-34.61	0.02249	9.078	2011-02-24
145	8.86	0.2249	-0.03	-21.8	0.0007269	9.064	2011-02-25
146	8.66	0.2267	-0.2	-77.3	-0.03229	9.038	2011-02-28
147	8.47	0.2298	-0.19	-114.6	-0.07294	9.001	2011-03-01
148	8.64	0.2227	0.04	-85.88	-0.1055	8.954	2011-03-03
149	8.58	0.2182	-0.06	-102.9	-0.1184	8.93	2011-03-04
150	8.45	0.2233	-0.13	-118.3	-0.1376	8.899	2011-03-07
151	8.34	0.2181	-0.11	-119.2	-0.1598	8.863	2011-03-08
152	8.45	0.2239	0.11	-107.5	-0.1666	8.836	2011-03-09
153	8.31	0.2229	-0.14	-106.2	-0.1812	8.802	2011-03-10
154	8.4	0.2249	0.09	-91.05	-0.1834	8.776	2011-03-11
155	8.34	0.2209	-0.06	-88.8	-0.1878	8.748	2011-03-14
156	8.25	0.2266	-0.09	-103.2	-0.1963	8.716	2011-03-15
157	8.23	0.2297	-0.02	-89.33	-0.2023	8.685	2011-03-16
158	8.05	0.2326	-0.18	-111.4	-0.2191	8.644	2011-03-17
159	8.09	0.2267	0.04	-115.9	-0.2265	8.608	2011-03-18
160	8.23	0.2248	0.14	-84.2	-0.2186	8.584	2011-03-21
161	8.13	0.2173	-0.1	-93.81	-0.2179	8.554	2011-03-22
162	8.27	0.2211	0.14	-71.58	-0.2037	8.536	2011-03-23
163	8.56	0.2288	0.29	44.42	-0.1671	8.537	2011-03-24
164	8.55	0.2232	-0.01	88.02	-0.1373	8.538	2011-03-25
165	8.47	0.2187	-0.08	67.91	-0.1188	8.534	2011-03-28
166	8.73	0.2224	0.26	124.7	-0.08223	8.547	2011-03-29
167	8.97	0.23	0.24	220.8	-0.03347	8.574	2011-03-30
168	9.01	0.2243	0.04	203.2	0.008301	8.602	2011-03-31
169	9.01	0.2247	0.0	178.6	0.04093	8.628	2011-04-01
170	9.14	0.2307	-0.12	128.8	0.1311	8.729	2011-04-06
171	9.25	0.2263	0.11	110.6	0.1521	8.763	2011-04-07
172	9.24	0.2223	-0.01	101.4	0.1661	8.793	2011-04-08
173	9.2	0.2229	-0.04	85.88	0.172	8.82	2011-04-11
174	9.11	0.2201	0.09	53.35	0.1564	8.85	2011-04-13
175	9.0	0.2091	-0.09	31.5	0.1361	8.875	2011-04-15
176	8.92	0.2106	-0.08	-3.776	0.1173	8.877	2011-04-18
177	8.94	0.2055	0.02	-5.965	0.1028	8.881	2011-04-19
178	9.19	0.213	0.25	69.05	0.1103	8.901	2011-04-20
179	9.29	0.2085	0.1	94.11	0.1228	8.926	2011-04-21
180	9.11	0.2084	-0.16	40.99	0.1207	8.959	2011-04-26
181	9.83	0.2492	0.72	273.6	0.1698	9.015	2011-04-27
182	9.75	0.2478	-0.08	271.3	0.2	9.063	2011-04-28
183	9.79	0.2401	0.04	231.0	0.2245	9.11	2011-04-29
184	9.92	0.2537	-0.14	169.5	0.2785	9.219	2011-05-03
185	10.0	0.2584	0.08	135.7	0.294	9.27	2011-05-04
186	9.86	0.2571	-0.14	106.3	0.2917	9.308	2011-05-05
187	9.88	0.2495	0.02	90.74	0.2881	9.345	2011-05-06
188	10.04	0.2516	0.16	96.16	0.2948	9.389	2011-05-09
189	10.2	0.2494	0.16	111.7	0.3095	9.442	2011-05-10
190	10.22	0.243	0.02	103.6	0.319	9.492	2011-05-11
191	10.3	0.2456	0.08	97.13	0.3293	9.544	2011-05-12
192	10.13	0.2424	-0.17	86.61	0.32	9.582	2011-05-13
193	9.63	0.2651	-0.5	8.966	0.2691	9.585	2011-05-16
194	9.74	0.2611	0.11	-6.897	0.235	9.595	2011-05-17
195	9.85	0.2603	0.11	4.923	0.2144	9.611	2011-05-18
196	9.94	0.2525	0.09	32.19	0.203	9.633	2011-05-19
197	9.93	0.2437	-0.01	21.71	0.1909	9.652	2011-05-20
198	9.81	0.2499	-0.12	-48.02	0.1697	9.662	2011-05-23
199	9.66	0.2463	-0.15	-88.23	0.1392	9.662	2011-05-24
200	9.61	0.2401	-0.05	-130.2	0.1097	9.659	2011-05-25
201	9.75	0.243	0.14	-94.76	0.09656	9.664	2011-05-26
202	9.71	0.2349	-0.04	-79.27	0.08195	9.667	2011-05-27
203	9.83	0.2331	0.12	-30.57	0.07913	9.678	2011-05-31
204	9.62	0.2351	-0.21	-84.18	0.05928	9.674	2011-06-01
205	9.68	0.2318	0.06	-94.65	0.04783	9.675	2011-06-02
206	9.42	0.2367	-0.26	-139.4	0.01757	9.658	2011-06-03
207	9.38	0.2372	0.1	-135.6	-0.0368	9.617	2011-06-07
