	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	2079.97	41.38	-48.59	-141.4	7.979	2115.0	2010-06-29
1	2118.65	42.78	38.68	-105.9	6.958	2115.0	2010-06-30
2	2073.53	43.65	-45.12	-138.4	2.48	2112.0	2010-07-01
3	2101.29	44.78	27.76	-107.2	1.157	2111.0	2010-07-02
4	2153.35	44.56	45.61	4.324	3.835	2114.0	2010-07-06
5	2154.35	44.14	1.0	20.69	6.387	2117.0	2010-07-07
6	2192.52	44.99	38.17	95.23	11.36	2121.0	2010-07-08
7	2190.04	44.25	-2.48	111.1	14.93	2126.0	2010-07-09
8	2200.46	42.9	10.42	122.7	18.38	2131.0	2010-07-12
9	2257.97	44.22	57.51	199.8	25.47	2139.0	2010-07-13
10	2247.56	43.23	-10.41	183.0	29.9	2146.0	2010-07-14
11	2250.54	43.11	2.98	160.9	33.27	2153.0	2010-07-15
12	2246.57	42.8	-3.97	142.2	35.21	2159.0	2010-07-16
13	2219.79	42.32	-26.78	87.09	34.2	2163.0	2010-07-19
14	2219.3	41.43	-0.49	63.19	32.98	2166.0	2010-07-20
15	2214.84	41.34	-4.46	69.17	31.29	2169.0	2010-07-21
16	2247.06	42.88	32.22	63.78	32.17	2174.0	2010-07-22
17	2247.56	42.44	0.5	76.63	32.54	2179.0	2010-07-23
18	2263.43	41.53	15.87	82.41	33.73	2185.0	2010-07-26
19	2240.62	41.61	-22.81	62.96	32.45	2188.0	2010-07-27
20	2223.76	42.29	-16.86	40.18	29.74	2191.0	2010-07-28
21	2178.64	42.77	-45.12	-20.27	23.68	2190.0	2010-07-29
22	2175.67	42.13	-2.97	-54.19	18.42	2189.0	2010-07-30
23	2169.72	42.2	-5.95	-68.43	13.61	2188.0	2010-08-02
24	2215.33	43.15	45.61	-44.37	13.33	2189.0	2010-08-03
25	2233.18	43.29	17.85	5.557	14.38	2192.0	2010-08-04
26	2203.93	42.82	-29.25	-23.25	12.71	2193.0	2010-08-05
27	2193.52	43.05	-10.41	-62.13	10.42	2193.0	2010-08-06
28	2233.68	43.03	40.16	4.136	11.72	2196.0	2010-08-09
29	2205.42	42.68	-28.26	-22.42	10.34	2196.0	2010-08-10
30	2191.53	41.08	-13.89	-89.39	8.042	2196.0	2010-08-11
31	2213.84	40.2	22.31	-34.09	7.926	2197.0	2010-08-12
32	2234.17	39.38	20.33	65.69	9.366	2200.0	2010-08-13
33	2242.11	38.41	7.94	80.75	11.02	2202.0	2010-08-16
34	2261.44	37.55	19.33	136.3	13.73	2206.0	2010-08-17
35	2214.17	38.84	-47.27	4.247	11.93	2207.0	2010-08-18
36	2160.61	40.96	-53.56	-112.4	6.113	2204.0	2010-08-19
37	2148.21	39.66	-12.4	-190.8	0.4945	2200.0	2010-08-20
38	2159.62	38.7	11.41	-149.0	-3.003	2197.0	2010-08-23
39	2183.42	39.91	23.8	-86.6	-3.81	2197.0	2010-08-24
40	2163.09	39.89	-20.33	-95.33	-6.021	2194.0	2010-08-25
41	2195.82	39.66	32.73	-34.88	-5.074	2194.0	2010-08-26
42	2205.74	39.17	9.92	2.197	-3.483	2195.0	2010-08-27
43	2197.8	38.35	-7.94	-27.45	-2.83	2195.0	2010-08-31
44	2272.19	40.93	74.39	127.6	3.649	2200.0	2010-09-01
45	2281.11	39.46	8.92	179.8	9.394	2206.0	2010-09-02
46	2292.02	38.34	10.91	177.1	14.66	2211.0	2010-09-03
47	2291.03	35.82	-4.96	124.5	21.67	2221.0	2010-09-07
48	2299.96	35.49	8.93	113.1	24.28	2226.0	2010-09-08
49	2326.24	35.69	26.28	124.2	28.15	2233.0	2010-09-09
50	2353.51	34.19	5.95	137.4	36.11	2248.0	2010-09-13
51	2335.66	33.81	-17.85	103.2	37.06	2253.0	2010-09-14
52	2339.13	33.87	3.47	83.73	37.66	2259.0	2010-09-15
53	2331.69	32.83	-7.44	78.74	37.11	2264.0	2010-09-16
54	2339.63	33.71	7.94	89.4	36.89	2268.0	2010-09-17
55	2383.76	34.45	44.13	103.8	39.81	2276.0	2010-09-20
56	2378.8	33.69	-4.96	115.5	41.26	2283.0	2010-09-21
57	2375.33	35.67	-35.21	101.3	41.85	2306.0	2010-09-27
58	2361.94	35.67	-13.39	50.91	39.13	2310.0	2010-09-28
59	2360.95	36.1	-0.99	47.65	36.47	2313.0	2010-09-29
60	2355.0	37.06	-5.95	38.15	33.5	2316.0	2010-09-30
61	2355.0	34.13	6.45	-34.41	18.56	2326.0	2010-10-08
62	2368.89	33.07	13.89	38.02	18.63	2328.0	2010-10-11
63	2391.2	34.6	22.31	87.73	20.25	2332.0	2010-10-12
64	2414.01	34.65	22.81	188.5	23.1	2338.0	2010-10-13
65	2396.65	34.79	-17.36	125.5	23.69	2341.0	2010-10-14
66	2396.16	34.97	-0.49	107.9	23.84	2345.0	2010-10-15
67	2426.9	35.76	30.74	127.6	26.15	2350.0	2010-10-18
68	2427.4	35.72	0.5	147.8	27.69	2355.0	2010-10-19
69	2440.79	36.86	13.39	151.7	29.65	2361.0	2010-10-20
70	2444.26	37.34	3.47	148.5	31.13	2366.0	2010-10-21
71	2418.47	37.05	-25.79	88.53	29.87	2370.0	2010-10-22
72	2412.52	36.24	-5.95	65.73	28.07	2372.0	2010-10-25
73	2417.98	35.07	5.46	55.27	26.78	2375.0	2010-10-26
74	2381.28	37.03	-36.7	-5.645	22.53	2376.0	2010-10-27
75	2384.75	36.65	3.47	-10.13	19.23	2376.0	2010-10-28
76	2360.45	36.79	-24.3	-62.03	14.48	2375.0	2010-10-29
77	2373.35	35.97	12.9	-58.17	11.62	2375.0	2010-11-01
78	2424.92	37.58	51.57	42.7	13.37	2378.0	2010-11-02
79	2423.93	36.7	-0.99	73.68	14.5	2381.0	2010-11-03
80	2409.05	37.48	-14.88	58.33	14.04	2383.0	2010-11-04
81	2427.9	36.25	0.5	71.75	15.59	2389.0	2010-11-08
82	2413.52	35.57	-14.38	45.9	14.74	2390.0	2010-11-09
83	2396.16	35.12	-17.36	-26.7	12.52	2391.0	2010-11-10
84	2385.75	33.92	-10.41	-81.2	9.806	2390.0	2010-11-11
85	2379.3	33.73	-6.45	-98.57	7.056	2390.0	2010-11-12
86	2379.3	33.94	0.0	-91.18	4.82	2389.0	2010-11-15
87	2362.93	33.22	-16.37	-112.4	1.708	2387.0	2010-11-16
88	2382.77	33.94	39.18	-73.34	-2.275	2384.0	2010-11-18
89	2407.56	34.49	24.79	6.659	-0.2579	2386.0	2010-11-19
90	2392.19	34.01	-15.37	10.61	0.09926	2386.0	2010-11-22
91	2359.46	33.92	-32.73	-71.88	-2.233	2385.0	2010-11-23
92	2364.92	33.41	5.46	-72.54	-3.599	2383.0	2010-11-24
93	2374.34	32.81	5.45	-59.89	-4.387	2382.0	2010-11-26
94	2314.34	35.64	-60.0	-153.5	-9.181	2377.0	2010-11-29
95	2311.36	35.47	-2.98	-182.8	-13.07	2373.0	2010-11-30
96	2328.72	35.31	17.36	-136.1	-14.58	2370.0	2010-12-01
97	2351.53	35.55	22.81	-95.55	-13.78	2369.0	2010-12-02
98	2345.58	34.82	-5.95	-83.52	-13.48	2368.0	2010-12-03
99	2337.15	33.71	-8.43	-80.95	-13.75	2366.0	2010-12-06
100	2340.62	33.25	3.47	-71.28	-13.54	2364.0	2010-12-07
101	2356.98	33.14	16.36	-48.17	-11.91	2364.0	2010-12-08
102	2346.57	33.11	-10.41	-39.67	-11.32	2362.0	2010-12-09
103	2359.46	32.66	12.89	-7.389	-9.712	2362.0	2010-12-10
104	2357.48	32.21	-1.98	26.13	-8.495	2362.0	2010-12-13
105	2387.23	32.45	29.75	69.71	-5.072	2364.0	2010-12-14
106	2387.73	31.87	0.5	103.1	-2.292	2365.0	2010-12-15
107	2404.09	31.33	16.36	140.1	1.217	2368.0	2010-12-16
108	2442.77	30.74	7.93	210.6	11.03	2377.0	2010-12-20
109	2464.59	31.8	21.82	203.1	16.27	2382.0	2010-12-21
110	2484.43	31.87	19.84	202.7	21.77	2389.0	2010-12-22
111	2500.3	30.86	15.87	185.3	27.1	2396.0	2010-12-23
112	2479.47	31.92	-18.84	129.4	31.85	2408.0	2010-12-29
113	2472.03	31.27	-7.44	94.63	31.72	2412.0	2010-12-30
114	2443.27	31.94	-28.76	57.74	28.96	2414.0	2010-12-31
115	2467.57	33.59	24.3	71.85	28.41	2417.0	2011-01-04
116	2464.59	33.46	-2.98	52.27	27.41	2420.0	2011-01-05
117	2460.62	33.3	-3.97	53.28	26.0	2423.0	2011-01-06
118	2406.57	35.13	-54.05	-22.27	20.29	2422.0	2011-01-07
119	2398.64	33.93	-7.93	-46.91	14.95	2420.0	2011-01-10
120	2410.04	34.13	11.4	-37.27	11.51	2420.0	2011-01-11
121	2391.2	33.82	-18.84	-76.64	7.173	2418.0	2011-01-12
122	2305.91	38.27	-85.29	-187.2	-3.107	2411.0	2011-01-13
123	2347.06	40.07	41.15	-177.0	-7.842	2407.0	2011-01-14
124	2352.03	38.38	18.35	-113.7	-14.6	2399.0	2011-01-18
125	2318.3	39.89	-33.73	-119.0	-18.74	2393.0	2011-01-19
126	2278.14	41.65	-40.16	-146.8	-24.98	2386.0	2011-01-20
127	2263.76	41.22	-14.38	-139.8	-30.73	2378.0	2011-01-21
128	2353.51	45.61	89.75	-72.16	-27.72	2377.0	2011-01-24
129	2335.66	44.3	-17.85	-56.84	-26.47	2374.0	2011-01-25
130	2350.54	43.35	-5.95	-33.14	-21.44	2371.0	2011-01-27
131	2288.55	45.1	-61.99	-85.14	-24.49	2366.0	2011-01-28
132	2286.07	44.5	-2.48	-116.7	-26.81	2361.0	2011-01-31
133	2302.44	42.99	16.37	-85.97	-27.01	2357.0	2011-02-01
134	2383.76	40.91	-23.31	123.8	-0.1058	2366.0	2011-02-09
135	2381.28	40.22	-2.48	93.15	1.281	2367.0	2011-02-10
136	2403.6	41.24	22.32	86.62	4.133	2369.0	2011-02-11
137	2383.27	40.88	-20.33	90.91	4.699	2370.0	2011-02-14
138	2404.09	39.7	20.82	86.59	6.75	2372.0	2011-02-15
139	2401.61	38.77	-2.48	90.38	8.082	2374.0	2011-02-16
140	2422.94	38.09	21.33	95.05	10.73	2377.0	2011-02-17
141	2446.24	37.74	23.3	128.0	14.55	2382.0	2011-02-18
142	2419.47	37.85	-10.41	69.25	16.24	2387.0	2011-02-22
143	2393.18	38.16	-26.29	50.84	14.1	2387.0	2011-02-23
144	2376.82	41.17	-16.36	-43.08	10.95	2387.0	2011-02-24
