	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	300.56	22.6	-5.31	-119.2	-49.17	397.5	2010-06-29
1	316.44	22.96	15.88	-81.84	-47.08	392.3	2010-06-30
2	325.42	23.14	8.98	-63.26	-44.19	387.9	2010-07-01
3	319.51	22.19	-5.91	-62.79	-41.89	383.5	2010-07-02
4	342.83	21.46	12.11	8.399	-34.83	377.7	2010-07-06
5	359.25	21.25	16.42	65.84	-30.07	376.5	2010-07-07
6	364.16	20.65	4.91	103.7	-25.61	375.7	2010-07-08
7	361.98	20.37	-2.18	104.7	-22.0	374.8	2010-07-09
8	395.87	21.59	33.89	191.0	-16.21	376.2	2010-07-12
9	407.18	21.53	11.31	204.4	-10.59	378.2	2010-07-13
10	397.9	21.44	-9.28	146.1	-6.809	379.5	2010-07-14
11	398.65	20.78	0.75	126.2	-3.708	380.7	2010-07-15
12	404.0	21.05	5.35	136.3	-0.8089	382.2	2010-07-16
13	384.85	21.69	-19.15	73.85	-0.05618	382.4	2010-07-19
14	384.46	21.39	-0.39	67.85	0.503	382.5	2010-07-20
15	396.81	20.97	12.35	76.37	1.921	383.4	2010-07-21
16	396.91	20.66	0.1	71.87	3.017	384.3	2010-07-22
17	395.52	19.9	-1.39	64.87	3.731	385.0	2010-07-23
18	413.73	19.83	18.21	87.19	5.701	386.9	2010-07-26
19	402.86	19.85	-10.87	76.15	6.312	387.9	2010-07-27
20	399.39	19.52	-3.47	56.93	6.442	388.7	2010-07-28
21	410.26	19.32	10.87	71.12	7.337	390.0	2010-07-29
22	402.81	18.59	-7.45	64.27	7.361	390.9	2010-07-30
23	409.91	18.0	7.1	76.4	7.862	392.1	2010-08-02
24	412.44	17.33	2.53	83.56	8.367	393.4	2010-08-03
25	418.39	17.32	5.95	115.8	9.142	395.0	2010-08-04
26	420.13	17.25	1.74	149.9	9.783	396.6	2010-08-05
27	422.06	17.07	1.93	170.1	10.33	398.3	2010-08-06
28	429.41	16.67	7.35	179.3	11.22	400.3	2010-08-09
29	416.11	16.53	-13.3	94.43	10.74	401.3	2010-08-10
30	407.82	16.05	-8.29	27.71	9.572	401.7	2010-08-11
31	406.88	15.8	-0.94	-14.29	8.475	402.1	2010-08-12
32	413.18	15.81	6.3	13.65	8.021	402.8	2010-08-13
33	406.58	15.42	-6.6	-3.744	7.048	403.0	2010-08-16
34	404.85	14.76	-1.73	-47.08	6.067	403.1	2010-08-17
35	394.53	14.55	-10.32	-115.4	4.407	402.6	2010-08-18
36	383.71	14.61	-10.82	-185.5	2.192	401.4	2010-08-19
37	385.35	14.87	1.64	-233.5	0.5627	400.3	2010-08-20
38	387.58	14.72	2.23	-155.0	-0.5423	399.5	2010-08-23
39	374.58	14.9	-13.0	-184.8	-2.439	397.9	2010-08-24
40	372.25	14.76	-2.33	-180.4	-4.083	396.2	2010-08-25
41	382.62	14.56	10.37	-102.4	-4.497	395.4	2010-08-26
42	376.72	14.33	-5.9	-109.8	-5.241	394.2	2010-08-27
43	377.66	13.96	0.94	-99.19	-5.689	393.1	2010-08-31
44	385.75	14.06	8.09	-62.86	-5.33	392.6	2010-09-01
45	389.57	13.68	3.82	-36.18	-4.683	392.4	2010-09-02
46	398.6	13.35	9.03	1.072	-3.403	392.8	2010-09-03
47	403.66	12.5	0.3	57.03	-0.8209	394.2	2010-09-07
48	408.97	12.51	5.31	85.26	0.5212	395.1	2010-09-08
49	412.24	12.27	3.27	102.2	1.828	396.2	2010-09-09
50	412.84	11.44	4.37	104.2	3.399	398.0	2010-09-13
51	411.99	10.93	-0.85	104.9	3.974	398.9	2010-09-14
52	400.98	10.94	-11.01	61.31	3.501	399.1	2010-09-15
53	405.29	10.8	4.31	63.95	3.434	399.5	2010-09-16
54	399.94	10.8	-5.35	46.95	2.916	399.5	2010-09-17
55	408.17	10.66	8.23	58.63	3.133	400.1	2010-09-20
56	411.6	10.59	3.43	72.91	3.541	400.8	2010-09-21
57	400.78	9.846	-0.99	-4.217	1.903	401.0	2010-09-27
58	402.02	9.78	1.24	-48.25	1.659	401.1	2010-09-28
59	417.75	10.45	15.73	148.1	2.703	402.2	2010-09-29
60	424.49	10.86	6.74	248.3	4.027	403.6	2010-09-30
61	432.48	10.13	-1.19	98.92	8.744	412.9	2010-10-08
