	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	1121.23	23.6	-20.46	-163.1	-9.293	1175.0	2010-06-29
1	1141.2	23.48	19.97	-113.4	-10.35	1172.0	2010-06-30
2	1107.75	24.55	-33.45	-153.6	-13.73	1168.0	2010-07-01
3	1106.75	23.76	-1.0	-152.3	-16.3	1164.0	2010-07-02
4	1121.23	24.24	27.96	-111.0	-19.03	1157.0	2010-07-06
5	1115.74	23.72	-5.49	-92.01	-19.11	1155.0	2010-07-07
6	1140.2	23.78	24.46	-49.2	-17.01	1154.0	2010-07-08
7	1140.2	24.32	0.0	-42.49	-15.17	1153.0	2010-07-09
8	1153.18	24.19	12.98	-9.093	-12.52	1153.0	2010-07-12
9	1174.64	24.25	21.46	40.7	-8.585	1154.0	2010-07-13
10	1179.64	23.3	5.0	63.15	-5.008	1156.0	2010-07-14
11	1201.1	23.81	21.46	114.9	-0.4369	1159.0	2010-07-15
12	1185.63	24.07	-15.47	116.7	1.916	1161.0	2010-07-16
13	1186.13	23.06	0.5	98.33	3.777	1162.0	2010-07-19
14	1171.65	22.95	-14.48	78.62	4.037	1163.0	2010-07-20
15	1184.13	23.59	12.48	76.67	5.19	1164.0	2010-07-21
16	1201.6	23.9	17.47	106.5	7.428	1167.0	2010-07-22
17	1185.13	23.77	-16.47	84.08	7.783	1168.0	2010-07-23
18	1170.15	24.35	-14.98	41.68	6.778	1168.0	2010-07-26
19	1153.18	25.25	-16.97	21.52	4.559	1167.0	2010-07-27
20	1132.89	25.0	-20.29	-35.37	1.15	1165.0	2010-07-28
21	1119.91	24.75	-12.98	-65.25	-2.569	1162.0	2010-07-29
22	1109.43	24.16	-10.48	-98.39	-6.29	1158.0	2010-07-30
23	1122.41	23.57	12.98	-90.56	-8.098	1156.0	2010-08-02
24	1136.89	23.07	14.48	-67.0	-8.267	1155.0	2010-08-03
25	1128.4	22.24	-8.49	-74.06	-8.983	1153.0	2010-08-04
26	1130.4	21.58	2.0	-73.19	-9.282	1152.0	2010-08-05
27	1130.9	21.11	0.5	-66.57	-9.37	1150.0	2010-08-06
28	1150.37	21.17	19.47	-37.2	-7.779	1150.0	2010-08-09
29	1175.33	21.55	24.96	23.54	-4.453	1152.0	2010-08-10
30	1163.85	20.9	-11.48	24.25	-2.712	1153.0	2010-08-11
31	1194.31	21.83	30.46	72.68	1.112	1155.0	2010-08-12
32	1222.76	22.48	28.45	149.2	6.366	1160.0	2010-08-13
33	1216.27	22.7	-6.49	150.1	9.891	1163.0	2010-08-16
