	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	201.55	5.031	-2.8	87.86	5.395	193.7	2010-06-29
1	204.77	5.066	3.22	87.43	5.358	194.4	2010-06-30
2	208.91	5.154	4.14	126.0	5.598	195.3	2010-07-01
3	206.53	5.111	-2.38	109.0	5.532	196.1	2010-07-02
4	205.08	4.909	0.89	64.01	5.007	197.1	2010-07-06
5	204.96	4.762	-0.12	54.46	4.764	197.6	2010-07-07
6	206.63	4.677	1.67	82.83	4.653	198.2	2010-07-08
7	204.03	4.62	-2.6	43.32	4.305	198.6	2010-07-09
8	203.64	4.51	-0.39	29.71	3.953	198.9	2010-07-12
9	202.01	4.44	-1.63	-11.97	3.502	199.1	2010-07-13
10	200.3	4.409	-1.71	-53.87	2.972	199.2	2010-07-14
11	204.61	4.494	4.31	-11.19	2.867	199.5	2010-07-15
12	206.83	4.511	2.22	56.44	2.929	200.0	2010-07-16
13	205.35	4.478	-1.48	83.83	2.826	200.4	2010-07-19
14	203.95	4.333	-1.4	-22.84	2.602	200.6	2010-07-20
15	203.49	4.335	-0.46	-13.03	2.36	200.8	2010-07-21
16	203.87	4.228	0.38	-64.77	2.173	201.0	2010-07-22
17	203.29	4.118	-0.58	-51.44	1.956	201.1	2010-07-23
18	203.29	4.026	0.0	-43.12	1.764	201.3	2010-07-26
19	202.36	4.069	-0.93	-52.63	1.519	201.3	2010-07-27
20	196.26	4.356	-6.1	-265.7	0.823	201.0	2010-07-28
21	199.4	4.55	3.14	-213.3	0.519	200.9	2010-07-29
22	195.21	4.661	-4.19	-232.4	-0.05944	200.5	2010-07-30
23	197.11	4.539	1.9	-173.8	-0.3604	200.3	2010-08-02
24	197.15	4.348	0.04	-133.6	-0.5888	200.1	2010-08-03
25	198.7	4.346	1.55	-94.65	-0.6375	200.0	2010-08-04
26	198.63	4.307	-0.07	-51.93	-0.6739	199.9	2010-08-05
27	198.35	4.08	-0.28	-69.01	-0.7171	199.8	2010-08-06
28	198.78	3.945	0.43	-60.99	-0.7084	199.8	2010-08-09
29	202.28	4.043	3.5	-5.319	-0.4144	199.9	2010-08-10
30	202.36	4.079	0.08	46.81	-0.1729	200.1	2010-08-11
31	206.79	4.31	4.43	83.86	0.3716	200.5	2010-08-12
32	206.56	4.161	-0.23	121.7	0.7757	200.9	2010-08-13
33	209.82	4.213	3.26	165.4	1.343	201.5	2010-08-16
34	206.48	4.245	-3.34	118.3	1.507	201.8	2010-08-17
35	209.35	4.248	2.87	119.0	1.846	202.3	2010-08-18
36	212.81	4.222	3.46	156.2	2.367	203.0	2010-08-19
