	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	649.82	15.34	1.59	-25.82	5.528	648.01	2010-08-16
1	662.93	15.32	13.11	31.12	5.769	648.97	2010-08-17
2	648.18	15.28	-14.75	-47.79	4.715	648.92	2010-08-18
3	631.01	15.93	-17.17	-157.6	2.466	647.76	2010-08-19
4	629.71	15.87	-1.3	-209.3	0.572	646.6	2010-08-20
5	634.68	15.46	4.97	-162.9	-0.5218	645.83	2010-08-23
6	625.44	15.46	-9.24	-176.0	-2.11	644.51	2010-08-24
7	627.03	15.23	1.59	-143.7	-3.203	643.39	2010-08-25
8	628.42	14.85	1.39	-119.6	-3.913	642.42	2010-08-26
9	632.49	14.56	4.07	-98.34	-4.099	641.78	2010-08-27
10	639.15	14.6	6.66	-65.76	-3.667	641.61	2010-08-31
11	647.39	14.73	8.24	-20.26	-2.63	641.98	2010-09-01
12	647.39	14.26	0.0	6.209	-1.787	642.33	2010-09-02
13	649.77	14.15	2.38	34.56	-0.9162	642.81	2010-09-03
14	657.71	13.39	-0.4	82.5	1.469	644.7	2010-09-07
15	650.17	13.42	-7.54	39.87	1.655	645.05	2010-09-08
16	656.92	13.45	6.75	77.27	2.32	645.82	2010-09-09
17	673.11	13.83	16.29	160.1	4.457	648.24	2010-09-13
18	671.42	13.53	-1.69	147.8	5.563	649.74	2010-09-14
19	671.81	13.14	0.39	135.4	6.397	651.16	2010-09-15
20	670.62	12.74	-1.19	115.2	6.884	652.42	2010-09-16
21	667.94	12.77	-2.68	93.39	6.972	653.42	2010-09-17
22	674.79	12.64	6.85	100.3	7.508	654.8	2010-09-20
23	666.25	12.61	-8.54	80.69	7.162	655.53	2010-09-21
24	656.23	12.33	-5.36	-13.07	4.109	656.36	2010-09-27
25	654.84	12.29	-1.39	-60.33	3.269	656.26	2010-09-28
26	644.41	12.62	-10.43	-113.2	1.742	655.49	2010-09-29
27	640.44	12.77	-3.97	-146.1	0.2094	654.52	2010-09-30
28	653.54	11.88	-3.38	-52.95	0.139	654.56	2010-10-08
29	657.22	11.44	3.68	-29.75	0.2982	654.73	2010-10-11
30	658.51	11.41	1.29	-26.4	0.5225	654.98	2010-10-12
31	666.35	11.78	7.84	42.73	1.318	655.71	2010-10-13
32	657.62	12.04	-8.73	39.41	1.229	655.83	2010-10-14
33	648.68	12.7	-8.94	-60.91	0.4328	655.37	2010-10-15
34	655.73	12.59	7.05	-31.66	0.3662	655.39	2010-10-18
35	655.83	12.49	0.1	39.56	0.3179	655.42	2010-10-19
36	655.33	12.32	-0.5	-2.239	0.2365	655.42	2010-10-20
37	665.66	12.74	10.33	122.4	0.9941	656.08	2010-10-21
