	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	0.24	0.01251	-0.01	-154.8	-0.01471	0.2798	2010-06-29
1	0.23	0.01233	-0.01	-189.6	-0.01606	0.2765	2010-06-30
2	0.24	0.01217	0.01	-148.3	-0.01615	0.2742	2010-07-01
3	0.23	0.01201	-0.01	-148.6	-0.01682	0.2713	2010-07-02
4	0.23	0.01187	0.0	-130.5	-0.01716	0.2687	2010-07-06
5	0.24	0.01245	0.01	-85.12	-0.01644	0.2668	2010-07-07
6	0.24	0.01299	0.0	-77.63	-0.01568	0.2651	2010-07-08
7	0.24	0.01277	0.0	-83.15	-0.01491	0.2635	2010-07-09
8	0.24	0.01186	0.0	-61.96	-0.01413	0.262	2010-07-12
9	0.25	0.01173	0.01	-28.79	-0.01257	0.2612	2010-07-13
10	0.25	0.01161	0.0	4.762	-0.0112	0.2605	2010-07-14
11	0.25	0.01149	0.0	-22.58	-0.009998	0.2598	2010-07-15
12	0.23	0.0121	-0.02	-67.57	-0.01054	0.2579	2010-07-16
13	0.24	0.01195	0.01	-64.24	-0.01004	0.2567	2010-07-19
14	0.25	0.01252	0.01	-12.82	-0.008745	0.2563	2010-07-20
15	0.24	0.01234	-0.01	-3.13	-0.008425	0.2552	2010-07-21
16	0.24	0.01146	0.0	-26.37	-0.008078	0.2542	2010-07-22
17	0.24	0.01064	0.0	-19.48	-0.007714	0.2533	2010-07-23
18	0.24	0.0106	0.0	-58.82	-0.007341	0.2525	2010-07-26
19	0.24	0.00984	0.0	0.0	-0.006966	0.2517	2010-07-27
20	0.23	0.009852	-0.01	-105.9	-0.00739	0.2503	2010-07-28
21	0.21	0.01058	-0.02	-336.7	-0.009233	0.2477	2010-07-29
22	0.21	0.01054	0.0	-304.9	-0.01057	0.2452	2010-07-30
23	0.21	0.0105	0.0	-188.9	-0.0115	0.243	2010-08-02
24	0.2	0.01046	-0.01	-202.7	-0.01289	0.2402	2010-08-03
25	0.21	0.01043	0.01	-129.6	-0.01304	0.2382	2010-08-04
26	0.22	0.0104	0.01	-79.2	-0.01221	0.2371	2010-08-05
27	0.22	0.01037	0.0	-69.53	-0.01142	0.236	2010-08-06
28	0.22	0.009629	0.0	-47.28	-0.01067	0.2349	2010-08-09
29	0.21	0.009655	-0.01	-70.55	-0.01076	0.2333	2010-08-10
30	0.2	0.00968	-0.01	-106.3	-0.01151	0.2312	2010-08-11
31	0.21	0.009703	0.01	-82.73	-0.01116	0.2298	2010-08-12
32	0.22	0.009724	0.01	-30.3	-0.009966	0.2292	2010-08-13
33	0.21	0.009744	-0.01	-43.15	-0.009714	0.2279	2010-08-16
34	0.21	0.009762	0.0	-39.22	-0.009405	0.2268	2010-08-17
35	0.21	0.009779	0.0	-34.79	-0.009057	0.2257	2010-08-18
36	0.23	0.01051	0.02	43.26	-0.007085	0.226	2010-08-19
37	0.23	0.01047	0.0	82.62	-0.005459	0.2262	2010-08-20
38	0.23	0.01044	0.0	94.79	-0.004123	0.2265	2010-08-23
39	0.22	0.01041	-0.01	82.0	-0.003827	0.2261	2010-08-24
40	0.23	0.01038	0.01	128.8	-0.002754	0.2263	2010-08-25
41	0.22	0.01035	-0.01	81.08	-0.002679	0.2259	2010-08-26
42	0.23	0.01033	0.01	105.7	-0.001793	0.2262	2010-08-27
43	0.21	0.01028	-0.01	-50.42	-0.002717	0.2248	2010-08-31
44	0.22	0.01026	0.01	-17.7	-0.002547	0.2245	2010-09-01
45	0.22	0.01024	0.0	-17.7	-0.002385	0.2242	2010-09-02
46	0.23	0.01023	0.01	88.89	-0.001433	0.2245	2010-09-03
47	0.23	0.009495	0.0	111.1	-0.000671	0.2249	2010-09-07
48	0.24	0.009531	0.01	156.3	0.0007314	0.2259	2010-09-08
49	0.23	0.009565	-0.01	118.6	0.001024	0.2261	2010-09-09
50	0.24	0.01034	0.01	164.9	0.002196	0.2273	2010-09-13
51	0.24	0.0096	0.0	148.5	0.002918	0.2281	2010-09-14
52	0.24	0.008915	0.0	134.7	0.003451	0.2289	2010-09-15
53	0.24	0.008278	0.0	116.7	0.003829	0.2296	2010-09-16
54	0.24	0.007687	0.0	102.0	0.004082	0.2302	2010-09-17
55	0.25	0.007852	0.01	140.1	0.005031	0.2315	2010-09-20
56	0.26	0.00872	0.01	164.8	0.006515	0.2334	2010-09-21
57	0.28	0.008476	0.0	176.0	0.01246	0.2427	2010-09-27
58	0.27	0.008585	-0.01	132.7	0.0126	0.2444	2010-09-28
59	0.27	0.008686	0.0	114.8	0.01257	0.2461	2010-09-29
60	0.27	0.00878	0.0	100.4	0.0124	0.2476	2010-09-30
61	0.25	0.009262	0.0	-53.52	0.005423	0.2499	2010-10-08
62	0.25	0.0086	0.0	-39.22	0.004481	0.2499	2010-10-11
63	0.25	0.0087	0.0	-62.44	0.003692	0.2499	2010-10-12
64	0.26	0.008793	0.01	-7.563	0.00383	0.2506	2010-10-13
65	0.26	0.008879	0.0	-13.99	0.003894	0.2512	2010-10-14
66	0.26	0.008245	0.0	2.564	0.0039	0.2517	2010-10-15
67	0.26	0.00837	0.0	-28.4	0.00386	0.2523	2010-10-18
68	0.26	0.008487	0.0	-30.18	0.003785	0.2528	2010-10-19
69	0.26	0.009309	0.0	-2.743	0.003683	0.2532	2010-10-20
70	0.25	0.009359	-0.01	-53.0	0.002763	0.253	2010-10-21
71	0.27	0.01012	0.02	39.94	0.003607	0.2541	2010-10-22
72	0.27	0.01011	0.0	137.1	0.004227	0.2551	2010-10-25
73	0.27	0.0101	0.0	137.1	0.004664	0.2561	2010-10-26
74	0.28	0.01009	0.01	162.8	0.005751	0.2576	2010-10-27
75	0.28	0.01009	0.0	157.3	0.006537	0.2591	2010-10-28
76	0.28	0.01008	0.0	137.7	0.007079	0.2604	2010-10-29
77	0.28	0.01008	0.0	116.2	0.007423	0.2617	2010-11-01
78	0.28	0.01007	0.0	136.8	0.007607	0.2629	2010-11-02
79	0.28	0.01007	0.0	118.5	0.007665	0.264	2010-11-03
80	0.28	0.01006	0.0	104.4	0.007623	0.265	2010-11-04
81	0.29	0.009338	0.0	118.3	0.008738	0.2681	2010-11-08
82	0.29	0.008671	0.0	111.1	0.00898	0.2695	2010-11-09
83	0.29	0.008052	0.0	104.2	0.009068	0.2709	2010-11-10
84	0.29	0.008191	0.0	77.34	0.009033	0.2721	2010-11-11
85	0.3	0.009034	0.01	169.3	0.009701	0.2739	2010-11-12
86	0.3	0.009103	0.0	150.0	0.01011	0.2756	2010-11-15
87	0.29	0.009167	-0.01	80.71	0.009524	0.2765	2010-11-16
88	0.31	0.009282	0.01	155.6	0.01062	0.2801	2010-11-18
89	0.32	0.01005	0.01	180.1	0.01197	0.2827	2010-11-19
90	0.32	0.01004	0.0	173.8	0.01289	0.2851	2010-11-22
91	0.31	0.01004	-0.01	112.2	0.01267	0.2867	2010-11-23
92	0.32	0.01004	0.01	132.4	0.01315	0.2888	2010-11-24
93	0.31	0.01004	-0.01	99.62	0.01258	0.2902	2010-11-26
94	0.32	0.01003	0.01	105.5	0.01279	0.2921	2010-11-29
95	0.31	0.01003	-0.01	60.78	0.01201	0.2933	2010-11-30
96	0.33	0.01074	0.02	142.1	0.01286	0.2956	2010-12-01
