	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	100.62	2.54	-0.31	23.13	2.795	97.72	2010-06-29
1	100.94	2.469	0.32	9.132	2.562	97.93	2010-06-30
2	99.17	2.442	-1.77	-25.6	2.209	98.01	2010-07-01
3	99.32	2.433	0.15	-32.48	1.92	98.1	2010-07-02
4	101.42	2.341	1.78	-48.68	1.644	98.4	2010-07-06
5	101.02	2.261	-0.4	-47.22	1.552	98.57	2010-07-07
6	103.33	2.287	2.31	49.76	1.647	98.88	2010-07-08
7	103.86	2.188	0.53	94.89	1.745	99.2	2010-07-09
8	105.21	2.163	1.35	135.5	1.909	99.59	2010-07-12
9	106.46	2.136	1.25	166.7	2.116	100.0	2010-07-13
10	108.05	2.139	1.59	201.9	2.381	100.5	2010-07-14
11	106.96	2.099	-1.09	154.2	2.474	101.0	2010-07-15
12	107.03	2.058	0.07	131.8	2.525	101.4	2010-07-16
13	107.69	2.097	0.66	116.3	2.588	101.8	2010-07-19
14	107.35	2.028	-0.34	109.7	2.581	102.1	2010-07-20
15	106.86	1.959	-0.49	88.25	2.507	102.4	2010-07-21
16	108.62	2.048	1.76	94.64	2.561	102.8	2010-07-22
17	109.38	2.04	0.76	105.7	2.635	103.3	2010-07-23
18	105.62	2.214	-3.76	54.72	2.363	103.4	2010-07-26
19	106.76	2.196	1.14	39.69	2.213	103.6	2010-07-27
20	108.34	2.204	1.58	64.9	2.197	103.9	2010-07-28
21	108.44	2.168	0.1	68.14	2.167	104.2	2010-07-29
22	109.78	2.231	1.34	98.72	2.226	104.6	2010-07-30
23	113.17	2.372	3.39	195.6	2.518	105.1	2010-08-02
24	114.13	2.323	0.96	239.2	2.794	105.7	2010-08-03
25	113.76	2.255	-0.37	197.7	2.949	106.2	2010-08-04
26	116.03	2.316	2.27	205.0	3.217	106.9	2010-08-05
27	114.88	2.299	-1.15	159.4	3.3	107.4	2010-08-06
28	116.16	2.254	1.28	143.1	3.429	107.9	2010-08-09
29	115.39	2.257	-0.77	122.0	3.429	108.4	2010-08-10
30	114.16	2.243	-1.23	85.3	3.292	108.8	2010-08-11
