	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	1695.13	40.66	-60.54	-185.2	-22.67	1800.0	2010-06-29
1	1688.18	39.74	-6.95	-191.0	-27.62	1792.0	2010-06-30
2	1611.76	42.57	-76.42	-241.8	-37.28	1781.0	2010-07-01
3	1636.08	42.26	24.32	-197.6	-42.49	1771.0	2010-07-02
4	1657.91	41.24	34.73	-117.3	-47.42	1755.0	2010-07-06
5	1666.35	40.81	8.44	-96.57	-46.45	1749.0	2010-07-07
6	1728.38	42.36	62.03	-33.32	-40.22	1748.0	2010-07-08
7	1746.74	41.64	18.36	2.396	-33.41	1748.0	2010-07-09
8	1757.66	40.4	10.92	15.65	-26.82	1749.0	2010-07-12
9	1794.87	40.17	37.21	48.34	-18.39	1752.0	2010-07-13
10	1807.78	38.68	12.91	68.49	-10.54	1755.0	2010-07-14
11	1791.4	38.37	-16.38	61.31	-5.579	1758.0	2010-07-15
12	1780.98	38.07	-10.42	61.72	-2.459	1759.0	2010-07-16
13	1785.94	37.94	4.96	61.35	0.4088	1761.0	2010-07-19
14	1764.11	37.68	-21.83	48.02	0.9097	1761.0	2010-07-20
15	1774.03	36.9	9.92	63.73	2.083	1762.0	2010-07-21
16	1816.21	38.66	42.18	86.11	6.343	1765.0	2010-07-22
17	1805.79	37.17	-10.42	89.3	8.778	1768.0	2010-07-23
18	1810.26	37.0	4.47	83.7	10.94	1771.0	2010-07-26
19	1807.78	35.85	-2.48	79.53	12.31	1773.0	2010-07-27
20	1773.54	36.69	-34.24	48.77	10.52	1773.0	2010-07-28
21	1770.06	36.16	-3.48	34.68	8.713	1773.0	2010-07-29
22	1741.28	36.98	-28.78	-3.777	4.904	1771.0	2010-07-30
23	1806.78	39.23	65.5	46.44	7.089	1773.0	2010-08-02
24	1821.17	38.52	14.39	89.68	9.868	1776.0	2010-08-03
25	1806.53	38.12	-14.64	68.44	10.76	1778.0	2010-08-04
26	1794.12	37.67	-12.41	67.13	10.35	1779.0	2010-08-05
27	1782.7	38.24	-11.42	3.542	9.005	1779.0	2010-08-06
28	1809.01	37.99	26.31	82.49	9.943	1781.0	2010-08-09
29	1808.02	37.26	-0.99	83.01	10.49	1783.0	2010-08-10
30	1767.32	37.83	-40.7	-96.8	7.545	1782.0	2010-08-11
31	1768.31	37.0	0.99	-136.6	5.234	1781.0	2010-08-12
32	1764.34	36.95	-3.97	-117.9	3.047	1780.0	2010-08-13
33	1758.88	36.65	-5.46	-123.2	0.8631	1779.0	2010-08-16
34	1790.15	36.94	31.27	-41.04	1.637	1779.0	2010-08-17
35	1775.76	35.82	-14.39	-45.52	1.076	1779.0	2010-08-18
36	1727.12	37.98	-48.64	-152.1	-3.255	1776.0	2010-08-19
37	1711.73	37.82	-15.39	-206.5	-7.839	1772.0	2010-08-20
38	1724.14	37.49	12.41	-180.3	-10.35	1769.0	2010-08-23
39	1706.77	37.26	-17.37	-176.7	-13.59	1765.0	2010-08-24
40	1690.39	36.8	-16.38	-179.0	-17.27	1760.0	2010-08-25
41	1698.83	35.76	8.44	-139.6	-19.29	1756.0	2010-08-26
42	1723.15	35.62	24.32	-89.29	-18.71	1754.0	2010-08-27
43	1720.17	36.27	-2.98	-86.73	-18.29	1752.0	2010-08-31
44	1765.83	37.5	45.66	-7.876	-14.1	1753.0	2010-09-01
45	1775.76	36.46	9.93	43.98	-9.867	1754.0	2010-09-02
46	1800.07	36.72	24.31	94.49	-4.499	1757.0	2010-09-03
47	1789.65	35.71	-23.82	79.85	3.091	1763.0	2010-09-07
48	1801.07	35.5	11.42	88.84	5.74	1765.0	2010-09-08
49	1814.96	34.67	13.89	110.7	8.858	1768.0	2010-09-09
50	1849.7	33.65	20.84	146.3	16.53	1777.0	2010-09-13
51	1852.19	32.74	2.49	130.5	19.86	1782.0	2010-09-14
52	1847.22	31.75	-4.97	115.6	21.83	1786.0	2010-09-15
53	1866.58	31.43	19.36	117.1	24.68	1791.0	2010-09-16
54	1849.7	32.2	-16.88	106.7	25.28	1795.0	2010-09-17
55	1888.91	33.05	39.21	118.6	28.59	1801.0	2010-09-20
56	1880.97	32.5	-7.94	117.2	30.23	1806.0	2010-09-21
