	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	8.82	0.243	0.16	-87.26	0.02686	8.79	2010-08-16
1	8.84	0.2364	0.02	-57.95	0.02555	8.79	2010-08-17
2	8.76	0.2367	-0.08	-50.27	0.01785	8.79	2010-08-18
3	8.95	0.2412	0.19	0.8577	0.02677	8.8	2010-08-19
4	8.89	0.2397	-0.06	7.532	0.02866	8.81	2010-08-20
5	8.96	0.239	0.07	30.98	0.03541	8.82	2010-08-23
6	8.88	0.239	-0.08	-16.41	0.03391	8.82	2010-08-24
7	8.61	0.2434	-0.27	-105.7	0.01081	8.81	2010-08-25
8	8.57	0.2367	-0.04	-133.2	-0.01061	8.79	2010-08-26
9	8.57	0.2284	0.0	-121.9	-0.02726	8.78	2010-08-27
10	8.54	0.2202	-0.13	-107.0	-0.04576	8.76	2010-08-31
11	8.57	0.2238	0.03	-89.03	-0.05361	8.74	2010-09-01
12	8.61	0.22	0.04	-65.8	-0.05595	8.73	2010-09-02
13	8.61	0.2178	0.0	-80.83	-0.05715	8.73	2010-09-03
14	8.73	0.2148	-0.03	22.13	-0.0382	8.73	2010-09-07
15	8.56	0.2144	-0.17	-69.29	-0.04563	8.72	2010-09-08
16	8.35	0.217	-0.21	-152.6	-0.06768	8.69	2010-09-09
17	8.37	0.212	-0.01	-147.8	-0.09272	8.65	2010-09-13
18	8.43	0.2069	0.06	-95.32	-0.09543	8.64	2010-09-14
19	8.28	0.2085	-0.15	-141.9	-0.1084	8.62	2010-09-15
20	8.08	0.2158	-0.2	-199.9	-0.1333	8.58	2010-09-16
21	8.11	0.2118	0.03	-172.4	-0.1489	8.55	2010-09-17
22	8.13	0.2102	0.02	-138.5	-0.1579	8.52	2010-09-20
23	8.12	0.2016	-0.01	-121.3	-0.1639	8.5	2010-09-21
24	8.1	0.1937	-0.02	-113.6	-0.1683	8.47	2010-09-27
25	7.96	0.1934	-0.14	-134.2	-0.181	8.44	2010-09-28
26	7.99	0.1939	0.03	-117.8	-0.1865	8.41	2010-09-29
27	8.17	0.2029	0.18	-78.82	-0.1744	8.4	2010-09-30
28	8.48	0.2163	0.31	18.56	-0.1381	8.4	2010-10-08
29	8.77	0.2279	0.29	113.6	-0.08499	8.42	2010-10-11
30	8.73	0.2238	-0.04	114.7	-0.04561	8.44	2010-10-12
31	9.14	0.24	0.41	184.2	0.01848	8.49	2010-10-13
32	9.17	0.2485	0.03	211.6	0.07087	8.53	2010-10-14
33	9.61	0.2722	0.44	213.4	0.1462	8.6	2010-10-15
34	9.64	0.2835	0.03	211.9	0.206	8.67	2010-10-18
35	9.77	0.2882	0.13	155.1	0.2608	8.74	2010-10-19
36	9.92	0.2941	0.15	158.6	0.3128	8.82	2010-10-20
37	9.55	0.3066	-0.37	105.2	0.3204	8.86	2010-10-21
38	9.48	0.304	-0.07	75.53	0.3171	8.9	2010-10-22
39	9.57	0.3109	0.09	70.43	0.3181	8.95	2010-10-25
40	9.44	0.3115	-0.13	63.69	0.3049	8.98	2010-10-26
41	9.31	0.32	-0.13	48.08	0.2808	9.0	2010-10-27
42	9.42	0.3143	0.11	44.17	0.2674	9.03	2010-10-28
43	9.19	0.3218	-0.23	24.28	0.2355	9.04	2010-10-29
44	9.34	0.316	0.15	25.53	0.2198	9.06	2010-11-01
45	9.31	0.312	-0.03	21.0	0.2026	9.07	2010-11-02
46	9.63	0.3233	0.32	54.65	0.2124	9.11	2010-11-03
47	9.69	0.3209	0.06	83.56	0.2224	9.15	2010-11-04
48	9.82	0.3186	0.08	118.4	0.2427	9.23	2010-11-08
49	9.57	0.3187	-0.25	38.39	0.2286	9.25	2010-11-09
50	9.21	0.3245	-0.36	-100.8	0.1863	9.25	2010-11-10
51	9.31	0.3206	0.1	-91.56	0.1589	9.25	2010-11-11
52	8.83	0.3334	-0.48	-187.8	0.09743	9.22	2010-11-12
53	8.97	0.3303	0.14	-181.8	0.05929	9.21	2010-11-15
54	8.61	0.3353	-0.36	-207.2	2.397e-05	9.17	2010-11-16
55	8.63	0.3227	0.03	-166.5	-0.08129	9.1	2010-11-18
56	8.56	0.329	-0.07	-156.5	-0.1126	9.06	2010-11-19
57	8.36	0.3226	-0.2	-142.3	-0.1519	9.02	2010-11-22
58	8.27	0.3138	-0.09	-139.6	-0.1881	8.97	2010-11-23
59	8.37	0.3086	0.1	-105.9	-0.2063	8.93	2010-11-24
60	8.37	0.2941	-0.13	-84.21	-0.2171	8.87	2010-11-26
61	8.38	0.281	0.01	-77.47	-0.2211	8.84	2010-11-29
62	8.23	0.2823	-0.15	-85.78	-0.2336	8.8	2010-11-30
63	8.28	0.27	0.05	-79.32	-0.2368	8.77	2010-12-01
64	8.33	0.2643	0.05	-61.01	-0.2326	8.74	2010-12-02
65	8.33	0.2561	0.0	-59.69	-0.2266	8.71	2010-12-03
66	8.47	0.2593	0.14	-34.74	-0.2082	8.7	2010-12-06
67	8.49	0.2536	0.02	-31.13	-0.1899	8.68	2010-12-07
68	8.35	0.2491	-0.14	-42.65	-0.1845	8.66	2010-12-08
69	8.2	0.2441	-0.15	-108.3	-0.1901	8.63	2010-12-09
70	8.3	0.2381	0.1	-87.47	-0.1844	8.61	2010-12-10
71	8.43	0.2347	0.13	-26.83	-0.1674	8.6	2010-12-13
72	8.38	0.2279	-0.05	9.651	-0.1562	8.58	2010-12-14
73	8.37	0.2195	-0.01	15.46	-0.1464	8.57	2010-12-15
74	8.3	0.211	-0.07	-64.44	-0.1427	8.55	2010-12-16
75	8.18	0.2086	-0.1	-150.9	-0.1438	8.51	2010-12-20
76	8.39	0.2151	0.21	-41.03	-0.1286	8.5	2010-12-21
77	8.25	0.2155	-0.14	-49.12	-0.1264	8.49	2010-12-22
78	8.32	0.2186	0.07	-14.04	-0.1176	8.48	2010-12-23
79	8.06	0.2168	-0.03	-228.7	-0.1274	8.4	2010-12-29
80	8.0	0.2142	-0.06	-232.6	-0.1373	8.38	2010-12-30
81	8.08	0.2132	0.08	-143.3	-0.1372	8.36	2010-12-31
82	8.21	0.2122	0.13	-60.48	-0.1251	8.35	2011-01-04
83	8.18	0.2056	-0.03	-37.62	-0.1166	8.34	2011-01-05
84	8.14	0.2038	-0.04	-53.64	-0.1118	8.33	2011-01-06
85	8.36	0.2221	0.22	58.79	-0.08928	8.33	2011-01-07
86	8.21	0.2234	-0.15	24.4	-0.08255	8.32	2011-01-10
87	8.32	0.2217	0.11	30.73	-0.06755	8.32	2011-01-11
88	8.37	0.2166	0.05	72.99	-0.05105	8.32	2011-01-12
89	8.33	0.2104	-0.04	77.21	-0.04073	8.32	2011-01-13
90	8.23	0.204	-0.1	26.89	-0.04015	8.32	2011-01-14
91	7.99	0.2022	-0.03	-134.9	-0.07017	8.28	2011-01-18
92	8.06	0.1971	0.07	-104.5	-0.07489	8.26	2011-01-19
93	7.9	0.1951	-0.16	-135.0	-0.09049	8.24	2011-01-20
94	8.02	0.2033	0.12	-75.82	-0.09212	8.23	2011-01-21
95	7.94	0.1988	-0.08	-100.5	-0.09872	8.21	2011-01-24
96	7.97	0.1932	0.03	-88.64	-0.1004	8.19	2011-01-25
97	8.02	0.1819	0.0	-76.87	-0.09244	8.17	2011-01-27
98	7.94	0.1775	-0.08	-87.14	-0.09455	8.16	2011-01-28
99	7.97	0.1691	0.03	-73.59	-0.09273	8.14	2011-01-31
100	8.01	0.1628	0.04	-52.26	-0.08706	8.14	2011-02-01
101	7.95	0.1604	-0.06	-58.97	-0.08641	8.12	2011-02-09
102	8.02	0.159	0.07	-51.71	-0.07934	8.12	2011-02-10
103	8.02	0.1555	0.0	-32.54	-0.07289	8.11	2011-02-11
104	8.37	0.1701	0.35	109.8	-0.03908	8.13	2011-02-14
105	8.32	0.1672	-0.05	154.5	-0.01614	8.14	2011-02-15
106	8.28	0.1653	-0.04	114.7	-0.001177	8.15	2011-02-16
107	8.28	0.1677	0.0	142.1	0.01056	8.16	2011-02-17
108	8.27	0.1643	-0.01	116.8	0.01884	8.16	2011-02-18
109	8.03	0.1696	-0.22	6.911	0.009365	8.16	2011-02-22
110	8.0	0.1646	-0.03	-40.72	-0.004225	8.15	2011-02-23
111	8.0	0.16	0.0	-43.15	-0.01482	8.14	2011-02-24
112	8.04	0.1579	0.04	-19.05	-0.01977	8.13	2011-02-25
113	8.12	0.1587	0.08	0.3926	-0.01703	8.13	2011-02-28
114	8.26	0.1688	0.14	90.22	-0.00353	8.14	2011-03-01
115	8.85	0.2142	0.35	258.4	0.07718	8.21	2011-03-03
116	8.97	0.2182	0.12	244.9	0.1258	8.26	2011-03-04
117	8.98	0.224	0.01	224.4	0.1632	8.3	2011-03-07
118	9.02	0.2266	0.04	178.1	0.1939	8.35	2011-03-08
119	9.07	0.2233	0.05	157.1	0.2197	8.4	2011-03-09
120	8.83	0.228	-0.24	94.56	0.2183	8.43	2011-03-10
121	8.62	0.2303	-0.21	44.37	0.1979	8.44	2011-03-11
122	8.65	0.2232	0.03	32.21	0.1821	8.45	2011-03-14
123	8.51	0.2251	-0.14	6.581	0.1565	8.46	2011-03-15
124	8.65	0.2276	0.14	25.52	0.1458	8.47	2011-03-16
