	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	1758.92	36.65	-5.46	-123.2	0.8628	1778.79	2010-08-16
1	1790.19	36.94	31.27	-41.05	1.636	1779.53	2010-08-17
2	1775.8	35.82	-14.39	-45.52	1.076	1779.29	2010-08-18
3	1727.16	37.98	-48.64	-152.1	-3.256	1775.92	2010-08-19
4	1711.77	37.82	-15.39	-206.5	-7.84	1771.79	2010-08-20
5	1724.18	37.49	12.41	-180.3	-10.35	1768.71	2010-08-23
6	1706.81	37.26	-17.37	-176.7	-13.59	1764.72	2010-08-24
7	1690.43	36.8	-16.38	-179.0	-17.28	1759.93	2010-08-25
8	1698.87	35.76	8.44	-139.6	-19.29	1755.99	2010-08-26
9	1723.19	35.62	24.32	-89.29	-18.72	1753.87	2010-08-27
10	1720.21	36.27	-2.98	-86.73	-18.29	1751.7	2010-08-31
11	1765.87	37.5	45.66	-7.878	-14.1	1752.61	2010-09-01
12	1775.8	36.46	9.93	43.97	-9.867	1754.11	2010-09-02
13	1800.12	36.72	24.32	94.49	-4.498	1757.08	2010-09-03
14	1789.69	35.71	-23.83	79.85	3.091	1762.59	2010-09-07
15	1801.11	35.5	11.42	88.85	5.74	1765.07	2010-09-08
16	1815.01	34.67	13.9	110.7	8.859	1768.3	2010-09-09
17	1849.75	33.65	20.85	146.3	16.54	1777.21	2010-09-13
18	1852.23	32.74	2.48	130.5	19.86	1782.05	2010-09-14
19	1847.27	31.75	-4.96	115.6	21.84	1786.26	2010-09-15
20	1866.62	31.43	19.35	117.1	24.68	1791.44	2010-09-16
21	1849.75	32.2	-16.87	106.7	25.28	1795.2	2010-09-17
22	1888.96	33.05	39.21	118.6	28.6	1801.25	2010-09-20
23	1881.02	32.5	-7.94	117.2	30.23	1806.4	2010-09-21
24	1896.9	32.68	3.97	99.05	32.8	1825.22	2010-09-27
25	1899.87	32.72	2.97	87.38	33.24	1830.03	2010-09-28
26	1896.4	33.07	-3.47	97.69	32.93	1834.31	2010-09-29
27	1901.86	34.33	5.46	112.6	32.75	1838.67	2010-09-30
28	1950.5	32.59	-5.95	138.7	38.04	1871.62	2010-10-08
29	1957.45	31.33	6.95	136.8	38.38	1877.16	2010-10-11
30	1944.54	31.36	-12.91	84.0	37.18	1881.51	2010-10-12
31	1981.27	32.21	36.73	147.1	38.75	1887.94	2010-10-13
32	1972.83	32.1	-8.44	123.6	38.86	1893.42	2010-10-14
33	1964.89	31.33	-7.94	103.0	37.87	1898.03	2010-10-15
34	1991.2	31.82	26.31	121.2	38.76	1904.04	2010-10-18
35	1970.85	31.29	-20.35	91.69	37.4	1908.35	2010-10-19
36	1974.82	30.37	3.97	76.8	36.22	1912.64	2010-10-20
37	1980.77	30.32	5.95	91.56	35.36	1917.04	2010-10-21
38	1987.23	29.72	6.46	90.92	34.79	1921.56	2010-10-22
39	1989.21	29.12	1.98	113.9	34.11	1925.93	2010-10-25
40	1980.28	28.39	-8.93	64.93	32.48	1929.44	2010-10-26
41	1962.41	27.81	-17.87	29.72	29.4	1931.56	2010-10-27
42	1972.34	27.99	9.93	58.94	27.45	1934.19	2010-10-28
43	2011.05	29.53	38.71	137.3	28.7	1939.15	2010-10-29
44	2028.42	29.59	17.37	228.0	30.73	1944.91	2010-11-01
45	2085.0	31.94	56.58	317.2	36.49	1953.95	2010-11-02
46	2047.04	32.76	-37.96	206.5	37.55	1959.95	2010-11-03
47	2074.34	33.43	27.3	199.2	40.14	1967.33	2010-11-04
48	2043.57	32.43	-25.31	100.9	39.67	1978.38	2010-11-08
49	2048.04	31.92	4.47	71.65	38.32	1982.88	2010-11-09
50	2021.23	32.34	-26.81	28.11	34.69	1985.35	2010-11-10
51	2026.69	31.09	5.46	27.98	31.88	1988.02	2010-11-11
52	2026.69	31.46	0.0	16.65	29.32	1990.51	2010-11-12
53	2034.14	30.95	7.45	28.12	27.57	1993.33	2010-11-15
54	1991.95	31.86	-42.19	-33.6	22.52	1993.24	2010-11-16
55	2027.19	31.97	22.84	17.92	18.38	1996.1	2010-11-18
56	2015.77	32.63	-11.42	-18.75	16.53	1997.37	2010-11-19
57	1988.47	34.06	-27.3	-68.72	12.72	1996.79	2010-11-22
58	1947.27	34.82	-41.2	-158.5	6.305	1993.6	2010-11-23
59	1976.06	35.63	28.79	-144.1	3.502	1992.47	2010-11-24
60	1975.07	34.51	0.0	-130.8	-0.6402	1990.3	2010-11-26
61	1931.39	36.97	-43.68	-135.1	-5.549	1986.49	2010-11-29
62	1921.96	37.03	-9.43	-162.0	-10.08	1982.33	2010-11-30
63	1974.57	38.74	52.61	-84.9	-9.325	1981.83	2010-12-01
64	2004.35	38.78	29.78	-16.84	-6.249	1983.28	2010-12-02
65	2002.87	37.46	-1.48	15.8	-3.885	1984.55	2010-12-03
66	2008.33	36.73	5.46	26.31	-1.554	1986.08	2010-12-06
67	2024.71	36.7	16.38	85.39	1.597	1988.57	2010-12-07
68	2020.24	35.64	-4.47	75.75	3.691	1990.62	2010-12-08
69	2015.77	34.83	-4.47	74.13	4.933	1992.24	2010-12-09
70	2036.12	33.83	20.35	94.87	7.473	1995.07	2010-12-10
71	2051.51	33.51	15.39	130.1	10.61	1998.71	2010-12-13
72	2074.34	32.99	22.83	163.5	14.76	2003.59	2010-12-14
73	2066.9	32.23	-7.44	136.7	17.25	2007.68	2010-12-15
74	2053.5	31.56	-13.4	114.8	17.94	2010.63	2010-12-16
75	2054.49	30.48	-1.49	86.83	18.56	2016.2	2010-12-20
76	2088.24	30.96	33.75	117.1	21.11	2020.85	2010-12-21
77	2103.13	30.59	14.89	133.5	24.06	2026.15	2010-12-22
78	2110.58	30.21	7.45	129.7	26.68	2031.6	2010-12-23
79	2135.4	29.11	28.29	145.1	31.25	2042.86	2010-12-29
80	2138.38	28.52	2.98	145.3	33.56	2049.02	2010-12-30
81	2122.99	28.33	-15.39	129.4	33.76	2053.79	2010-12-31
82	2146.32	29.42	23.33	141.4	35.39	2059.76	2011-01-04
83	2131.43	30.44	-14.89	84.85	35.07	2064.38	2011-01-05
84	2099.66	30.78	-31.77	53.22	31.89	2066.66	2011-01-06
85	2093.7	30.68	-5.96	16.8	28.56	2068.4	2011-01-07
86	2117.53	31.36	23.83	39.72	27.53	2071.57	2011-01-10
87	2118.02	30.78	0.49	70.6	26.44	2074.57	2011-01-11
88	2124.48	29.47	6.46	61.11	25.81	2077.79	2011-01-12
89	2115.05	30.41	-9.43	16.23	24.26	2080.19	2011-01-13
90	2103.13	31.61	-11.92	2.92	21.82	2081.67	2011-01-14
91	2122.0	31.67	32.77	19.57	18.4	2084.73	2011-01-18
92	2122.99	31.4	0.99	76.16	18.15	2087.2	2011-01-19
93	2099.66	31.39	-23.33	-31.08	15.88	2088.0	2011-01-20
94	2126.96	31.77	27.3	37.59	16.1	2090.52	2011-01-21
95	2156.74	32.19	29.78	141.7	18.47	2094.79	2011-01-24
96	2149.79	31.38	-6.95	157.4	19.55	2098.34	2011-01-25
97	2196.95	32.33	27.8	208.6	25.4	2108.97	2011-01-27
98	2186.52	31.51	-10.43	190.7	27.16	2113.98	2011-01-28
99	2182.55	31.6	-3.97	145.7	27.91	2118.4	2011-01-31
100	2248.57	34.17	66.02	203.3	33.44	2126.8	2011-02-01
101	2128.7	36.4	-36.48	-36.96	17.96	2140.08	2011-02-09
102	2125.22	34.87	-3.48	-53.62	13.51	2139.12	2011-02-10
103	2114.31	34.26	-10.91	-85.57	9.0	2137.52	2011-02-11
104	2094.94	34.12	-19.37	-113.9	3.82	2134.77	2011-02-14
105	2111.63	34.1	16.69	-89.31	1.05	2133.28	2011-02-15
106	2131.18	33.31	19.55	-64.02	0.427	2133.14	2011-02-16
107	2157.99	37.16	26.81	-57.86	2.073	2134.75	2011-02-17
108	2173.38	36.57	15.39	9.846	4.566	2137.24	2011-02-18
109	2176.85	37.68	18.86	6.641	7.213	2141.05	2011-02-22
110	2164.44	36.87	-12.41	1.094	7.686	2142.56	2011-02-23
111	2191.75	38.78	27.31	47.21	10.15	2145.73	2011-02-24
112	2197.21	37.71	5.46	73.03	12.4	2149.05	2011-02-25
113	2195.72	37.07	-1.49	82.01	13.9	2152.06	2011-02-28
114	2171.39	37.58	-24.33	67.91	12.98	2153.31	2011-03-01
115	2199.19	37.85	45.17	104.9	12.43	2156.31	2011-03-03
116	2209.12	36.92	9.93	140.4	14.43	2159.72	2011-03-04
117	2203.17	36.76	-5.95	123.6	15.35	2162.52	2011-03-07
118	2181.82	38.0	-21.35	51.55	14.19	2163.77	2011-03-08
119	2149.55	37.98	-32.27	-6.806	10.55	2162.85	2011-03-09
