	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	272.38	5.475	-0.84	24.44	6.001	264.81	2010-08-16
1	271.21	5.875	-1.17	39.99	5.452	265.22	2010-08-17
2	276.99	5.988	5.78	67.67	5.421	265.98	2010-08-18
3	278.01	5.853	1.02	113.0	5.416	266.76	2010-08-19
4	276.44	5.827	-1.57	84.52	5.226	267.38	2010-08-20
5	276.51	5.717	0.07	67.46	5.023	267.97	2010-08-23
6	277.02	5.659	0.51	81.14	4.847	268.56	2010-08-24
7	277.67	5.541	0.65	81.34	4.706	269.14	2010-08-25
8	278.68	5.489	1.01	61.03	4.622	269.76	2010-08-26
9	272.82	5.619	-5.86	-20.78	4.036	269.96	2010-08-27
10	269.03	5.678	-0.89	-199.8	2.615	269.89	2010-08-31
11	273.29	5.637	4.26	-81.14	2.388	270.11	2010-09-01
12	268.94	5.77	-4.35	-100.2	1.836	270.04	2010-09-02
13	266.94	5.738	-2.0	-149.4	1.223	269.84	2010-09-03
14	277.13	5.851	5.15	54.02	1.456	270.44	2010-09-07
15	279.54	6.37	2.41	55.38	1.887	271.03	2010-09-08
16	277.96	6.21	-1.58	104.1	2.077	271.47	2010-09-09
17	280.44	6.131	2.48	128.4	2.4	272.05	2010-09-13
18	285.07	6.198	4.63	164.6	2.995	272.89	2010-09-14
19	291.27	6.275	6.2	238.0	3.922	274.08	2010-09-15
20	285.43	6.292	-5.84	162.2	4.138	274.81	2010-09-16
21	290.9	6.317	5.47	169.3	4.696	275.85	2010-09-17
22	290.3	6.195	-0.6	158.4	5.031	276.78	2010-09-20
23	303.75	6.81	13.45	204.1	6.31	278.52	2010-09-21
24	295.64	8.134	-1.32	127.6	6.968	282.82	2010-09-27
25	293.44	7.887	-2.2	59.58	6.616	283.51	2010-09-28
26	293.66	7.828	0.22	60.28	6.282	284.16	2010-09-29
27	294.12	7.554	0.46	48.66	5.985	284.81	2010-09-30
28	300.18	7.847	-2.42	45.28	6.588	291.05	2010-10-08
29	299.92	7.984	-0.26	32.51	6.146	291.62	2010-10-11
30	302.6	7.778	2.68	58.58	5.943	292.33	2010-10-12
31	316.39	8.303	13.79	179.6	6.816	293.88	2010-10-13
32	314.25	8.172	-2.14	208.5	7.252	295.19	2010-10-14
33	303.19	9.069	-11.06	100.3	6.628	295.71	2010-10-15
34	312.23	9.582	9.04	73.31	6.785	296.78	2010-10-18
35	308.36	9.399	-3.87	102.5	6.522	297.52	2010-10-19
36	307.43	9.257	-0.93	66.68	6.168	298.16	2010-10-20
37	313.66	9.226	6.23	116.9	6.317	299.16	2010-10-21
38	331.6	10.07	17.94	271.5	7.793	301.26	2010-10-22
39	339.11	10.09	7.51	256.9	9.459	303.7	2010-10-25
40	338.02	9.979	-1.09	204.6	10.57	305.91	2010-10-26
41	334.79	9.735	-3.23	161.9	11.06	307.77	2010-10-27
42	335.58	9.516	0.79	135.5	11.38	309.57	2010-10-28
43	335.33	9.487	-0.25	104.3	11.49	311.23	2010-10-29
44	337.33	9.244	2.0	105.6	11.6	312.91	2010-11-01
45	335.71	8.974	-1.62	86.15	11.42	314.39	2010-11-02
46	336.98	9.011	1.27	89.35	11.26	315.84	2010-11-03
47	342.27	8.95	5.29	92.22	11.42	317.55	2010-11-04
48	341.9	8.722	-0.37	86.32	11.39	319.12	2010-11-08
49	349.6	8.808	7.7	103.8	11.85	321.09	2010-11-09
50	349.54	8.636	-0.06	112.2	12.07	322.92	2010-11-10
51	340.82	8.768	-8.72	69.31	11.41	324.08	2010-11-11
52	338.38	8.621	-2.44	41.95	10.56	325.0	2010-11-12
53	340.35	8.573	1.97	53.33	9.941	325.99	2010-11-15
54	335.89	8.644	-4.46	18.56	8.984	326.63	2010-11-16
55	333.58	8.689	-2.31	-0.1073	7.947	327.08	2010-11-18
56	325.84	9.025	-7.74	-126.0	6.427	327.0	2010-11-19
57	333.15	9.123	7.31	-123.2	5.746	327.39	2010-11-22
58	330.34	9.157	-2.81	-132.4	4.923	327.58	2010-11-23
59	323.33	9.237	-7.01	-181.1	3.663	327.31	2010-11-24
60	334.59	9.258	7.01	-45.07	2.957	327.8	2010-11-26
61	341.52	9.271	6.93	49.19	3.464	328.68	2010-11-29
62	344.58	9.34	3.06	69.6	4.066	329.71	2010-11-30
63	344.34	9.631	-0.24	64.47	4.472	330.65	2010-12-01
64	349.44	9.411	5.1	108.7	5.146	331.86	2010-12-02
65	350.58	9.202	1.14	132.4	5.707	333.07	2010-12-03
66	352.47	8.933	1.89	121.9	6.231	334.32	2010-12-06
67	348.29	8.714	-4.18	84.46	6.238	335.22	2010-12-07
68	345.38	8.579	-2.91	58.92	5.94	335.88	2010-12-08
69	343.27	8.67	-2.11	53.93	5.471	336.36	2010-12-09
70	344.15	8.686	0.88	33.23	5.111	336.86	2010-12-10
71	344.0	8.705	-0.15	19.0	4.758	337.32	2010-12-13
72	345.78	8.678	1.78	48.25	4.57	337.86	2010-12-14
73	352.43	8.619	6.65	92.89	4.901	338.8	2010-12-15
74	364.96	8.967	12.53	168.7	6.104	340.49	2010-12-16
