	Close	ATR	Momentum	CCI	MACD	EMA	Times
0	5.59	0.1592	0.12	-105.5	-0.02647	5.64	2010-08-16
1	5.63	0.1557	0.04	-59.05	-0.02345	5.64	2010-08-17
2	5.59	0.1539	-0.04	-46.83	-0.024	5.64	2010-08-18
3	5.64	0.155	0.05	-44.24	-0.02017	5.64	2010-08-19
4	5.54	0.1547	-0.1	-55.81	-0.02492	5.63	2010-08-20
5	5.6	0.155	0.06	-33.15	-0.02357	5.63	2010-08-23
6	5.62	0.1547	0.02	-33.51	-0.02064	5.63	2010-08-24
7	5.48	0.1551	-0.14	-80.66	-0.02929	5.62	2010-08-25
8	5.46	0.1511	-0.02	-95.56	-0.03732	5.61	2010-08-26
9	5.46	0.1475	0.0	-100.5	-0.04319	5.6	2010-08-27
10	5.47	0.1388	-0.04	-83.55	-0.0461	5.59	2010-08-31
11	5.47	0.1439	0.0	-67.59	-0.04776	5.58	2010-09-01
12	5.5	0.1429	0.03	-40.59	-0.04612	5.57	2010-09-02
13	5.45	0.1399	-0.05	-93.93	-0.0483	5.57	2010-09-03
14	5.53	0.1384	-0.03	16.41	-0.03664	5.56	2010-09-07
15	5.43	0.1385	-0.1	-101.2	-0.04104	5.55	2010-09-08
16	5.29	0.1415	-0.14	-215.5	-0.05518	5.54	2010-09-09
17	5.27	0.1392	-0.01	-190.9	-0.07529	5.5	2010-09-13
18	5.27	0.1364	0.0	-152.1	-0.08137	5.49	2010-09-14
19	5.21	0.1331	-0.06	-158.3	-0.08999	5.47	2010-09-15
20	5.09	0.1358	-0.12	-192.7	-0.1053	5.45	2010-09-16
21	5.06	0.1325	-0.03	-170.2	-0.1185	5.42	2010-09-17
22	5.06	0.123	0.0	-149.9	-0.1275	5.4	2010-09-20
23	5.06	0.1207	0.0	-126.6	-0.133	5.38	2010-09-21
24	5.05	0.1156	-0.01	-115.8	-0.1367	5.36	2010-09-27
25	4.91	0.1174	-0.14	-139.3	-0.1492	5.33	2010-09-28
26	4.88	0.1254	-0.03	-155.8	-0.1596	5.3	2010-09-29
27	5.06	0.135	0.18	-97.68	-0.1517	5.28	2010-09-30
28	5.22	0.1425	0.16	-25.04	-0.1309	5.28	2010-10-08
29	5.43	0.1516	0.21	59.54	-0.09642	5.29	2010-10-11
30	5.45	0.1486	0.02	78.76	-0.0667	5.3	2010-10-12
31	5.64	0.1552	0.19	133.1	-0.02749	5.32	2010-10-13
32	5.62	0.1627	-0.02	167.9	0.001938	5.34	2010-10-14
33	5.96	0.1789	0.34	199.0	0.0521	5.38	2010-10-15
34	6.0	0.1868	0.04	224.2	0.09399	5.42	2010-10-18
35	6.0	0.1849	0.0	158.4	0.1257	5.46	2010-10-19
36	5.97	0.1896	-0.03	140.4	0.1468	5.49	2010-10-20
37	5.74	0.1967	-0.23	84.06	0.1433	5.51	2010-10-21
38	5.68	0.1927	-0.06	55.77	0.1341	5.52	2010-10-22
39	5.75	0.1989	0.07	55.62	0.131	5.53	2010-10-25
40	5.71	0.2004	-0.04	52.32	0.1238	5.54	2010-10-26
41	5.64	0.2025	-0.07	42.47	0.1112	5.55	2010-10-27
42	5.69	0.2002	0.05	31.07	0.1041	5.56	2010-10-28
43	5.66	0.1981	-0.03	24.81	0.0949	5.57	2010-10-29
44	5.72	0.1918	0.06	32.55	0.09142	5.58	2010-11-01
45	5.66	0.1924	-0.06	15.49	0.08286	5.58	2010-11-02
46	5.74	0.1958	0.08	28.83	0.08159	5.59	2010-11-03
47	5.74	0.1911	0.0	17.66	0.07967	5.6	2010-11-04
48	5.82	0.1855	0.07	54.24	0.08148	5.62	2010-11-08
49	5.67	0.1886	-0.15	-30.41	0.07127	5.63	2010-11-09
50	5.52	0.1902	-0.15	-158.0	0.05049	5.62	2010-11-10
51	5.56	0.1873	0.04	-130.2	0.03683	5.62	2010-11-11
52	5.23	0.1982	-0.33	-255.8	-0.0006162	5.59	2010-11-12
53	5.29	0.1962	0.06	-255.6	-0.02516	5.57	2010-11-15
54	5.09	0.1979	-0.2	-240.1	-0.06006	5.54	2010-11-16
55	5.15	0.191	0.02	-146.7	-0.09937	5.49	2010-11-18
56	5.13	0.1888	-0.02	-133.0	-0.1122	5.47	2010-11-19
57	5.03	0.1846	-0.1	-128.5	-0.129	5.44	2010-11-22
58	4.95	0.1814	-0.08	-129.5	-0.1471	5.41	2010-11-23
59	5.0	0.1763	0.05	-103.0	-0.1556	5.38	2010-11-24
60	5.09	0.1706	0.01	-63.89	-0.1503	5.34	2010-11-26
61	5.06	0.1641	-0.03	-66.6	-0.1481	5.33	2010-11-29
62	4.96	0.1652	-0.1	-80.81	-0.1526	5.3	2010-11-30
63	4.98	0.1591	0.02	-76.04	-0.1528	5.28	2010-12-01
64	5.0	0.1542	0.02	-61.22	-0.1497	5.26	2010-12-02
65	5.01	0.1482	0.01	-61.23	-0.1447	5.25	2010-12-03
66	5.1	0.1469	0.09	-33.56	-0.1319	5.24	2010-12-06
67	5.1	0.1428	0.0	-23.47	-0.1205	5.23	2010-12-07
68	5.04	0.1383	-0.06	-29.6	-0.1149	5.22	2010-12-08
69	4.96	0.1349	-0.08	-92.12	-0.1156	5.2	2010-12-09
70	4.99	0.1317	0.03	-85.17	-0.1124	5.19	2010-12-10
71	5.08	0.1308	0.09	2.028	-0.1015	5.18	2010-12-13
72	5.06	0.1272	-0.02	35.74	-0.09335	5.17	2010-12-14
73	5.06	0.1231	0.0	46.72	-0.08591	5.16	2010-12-15
74	5.0	0.1208	-0.06	-36.38	-0.0839	5.15	2010-12-16
75	4.86	0.1196	-0.11	-196.8	-0.09146	5.12	2010-12-20
76	5.0	0.126	0.14	-98.87	-0.08529	5.12	2010-12-21
77	4.9	0.127	-0.1	-111.1	-0.08746	5.1	2010-12-22
78	4.96	0.1323	0.06	-51.0	-0.08338	5.09	2010-12-23
79	4.84	0.1317	0.0	-168.3	-0.08648	5.04	2010-12-29
80	4.81	0.1302	-0.03	-178.5	-0.08989	5.03	2010-12-30
81	4.84	0.1244	0.03	-143.3	-0.08915	5.02	2010-12-31
82	4.93	0.1255	0.09	-62.47	-0.08037	5.01	2011-01-04
83	4.97	0.1244	0.04	28.99	-0.06939	5.01	2011-01-05
84	4.95	0.1241	-0.02	24.58	-0.06159	5.0	2011-01-06
85	5.17	0.1417	0.22	171.5	-0.03722	5.02	2011-01-07
86	5.11	0.143	-0.06	152.1	-0.0225	5.02	2011-01-10
87	5.23	0.1442	0.12	185.5	-0.001132	5.03	2011-01-11
88	5.27	0.1418	0.04	195.0	0.01881	5.05	2011-01-12
89	5.21	0.1373	-0.06	168.9	0.02944	5.06	2011-01-13
90	5.13	0.1347	-0.08	92.59	0.03104	5.06	2011-01-14
91	4.96	0.1418	0.03	-31.18	0.006416	5.05	2011-01-18
92	5.01	0.1389	0.05	-13.28	0.002826	5.05	2011-01-19
93	4.88	0.1389	-0.13	-50.47	-0.01039	5.04	2011-01-20
94	4.98	0.1483	0.1	3.16	-0.01265	5.03	2011-01-21
95	4.98	0.1441	0.0	-14.05	-0.01427	5.03	2011-01-24
96	5.03	0.1417	0.05	7.163	-0.01139	5.03	2011-01-25
97	5.01	0.1348	-0.02	-27.82	-0.008635	5.03	2011-01-27
98	4.96	0.1323	-0.05	-42.55	-0.01223	5.02	2011-01-28
99	4.97	0.1279	0.01	-55.43	-0.01411	5.02	2011-01-31
100	4.98	0.1223	0.01	-51.82	-0.01463	5.02	2011-02-01
101	4.93	0.12	-0.05	-63.49	-0.01885	5.01	2011-02-09
102	4.99	0.1179	0.06	-52.72	-0.01716	5.01	2011-02-10
103	4.98	0.1137	-0.01	-49.21	-0.01644	5.01	2011-02-11
104	5.13	0.1192	0.15	54.45	-0.003718	5.02	2011-02-14
105	5.09	0.1164	-0.04	83.33	0.003099	5.02	2011-02-15
106	5.06	0.1124	-0.03	54.01	0.006011	5.02	2011-02-16
107	5.11	0.1115	0.05	138.5	0.01221	5.03	2011-02-17
108	5.09	0.1114	-0.02	123.7	0.01534	5.03	2011-02-18
109	4.94	0.1121	-0.14	-43.28	0.006609	5.03	2011-02-22
110	4.93	0.1098	-0.01	-98.92	-0.002259	5.02	2011-02-23
111	4.92	0.1055	-0.01	-123.7	-0.009978	5.02	2011-02-24
112	4.94	0.1044	0.02	-80.99	-0.01432	5.01	2011-02-25
113	4.97	0.1027	0.03	-61.88	-0.01516	5.01	2011-02-28
114	5.06	0.1032	0.09	39.52	-0.008468	5.01	2011-03-01
115	5.25	0.1194	0.1	213.7	0.02179	5.04	2011-03-03
116	5.3	0.118	0.05	184.8	0.03943	5.05	2011-03-04
117	5.32	0.1196	0.02	188.6	0.05439	5.07	2011-03-07
118	5.32	0.1189	0.0	165.0	0.0655	5.09	2011-03-08
119	5.32	0.1161	0.0	144.2	0.07345	5.1	2011-03-09
120	5.17	0.1193	-0.15	60.75	0.06688	5.11	2011-03-10
121	5.12	0.1179	-0.05	11.95	0.05698	5.11	2011-03-11
122	5.13	0.113	0.01	10.54	0.04938	5.11	2011-03-14
123	5.04	0.1157	-0.09	-41.03	0.03567	5.1	2011-03-15
124	5.08	0.1146	0.04	-27.5	0.02772	5.1	2011-03-16
125	5.02	0.1121	-0.06	-45.29	0.01639	5.1	2011-03-17
