Close	ATR	Momentum	CCI	MACD	EMA	Times
13.98	0.5686	0.2	-65.66	0.09114	13.96	2009-12-01
14.86	0.5965	0.88	75.69	0.1464	14.02	2009-12-02
14.75	0.5868	-0.11	88.51	0.1792	14.06	2009-12-03
14.92	0.5984	0.17	73.29	0.2164	14.12	2009-12-04
14.97	0.575	0.05	105.3	0.2471	14.17	2009-12-07
15.07	0.6053	0.1	112.4	0.2763	14.23	2009-12-08
14.62	0.5971	-0.45	52.9	0.2602	14.26	2009-12-09
14.85	0.5766	0.23	57.14	0.2629	14.3	2009-12-10
14.94	0.5675	0.09	107.3	0.2692	14.34	2009-12-11
15.61	0.5999	0.67	157.2	0.3245	14.42	2009-12-14
15.3	0.5884	-0.31	149.6	0.3395	14.48	2009-12-15
15.01	0.585	-0.29	67.72	0.3241	14.51	2009-12-16
14.35	0.5996	-0.66	-0.2062	0.2558	14.5	2009-12-17
13.15	0.6597	-1.2	-169.9	0.1036	14.41	2009-12-18
13.34	0.639	0.19	-156.3	-0.001644	14.34	2009-12-21
12.75	0.6476	-0.59	-158.6	-0.1312	14.24	2009-12-22
12.92	0.6242	0.17	-140.3	-0.2176	14.16	2009-12-23
13.49	0.6332	0.57	-81.88	-0.2373	14.11	2009-12-24
13.33	0.6065	-0.16	-81.74	-0.2629	14.06	2009-12-25
13.53	0.5982	0.2	-63.19	-0.2639	14.03	2009-12-28
13.7	0.5848	0.17	-57.53	-0.2482	14.01	2009-12-29
13.7	0.543	0.0	-43.8	-0.233	13.99	2009-12-30
13.69	0.5328	-0.01	-39.69	-0.2193	13.97	2009-12-31
13.69	0.5112	0.0	-36.1	-0.206	13.95	2010-01-04
14.1	0.5175	0.41	-9.159	-0.1606	13.96	2010-01-05
14.2	0.5291	0.1	24.56	-0.1152	13.98	2010-01-06
14.32	0.5435	0.12	45.51	-0.0687	14.0	2010-01-07
14.18	0.5461	-0.14	6.25	-0.04268	14.01	2010-01-08
14.38	0.5471	0.2	53.22	-0.005858	14.03	2010-01-11
14.62	0.5408	0.24	74.56	0.04221	14.07	2010-01-12
13.48	0.5879	-1.14	-14.65	-0.01156	14.03	2010-01-13
13.62	0.5674	0.14	-27.97	-0.04238	14.01	2010-01-14
13.63	0.5454	0.01	-21.92	-0.06525	13.98	2010-01-15
13.62	0.5222	-0.01	-30.68	-0.08322	13.96	2010-01-18
13.62	0.5084	0.0	-8.919	-0.09635	13.94	2010-01-19
13.16	0.5114	-0.46	-86.21	-0.1422	13.89	2010-01-20
12.98	0.5077	-0.18	-153.0	-0.1909	13.83	2010-01-21
12.76	0.5029	-0.22	-201.4	-0.2444	13.76	2010-01-22
12.79	0.4855	0.03	-168.0	-0.2812	13.7	2010-01-25
12.35	0.4987	-0.44	-181.4	-0.3419	13.61	2010-01-26
12.13	0.4888	-0.22	-190.6	-0.4031	13.51	2010-01-27
12.08	0.471	-0.05	-167.2	-0.4504	13.42	2010-01-28
12.01	0.4617	-0.07	-137.6	-0.488	13.33	2010-01-29
11.52	0.4737	-0.49	-147.0	-0.5509	13.21	2010-02-01
11.68	0.472	0.16	-120.4	-0.5812	13.11	2010-02-02
12.06	0.4754	0.38	-95.8	-0.568	13.05	2010-02-03
11.86	0.4651	-0.2	-90.93	-0.5671	12.97	2010-02-04
11.5	0.4675	-0.36	-110.5	-0.5887	12.88	2010-02-05
11.46	0.4456	-0.04	-101.6	-0.6021	12.78	2010-02-08
11.64	0.4302	0.18	-87.1	-0.5913	12.71	2010-02-09
11.73	0.4145	0.09	-66.43	-0.569	12.65	2010-02-10
11.86	0.4048	0.13	-51.31	-0.5346	12.6	2010-02-11
12.04	0.3909	0.18	-27.96	-0.4873	12.56	2010-02-12
11.97	0.378	-0.07	-20.7	-0.4502	12.52	2010-02-22
11.82	0.3774	-0.15	-42.61	-0.428	12.48	2010-02-23
11.96	0.379	0.14	-37.17	-0.3945	12.44	2010-02-24
12.15	0.3663	0.19	30.11	-0.3487	12.42	2010-02-25
12.0	0.3522	-0.15	26.64	-0.3207	12.4	2010-02-26
12.26	0.3535	0.26	120.8	-0.2745	12.39	2010-03-01
12.06	0.3483	-0.2	86.3	-0.251	12.37	2010-03-02
12.11	0.3377	0.05	67.65	-0.2258	12.35	2010-03-03
11.72	0.3478	-0.39	-9.552	-0.2346	12.31	2010-03-04
11.78	0.3351	0.06	-25.1	-0.234	12.28	2010-03-05
11.88	0.3241	0.1	6.734	-0.2229	12.25	2010-03-08
11.9	0.3252	0.02	-7.183	-0.2101	12.23	2010-03-09
11.97	0.3198	0.07	34.53	-0.1921	12.21	2010-03-10
11.84	0.3148	-0.13	-6.997	-0.1861	12.19	2010-03-11
11.64	0.3138	-0.2	-84.25	-0.1953	12.15	2010-03-12
11.47	0.3135	-0.17	-164.5	-0.2138	12.11	2010-03-15
11.53	0.3018	0.06	-180.5	-0.2211	12.07	2010-03-16
11.78	0.3003	0.25	-74.39	-0.2044	12.05	2010-03-17
11.74	0.2952	-0.04	-49.58	-0.1921	12.03	2010-03-18
12.92	0.3592	1.18	226.9	-0.08617	12.09	2010-03-19
12.57	0.3678	-0.35	204.5	-0.03012	12.12	2010-03-22
12.25	0.3744	-0.32	108.4	-0.01139	12.13	2010-03-23
12.2	0.3641	-0.05	75.81	-0.0005708	12.13	2010-03-24
12.04	0.3523	-0.16	27.15	-0.004852	12.13	2010-03-25
12.17	0.3407	0.13	40.93	0.002219	12.13	2010-03-26
12.4	0.3464	0.23	86.21	0.02608	12.15	2010-03-29
12.33	0.3345	-0.07	85.47	0.0389	12.16	2010-03-30
12.15	0.3321	-0.18	48.22	0.03413	12.16	2010-03-31
12.28	0.3269	0.13	57.61	0.04038	12.17	2010-04-01
12.45	0.3257	0.17	90.73	0.05838	12.18	2010-04-02
12.39	0.3253	-0.06	78.27	0.06703	12.2	2010-04-06
12.62	0.3313	0.23	103.7	0.09139	12.23	2010-04-07
12.35	0.3291	-0.27	59.58	0.0879	12.23	2010-04-08
12.46	0.322	0.11	64.59	0.09293	12.25	2010-04-09
12.42	0.3212	-0.04	59.33	0.09263	12.26	2010-04-12
12.55	0.3247	0.13	57.36	0.1017	12.28	2010-04-13
12.72	0.3286	0.17	124.0	0.1212	12.31	2010-04-14
12.7	0.3209	-0.02	135.6	0.1335	12.33	2010-04-15
12.35	0.3279	-0.35	18.87	0.1137	12.33	2010-04-16
11.62	0.3581	-0.73	-242.9	0.03869	12.29	2010-04-19
11.66	0.3596	0.04	-250.8	-0.01735	12.25	2010-04-20
11.76	0.3518	0.1	-175.6	-0.05308	12.21	2010-04-21
11.56	0.3524	-0.2	-164.8	-0.09643	12.17	2010-04-22
11.57	0.3465	0.01	-148.1	-0.1285	12.13	2010-04-23
11.52	0.336	-0.05	-126.8	-0.1561	12.09	2010-04-26
11.02	0.3678	-0.5	-166.2	-0.2159	12.02	2010-04-27
10.92	0.3622	-0.1	-169.6	-0.2682	11.95	2010-04-28
10.84	0.3599	-0.08	-136.4	-0.3126	11.88	2010-04-29
10.89	0.3542	0.05	-131.6	-0.3398	11.82	2010-04-30
10.73	0.346	-0.16	-126.3	-0.37	11.75	2010-05-04
10.51	0.3849	-0.22	-153.2	-0.4069	11.67	2010-05-05
9.96	0.3981	-0.55	-153.6	-0.4752	11.56	2010-05-06
9.64	0.4047	-0.32	-169.0	-0.5487	11.43	2010-05-07
9.9	0.3951	0.26	-132.7	-0.5793	11.33	2010-05-10
9.85	0.394	-0.05	-109.5	-0.6007	11.24	2010-05-11
9.87	0.3866	0.02	-108.4	-0.6091	11.15	2010-05-12
10.12	0.3775	0.25	-81.63	-0.5887	11.08	2010-05-13
10.03	0.3656	-0.09	-78.16	-0.5732	11.02	2010-05-14
9.47	0.3802	-0.56	-103.9	-0.5992	10.92	2010-05-17
9.65	0.3837	0.18	-100.4	-0.5984	10.83	2010-05-18
9.59	0.382	-0.06	-86.18	-0.5957	10.75	2010-05-19
9.5	0.374	-0.09	-84.21	-0.594	10.67	2010-05-20
9.51	0.3823	0.01	-99.94	-0.5851	10.6	2010-05-21
9.86	0.3879	0.35	-47.17	-0.5436	10.55	2010-05-24
9.67	0.3809	-0.19	-49.87	-0.52	10.49	2010-05-25
9.68	0.3651	0.01	-50.83	-0.4947	10.44	2010-05-26
9.98	0.3847	0.3	-14.32	-0.4454	10.41	2010-05-27
10.08	0.3844	0.1	55.04	-0.3937	10.39	2010-05-28
9.73	0.3826	-0.35	-10.18	-0.3767	10.35	2010-05-31
9.7	0.3753	-0.03	-42.56	-0.3614	10.31	2010-06-01
9.66	0.3699	-0.04	-55.3	-0.3485	10.26	2010-06-02
9.64	0.3649	-0.02	-16.09	-0.336	10.22	2010-06-03
9.67	0.3524	0.03	-57.34	-0.32	10.19	2010-06-04
9.54	0.343	-0.13	-91.18	-0.3142	10.15	2010-06-07
9.52	0.3292	-0.02	-84.19	-0.3077	10.11	2010-06-08
9.74	0.3285	0.22	-20.64	-0.2815	10.08	2010-06-09
9.63	0.3165	-0.11	-8.823	-0.2665	10.05	2010-06-10
9.77	0.3146	0.14	60.34	-0.2406	10.03	2010-06-11
9.77	0.2921	0.0	45.85	-0.2176	10.02	2010-06-15
9.78	0.2841	0.01	67.25	-0.1963	10.0	2010-06-17
9.45	0.2903	-0.33	-94.05	-0.2036	9.97	2010-06-18
9.69	0.2895	0.24	-56.75	-0.1879	9.95	2010-06-21
9.69	0.2688	0.0	-19.1	-0.1735	9.93	2010-06-22
9.53	0.2661	-0.16	-112.3	-0.173	9.91	2010-06-23
9.47	0.2556	-0.06	-115.1	-0.1754	9.88	2010-06-24
9.43	0.2481	-0.04	-132.9	-0.1785	9.85	2010-06-25
9.41	0.2389	-0.02	-118.9	-0.1804	9.82	2010-06-28
8.94	0.264	-0.47	-259.4	-0.2174	9.76	2010-06-29
8.68	0.2744	-0.26	-329.9	-0.2647	9.69	2010-06-30
8.43	0.2791	-0.25	-296.9	-0.3186	9.61	2010-07-01
8.29	0.2892	-0.14	-257.2	-0.3684	9.53	2010-07-02
8.13	0.2914	-0.16	-208.9	-0.416	9.44	2010-07-05
8.27	0.2927	0.14	-154.4	-0.4373	9.36	2010-07-06
8.36	0.2854	0.09	-116.3	-0.4419	9.3	2010-07-07
8.41	0.2843	0.05	-86.25	-0.4365	9.24	2010-07-08
8.61	0.2997	0.2	-68.26	-0.4113	9.2	2010-07-09
8.65	0.2933	0.04	-45.62	-0.3837	9.16	2010-07-12
8.46	0.2881	-0.19	-58.61	-0.3728	9.12	2010-07-13
8.61	0.2889	0.15	-37.27	-0.3481	9.09	2010-07-14
8.45	0.2883	-0.16	-44.12	-0.3375	9.04	2010-07-15
8.5	0.282	0.05	-52.02	-0.3214	9.01	2010-07-16
8.67	0.2868	0.17	-28.46	-0.2916	8.99	2010-07-19
8.93	0.2985	0.26	27.57	-0.2441	8.98	2010-07-20
8.9	0.2879	-0.03	45.01	-0.2066	8.98	2010-07-21
9.03	0.2866	0.13	75.26	-0.1644	8.98	2010-07-22
9.05	0.2826	0.02	97.39	-0.1279	8.99	2010-07-23
9.62	0.3181	0.57	219.6	-0.05239	9.03	2010-07-26
9.66	0.3175	0.04	213.9	0.01056	9.07	2010-07-27
9.66	0.2948	0.0	173.3	0.05977	9.11	2010-07-28
9.66	0.2738	0.0	143.5	0.09764	9.14	2010-07-29
10.31	0.3235	0.65	208.6	0.1781	9.22	2010-07-30
10.31	0.3197	0.0	162.1	0.239	9.29	2010-08-02
10.14	0.3297	-0.17	137.7	0.2705	9.34	2010-08-03
10.07	0.3312	-0.07	91.16	0.2865	9.39	2010-08-04
9.98	0.3311	-0.09	84.42	0.2886	9.43	2010-08-05
10.13	0.3253	0.15	77.55	0.2989	9.47	2010-08-06
10.25	0.317	0.12	83.56	0.3132	9.52	2010-08-09
9.84	0.3237	-0.41	55.49	0.288	9.54	2010-08-10
9.85	0.3141	0.01	35.33	0.2659	9.56	2010-08-11
9.6	0.3103	-0.25	7.66	0.2256	9.57	2010-08-12
9.74	0.2988	0.14	5.435	0.2025	9.58	2010-08-13
10.04	0.316	0.3	37.17	0.2061	9.61	2010-08-16
10.04	0.3056	0.0	52.53	0.2066	9.63	2010-08-17
10.24	0.3124	0.2	81.9	0.2206	9.67	2010-08-18
10.15	0.3136	-0.09	68.53	0.2218	9.7	2010-08-19
9.83	0.3169	-0.32	-17.48	0.1948	9.71	2010-08-20
9.83	0.2943	0.0	-49.22	0.1713	9.72	2010-08-23
9.72	0.299	-0.11	-100.4	0.1422	9.72	2010-08-24
9.46	0.2962	-0.26	-144.6	0.0971	9.7	2010-08-25
9.51	0.2872	0.05	-143.4	0.06461	9.69	2010-08-26
9.51	0.276	0.0	-131.3	0.03841	9.68	2010-08-27
9.65	0.2748	0.14	-74.67	0.02862	9.68	2010-08-30
9.56	0.2638	-0.09	-90.05	0.01345	9.67	2010-08-31
9.39	0.2713	-0.17	-116.4	-0.01216	9.65	2010-09-01
9.55	0.2705	0.16	-76.46	-0.01932	9.65	2010-09-02
9.53	0.2676	-0.02	-88.21	-0.0263	9.64	2010-09-03
9.72	0.2707	0.19	-32.49	-0.01632	9.64	2010-09-06
9.91	0.2835	0.19	44.5	0.006848	9.66	2010-09-07
10.13	0.3032	0.22	88.87	0.04247	9.69	2010-09-08
9.74	0.3137	-0.39	29.03	0.03878	9.69	2010-09-09
9.63	0.3163	-0.11	-35.84	0.02668	9.69	2010-09-10
9.69	0.3123	0.06	-39.43	0.02167	9.69	2010-09-13
9.58	0.3057	-0.11	-36.23	0.008734	9.68	2010-09-14
9.44	0.2974	-0.14	-80.33	-0.01267	9.67	2010-09-15
9.25	0.2998	-0.19	-167.4	-0.04446	9.64	2010-09-16
9.27	0.2969	0.02	-153.6	-0.06726	9.62	2010-09-17
9.15	0.2878	-0.12	-179.7	-0.09392	9.59	2010-09-20
9.1	0.2794	-0.05	-171.2	-0.1177	9.55	2010-09-21
9.36	0.283	0.26	-84.03	-0.1143	9.54	2010-09-27
10.3	0.33	0.94	230.4	-0.03534	9.59	2010-09-28
11.07	0.38	0.77	317.2	0.08836	9.69	2010-09-29
10.54	0.4271	-0.53	153.4	0.142	9.74	2010-09-30
10.71	0.4638	0.17	165.5	0.196	9.8	2010-10-08
10.9	0.4763	0.19	171.4	0.2512	9.87	2010-10-11
11.48	0.5245	0.58	172.2	0.3378	9.98	2010-10-12
11.07	0.5377	-0.41	138.6	0.3691	10.05	2010-10-13
11.32	0.5557	0.25	123.2	0.4094	10.13	2010-10-14
11.73	0.6182	0.41	135.0	0.469	10.23	2010-10-15
11.87	0.6547	0.14	141.5	0.5216	10.34	2010-10-18
12.09	0.663	0.22	127.4	0.5743	10.45	2010-10-19
11.64	0.6706	-0.45	87.44	0.5732	10.53	2010-10-20
11.76	0.6677	0.12	87.25	0.5754	10.61	2010-10-21
11.66	0.6622	-0.1	75.32	0.5625	10.68	2010-10-22
12.17	0.6627	0.51	89.81	0.5868	10.77	2010-10-25
12.08	0.6482	-0.09	87.49	0.5919	10.86	2010-10-26
11.8	0.6498	-0.28	79.47	0.5668	10.92	2010-10-27
12.44	0.6848	0.64	104.4	0.5917	11.02	2010-10-28
12.18	0.7173	-0.26	91.44	0.5838	11.09	2010-10-29
12.57	0.7075	0.39	121.8	0.602	11.19	2010-11-01
12.58	0.7213	0.01	150.7	0.6103	11.28	2010-11-02
