Close	ATR	Momentum	CCI	MACD	EMA	Times
2779.51	68.16	47.08	199.3	66.64	2562.02	2010-01-06
2760.58	67.11	-18.93	159.8	70.84	2574.83	2010-01-07
2812.02	67.97	51.44	156.1	77.42	2590.14	2010-01-08
2761.55	71.95	-50.47	144.8	77.67	2601.2	2010-01-11
2689.72	74.79	-71.83	69.79	71.25	2606.91	2010-01-12
2670.31	74.4	-19.41	30.0	63.86	2611.0	2010-01-13
2668.36	74.43	-1.95	28.12	57.19	2614.7	2010-01-14
2642.64	74.83	-25.72	-0.1351	49.26	2616.5	2010-01-15
2726.6	76.59	83.96	47.39	49.18	2623.6	2010-01-18
2714.47	76.29	-12.13	36.99	47.59	2629.47	2010-01-19
2573.24	81.97	-141.2	-74.7	34.54	2625.84	2010-01-20
2415.02	90.53	-158.2	-206.5	11.3	2612.24	2010-01-21
2432.01	88.85	16.99	-222.3	-5.685	2600.61	2010-01-22
2386.87	89.68	-45.14	-195.2	-22.53	2586.82	2010-01-25
2384.93	87.22	-1.94	-190.6	-35.62	2573.8	2010-01-26
2309.22	87.3	-75.71	-177.3	-51.51	2556.73	2010-01-27
2232.54	91.12	-76.68	-161.0	-69.49	2535.81	2010-01-28
2253.89	89.64	21.35	-139.6	-81.09	2517.62	2010-01-29
2309.22	90.17	55.33	-110.2	-84.83	2504.18	2010-02-01
2383.96	89.8	74.74	-70.21	-80.84	2496.42	2010-02-02
2328.15	91.29	-55.81	-65.36	-81.24	2485.56	2010-02-03
2213.61	94.54	-114.5	-98.01	-89.76	2468.02	2010-02-04
2207.3	93.75	-6.31	-109.1	-95.92	2451.2	2010-02-05
2257.29	93.81	49.99	-85.61	-95.67	2438.69	2010-02-08
2291.75	92.14	34.46	-59.11	-91.63	2429.21	2010-02-09
2259.71	93.43	-32.04	-59.6	-89.98	2418.27	2010-02-10
2278.64	94.55	18.93	-49.08	-86.14	2409.26	2010-02-11
2242.24	96.4	-36.4	-64.55	-85.07	2398.49	2010-02-12
2280.1	94.64	37.86	-45.37	-80.23	2390.85	2010-02-15
2367.46	94.85	87.36	19.05	-68.56	2389.34	2010-02-16
2371.83	91.79	4.37	75.1	-58.29	2388.21	2010-02-17
2428.61	91.68	56.78	99.75	-45.04	2390.82	2010-02-18
2385.41	91.75	-43.2	75.67	-37.6	2390.47	2010-02-19
2375.22	89.67	-10.19	100.9	-32.15	2389.49	2010-02-22
2310.19	92.35	-65.03	47.6	-32.71	2384.37	2010-02-23
2315.04	89.39	4.85	-3.421	-32.38	2379.9	2010-02-24
2238.84	90.63	-76.2	-73.28	-37.84	2370.8	2010-02-25
2319.9	90.09	81.06	-16.21	-35.21	2367.51	2010-02-26
2378.14	88.47	58.24	72.25	-28.11	2368.2	2010-03-01
2445.11	87.84	66.97	127.7	-16.88	2373.16	2010-03-02
