Close	ATR	Momentum	CCI	MACD	EMA	Times
7.44	0.173	-0.05	-161.7	-0.04368	7.71	2010-08-16
7.57	0.1756	0.13	-106.1	-0.0477	7.7	2010-08-17
7.61	0.1695	0.04	-73.79	-0.04712	7.69	2010-08-18
7.51	0.1681	-0.1	-98.36	-0.05411	7.68	2010-08-19
7.5	0.1668	-0.01	-84.51	-0.05976	7.67	2010-08-20
7.39	0.1692	-0.11	-111.1	-0.07228	7.65	2010-08-23
7.21	0.1728	-0.18	-175.3	-0.09563	7.62	2010-08-24
7.3	0.1747	0.09	-146.3	-0.1057	7.6	2010-08-25
7.22	0.1744	-0.08	-123.8	-0.1187	7.58	2010-08-26
7.26	0.1769	0.04	-132.8	-0.1243	7.56	2010-08-27
7.31	0.1725	0.02	-88.25	-0.1224	7.52	2010-08-31
7.52	0.178	0.21	-5.468	-0.1023	7.52	2010-09-01
7.58	0.1732	0.06	24.25	-0.0806	7.53	2010-09-02
7.78	0.1751	0.2	116.3	-0.04671	7.54	2010-09-03
7.75	0.1697	-0.03	128.4	-0.02201	7.56	2010-09-07
7.9	0.1719	0.15	183.7	0.009548	7.58	2010-09-08
7.91	0.1675	0.01	182.7	0.03497	7.6	2010-09-09
8.03	0.1604	0.11	157.1	0.07934	7.65	2010-09-13
8.06	0.1568	0.03	136.9	0.09968	7.67	2010-09-14
8.12	0.1513	0.06	129.6	0.1193	7.7	2010-09-15
8.31	0.1562	0.19	139.6	0.1484	7.74	2010-09-16
8.28	0.1536	-0.03	128.7	0.1672	7.78	2010-09-17
8.51	0.1605	0.23	140.2	0.1983	7.82	2010-09-20
8.53	0.159	0.02	141.8	0.222	7.87	2010-09-21
8.75	0.1574	-0.04	123.8	0.2985	8.07	2010-09-27
8.62	0.1826	-0.13	74.27	0.2926	8.1	2010-09-28
8.64	0.1774	0.02	83.6	0.2863	8.14	2010-09-29
8.53	0.184	-0.11	61.79	0.2693	8.16	2010-09-30
8.84	0.1839	0.15	102.5	0.224	8.32	2010-10-08
8.88	0.1772	0.04	128.9	0.2299	8.36	2010-10-11
8.97	0.1795	0.09	136.2	0.2391	8.4	2010-10-12
9.02	0.1745	0.05	171.1	0.2475	8.44	2010-10-13
9.09	0.1671	0.07	167.0	0.2569	8.48	2010-10-14
9.46	0.1823	0.37	234.0	0.2908	8.54	2010-10-15
9.56	0.1793	0.1	235.3	0.322	8.61	2010-10-18
9.3	0.205	-0.26	123.5	0.3221	8.65	2010-10-19
9.33	0.2061	0.03	124.3	0.3209	8.7	2010-10-20
9.3	0.2085	-0.03	107.3	0.3139	8.74	2010-10-21
9.24	0.2015	-0.06	79.81	0.3	8.77	2010-10-22
9.28	0.1957	0.04	80.43	0.2889	8.8	2010-10-25
9.26	0.1903	-0.02	62.44	0.2754	8.83	2010-10-26
9.25	0.186	-0.01	55.32	0.2608	8.86	2010-10-27
9.17	0.1884	-0.08	30.3	0.24	8.88	2010-10-28
9.05	0.1856	-0.12	8.87	0.2115	8.89	2010-10-29
9.14	0.1817	0.09	11.61	0.1938	8.91	2010-11-01
9.3	0.1815	0.16	54.47	0.1906	8.93	2010-11-02
9.4	0.1779	0.1	75.6	0.1938	8.96	2010-11-03
9.57	0.1809	0.17	147.4	0.2077	9.0	2010-11-04
9.58	0.1677	0.05	140.8	0.2188	9.07	2010-11-08
9.5	0.1707	-0.08	113.7	0.2144	9.1	2010-11-09
9.56	0.17	0.06	94.58	0.2134	9.13	2010-11-10
9.52	0.1671	-0.04	79.64	0.2069	9.15	2010-11-11
9.26	0.183	-0.26	-27.17	0.1787	9.16	2010-11-12
9.23	0.1792	-0.03	-46.81	0.1522	9.16	2010-11-15
9.06	0.1836	-0.17	-121.1	0.1162	9.16	2010-11-16
9.27	0.1909	0.24	-31.57	0.07733	9.16	2010-11-18
9.22	0.1844	-0.05	-42.96	0.06708	9.16	2010-11-19
9.42	0.1877	0.2	13.95	0.07424	9.18	2010-11-22
9.28	0.1892	-0.14	-13.3	0.06784	9.18	2010-11-23
9.46	0.19	0.18	51.35	0.07641	9.2	2010-11-24
9.47	0.1864	0.01	62.68	0.08305	9.22	2010-11-26
9.52	0.186	0.05	54.55	0.0913	9.24	2010-11-29
9.35	0.1856	-0.17	4.226	0.08316	9.25	2010-11-30
9.51	0.1866	0.16	64.79	0.0886	9.26	2010-12-01
9.56	0.1825	0.05	70.86	0.09583	9.28	2010-12-02
9.54	0.1745	-0.02	74.62	0.09882	9.3	2010-12-03
9.62	0.1728	0.08	110.9	0.1064	9.32	2010-12-06
9.56	0.1733	-0.06	104.8	0.1064	9.34	2010-12-07
9.65	0.1695	0.09	96.12	0.1123	9.36	2010-12-08
9.61	0.1645	-0.04	99.4	0.1125	9.37	2010-12-09
9.63	0.1578	0.02	89.52	0.1129	9.39	2010-12-10
9.67	0.1565	0.04	110.8	0.1152	9.41	2010-12-13
9.63	0.1525	-0.04	79.06	0.1124	9.42	2010-12-14
9.63	0.1501	0.0	77.99	0.109	9.43	2010-12-15
9.65	0.1451	0.02	80.72	0.1067	9.45	2010-12-16
9.68	0.1399	0.04	69.94	0.1019	9.47	2010-12-20
9.74	0.1349	0.06	111.2	0.1047	9.49	2010-12-21
9.77	0.1303	0.03	138.4	0.1081	9.51	2010-12-22
9.73	0.1252	-0.04	116.3	0.1064	9.52	2010-12-23
9.78	0.1145	0.0	138.1	0.1055	9.57	2010-12-29
9.73	0.1113	-0.05	76.98	0.09946	9.58	2010-12-30
9.69	0.1084	-0.04	15.38	0.09045	9.59	2010-12-31
9.96	0.1186	0.06	219.3	0.1095	9.63	2011-01-04
10.04	0.1209	0.08	225.2	0.1229	9.66	2011-01-05
10.03	0.1172	-0.01	208.4	0.1311	9.68	2011-01-06
10.1	0.1189	0.07	178.6	0.1416	9.71	2011-01-07
10.29	0.1261	0.19	222.5	0.1634	9.75	2011-01-10
10.27	0.1292	-0.02	186.3	0.177	9.78	2011-01-11
10.35	0.1257	0.08	168.1	0.1921	9.82	2011-01-12
10.39	0.1232	0.04	155.4	0.2049	9.85	2011-01-13
10.47	0.1229	0.08	146.0	0.2189	9.89	2011-01-14
10.24	0.162	-0.23	50.79	0.2091	9.92	2011-01-18
10.18	0.1762	-0.06	80.22	0.1942	9.93	2011-01-19
10.0	0.1821	-0.18	6.1	0.166	9.94	2011-01-20
9.82	0.1863	-0.18	-39.2	0.1277	9.93	2011-01-21
10.14	0.1958	0.32	0.1791	0.1217	9.94	2011-01-24
10.26	0.1961	0.12	50.71	0.1252	9.96	2011-01-25
10.31	0.182	-0.02	78.98	0.1344	10.01	2011-01-27
10.1	0.1926	-0.21	10.82	0.1179	10.01	2011-01-28
10.2	0.191	0.1	1.439	0.1116	10.03	2011-01-31
10.37	0.1909	0.17	79.87	0.119	10.05	2011-02-01
10.76	0.1683	0.08	193.1	0.1785	10.21	2011-02-09
10.66	0.182	-0.1	132.9	0.1835	10.24	2011-02-10
10.72	0.1775	0.06	135.5	0.1902	10.27	2011-02-11
10.79	0.1706	0.07	139.8	0.1988	10.3	2011-02-14
10.82	0.1634	0.03	126.5	0.2057	10.34	2011-02-15
10.91	0.1624	0.09	133.2	0.2159	10.37	2011-02-16
10.77	0.1651	-0.14	86.18	0.2103	10.4	2011-02-17
10.54	0.1747	-0.23	37.54	0.1851	10.41	2011-02-18
10.18	0.1901	-0.36	-78.21	0.1346	10.39	2011-02-22
10.3	0.1894	0.12	-67.7	0.1031	10.39	2011-02-23
10.3	0.1902	0.0	-66.26	0.07718	10.38	2011-02-24
10.46	0.1887	0.16	-22.47	0.06878	10.39	2011-02-25
10.62	0.1902	0.16	29.93	0.07418	10.4	2011-02-28
10.5	0.1938	-0.12	1.067	0.06799	10.41	2011-03-01
10.81	0.1955	0.23	80.39	0.0869	10.44	2011-03-03
10.82	0.1872	0.01	85.27	0.1009	10.47	2011-03-04
10.68	0.196	-0.14	39.13	0.09961	10.48	2011-03-07
10.69	0.1927	0.01	22.78	0.09824	10.5	2011-03-08
10.59	0.1897	-0.1	-11.77	0.08807	10.5	2011-03-09
