Close	ATR	Momentum	CCI	MACD	EMA	Times
83.27	3.209	-0.45	133.0	2.352	75.93	2010-01-06
84.62	3.187	1.35	124.9	2.673	76.49	2010-01-07
88.91	3.295	4.29	155.7	3.237	77.29	2010-01-08
89.26	3.334	0.35	156.7	3.669	78.06	2010-01-11
86.77	3.377	-2.49	112.3	3.767	78.63	2010-01-12
87.27	3.506	0.5	86.76	3.842	79.18	2010-01-13
87.77	3.34	0.5	90.56	3.896	79.74	2010-01-14
89.77	3.334	2.0	100.2	4.053	80.38	2010-01-15
90.91	3.242	1.14	105.3	4.221	81.06	2010-01-18
86.83	3.312	-4.08	71.9	3.98	81.44	2010-01-19
88.42	3.396	1.59	77.87	3.872	81.89	2010-01-20
85.73	3.534	-2.69	46.15	3.528	82.13	2010-01-21
83.48	3.816	-2.25	17.28	3.04	82.22	2010-01-22
82.49	3.832	-0.99	-22.82	2.543	82.24	2010-01-25
83.68	3.829	1.19	-53.69	2.22	82.33	2010-01-26
82.14	3.691	-1.54	-71.2	1.819	82.32	2010-01-27
82.14	3.655	0.0	-71.37	1.484	82.31	2010-01-28
85.28	3.75	3.14	-25.12	1.455	82.5	2010-01-29
85.43	3.695	0.15	0.7234	1.428	82.69	2010-02-01
87.77	3.631	2.34	28.54	1.577	83.02	2010-02-02
88.92	3.593	1.15	80.88	1.767	83.4	2010-02-03
84.28	3.668	-4.64	-34.66	1.526	83.45	2010-02-04
83.08	3.598	-1.2	-99.59	1.224	83.43	2010-02-05
80.19	3.679	-2.89	-155.6	0.743	83.22	2010-02-08
79.79	3.579	-0.4	-158.9	0.3258	83.0	2010-02-09
81.04	3.477	1.25	-117.1	0.09484	82.87	2010-02-10
81.34	3.375	0.3	-83.64	-0.06323	82.77	2010-02-11
77.25	3.591	-4.09	-145.5	-0.5126	82.42	2010-02-12
76.85	3.541	-0.4	-154.4	-0.8908	82.06	2010-02-15
79.05	3.506	2.2	-112.4	-1.001	81.86	2010-02-16
82.74	3.522	3.69	-27.83	-0.7823	81.92	2010-02-17
83.28	3.466	0.54	11.54	-0.5586	82.01	2010-02-18
82.84	3.318	-0.44	-2.692	-0.4122	82.06	2010-02-19
84.78	3.32	1.94	51.19	-0.1379	82.24	2010-02-22
84.28	3.24	-0.5	40.98	0.03861	82.37	2010-02-23
84.38	3.123	0.1	45.55	0.1845	82.5	2010-02-24
82.79	3.156	-1.59	11.1	0.1698	82.52	2010-02-25
84.63	3.13	1.84	26.98	0.3031	82.65	2010-02-26
84.78	3.071	0.15	70.26	0.4161	82.79	2010-03-01
85.93	3.005	1.15	75.9	0.5916	82.99	2010-03-02
87.37	3.132	1.44	152.7	0.8373	83.28	2010-03-03
87.22	3.072	-0.15	127.7	1.008	83.53	2010-03-04
87.77	2.933	0.55	134.5	1.175	83.8	2010-03-05
87.47	2.884	-0.3	112.2	1.268	84.04	2010-03-08
89.17	3.091	1.7	102.6	1.462	84.37	2010-03-09
90.86	3.103	1.69	162.3	1.732	84.79	2010-03-10
91.06	2.983	0.2	150.6	1.94	85.19	2010-03-11
92.81	2.98	1.75	168.8	2.22	85.69	2010-03-12
92.41	2.998	-0.4	162.0	2.382	86.12	2010-03-15
95.45	3.254	3.04	192.2	2.725	86.72	2010-03-16
98.84	3.303	3.39	202.7	3.233	87.5	2010-03-17
95.45	3.481	-3.39	147.2	3.324	88.02	2010-03-18
96.9	3.403	1.45	119.2	3.472	88.59	2010-03-19
95.35	3.47	-1.55	86.48	3.426	89.03	2010-03-22
96.25	3.419	0.9	92.51	3.422	89.49	2010-03-23
94.21	3.605	-2.04	79.59	3.217	89.8	2010-03-24
96.8	3.74	2.59	72.49	3.227	90.25	2010-03-25
96.75	3.58	-0.05	81.93	3.193	90.67	2010-03-26
95.05	3.531	-1.7	57.22	2.995	90.95	2010-03-29
94.95	3.678	-0.1	59.79	2.798	91.21	2010-03-30
95.2	3.575	0.25	36.47	2.632	91.47	2010-03-31
98.15	3.576	2.95	83.85	2.706	91.9	2010-04-01
99.84	3.755	1.69	149.6	2.869	92.41	2010-04-06
98.84	3.665	-1.0	122.6	2.884	92.82	2010-04-07
96.65	3.689	-2.19	32.48	2.688	93.07	2010-04-08
96.5	3.596	-0.15	35.6	2.492	93.29	2010-04-09
97.15	3.56	0.65	38.12	2.362	93.54	2010-04-12
100.64	3.741	3.49	137.1	2.511	94.0	2010-04-13
101.74	3.702	1.1	199.5	2.688	94.5	2010-04-14
109.22	4.099	7.48	330.4	3.392	95.45	2010-04-15
106.42	4.056	-2.8	221.9	3.682	96.16	2010-04-16
104.83	3.958	-1.59	140.6	3.74	96.72	2010-04-19
109.22	4.167	4.39	171.7	4.093	97.52	2010-04-20
115.6	4.525	6.38	214.5	4.832	98.69	2010-04-21
116.7	4.459	1.1	196.9	5.444	99.85	2010-04-22
116.7	4.32	0.0	162.5	5.861	100.94	2010-04-23
124.48	4.831	7.78	193.6	6.741	102.46	2010-04-26
119.09	5.034	-5.39	147.3	6.925	103.53	2010-04-27
120.29	5.153	1.2	113.5	7.085	104.61	2010-04-28
121.49	5.077	1.2	107.5	7.226	105.7	2010-04-29
118.69	5.157	-2.8	95.39	7.03	106.54	2010-04-30
116.7	5.245	-1.99	64.85	6.638	107.19	2010-05-04
113.71	5.227	-2.99	30.22	6.017	107.61	2010-05-05
112.21	5.231	-1.5	15.65	5.342	107.91	2010-05-06
109.72	5.392	-2.49	-20.71	4.553	108.03	2010-05-07
115.8	5.548	6.08	31.67	4.369	108.53	2010-05-10
116.8	5.387	1.0	33.16	4.254	109.06	2010-05-11
116.5	5.338	-0.3	34.81	4.092	109.54	2010-05-12
120.19	5.483	3.69	44.65	4.213	110.23	2010-05-13
114.2	5.698	-5.99	4.069	3.781	110.49	2010-05-14
114.7	5.64	0.5	-20.91	3.44	110.76	2010-05-17
115.1	5.486	0.4	-30.27	3.166	111.04	2010-05-18
110.61	5.564	-4.49	-129.6	2.556	111.01	2010-05-19
104.73	5.794	-5.88	-210.2	1.581	110.6	2010-05-20
104.73	5.736	0.0	-203.8	0.7982	110.23	2010-05-21
104.83	5.747	0.1	-144.2	0.1841	109.88	2010-05-24
99.74	5.771	-5.09	-199.7	-0.7051	109.22	2010-05-25
100.54	5.576	0.8	-152.9	-1.33	108.66	2010-05-26
102.73	5.363	2.19	-118.5	-1.63	108.28	2010-05-27
105.63	5.265	2.9	-73.48	-1.615	108.11	2010-05-28
107.22	5.16	1.59	-55.07	-1.458	108.05	2010-06-01
109.32	5.137	2.1	-25.63	-1.15	108.13	2010-06-02
112.91	5.226	3.59	47.56	-0.6102	108.44	2010-06-03
109.72	5.272	-3.19	13.63	-0.4345	108.52	2010-06-04
108.82	5.288	-0.9	-5.711	-0.3637	108.54	2010-06-07
105.73	5.288	-3.09	-35.64	-0.5506	108.36	2010-06-08
105.63	5.159	-0.1	-45.78	-0.6987	108.19	2010-06-09
112.41	5.31	6.78	25.44	-0.2659	108.46	2010-06-10
108.62	5.338	-3.79	36.36	-0.2262	108.47	2010-06-11
112.81	5.313	4.19	67.12	0.1418	108.75	2010-06-14
114.4	5.225	1.59	115.1	0.5553	109.11	2010-06-15
113.41	5.151	-0.99	112.1	0.794	109.39	2010-06-16
109.92	5.282	-3.49	71.98	0.6936	109.42	2010-06-17
109.72	5.175	-0.2	53.76	0.591	109.44	2010-06-18
109.72	5.019	0.0	39.04	0.5039	109.46	2010-06-21
107.62	4.924	-2.1	-3.662	0.2624	109.34	2010-06-22
106.03	4.743	-1.59	-47.67	-0.05663	109.13	2010-06-23
102.14	4.832	-3.89	-116.7	-0.6163	108.68	2010-06-24
99.24	4.811	-2.9	-197.2	-1.279	108.07	2010-06-25
98.25	4.756	-0.99	-209.6	-1.863	107.44	2010-06-28
90.62	5.043	-7.63	-256.6	-2.907	106.35	2010-06-29
89.62	4.939	-1.0	-214.2	-3.773	105.27	2010-06-30
93.26	4.961	3.64	-157.8	-4.117	104.5	2010-07-01
93.31	4.724	0.05	-119.3	-4.336	103.77	2010-07-02
94.56	4.6	1.25	-97.16	-4.358	103.18	2010-07-05
96.25	4.399	1.69	-72.53	-4.192	102.73	2010-07-06
94.06	4.302	-2.19	-77.36	-4.188	102.17	2010-07-07
97.0	4.398	2.94	-59.9	-3.902	101.84	2010-07-08
95.75	4.255	-1.25	-47.3	-3.734	101.45	2010-07-09
95.25	4.04	-0.5	-53.79	-3.6	101.05	2010-07-12
97.4	3.955	2.15	-36.11	-3.282	100.81	2010-07-13
98.25	3.832	0.85	-16.96	-2.928	100.65	2010-07-14
94.85	3.851	-3.4	-37.4	-2.888	100.27	2010-07-15
90.96	4.053	-3.89	-72.24	-3.134	99.67	2010-07-16
87.97	4.073	-2.99	-140.5	-3.53	98.92	2010-07-19
86.78	4.124	-1.19	-174.3	-3.895	98.13	2010-07-20
92.46	4.296	5.68	-80.43	-3.683	97.77	2010-07-21
96.2	4.431	3.74	13.73	-3.177	97.67	2010-07-22
99.84	4.464	3.64	117.5	-2.454	97.81	2010-07-23
100.54	4.377	0.7	176.6	-1.803	97.98	2010-07-26
99.64	4.278	-0.9	143.2	-1.345	98.09	2010-07-27
