Close	ATR	Momentum	CCI	MACD	EMA	Times
6.3	0.1909	0.07	52.14	0.09989	6.14	2010-08-16
6.44	0.1916	0.14	88.08	0.1073	6.16	2010-08-17
6.48	0.1872	0.04	92.63	0.115	6.18	2010-08-18
6.38	0.1852	-0.1	66.59	0.1118	6.2	2010-08-19
6.39	0.1791	0.01	49.91	0.1088	6.21	2010-08-20
6.33	0.1764	-0.06	48.36	0.1004	6.22	2010-08-23
6.23	0.1759	-0.1	-11.79	0.0847	6.22	2010-08-24
6.34	0.1762	0.11	13.89	0.08022	6.22	2010-08-25
6.24	0.1736	-0.1	-3.717	0.06782	6.23	2010-08-26
6.33	0.1769	0.09	-42.82	0.06451	6.23	2010-08-27
6.24	0.1767	0.05	-111.4	0.04208	6.23	2010-08-31
6.62	0.1919	0.38	153.5	0.06569	6.26	2010-09-01
6.76	0.1896	0.14	245.5	0.09461	6.29	2010-09-02
6.94	0.1911	0.18	280.9	0.1306	6.33	2010-09-03
6.86	0.1846	-0.08	206.2	0.1508	6.36	2010-09-07
6.96	0.1835	0.1	179.7	0.173	6.4	2010-09-08
7.02	0.1783	0.06	169.5	0.1932	6.44	2010-09-09
7.25	0.1745	0.13	159.6	0.2396	6.54	2010-09-13
7.29	0.1727	0.04	139.5	0.2595	6.58	2010-09-14
7.27	0.1683	-0.02	115.0	0.2705	6.63	2010-09-15
7.41	0.167	0.14	119.6	0.2873	6.68	2010-09-16
7.42	0.1643	0.01	111.5	0.2979	6.73	2010-09-17
7.57	0.169	0.15	117.3	0.3148	6.78	2010-09-20
7.54	0.1705	-0.03	114.4	0.3221	6.83	2010-09-21
7.97	0.1917	-0.07	136.7	0.3804	7.06	2010-09-27
7.99	0.1994	0.02	121.5	0.3897	7.12	2010-09-28
7.95	0.1995	-0.04	121.0	0.3893	7.18	2010-09-29
7.85	0.2045	-0.1	96.42	0.3766	7.22	2010-09-30
7.78	0.2135	-0.03	23.14	0.2725	7.41	2010-10-08
7.65	0.2133	-0.13	3.365	0.2433	7.43	2010-10-11
7.82	0.218	0.17	12.8	0.2312	7.45	2010-10-12
7.76	0.2132	-0.06	10.87	0.2143	7.47	2010-10-13
7.78	0.2079	0.02	10.13	0.2002	7.49	2010-10-14
8.23	0.2259	0.45	160.3	0.2228	7.54	2010-10-15
8.18	0.2219	-0.05	170.3	0.234	7.58	2010-10-18
7.93	0.2297	-0.25	63.1	0.2201	7.61	2010-10-19
7.93	0.2247	0.0	27.37	0.2067	7.63	2010-10-20
8.25	0.2358	0.32	168.3	0.2194	7.67	2010-10-21
8.46	0.2475	0.21	205.9	0.2436	7.72	2010-10-22
8.45	0.2427	-0.01	210.2	0.259	7.76	2010-10-25
8.5	0.2375	0.05	167.0	0.2721	7.81	2010-10-26
8.38	0.2327	-0.12	119.7	0.2697	7.85	2010-10-27
8.34	0.2282	-0.04	88.2	0.2615	7.88	2010-10-28
8.26	0.2255	-0.08	71.99	0.2458	7.91	2010-10-29
8.13	0.2222	-0.13	23.65	0.2203	7.92	2010-11-01
8.23	0.2185	0.1	43.75	0.2057	7.94	2010-11-02
8.42	0.2257	0.19	62.09	0.2072	7.97	2010-11-03
8.45	0.2246	0.03	103.9	0.2083	8.0	2010-11-04
8.6	0.2193	0.06	109.6	0.2209	8.07	2010-11-08
8.51	0.2187	-0.09	94.6	0.2165	8.1	2010-11-09
8.67	0.2173	0.16	110.3	0.2234	8.14	2010-11-10
8.52	0.2161	-0.15	79.55	0.2143	8.16	2010-11-11
8.28	0.2228	-0.24	6.601	0.1855	8.17	2010-11-12
7.95	0.2319	-0.33	-122.8	0.1346	8.16	2010-11-15
7.89	0.2303	-0.06	-171.0	0.08836	8.14	2010-11-16
8.21	0.2328	0.29	-71.17	0.04875	8.13	2010-11-18
8.24	0.224	0.03	-48.42	0.04685	8.14	2010-11-19
8.52	0.2287	0.28	42.24	0.06716	8.16	2010-11-22
8.41	0.2331	-0.11	15.45	0.07354	8.18	2010-11-23
8.86	0.2507	0.45	163.6	0.1136	8.22	2010-11-24
8.86	0.2407	0.0	163.7	0.1437	8.26	2010-11-26
8.97	0.2399	0.11	168.1	0.1744	8.31	2010-11-29
8.77	0.2392	-0.2	104.5	0.1805	8.34	2010-11-30
8.83	0.2364	0.06	110.5	0.188	8.37	2010-12-01
8.83	0.2317	0.0	83.9	0.1918	8.4	2010-12-02
8.78	0.2244	-0.05	68.31	0.1885	8.42	2010-12-03
8.9	0.2219	0.12	81.38	0.1934	8.45	2010-12-06
8.84	0.2232	-0.06	87.97	0.1903	8.48	2010-12-07
8.81	0.218	-0.03	61.56	0.1832	8.5	2010-12-08
8.74	0.2181	-0.07	47.86	0.1701	8.52	2010-12-09
8.78	0.2119	0.04	38.2	0.161	8.53	2010-12-10
8.71	0.2117	-0.07	38.27	0.1464	8.54	2010-12-13
8.7	0.2066	-0.01	21.81	0.1326	8.55	2010-12-14
8.78	0.2111	0.08	40.32	0.1266	8.57	2010-12-15
8.9	0.2075	0.12	55.07	0.1301	8.59	2010-12-16
9.16	0.2077	0.28	194.1	0.1502	8.64	2010-12-20
9.24	0.2036	0.08	250.3	0.171	8.68	2010-12-21
9.24	0.1933	0.0	227.4	0.1853	8.72	2010-12-22
9.13	0.191	-0.11	142.8	0.1857	8.75	2010-12-23
9.17	0.1818	0.12	91.65	0.1728	8.81	2010-12-29
9.14	0.1752	-0.03	92.4	0.1685	8.83	2010-12-30
9.0	0.1741	-0.14	30.57	0.1521	8.84	2010-12-31
9.25	0.1843	0.04	109.4	0.1573	8.89	2011-01-04
9.37	0.1833	0.12	111.1	0.1676	8.92	2011-01-05
9.29	0.1781	-0.08	100.2	0.1673	8.95	2011-01-06
9.27	0.1818	-0.02	89.6	0.1635	8.97	2011-01-07
9.23	0.1788	-0.04	51.01	0.1556	8.98	2011-01-10
9.22	0.176	-0.01	55.01	0.1467	9.0	2011-01-11
9.2	0.1713	-0.02	41.54	0.1366	9.01	2011-01-12
9.28	0.1691	0.08	67.63	0.1334	9.03	2011-01-13
9.44	0.1713	0.16	148.6	0.1422	9.06	2011-01-14
9.56	0.1712	0.12	236.7	0.157	9.09	2011-01-18
