Close	ATR	Momentum	CCI	MACD	EMA	Times
1033.94	30.72	17.92	174.9	31.68	934.84	2010-01-06
1019.0	30.16	-14.94	136.7	32.99	940.27	2010-01-07
1020.0	29.29	1.0	113.1	33.71	945.41	2010-01-08
1016.02	29.83	-3.98	107.3	33.58	949.97	2010-01-11
997.09	30.04	-18.93	59.98	31.58	953.01	2010-01-12
996.09	29.68	-1.0	47.49	29.57	955.79	2010-01-13
1026.97	30.05	30.88	81.46	30.13	960.38	2010-01-14
1021.0	30.75	-5.97	81.43	29.75	964.29	2010-01-15
1035.94	30.4	14.94	87.95	30.3	968.91	2010-01-18
1034.94	30.15	-1.0	78.62	30.31	973.17	2010-01-19
973.18	33.01	-61.76	-4.347	25.04	973.17	2010-01-20
945.29	34.75	-27.89	-64.23	18.4	971.37	2010-01-21
938.32	35.18	-6.97	-130.0	12.44	969.24	2010-01-22
929.85	34.91	-8.47	-134.0	6.946	966.7	2010-01-25
924.37	34.37	-5.48	-169.2	2.128	963.97	2010-01-26
917.4	33.91	-6.97	-159.0	-2.227	960.96	2010-01-27
882.04	36.0	-35.36	-155.1	-8.435	955.87	2010-01-28
875.57	35.6	-6.47	-150.8	-13.72	950.69	2010-01-29
901.96	35.59	26.39	-121.0	-15.6	947.55	2010-02-01
925.87	35.57	23.91	-73.85	-14.98	946.15	2010-02-02
897.98	36.12	-27.89	-74.48	-16.56	943.04	2010-02-03
826.76	39.02	-71.22	-139.2	-23.28	935.54	2010-02-04
823.27	39.86	-3.49	-161.4	-28.56	928.3	2010-02-05
827.75	39.97	4.48	-133.7	-32.02	921.81	2010-02-08
861.62	40.81	33.87	-92.89	-31.66	917.93	2010-02-09
843.19	40.96	-18.43	-89.73	-32.49	913.1	2010-02-10
867.6	40.52	24.41	-63.64	-30.82	910.17	2010-02-11
852.16	41.33	-15.44	-67.13	-30.39	906.43	2010-02-12
849.67	40.01	-2.49	-66.21	-29.91	902.76	2010-02-15
878.06	39.68	28.39	-32.12	-26.93	901.17	2010-02-16
878.55	38.09	0.49	-3.584	-24.24	899.71	2010-02-17
890.51	38.18	11.96	-0.7398	-20.91	899.12	2010-02-18
889.01	36.98	-1.5	12.17	-18.18	898.47	2010-02-19
901.46	36.12	12.45	72.15	-14.84	898.66	2010-02-22
876.56	36.99	-24.9	42.38	-14.04	897.23	2010-02-23
876.06	35.88	-0.5	4.144	-13.3	895.87	2010-02-24
857.64	35.66	-18.42	-22.67	-14.03	893.4	2010-02-25
880.05	34.97	22.41	15.17	-12.66	892.54	2010-02-26
912.42	34.96	32.37	111.1	-8.854	893.82	2010-03-01
929.36	34.45	16.94	161.3	-4.423	896.11	2010-03-02
963.72	34.84	34.36	227.8	1.84	900.48	2010-03-03
953.26	33.85	-10.46	187.9	5.891	903.88	2010-03-04
989.12	34.56	35.86	207.3	11.86	909.38	2010-03-05
990.12	33.83	1.0	185.9	16.48	914.59	2010-03-08
1001.07	34.33	10.95	155.5	20.79	920.17	2010-03-09
1015.02	33.98	13.95	154.9	25.03	926.29	2010-03-10
1023.98	33.55	8.96	142.7	28.79	932.59	2010-03-11
1028.96	33.43	4.98	127.7	31.81	938.81	2010-03-12
997.09	33.46	-31.87	91.12	31.26	942.57	2010-03-15
1017.01	32.85	19.92	90.08	32.07	947.37	2010-03-16
1025.98	31.92	8.97	93.05	33.05	952.44	2010-03-17
1009.04	31.21	-16.94	75.15	32.09	956.09	2010-03-18
992.61	31.83	-16.43	53.97	29.67	958.45	2010-03-19
996.09	31.51	3.48	31.35	27.7	960.88	2010-03-22
1008.05	30.97	11.96	55.52	26.81	963.92	2010-03-23
1009.04	30.96	0.99	46.82	25.88	966.83	2010-03-24
1016.02	30.99	6.98	57.55	25.41	970.01	2010-03-25
1007.05	30.06	-8.97	44.14	24.04	972.4	2010-03-26
1026.97	29.9	19.92	91.21	24.28	975.92	2010-03-29
1026.97	29.26	0.0	120.3	24.19	979.21	2010-03-30
1035.94	28.45	8.97	118.0	24.56	982.87	2010-03-31
1070.8	29.48	34.86	253.0	27.35	988.54	2010-04-01
1089.73	29.22	18.93	274.8	30.74	995.07	2010-04-06
1063.83	29.2	-25.9	185.6	30.97	999.51	2010-04-07
1040.92	29.39	-22.91	67.04	28.98	1002.18	2010-04-08
1057.85	29.0	16.93	103.8	28.43	1005.77	2010-04-09
1040.92	28.99	-16.93	56.04	26.33	1008.04	2010-04-12
1017.01	29.55	-23.91	-31.94	22.48	1008.62	2010-04-13
1032.95	28.94	15.94	0.1402	20.48	1010.19	2010-04-14
1034.94	28.36	1.99	8.165	18.83	1011.78	2010-04-15
996.09	29.4	-38.85	-77.25	14.23	1010.77	2010-04-16
979.16	29.29	-16.93	-133.9	9.114	1008.73	2010-04-19
995.1	28.83	15.94	-101.2	6.272	1007.85	2010-04-20
975.18	28.94	-19.92	-125.1	2.384	1005.74	2010-04-21
959.24	29.79	-15.94	-144.0	-1.96	1002.74	2010-04-22
989.62	30.26	30.38	-114.0	-2.918	1001.9	2010-04-23
1059.84	33.19	70.22	44.6	1.966	1005.64	2010-04-26
1021.0	33.88	-38.84	11.99	2.672	1006.63	2010-04-27
1008.05	33.81	-12.95	-51.91	2.162	1006.72	2010-04-28
1021.0	34.31	12.95	-27.22	2.771	1007.64	2010-04-29
995.1	35.52	-25.9	-38.89	1.15	1006.83	2010-04-30
908.94	40.53	-86.16	-178.2	-7.007	1000.52	2010-05-04
882.08	40.65	-26.86	-253.3	-15.46	992.87	2010-05-05
875.11	41.17	-6.97	-216.4	-22.46	985.28	2010-05-06
867.14	42.07	-7.97	-202.4	-28.33	977.66	2010-05-07
942.84	44.47	75.7	-84.74	-26.56	975.41	2010-05-10
929.89	44.03	-12.95	-80.64	-25.91	972.47	2010-05-11
941.85	43.2	11.96	-53.85	-24.15	970.5	2010-05-12
953.3	41.29	11.45	-26.81	-21.58	969.39	2010-05-13
898.52	42.57	-54.78	-76.81	-23.69	964.82	2010-05-14
883.57	42.38	-14.95	-91.82	-26.27	959.57	2010-05-17
897.52	41.09	13.95	-78.29	-26.88	955.57	2010-05-18
842.23	42.39	-55.29	-123.3	-31.46	948.26	2010-05-19
823.81	43.78	-18.42	-147.6	-36.16	940.23	2010-05-20
855.18	43.92	31.37	-112.3	-36.92	934.74	2010-05-21
862.16	43.38	6.98	-84.82	-36.55	930.06	2010-05-24
816.33	44.41	-45.83	-123.9	-39.49	922.72	2010-05-25
860.16	45.79	43.83	-68.23	-37.85	918.69	2010-05-26
892.04	45.19	31.88	-23.77	-33.59	916.97	2010-05-27
882.58	44.13	-9.46	-9.677	-30.63	914.75	2010-05-28
880.09	43.61	-2.49	-25.58	-28.15	912.51	2010-06-01
871.12	42.21	-8.97	-36.43	-26.61	909.84	2010-06-02
