Close	ATR	Momentum	CCI	MACD	EMA	Times
401.41	10.43	6.57	163.7	3.403	382.68	2010-01-06
394.75	10.29	-6.66	123.1	3.866	383.46	2010-01-07
402.19	10.4	7.44	140.1	4.778	384.67	2010-01-08
396.41	10.41	-5.78	108.7	4.976	385.43	2010-01-11
401.11	10.35	4.7	110.1	5.45	386.44	2010-01-12
400.62	10.1	-0.49	107.7	5.721	387.35	2010-01-13
406.21	10.0	5.59	121.9	6.313	388.57	2010-01-14
411.2	10.27	4.99	144.9	7.103	390.03	2010-01-15
413.36	9.893	2.16	133.3	7.814	391.53	2010-01-18
412.87	10.02	-0.49	108.8	8.242	392.91	2010-01-19
407.87	10.2	-5.0	99.26	8.085	393.88	2010-01-20
398.66	10.54	-9.21	43.38	7.135	394.18	2010-01-21
388.97	11.01	-9.69	-46.09	5.537	393.85	2010-01-22
386.81	11.11	-2.16	-75.16	4.049	393.39	2010-01-25
387.4	10.91	0.59	-104.0	2.884	393.01	2010-01-26
379.86	10.93	-7.54	-134.9	1.337	392.16	2010-01-27
379.96	11.08	0.1	-106.0	0.1182	391.37	2010-01-28
380.54	10.89	0.58	-119.1	-0.7921	390.67	2010-01-29
389.26	11.09	8.72	-83.69	-0.8007	390.58	2010-02-01
389.75	10.93	0.49	-49.94	-0.7592	390.53	2010-02-02
389.85	10.66	0.1	-46.15	-0.71	390.48	2010-02-03
373.2	11.84	-16.65	-103.3	-1.992	389.37	2010-02-04
357.62	12.29	-15.58	-190.5	-4.216	387.32	2010-02-05
348.41	12.87	-9.21	-221.4	-6.645	384.81	2010-02-08
337.44	13.14	-10.97	-215.4	-9.348	381.75	2010-02-09
354.19	13.94	16.75	-139.1	-10.02	379.98	2010-02-10
359.39	13.84	5.2	-97.11	-10.02	378.65	2010-02-11
352.53	13.96	-6.86	-103.0	-10.46	376.96	2010-02-12
358.6	13.67	6.07	-79.7	-10.19	375.78	2010-02-15
363.79	13.22	5.19	-51.59	-9.453	375.0	2010-02-16
369.08	12.85	5.29	-21.47	-8.346	374.62	2010-02-17
367.22	12.49	-1.86	-20.86	-7.532	374.15	2010-02-18
371.34	12.26	4.12	-8.092	-6.479	373.96	2010-02-19
373.2	11.85	1.86	15.19	-5.433	373.91	2010-02-22
368.49	11.76	-4.71	10.07	-4.926	373.56	2010-02-23
368.2	11.5	-0.29	4.706	-4.496	373.22	2010-02-24
365.36	11.61	-2.84	-0.9906	-4.335	372.71	2010-02-25
382.31	12.03	16.95	66.71	-2.807	373.33	2010-02-26
367.52	12.9	-14.79	35.42	-2.758	372.96	2010-03-01
371.43	13.33	3.91	20.46	-2.376	372.86	2010-03-02
382.21	13.26	10.78	107.3	-1.19	373.46	2010-03-03
372.22	13.41	-9.99	64.54	-1.044	373.38	2010-03-04
384.07	13.36	11.85	125.4	0.02797	374.07	2010-03-05
384.36	13.0	0.29	161.0	0.8904	374.73	2010-03-08
384.07	12.69	-0.29	131.5	1.533	375.34	2010-03-09
386.42	12.21	2.35	140.9	2.206	376.05	2010-03-10
386.13	11.81	-0.29	134.7	2.685	376.7	2010-03-11
387.79	11.39	1.66	137.9	3.163	377.42	2010-03-12
382.7	11.16	-5.09	93.48	3.094	377.76	2010-03-15
387.01	10.89	4.31	92.59	3.35	378.35	2010-03-16
391.81	10.56	4.8	124.4	3.894	379.22	2010-03-17
391.12	10.25	-0.69	115.7	4.222	379.99	2010-03-18
392.79	9.847	1.67	115.4	4.563	380.82	2010-03-19
391.12	9.612	-1.67	83.65	4.645	381.48	2010-03-22
393.37	9.632	2.25	96.77	4.837	382.25	2010-03-23
376.18	10.37	-17.19	-37.16	3.56	381.86	2010-03-24
376.28	9.906	0.1	-66.05	2.527	381.5	2010-03-25
376.77	9.479	0.49	-66.19	1.728	381.19	2010-03-26
379.9	9.11	3.13	-49.15	1.332	381.11	2010-03-29
379.9	8.802	0.0	-45.73	1.007	381.03	2010-03-30
377.55	8.537	-2.35	-89.16	0.5529	380.81	2010-03-31
377.94	8.353	0.39	-88.42	0.2221	380.62	2010-04-01
381.66	8.135	3.72	-58.83	0.2572	380.69	2010-04-06
377.75	7.959	-3.91	-69.08	-0.03022	380.5	2010-04-07
371.67	8.231	-6.08	-141.8	-0.74	379.93	2010-04-08
380.2	8.321	8.53	-57.55	-0.6073	379.95	2010-04-09
381.37	8.231	1.17	-18.71	-0.403	380.04	2010-04-12
380.2	7.923	-1.17	-19.74	-0.3317	380.05	2010-04-13
380.1	7.644	-0.1	-29.32	-0.28	380.05	2010-04-14
380.49	7.4	0.39	-24.86	-0.2053	380.08	2010-04-15
379.22	7.452	-1.27	-22.63	-0.2456	380.02	2010-04-16
370.49	7.648	-8.73	-130.4	-0.9709	379.41	2010-04-19
379.22	7.725	8.73	-71.09	-0.8316	379.4	2010-04-20
377.94	7.719	-1.28	-40.27	-0.8152	379.3	2010-04-21
366.48	8.196	-11.46	-259.6	-1.707	378.48	2010-04-22
361.77	8.297	-4.71	-281.2	-2.762	377.4	2010-04-23
365.1	8.076	3.33	-194.3	-3.292	376.6	2010-04-26
348.84	8.689	-16.26	-254.8	-4.966	374.81	2010-04-27
342.76	9.091	-6.08	-279.3	-6.707	372.75	2010-04-28
350.31	9.344	7.55	-181.4	-7.391	371.3	2010-04-29
341.69	9.874	-8.62	-151.6	-8.531	369.39	2010-04-30
324.24	10.85	-17.45	-197.3	-10.72	366.48	2010-05-04
321.4	11.05	-2.84	-198.3	-12.54	363.57	2010-05-05
312.39	11.61	-9.01	-170.1	-14.54	360.27	2010-05-06
297.3	12.39	-15.09	-190.7	-17.14	356.2	2010-05-07
332.18	14.11	34.88	-91.73	-16.21	354.65	2010-05-10
326.89	14.37	-5.29	-72.73	-15.71	352.86	2010-05-11
336.1	14.38	9.21	-55.96	-14.41	351.78	2010-05-12
334.53	14.04	-1.57	-40.1	-13.35	350.67	2010-05-13
320.32	14.23	-14.21	-72.1	-13.5	348.71	2010-05-14
310.62	14.05	-9.7	-102.3	-14.24	346.25	2010-05-17
316.4	13.86	5.78	-79.6	-14.19	344.33	2010-05-18
302.29	14.11	-14.11	-119.6	-15.12	341.61	2010-05-19
300.33	14.56	-1.96	-118.0	-15.83	338.95	2010-05-20
301.9	14.43	1.57	-117.7	-16.09	336.56	2010-05-21
300.92	14.17	-0.98	-103.2	-16.18	334.26	2010-05-24
288.28	14.34	-12.64	-144.2	-17.07	331.29	2010-05-25
293.87	14.0	5.59	-110.9	-17.14	328.88	2010-05-26
