Close	ATR	Momentum	CCI	MACD	EMA	Times
10.08	0.9951	0.08	-202.2	-0.9953	12.82	2009-02-20
9.44	0.9941	-0.64	-176.4	-1.095	12.61	2009-02-23
10.58	1.052	1.14	-129.1	-1.069	12.47	2009-02-24
10.16	1.054	-0.42	-105.8	-1.071	12.33	2009-02-25
9.77	1.063	-0.39	-95.36	-1.091	12.16	2009-02-26
9.37	1.038	-0.4	-105.0	-1.126	11.98	2009-02-27
8.59	1.024	-0.78	-124.4	-1.203	11.76	2009-03-02
9.18	1.034	0.59	-99.7	-1.202	11.59	2009-03-03
9.1	1.024	-0.08	-93.73	-1.194	11.43	2009-03-04
8.03	1.038	-1.07	-118.8	-1.26	11.21	2009-03-05
7.97	1.017	-0.06	-124.2	-1.302	11.01	2009-03-06
8.27	1.018	0.3	-107.2	-1.296	10.83	2009-03-09
9.46	1.032	1.19	-58.38	-1.182	10.74	2009-03-10
9.27	1.013	-0.19	-51.92	-1.094	10.65	2009-03-11
10.22	1.068	0.95	-4.035	-0.9366	10.62	2009-03-12
10.17	1.073	-0.05	22.34	-0.8068	10.59	2009-03-13
9.84	1.082	-0.33	60.87	-0.7222	10.54	2009-03-16
10.04	1.051	0.2	33.27	-0.6318	10.51	2009-03-17
10.95	1.068	0.91	113.8	-0.4812	10.54	2009-03-18
10.16	1.082	-0.79	107.4	-0.4207	10.51	2009-03-19
9.53	1.064	-0.63	26.06	-0.4188	10.45	2009-03-20
11.31	1.124	1.78	136.1	-0.2705	10.5	2009-03-23
10.8	1.125	-0.51	123.4	-0.1919	10.52	2009-03-24
10.96	1.108	0.16	107.3	-0.1154	10.55	2009-03-25
11.76	1.107	0.8	147.0	0.009671	10.63	2009-03-26
11.23	1.083	-0.53	112.4	0.06528	10.67	2009-03-27
9.95	1.101	-1.28	29.24	0.005987	10.62	2009-03-30
10.59	1.079	0.64	46.45	0.01052	10.62	2009-03-31
11.37	1.09	0.78	85.97	0.07618	10.67	2009-04-01
11.8	1.061	0.43	135.3	0.1611	10.74	2009-04-02
12.07	1.031	0.27	134.2	0.2473	10.83	2009-04-03
11.94	0.9949	-0.13	125.6	0.3016	10.9	2009-04-06
11.82	0.9539	-0.12	117.2	0.3312	10.96	2009-04-07
12.38	0.9457	0.56	145.3	0.3952	11.05	2009-04-08
14.83	1.057	2.45	264.5	0.6364	11.29	2009-04-09
16.11	1.088	1.28	292.7	0.9201	11.6	2009-04-13
14.51	1.134	-1.6	193.0	1.004	11.79	2009-04-14
16.24	1.233	1.73	178.3	1.197	12.08	2009-04-15
16.29	1.22	0.05	165.8	1.338	12.35	2009-04-16
17.17	1.252	0.88	158.5	1.504	12.66	2009-04-17
14.95	1.332	-2.22	89.1	1.439	12.81	2009-04-20
15.41	1.339	0.46	66.32	1.409	12.98	2009-04-21
15.3	1.365	-0.11	71.67	1.36	13.13	2009-04-22
16.51	1.377	1.21	87.41	1.403	13.35	2009-04-23
19.92	1.54	3.41	163.9	1.693	13.77	2009-04-24
19.08	1.511	-0.84	144.9	1.834	14.11	2009-04-27
19.02	1.481	-0.06	130.1	1.918	14.43	2009-04-28
19.65	1.45	0.63	137.7	2.013	14.77	2009-04-29
19.86	1.426	0.21	136.8	2.081	15.09	2009-04-30
19.13	1.426	-0.73	99.45	2.052	15.35	2009-05-01
21.48	1.499	2.35	126.8	2.194	15.75	2009-05-04
20.92	1.44	-0.56	119.9	2.235	16.08	2009-05-05
21.37	1.465	0.45	116.5	2.278	16.42	2009-05-06
20.45	1.505	-0.92	93.82	2.212	16.68	2009-05-07
22.36	1.548	1.91	103.9	2.288	17.05	2009-05-08
20.5	1.573	-1.86	72.57	2.172	17.27	2009-05-11
20.04	1.569	-0.46	44.79	2.021	17.45	2009-05-12
18.97	1.538	-1.07	9.672	1.793	17.55	2009-05-13
19.47	1.503	0.5	8.158	1.635	17.67	2009-05-14
19.08	1.476	-0.39	6.321	1.461	17.76	2009-05-15
20.58	1.488	1.5	39.67	1.427	17.95	2009-05-18
19.52	1.466	-1.06	17.92	1.3	18.05	2009-05-19
18.88	1.469	-0.64	-39.71	1.135	18.1	2009-05-20
19.02	1.424	0.14	-103.1	1.004	18.16	2009-05-21
18.43	1.371	-0.59	-112.9	0.8424	18.18	2009-05-22
19.35	1.364	0.92	-79.16	0.7798	18.25	2009-05-26
18.5	1.347	-0.85	-88.45	0.654	18.27	2009-05-27
19.13	1.309	0.63	-79.61	0.5983	18.32	2009-05-28
19.57	1.288	0.44	-29.03	0.5829	18.41	2009-05-29
20.47	1.292	0.9	44.09	0.636	18.54	2009-06-01
19.46	1.297	-1.01	-28.7	0.5898	18.6	2009-06-02
19.28	1.251	-0.18	-36.3	0.5325	18.64	2009-06-03
19.88	1.219	0.6	10.59	0.5294	18.72	2009-06-04
19.65	1.197	-0.23	34.39	0.5026	18.78	2009-06-05
20.2	1.186	0.55	61.39	0.5198	18.87	2009-06-08
21.21	1.178	1.01	194.1	0.6078	19.02	2009-06-09
21.02	1.166	-0.19	177.1	0.6548	19.15	2009-06-10
20.18	1.177	-0.84	89.18	0.6171	19.22	2009-06-11
19.81	1.142	-0.37	22.47	0.551	19.26	2009-06-12
19.87	1.121	0.06	8.712	0.4977	19.3	2009-06-15
19.44	1.094	-0.43	-3.917	0.416	19.31	2009-06-16
18.86	1.083	-0.58	-75.24	0.301	19.28	2009-06-17
18.98	1.043	0.12	-77.63	0.217	19.26	2009-06-18
19.4	1.015	0.42	-37.91	0.1822	19.27	2009-06-19
18.29	1.023	-1.11	-121.9	0.06436	19.2	2009-06-22
18.42	1.013	0.13	-157.5	-0.01834	19.15	2009-06-23
