Close	ATR	Momentum	CCI	MACD	EMA	Times
369.02	5.854	4.47	183.5	8.573	344.28	2010-01-06
369.12	5.706	0.1	161.4	9.098	345.88	2010-01-07
366.14	5.894	-2.98	122.0	9.168	347.19	2010-01-08
365.05	5.807	-1.09	102.9	9.032	348.34	2010-01-11
363.95	6.059	-1.1	81.88	8.734	349.35	2010-01-12
364.15	5.895	0.2	68.6	8.417	350.31	2010-01-13
366.14	5.837	1.99	83.34	8.232	351.33	2010-01-14
365.64	5.895	-0.5	70.52	7.953	352.25	2010-01-15
362.36	5.893	-3.28	38.28	7.382	352.9	2010-01-18
363.95	5.975	1.59	31.37	6.977	353.62	2010-01-19
361.97	5.896	-1.98	22.75	6.423	354.15	2010-01-20
358.49	5.972	-3.48	-4.932	5.638	354.43	2010-01-21
357.2	5.822	-1.29	-46.36	4.856	354.61	2010-01-22
352.23	5.846	-4.97	-115.4	3.791	354.46	2010-01-25
351.04	5.698	-1.19	-161.8	2.819	354.24	2010-01-26
353.02	5.746	1.98	-152.1	2.183	354.16	2010-01-27
350.44	5.782	-2.58	-119.7	1.454	353.92	2010-01-28
350.74	5.802	0.3	-139.0	0.8899	353.71	2010-01-29
349.45	5.763	-1.29	-127.8	0.3351	353.44	2010-02-01
344.88	5.87	-4.57	-131.1	-0.4678	352.89	2010-02-02
338.12	6.288	-6.76	-173.1	-1.631	351.93	2010-02-03
338.32	6.3	0.2	-155.9	-2.508	351.06	2010-02-04
343.68	7.291	5.36	-128.6	-2.738	350.58	2010-02-05
342.09	7.409	-1.59	-78.21	-3.015	350.03	2010-02-08
341.6	7.242	-0.49	-97.35	-3.236	349.49	2010-02-09
341.2	6.965	-0.4	-87.87	-3.404	348.95	2010-02-10
345.97	6.908	4.77	-58.92	-3.117	348.76	2010-02-11
339.51	7.146	-6.46	-69.13	-3.372	348.16	2010-02-12
339.21	7.04	-0.3	-83.31	-3.557	347.59	2010-02-15
343.68	6.885	4.47	-53.11	-3.304	347.33	2010-02-16
346.76	6.826	3.08	-2.791	-2.824	347.3	2010-02-17
361.67	7.694	14.91	166.5	-1.225	348.22	2010-02-18
364.05	7.67	2.38	192.1	0.2309	349.25	2010-02-19
367.13	7.505	3.08	207.6	1.615	350.4	2010-02-22
367.73	7.275	0.6	180.7	2.728	351.52	2010-02-23
369.62	7.004	1.89	162.3	3.721	352.69	2010-02-24
367.63	6.986	-1.99	134.5	4.297	353.65	2010-02-25
371.9	6.864	4.27	122.7	5.04	354.83	2010-02-26
376.57	6.842	4.67	123.3	5.937	356.23	2010-03-01
379.65	6.715	3.08	126.0	6.818	357.74	2010-03-02
379.26	6.717	-0.39	112.3	7.4	359.13	2010-03-03
382.93	6.791	3.67	112.6	8.064	360.66	2010-03-04
384.72	6.576	1.79	114.4	8.635	362.22	2010-03-05
381.84	6.475	-2.88	97.81	8.754	363.48	2010-03-08
377.96	6.459	-3.88	72.12	8.439	364.42	2010-03-09
373.99	6.438	-3.97	51.86	7.778	365.03	2010-03-10
373.59	6.24	-0.4	36.65	7.14	365.59	2010-03-11
376.47	6.107	2.88	48.49	6.789	366.29	2010-03-12
372.6	6.061	-3.87	26.63	6.128	366.7	2010-03-15
374.09	5.827	1.49	15.98	5.659	367.17	2010-03-16
373.69	5.687	-0.4	9.156	5.195	367.59	2010-03-17
374.09	5.607	0.4	-23.59	4.804	368.01	2010-03-18
383.23	5.93	9.14	86.09	5.172	368.99	2010-03-19
386.31	5.961	3.08	134.3	5.647	370.11	2010-03-22
377.76	6.401	-8.55	56.09	5.273	370.6	2010-03-23
376.77	6.292	-0.99	21.31	4.841	371.0	2010-03-24
378.56	6.084	1.79	11.37	4.59	371.49	2010-03-25
378.36	5.947	-0.2	-5.341	4.325	371.93	2010-03-26
379.35	5.806	0.99	21.9	4.147	372.41	2010-03-29
373.29	6.058	-6.06	-52.94	3.477	372.47	2010-03-30
368.92	6.2	-4.37	-149.7	2.564	372.24	2010-03-31
371.41	6.148	2.49	-133.1	2.018	372.19	2010-04-01
366.44	6.44	-4.97	-173.6	1.171	371.82	2010-04-06
368.13	6.299	1.69	-157.7	0.6285	371.58	2010-04-07
366.74	6.204	-1.39	-139.3	0.08553	371.27	2010-04-08
366.34	6.173	-0.4	-105.6	-0.3728	370.95	2010-04-09
