Close	ATR	Momentum	CCI	MACD	EMA	Times
282.42	10.36	8.19	159.5	-4.221	268.86	2010-01-06
290.24	10.61	7.82	210.7	-1.7	270.24	2010-01-07
294.89	10.54	4.65	220.5	0.6658	271.83	2010-01-08
291.62	10.59	-3.27	174.5	2.251	273.11	2010-01-11
291.25	10.29	-0.37	125.7	3.437	274.28	2010-01-12
288.58	9.953	-2.67	99.08	4.115	275.2	2010-01-13
293.14	9.788	4.56	109.0	4.962	276.36	2010-01-14
286.28	9.851	-6.86	81.71	5.022	277.0	2010-01-15
292.31	9.755	6.03	76.14	5.494	277.99	2010-01-18
287.11	9.66	-5.2	56.81	5.385	278.57	2010-01-19
276.76	9.903	-10.35	21.79	4.413	278.46	2010-01-20
260.34	10.66	-16.42	-29.95	2.292	277.29	2010-01-21
249.62	11.73	-10.72	-111.4	-0.2519	275.5	2010-01-22
253.9	11.92	4.28	-90.65	-1.9	274.11	2010-01-25
253.9	11.78	0.0	-89.85	-3.17	272.81	2010-01-26
245.48	11.83	-8.42	-110.2	-4.801	271.04	2010-01-27
243.74	12.09	-1.74	-97.25	-6.162	269.28	2010-01-28
248.89	11.96	5.15	-93.56	-6.748	267.97	2010-01-29
259.61	12.13	10.72	-69.79	-6.275	267.43	2010-02-01
266.46	11.9	6.85	-29.5	-5.286	267.36	2010-02-02
271.7	11.79	5.24	-0.4648	-4.033	267.64	2010-02-03
250.41	12.56	-21.29	-53.64	-4.704	266.53	2010-02-04
247.46	13.12	-2.95	-86.51	-5.411	265.3	2010-02-05
246.54	13.52	-0.92	-81.58	-5.977	264.09	2010-02-08
247.74	13.54	1.2	-67.81	-6.257	263.04	2010-02-09
255.6	13.4	7.86	-33.02	-5.777	262.56	2010-02-10
246.86	13.59	-8.74	-53.94	-6.033	261.54	2010-02-11
241.02	13.78	-5.84	-92.53	-6.631	260.22	2010-02-12
253.03	13.68	12.01	-41.35	-6.065	259.76	2010-02-15
270.23	14.45	17.2	133.0	-4.181	260.43	2010-02-16
278.1	14.21	7.87	185.4	-2.029	261.57	2010-02-17
283.62	14.11	5.52	190.3	0.1199	262.99	2010-02-18
287.25	13.92	3.63	166.7	2.092	264.56	2010-02-19
290.93	13.49	3.68	166.9	3.907	266.26	2010-02-22
286.79	13.37	-4.14	129.1	4.954	267.58	2010-02-23
285.19	13.07	-1.6	97.9	5.59	268.72	2010-02-24
282.3	12.89	-2.89	82.1	5.794	269.6	2010-02-25
287.49	12.42	5.19	81.37	6.303	270.75	2010-02-26
287.17	12.63	-0.32	77.59	6.603	271.81	2010-03-01
296.05	12.49	8.88	94.89	7.472	273.37	2010-03-02
303.5	12.37	7.45	113.2	8.662	275.32	2010-03-03
306.45	12.44	2.95	117.4	9.73	277.33	2010-03-04
314.08	12.23	7.63	135.3	11.07	279.7	2010-03-05
317.39	11.95	3.31	141.2	12.25	282.13	2010-03-08
318.13	11.88	0.74	131.8	13.1	284.45	2010-03-09
320.01	12.0	1.88	127.3	13.76	286.75	2010-03-10
316.24	11.68	-3.77	112.6	13.82	288.65	2010-03-11
323.69	11.56	7.45	121.6	14.31	290.91	2010-03-12
320.7	11.17	-2.99	102.5	14.29	292.83	2010-03-15
