Close	ATR	Momentum	CCI	MACD	EMA	Times
27.51	1.299	-0.95	-206.9	-1.069	31.15	2009-02-20
26.11	1.339	-1.4	-202.9	-1.285	30.83	2009-02-23
26.85	1.348	0.74	-168.8	-1.38	30.57	2009-02-24
25.69	1.372	-1.16	-164.5	-1.531	30.26	2009-02-25
24.78	1.381	-0.91	-158.1	-1.705	29.9	2009-02-26
23.82	1.353	-0.96	-165.6	-1.898	29.51	2009-02-27
22.36	1.371	-1.46	-172.0	-2.145	29.05	2009-03-02
22.24	1.331	-0.12	-150.9	-2.323	28.61	2009-03-03
22.96	1.326	0.72	-121.6	-2.378	28.25	2009-03-04
22.27	1.299	-0.69	-116.8	-2.45	27.86	2009-03-05
22.8	1.25	0.53	-99.06	-2.436	27.53	2009-03-06
23.49	1.242	0.69	-76.83	-2.342	27.27	2009-03-09
25.01	1.262	1.52	-42.01	-2.12	27.13	2009-03-10
25.21	1.243	0.2	-24.08	-1.907	27.0	2009-03-11
25.48	1.228	0.27	-15.6	-1.696	26.91	2009-03-12
25.31	1.204	-0.17	-4.381	-1.525	26.8	2009-03-13
25.63	1.203	0.32	20.89	-1.348	26.73	2009-03-16
26.09	1.181	0.46	30.33	-1.158	26.69	2009-03-17
25.57	1.219	-0.52	27.84	-1.037	26.61	2009-03-18
25.15	1.194	-0.42	30.16	-0.9638	26.52	2009-03-19
24.66	1.161	-0.49	16.13	-0.9346	26.4	2009-03-20
26.9	1.238	2.24	94.9	-0.7224	26.43	2009-03-23
27.35	1.252	0.45	140.8	-0.5121	26.49	2009-03-24
28.08	1.261	0.73	167.3	-0.2832	26.59	2009-03-25
29.29	1.268	1.21	182.2	-0.004067	26.77	2009-03-26
28.43	1.263	-0.86	148.1	0.146	26.87	2009-03-27
26.91	1.303	-1.52	81.18	0.1407	26.88	2009-03-30
26.96	1.275	0.05	65.37	0.1389	26.88	2009-03-31
26.85	1.258	-0.11	39.86	0.1272	26.88	2009-04-01
28.18	1.306	1.33	104.2	0.2226	26.96	2009-04-02
28.56	1.307	0.38	104.8	0.3252	27.07	2009-04-03
