Close	ATR	Momentum	CCI	MACD	EMA	Times
98.03	2.691	0.0	-48.9	-1.0	100.02	2010-01-06
99.63	2.648	1.6	30.3	-0.8479	100.0	2010-01-07
102.01	2.708	2.38	202.1	-0.5289	100.13	2010-01-08
103.51	2.636	1.5	269.9	-0.1532	100.35	2010-01-11
103.91	2.583	0.4	233.1	0.1747	100.58	2010-01-12
104.5	2.509	0.59	213.0	0.4767	100.83	2010-01-13
105.4	2.508	0.9	193.3	0.7797	101.12	2010-01-14
107.29	2.5	1.89	183.6	1.159	101.52	2010-01-15
106.99	2.413	-0.3	163.8	1.419	101.87	2010-01-18
107.59	2.39	0.6	144.4	1.654	102.24	2010-01-19
106.49	2.347	-1.1	110.7	1.732	102.52	2010-01-20
107.19	2.294	0.7	96.34	1.829	102.82	2010-01-21
106.69	2.279	-0.5	86.56	1.845	103.07	2010-01-22
106.49	2.223	-0.2	73.15	1.82	103.29	2010-01-25
107.89	2.256	1.4	77.16	1.891	103.59	2010-01-26
107.49	2.244	-0.4	67.22	1.893	103.84	2010-01-27
106.49	2.283	-1.0	70.53	1.794	104.01	2010-01-28
104.2	2.347	-2.29	4.083	1.513	104.02	2010-01-29
105.8	2.435	1.6	6.66	1.403	104.14	2010-02-01
105.5	2.439	-0.3	17.55	1.277	104.22	2010-02-02
105.2	2.47	-0.3	8.653	1.14	104.29	2010-02-03
103.41	2.5	-1.79	-65.59	0.877	104.23	2010-02-04
102.61	2.495	-0.8	-153.4	0.5969	104.13	2010-02-05
101.82	2.5	-0.79	-159.4	0.3077	103.98	2010-02-08
103.01	2.513	1.19	-118.4	0.1725	103.91	2010-02-09
106.0	2.575	2.99	-24.11	0.3031	104.05	2010-02-10
106.79	2.49	0.79	27.51	0.465	104.23	2010-02-11
107.29	2.434	0.5	58.56	0.6265	104.42	2010-02-12
106.89	2.395	-0.4	71.94	0.7139	104.58	2010-02-15
110.47	2.48	3.58	161.4	1.06	104.96	2010-02-16
111.47	2.587	1.0	182.8	1.399	105.38	2010-02-17
111.87	2.508	0.4	192.3	1.68	105.8	2010-02-18
114.55	2.621	2.68	210.7	2.095	106.37	2010-02-19
114.45	2.54	-0.1	195.9	2.388	106.89	2010-02-22
114.65	2.478	0.2	160.4	2.607	107.39	2010-02-23
113.86	2.437	-0.79	132.2	2.686	107.81	2010-02-24
112.46	2.497	-1.4	95.65	2.605	108.11	2010-02-25
112.27	2.497	-0.19	74.25	2.497	108.37	2010-02-26
112.27	2.461	0.0	53.39	2.383	108.63	2010-03-01
112.96	2.491	0.69	67.98	2.323	108.91	2010-03-02
109.13	2.691	-3.83	-3.878	1.943	108.92	2010-03-03
109.52	2.648	0.39	-11.18	1.655	108.96	2010-03-04
109.52	2.679	0.0	-10.89	1.41	108.99	2010-03-05
109.52	2.666	0.0	-20.99	1.202	109.03	2010-03-08
109.32	2.639	-0.2	-18.07	1.009	109.05	2010-03-09
111.32	2.649	2.0	-2.251	1.007	109.19	2010-03-10
108.73	2.673	-2.59	-54.12	0.7863	109.16	2010-03-11
107.83	2.597	-0.9	-99.71	0.5329	109.08	2010-03-12
107.83	2.561	0.0	-104.3	0.3284	109.0	2010-03-15
106.24	2.549	-1.59	-143.3	0.03751	108.82	2010-03-16
105.74	2.445	-0.5	-141.7	-0.2307	108.62	2010-03-17
104.94	2.434	-0.8	-133.8	-0.502	108.38	2010-03-18
106.74	2.438	1.8	-112.0	-0.5652	108.28	2010-03-19
108.33	2.556	1.59	-40.26	-0.4815	108.28	2010-03-22
107.53	2.551	-0.8	-48.26	-0.4742	108.23	2010-03-23
108.03	2.539	0.5	-44.57	-0.4233	108.22	2010-03-24
109.72	2.536	1.69	16.47	-0.2437	108.32	2010-03-25
108.33	2.596	-1.39	-15.19	-0.2111	108.32	2010-03-26
107.83	2.574	-0.5	-8.076	-0.223	108.29	2010-03-29
107.83	2.469	0.0	-23.88	-0.2298	108.26	2010-03-30
107.93	2.492	0.1	0.7696	-0.2246	108.24	2010-03-31
107.93	2.407	0.0	1.248	-0.2179	108.22	2010-04-01
109.13	2.328	1.2	38.1	-0.1145	108.27	2010-04-06
108.93	2.381	-0.2	8.299	-0.04808	108.32	2010-04-07
112.01	2.453	3.08	224.7	0.2502	108.56	2010-04-08
112.11	2.335	0.1	263.3	0.489	108.78	2010-04-09
112.01	2.354	-0.1	241.4	0.6625	108.99	2010-04-12
112.81	2.314	0.8	185.7	0.8548	109.24	2010-04-13
111.81	2.29	-1.0	129.9	0.9159	109.4	2010-04-14
111.91	2.23	0.1	95.7	0.9613	109.57	2010-04-15
111.42	2.284	-0.49	83.63	0.9468	109.69	2010-04-16
111.22	2.226	-0.2	40.36	0.9088	109.78	2010-04-19
112.61	2.259	1.39	96.29	0.9795	109.97	2010-04-20
113.71	2.225	1.1	105.8	1.111	110.21	2010-04-21
113.11	2.164	-0.6	92.02	1.154	110.4	2010-04-22
113.81	2.08	0.7	96.45	1.231	110.62	2010-04-23
113.51	2.003	-0.3	82.96	1.252	110.8	2010-04-26
111.91	2.024	-1.6	54.06	1.128	110.87	2010-04-27
110.72	2.043	-1.19	-5.771	0.922	110.86	2010-04-28
113.01	2.079	2.29	35.19	0.9331	111.0	2010-04-29
113.51	2.088	0.5	68.89	0.971	111.16	2010-04-30
114.0	2.031	0.49	110.3	1.029	111.35	2010-05-04
114.1	1.978	0.1	111.9	1.07	111.52	2010-05-05
115.1	1.986	1.0	173.4	1.17	111.76	2010-05-06
112.41	2.1	-2.69	-30.48	1.021	111.8	2010-05-07
116.19	2.27	3.78	221.9	1.194	112.08	2010-05-10
115.1	2.349	-1.09	101.3	1.228	112.28	2010-05-11
116.0	2.444	0.9	146.1	1.314	112.52	2010-05-12
116.59	2.362	0.59	167.9	1.412	112.78	2010-05-13
115.4	2.434	-1.19	111.6	1.379	112.95	2010-05-14
114.3	2.368	-1.1	41.04	1.249	113.04	2010-05-17
114.1	2.433	-0.2	64.98	1.117	113.1	2010-05-18
114.5	2.444	0.4	8.705	1.033	113.19	2010-05-19
114.1	2.461	-0.4	45.92	0.9231	113.25	2010-05-20
113.61	2.513	-0.49	-4.96	0.7876	113.28	2010-05-21
114.5	2.532	0.89	59.32	0.7435	113.35	2010-05-24
112.81	2.615	-1.69	-35.38	0.5656	113.32	2010-05-25
111.71	2.584	-1.1	-121.6	0.3321	113.22	2010-05-26
114.1	2.585	2.39	-42.14	0.336	113.27	2010-05-27
112.71	2.535	-1.39	-72.59	0.2243	113.24	2010-05-28
111.61	2.583	-1.1	-184.6	0.04651	113.13	2010-06-01
112.71	2.597	1.1	-120.9	-0.005567	113.1	2010-06-02
116.99	2.725	4.28	109.9	0.2951	113.35	2010-06-03
115.0	2.779	-1.99	70.4	0.3686	113.46	2010-06-04
113.41	2.751	-1.59	-44.3	0.2951	113.46	2010-06-07
112.21	2.725	-1.2	-90.9	0.1385	113.38	2010-06-08
114.5	2.694	2.29	-21.53	0.1968	113.45	2010-06-09
113.71	2.658	-0.79	-34.29	0.1773	113.47	2010-06-10
119.68	3.023	5.97	292.2	0.6362	113.87	2010-06-11
122.57	3.049	2.89	305.4	1.219	114.43	2010-06-14
122.17	3.03	-0.4	254.8	1.63	114.93	2010-06-15
121.97	2.985	-0.2	182.4	1.917	115.38	2010-06-16
122.27	2.886	0.3	142.4	2.144	115.83	2010-06-17
122.07	2.85	-0.2	112.2	2.282	116.23	2010-06-18
121.97	2.76	-0.1	106.9	2.356	116.6	2010-06-21
121.37	2.762	-0.6	69.34	2.339	116.91	2010-06-22
118.49	2.771	-2.88	40.76	2.069	117.01	2010-06-23
120.48	2.85	1.99	50.89	1.993	117.23	2010-06-24
118.78	2.796	-1.7	29.89	1.775	117.33	2010-06-25
118.19	2.81	-0.59	-5.858	1.537	117.39	2010-06-28
115.2	2.822	-2.99	-47.88	1.095	117.25	2010-06-29
112.61	2.891	-2.59	-91.39	0.5291	116.95	2010-06-30
108.63	2.969	-3.98	-155.8	-0.2377	116.41	2010-07-01
112.51	3.127	3.88	-109.2	-0.5263	116.16	2010-07-02
113.21	3.065	0.7	-82.85	-0.6905	115.97	2010-07-05
115.0	3.052	1.79	-52.1	-0.6685	115.91	2010-07-06
116.89	3.204	1.89	-50.25	-0.4929	115.97	2010-07-07
118.39	3.103	1.5	-3.278	-0.2301	116.13	2010-07-08
118.98	3.024	0.59	16.31	0.02557	116.31	2010-07-09
120.97	2.978	1.99	52.53	0.3843	116.61	2010-07-12
124.46	3.071	3.49	105.4	0.9394	117.12	2010-07-13
123.56	3.037	-0.9	117.4	1.292	117.53	2010-07-14
120.48	3.104	-3.08	70.51	1.307	117.72	2010-07-15
120.48	3.003	0.0	50.1	1.305	117.9	2010-07-16
118.98	2.903	-1.5	36.35	1.168	117.97	2010-07-19
120.48	2.861	1.5	42.09	1.168	118.13	2010-07-20
120.58	2.771	0.1	58.75	1.162	118.29	2010-07-21
121.47	2.751	0.89	63.25	1.215	118.5	2010-07-22
121.97	2.753	0.5	80.11	1.283	118.72	2010-07-23
121.77	2.677	-0.2	76.86	1.305	118.92	2010-07-26
119.98	2.692	-1.79	49.26	1.165	118.99	2010-07-27
118.49	2.741	-1.49	15.68	0.9232	118.95	2010-07-28
119.48	2.673	0.99	8.737	0.8021	118.99	2010-07-29
119.48	2.689	0.0	-9.296	0.6982	119.02	2010-07-30
120.48	2.603	1.0	16.53	0.6885	119.11	2010-08-02
119.48	2.56	-1.0	-49.16	0.5933	119.14	2010-08-03
117.21	2.59	-2.27	-145.8	0.3309	119.01	2010-08-04
117.51	2.54	0.3	-156.8	0.1455	118.92	2010-08-05
116.02	2.824	-1.49	-219.1	-0.1203	118.73	2010-08-06
116.52	2.822	0.5	-122.5	-0.2873	118.59	2010-08-09
116.52	2.734	0.0	-134.5	-0.4149	118.45	2010-08-10
114.92	2.703	-1.6	-162.6	-0.6377	118.23	2010-08-11
115.12	2.688	0.2	-153.8	-0.7891	118.02	2010-08-12
114.92	2.639	-0.2	-118.9	-0.9146	117.82	2010-08-13
114.13	2.564	-0.79	-130.4	-1.066	117.59	2010-08-16
114.62	2.502	0.49	-105.8	-1.133	117.39	2010-08-17
114.33	2.394	-0.29	-104.1	-1.195	117.2	2010-08-18
114.43	2.301	0.1	-90.02	-1.223	117.02	2010-08-19
113.13	2.324	-1.3	-100.3	-1.334	116.77	2010-08-20
113.13	2.3	0.0	-102.8	-1.406	116.53	2010-08-23
110.74	2.384	-2.39	-164.1	-1.637	116.16	2010-08-24
111.44	2.314	0.7	-137.3	-1.744	115.85	2010-08-25
112.43	2.283	0.99	-106.7	-1.729	115.63	2010-08-26
112.43	2.27	0.0	-109.3	-1.697	115.43	2010-08-27
111.34	2.25	-1.09	-122.8	-1.74	115.16	2010-08-31
110.54	2.231	-0.8	-135.8	-1.817	114.87	2010-09-01
111.94	2.264	1.4	-82.25	-1.745	114.68	2010-09-02
112.04	2.173	0.1	-61.65	-1.661	114.51	2010-09-03
113.93	2.284	1.89	21.1	-1.426	114.47	2010-09-06
113.43	2.221	-0.5	10.23	-1.265	114.4	2010-09-07
113.73	2.148	0.3	29.63	-1.101	114.36	2010-09-08
113.33	2.145	-0.4	11.1	-0.9911	114.29	2010-09-09
112.53	2.134	-0.8	-20.46	-0.9579	114.18	2010-09-10
112.53	2.116	0.0	10.03	-0.9209	114.07	2010-09-13
111.34	2.164	-1.19	-53.25	-0.9764	113.9	2010-09-14
113.03	2.202	1.69	14.13	-0.8739	113.84	2010-09-15
112.93	2.152	-0.1	39.65	-0.7917	113.78	2010-09-16
113.53	2.169	0.6	54.17	-0.6703	113.77	2010-09-17
113.73	2.227	0.2	89.12	-0.5517	113.76	2010-09-20
113.13	2.183	-0.6	73.89	-0.5003	113.72	2010-09-21
