Close	ATR	Momentum	CCI	MACD	EMA	Times
406.49	15.42	-6.59	-3.726	7.047	402.93	2010-08-16
404.75	14.76	-1.74	-47.07	6.066	403.05	2010-08-17
394.43	14.55	-10.32	-115.4	4.405	402.49	2010-08-18
383.62	14.61	-10.81	-185.5	2.191	401.27	2010-08-19
385.26	14.87	1.64	-233.5	0.5628	400.24	2010-08-20
387.49	14.72	2.23	-155.0	-0.5417	399.42	2010-08-23
374.49	14.9	-13.0	-184.8	-2.438	397.81	2010-08-24
372.16	14.75	-2.33	-180.4	-4.082	396.15	2010-08-25
382.53	14.56	10.37	-102.4	-4.496	395.28	2010-08-26
376.63	14.33	-5.9	-109.8	-5.24	394.07	2010-08-27
377.57	13.95	0.94	-99.2	-5.688	393.01	2010-08-31
385.65	14.05	8.08	-62.88	-5.329	392.53	2010-09-01
389.47	13.68	3.82	-36.18	-4.683	392.34	2010-09-02
398.5	13.35	9.03	1.055	-3.403	392.73	2010-09-03
403.56	12.5	0.3	57.02	-0.8217	394.07	2010-09-07
408.87	12.51	5.31	85.26	0.5201	395.02	2010-09-08
412.14	12.26	3.27	102.2	1.826	396.13	2010-09-09
412.74	11.43	4.37	104.2	3.398	397.94	2010-09-13
411.89	10.93	-0.85	104.9	3.973	398.84	2010-09-14
400.88	10.94	-11.01	61.31	3.5	398.97	2010-09-15
405.2	10.8	4.32	63.98	3.434	399.37	2010-09-16
399.84	10.8	-5.36	46.94	2.915	399.4	2010-09-17
408.07	10.66	8.23	58.63	3.132	399.96	2010-09-20
411.5	10.59	3.43	72.91	3.54	400.71	2010-09-21
400.68	9.843	-0.99	-4.235	1.902	400.95	2010-09-27
401.92	9.778	1.24	-48.19	1.658	401.01	2010-09-28
417.65	10.45	15.73	148.1	2.702	402.09	2010-09-29
424.39	10.86	6.74	248.3	4.026	403.52	2010-09-30
432.38	10.13	-1.19	98.91	8.743	412.8	2010-10-08
428.91	9.803	-3.47	76.17	8.56	413.84	2010-10-11
425.73	9.621	-3.18	49.65	8.065	414.6	2010-10-12
433.47	9.632	7.74	82.71	8.203	415.82	2010-10-13
426.28	9.567	-7.19	52.19	7.644	416.5	2010-10-14
422.06	9.578	-4.22	12.14	6.782	416.86	2010-10-15
428.71	9.655	6.65	34.47	6.56	417.62	2010-10-18
432.23	9.66	3.52	51.68	6.593	418.56	2010-10-19
