Close	ATR	Momentum	CCI	MACD	EMA	Times
17.37	1.16	-0.23	-195.3	-2.495	22.36	2009-02-20
16.36	1.179	-1.01	-200.3	-2.545	21.97	2009-02-23
16.96	1.183	0.6	-171.5	-2.507	21.65	2009-02-24
16.31	1.177	-0.65	-153.3	-2.501	21.3	2009-02-25
15.78	1.167	-0.53	-141.6	-2.509	20.95	2009-02-26
16.03	1.164	0.25	-127.4	-2.468	20.63	2009-02-27
14.44	1.201	-1.59	-145.5	-2.534	20.23	2009-03-02
14.64	1.189	0.2	-131.4	-2.541	19.87	2009-03-03
16.57	1.286	1.93	-64.09	-2.363	19.66	2009-03-04
15.3	1.299	-1.27	-85.49	-2.299	19.38	2009-03-05
15.13	1.318	-0.17	-82.7	-2.235	19.1	2009-03-06
15.58	1.324	0.45	-71.22	-2.124	18.88	2009-03-09
17.27	1.371	1.69	-13.61	-1.878	18.77	2009-03-10
17.14	1.341	-0.13	3.681	-1.675	18.67	2009-03-11
17.6	1.334	0.46	16.85	-1.459	18.6	2009-03-12
17.45	1.313	-0.15	39.78	-1.286	18.52	2009-03-13
17.21	1.271	-0.24	51.48	-1.154	18.44	2009-03-16
17.48	1.236	0.27	51.17	-1.017	18.38	2009-03-17
17.9	1.252	0.42	89.26	-0.8638	18.35	2009-03-18
18.51	1.226	0.61	153.3	-0.6855	18.36	2009-03-19
17.64	1.24	-0.87	107.1	-0.6074	18.31	2009-03-20
19.3	1.271	1.66	151.9	-0.4068	18.37	2009-03-23
19.15	1.264	-0.15	148.1	-0.257	18.42	2009-03-24
18.83	1.327	-0.32	123.3	-0.1623	18.45	2009-03-25
20.05	1.329	1.22	150.4	0.01115	18.55	2009-03-26
19.77	1.282	-0.28	130.6	0.1246	18.63	2009-03-27
17.93	1.344	-1.84	44.71	0.0652	18.59	2009-03-30
18.21	1.294	0.28	34.51	0.04029	18.56	2009-03-31
18.89	1.298	0.68	57.28	0.07456	18.58	2009-04-01
20.55	1.344	1.66	148.3	0.233	18.71	2009-04-02
20.94	1.331	0.39	163.9	0.3856	18.85	2009-04-03
20.4	1.325	-0.54	120.3	0.4576	18.95	2009-04-06
19.19	1.32	-1.21	52.31	0.4124	18.97	2009-04-07
19.26	1.295	0.07	38.3	0.3778	18.99	2009-04-08
21.19	1.348	1.93	133.7	0.5003	19.13	2009-04-09
21.6	1.348	0.41	152.1	0.6234	19.29	2009-04-13
21.3	1.323	-0.3	145.4	0.6887	19.42	2009-04-14
21.51	1.282	0.21	119.6	0.7488	19.55	2009-04-15
21.58	1.274	0.07	109.2	0.7929	19.68	2009-04-16
21.31	1.255	-0.27	85.49	0.797	19.79	2009-04-17
20.11	1.265	-1.2	22.27	0.6953	19.81	2009-04-20
20.71	1.325	0.6	7.734	0.6556	19.87	2009-04-21
21.41	1.397	0.7	114.5	0.6728	19.97	2009-04-22
21.41	1.357	0.0	74.14	0.6787	20.06	2009-04-23
22.19	1.352	0.78	115.1	0.7378	20.2	2009-04-24
22.03	1.322	-0.16	104.6	0.7629	20.32	2009-04-27
21.63	1.282	-0.4	78.01	0.7419	20.4	2009-04-28
22.23	1.254	0.6	109.2	0.7649	20.52	2009-04-29
23.48	1.293	1.25	199.1	0.874	20.71	2009-04-30
24.59	1.3	1.11	238.4	1.038	20.96	2009-05-01
25.39	1.285	0.8	242.1	1.218	21.25	2009-05-04
26.0	1.256	0.61	215.1	1.395	21.55	2009-05-05
26.39	1.272	0.39	188.8	1.548	21.87	2009-05-06
25.02	1.358	-1.37	130.1	1.541	22.07	2009-05-07
26.16	1.355	1.14	122.7	1.609	22.33	2009-05-08
25.36	1.333	-0.8	90.22	1.58	22.53	2009-05-11
25.11	1.325	-0.25	70.34	1.52	22.69	2009-05-12
23.81	1.338	-1.3	25.53	1.351	22.77	2009-05-13
23.8	1.308	-0.01	16.68	1.203	22.83	2009-05-14
23.58	1.3	-0.22	9.048	1.056	22.88	2009-05-15
24.93	1.305	1.35	38.16	1.036	23.01	2009-05-18
24.86	1.257	-0.07	51.71	1.003	23.13	2009-05-19
24.61	1.267	-0.25	46.87	0.9457	23.23	2009-05-20
23.45	1.267	-1.16	-28.75	0.7976	23.24	2009-05-21
22.64	1.268	-0.81	-77.45	0.6079	23.2	2009-05-22
23.09	1.263	0.45	-81.04	0.4882	23.2	2009-05-26
23.13	1.207	0.04	-82.73	0.3921	23.19	2009-05-27
22.82	1.196	-0.31	-127.2	0.2876	23.17	2009-05-28
23.4	1.16	0.58	-79.52	0.2487	23.18	2009-05-29
24.78	1.184	1.38	8.109	0.3255	23.29	2009-06-01
24.71	1.135	-0.07	24.96	0.3763	23.38	2009-06-02
24.19	1.111	-0.52	-9.027	0.3704	23.43	2009-06-03
25.09	1.123	0.9	40.39	0.4333	23.54	2009-06-04
25.38	1.11	0.29	80.79	0.5008	23.66	2009-06-05
25.45	1.124	0.07	84.09	0.5536	23.77	2009-06-08
25.23	1.091	-0.22	98.69	0.5711	23.87	2009-06-09
24.82	1.099	-0.41	65.97	0.5456	23.93	2009-06-10
24.82	1.07	0.0	57.75	0.5193	23.99	2009-06-11
24.9	1.028	0.08	41.44	0.4993	24.04	2009-06-12
23.83	1.043	-1.07	-28.41	0.3925	24.03	2009-06-15
23.46	1.043	-0.37	-46.83	0.2749	23.99	2009-06-16
22.96	1.053	-0.5	-111.4	0.1397	23.93	2009-06-17
22.49	1.043	-0.47	-118.7	-0.005329	23.83	2009-06-18
22.2	1.023	-0.29	-118.5	-0.142	23.73	2009-06-19
21.35	1.027	-0.85	-161.1	-0.3153	23.58	2009-06-22
21.78	1.001	0.43	-138.3	-0.4131	23.46	2009-06-23
22.04	0.9927	0.26	-94.19	-0.4644	23.37	2009-06-24
22.76	0.9982	0.72	-72.88	-0.4418	23.33	2009-06-25
22.8	0.979	0.04	-52.11	-0.4158	23.29	2009-06-26
22.92	0.9634	0.12	-42.91	-0.3812	23.27	2009-06-29
21.8	0.9767	-1.12	-77.61	-0.4391	23.18	2009-06-30
21.9	0.9591	0.1	-73.55	-0.4714	23.09	2009-07-01
20.94	0.9591	-0.96	-114.4	-0.568	22.95	2009-07-02
20.92	0.9314	-0.02	-128.2	-0.6388	22.82	2009-07-06
19.99	0.937	-0.93	-147.2	-0.7611	22.64	2009-07-07
20.18	0.9029	0.19	-149.7	-0.8332	22.48	2009-07-08
20.22	0.8741	0.04	-121.5	-0.8769	22.34	2009-07-09
20.15	0.8403	-0.07	-126.4	-0.9068	22.19	2009-07-10
20.98	0.8531	0.83	-79.87	-0.8537	22.12	2009-07-13
21.07	0.8272	0.09	-54.33	-0.7951	22.05	2009-07-14
22.33	0.8645	1.26	34.22	-0.6397	22.07	2009-07-15
22.82	0.8563	0.49	80.89	-0.4715	22.12	2009-07-16
22.71	0.8194	-0.11	88.82	-0.3432	22.15	2009-07-17
24.49	0.8923	1.78	177.1	-0.09669	22.3	2009-07-20
26.37	1.057	1.88	263.9	0.2475	22.57	2009-07-21
25.83	1.047	-0.54	190.0	0.4712	22.78	2009-07-22
27.57	1.11	1.74	196.9	0.78	23.09	2009-07-23
28.06	1.119	0.49	180.9	1.052	23.41	2009-07-24
28.64	1.108	0.58	164.4	1.3	23.75	2009-07-27
28.66	1.109	0.02	139.2	1.48	24.06	2009-07-28
27.95	1.106	-0.71	106.0	1.548	24.31	2009-07-29
29.0	1.124	1.05	110.9	1.668	24.62	2009-07-30
29.44	1.114	0.44	105.0	1.777	24.93	2009-07-31
30.15	1.102	0.71	107.4	1.9	25.26	2009-08-03
32.0	1.158	1.85	121.9	2.121	25.7	2009-08-04
31.16	1.154	-0.84	112.6	2.204	26.05	2009-08-05
31.5	1.131	0.34	106.4	2.271	26.4	2009-08-06
31.92	1.102	0.42	108.5	2.33	26.76	2009-08-07
31.5	1.099	-0.42	95.55	2.317	27.06	2009-08-10
30.92	1.122	-0.58	71.04	2.234	27.31	2009-08-11
31.79	1.158	0.87	83.69	2.213	27.6	2009-08-12
31.52	1.143	-0.27	81.66	2.15	27.85	2009-08-13
30.73	1.148	-0.79	53.3	2.013	28.04	2009-08-14
29.37	1.195	-1.36	-8.924	1.774	28.13	2009-08-17
30.14	1.173	0.77	6.823	1.628	28.26	2009-08-18
30.18	1.192	0.04	-1.821	1.498	28.38	2009-08-19
30.4	1.153	0.22	5.167	1.397	28.51	2009-08-20
31.6	1.158	1.2	56.91	1.398	28.71	2009-08-21
31.78	1.153	0.18	98.83	1.397	28.91	2009-08-24
31.96	1.117	0.18	88.25	1.394	29.1	2009-08-25
31.57	1.089	-0.39	56.85	1.345	29.26	2009-08-26
31.46	1.079	-0.11	25.57	1.283	29.41	2009-08-27
31.21	1.085	-0.25	32.71	1.199	29.52	2009-08-28
30.27	1.094	-0.94	-84.61	1.045	29.57	2009-08-31
29.29	1.149	-0.98	-113.6	0.8347	29.55	2009-09-01
29.07	1.107	-0.22	-155.6	0.6424	29.52	2009-09-02
30.09	1.106	1.02	-85.49	0.5659	29.56	2009-09-03
30.81	1.097	0.72	-15.54	0.5569	29.64	2009-09-04
31.38	1.074	0.57	52.22	0.589	29.75	2009-09-08
32.35	1.104	0.97	100.7	0.6848	29.92	2009-09-09
32.53	1.079	0.18	117.4	0.7664	30.09	2009-09-10
32.43	1.064	-0.1	116.2	0.8136	30.24	2009-09-11
32.59	1.053	0.16	104.9	0.8541	30.39	2009-09-14
34.54	1.143	1.95	191.5	1.032	30.66	2009-09-15
35.16	1.121	0.62	225.1	1.208	30.95	2009-09-16
