Close	ATR	Momentum	CCI	MACD	EMA	Times
277.05	4.651	-2.19	85.89	6.359	266.77	2010-01-06
272.98	4.794	-4.07	41.41	5.762	267.17	2010-01-07
277.65	5.047	4.67	74.55	5.601	267.85	2010-01-08
278.34	4.871	0.69	70.71	5.466	268.53	2010-01-11
277.95	5.013	-0.39	67.75	5.266	269.13	2010-01-12
280.03	5.037	2.08	86.54	5.216	269.84	2010-01-13
283.21	4.933	3.18	110.0	5.371	270.7	2010-01-14
283.21	4.772	0.0	125.1	5.431	271.51	2010-01-15
283.61	4.807	0.4	123.4	5.448	272.29	2010-01-18
285.6	4.968	1.99	118.0	5.559	273.15	2010-01-19
284.9	4.967	-0.7	128.5	5.526	273.9	2010-01-20
285.6	4.953	0.7	150.1	5.493	274.66	2010-01-21
279.34	5.175	-6.26	42.66	4.905	274.96	2010-01-22
277.25	5.111	-2.09	-58.48	4.222	275.11	2010-01-25
276.76	5.015	-0.49	-86.9	3.599	275.22	2010-01-26
271.69	5.083	-5.07	-164.6	2.666	274.99	2010-01-27
268.91	5.146	-2.78	-178.7	1.683	274.6	2010-01-28
268.11	5.02	-0.8	-191.5	0.8298	274.18	2010-01-29
273.18	5.122	5.07	-113.9	0.5562	274.11	2010-02-01
272.48	5.047	-0.7	-102.9	0.2797	274.01	2010-02-02
267.22	5.098	-5.26	-125.8	-0.3597	273.57	2010-02-03
263.74	5.188	-3.48	-153.0	-1.134	272.94	2010-02-04
262.15	5.109	-1.59	-155.3	-1.855	272.24	2010-02-05
264.74	5.113	2.59	-121.1	-2.192	271.76	2010-02-08
262.75	5.017	-1.99	-111.5	-2.59	271.17	2010-02-09
270.79	5.503	8.04	-39.16	-2.23	271.15	2010-02-10
268.51	5.465	-2.28	-45.75	-2.105	270.98	2010-02-11
269.4	5.372	0.89	-29.21	-1.912	270.88	2010-02-12
270.79	5.152	1.39	-20.78	-1.628	270.87	2010-02-15
272.19	4.955	1.4	2.756	-1.276	270.96	2010-02-16
272.98	4.742	0.79	28.52	-0.9221	271.09	2010-02-17
274.47	4.652	1.49	67.88	-0.5155	271.31	2010-02-18
276.06	4.484	1.59	102.2	-0.06421	271.61	2010-02-19
273.87	4.447	-2.19	98.85	0.1154	271.76	2010-02-22
270.1	4.562	-3.77	40.63	-0.04598	271.65	2010-02-23
270.3	4.386	0.2	15.36	-0.1559	271.56	2010-02-24
275.86	4.725	5.56	117.2	0.2032	271.84	2010-02-25
277.85	4.678	1.99	149.3	0.6411	272.23	2010-02-26
280.93	4.685	3.08	163.3	1.223	272.79	2010-03-01
285.1	4.805	4.17	186.9	1.997	273.58	2010-03-02
286.09	4.746	0.99	191.5	2.66	274.39	2010-03-03
282.32	4.782	-3.77	128.1	2.848	274.9	2010-03-04
280.73	4.909	-1.59	89.81	2.836	275.28	2010-03-05
282.62	4.786	1.89	102.1	2.945	275.75	2010-03-08
282.32	4.565	-0.3	90.13	2.973	276.18	2010-03-09
285.0	4.523	2.68	100.4	3.175	276.75	2010-03-10
287.09	4.476	2.09	113.7	3.464	277.41	2010-03-11
288.08	4.377	0.99	120.6	3.73	278.1	2010-03-12
292.75	4.525	4.67	156.9	4.268	279.05	2010-03-15
293.44	4.493	0.69	159.1	4.696	279.97	2010-03-16
294.14	4.47	0.7	150.0	5.034	280.89	2010-03-17
296.03	4.505	1.89	150.1	5.392	281.87	2010-03-18
288.97	4.814	-7.06	92.62	5.047	282.32	2010-03-19
287.09	4.669	-1.88	39.5	4.57	282.63	2010-03-22
289.17	4.591	2.08	51.65	4.31	283.05	2010-03-23
287.98	4.702	-1.19	34.78	3.963	283.37	2010-03-24
291.06	4.65	3.08	56.29	3.891	283.87	2010-03-25
291.85	4.53	0.79	60.2	3.853	284.38	2010-03-26
292.85	4.491	1.0	80.88	3.859	284.93	2010-03-29
294.34	4.44	1.49	94.99	3.939	285.54	2010-03-30
291.95	4.456	-2.39	59.11	3.766	285.95	2010-03-31
295.53	4.393	3.58	87.19	3.873	286.57	2010-04-01
294.93	4.399	-0.6	101.6	3.865	287.11	2010-04-06
298.61	4.397	3.68	139.4	4.109	287.85	2010-04-07
296.13	4.31	-2.48	114.7	4.054	288.38	2010-04-08
300.3	4.349	4.17	163.8	4.299	289.15	2010-04-09
300.79	4.237	0.49	157.3	4.48	289.9	2010-04-12
299.5	4.189	-1.29	148.0	4.468	290.52	2010-04-13
299.21	4.103	-0.29	110.5	4.385	291.08	2010-04-14
297.22	4.208	-1.99	62.93	4.11	291.48	2010-04-15
296.62	4.247	-0.6	62.83	3.801	291.81	2010-04-16
296.32	4.256	-0.3	34.27	3.491	292.1	2010-04-19
305.26	4.641	8.94	133.3	3.922	292.95	2010-04-20
303.08	4.529	-2.18	140.2	4.041	293.6	2010-04-21
302.38	4.546	-0.7	120.0	4.032	294.17	2010-04-22
306.06	4.605	3.68	139.5	4.273	294.94	2010-04-23
310.83	4.702	4.77	206.6	4.794	295.96	2010-04-26
309.14	4.99	-1.69	206.7	5.012	296.81	2010-04-27
294.32	5.778	-14.82	-55.04	3.944	296.65	2010-04-28
295.62	5.791	1.3	-66.16	3.165	296.59	2010-04-29
292.73	5.676	-2.89	-104.1	2.289	296.34	2010-04-30
294.32	5.782	1.59	-79.07	1.703	296.21	2010-05-04
290.85	5.773	-3.47	-148.6	0.948	295.86	2010-05-05
290.05	5.808	-0.8	-132.9	0.2817	295.49	2010-05-06
274.05	6.699	-16.0	-275.5	-1.52	294.1	2010-05-07
285.08	7.214	11.03	-163.5	-2.034	293.52	2010-05-10
282.1	7.132	-2.98	-148.7	-2.652	292.78	2010-05-11
283.59	7.126	1.49	-130.6	-2.986	292.19	2010-05-12
284.39	6.901	0.8	-100.1	-3.151	291.69	2010-05-13
281.11	6.707	-3.28	-105.1	-3.505	291.01	2010-05-14
282.7	6.64	1.59	-90.68	-3.616	290.47	2010-05-17
285.68	6.705	2.98	-61.78	-3.424	290.16	2010-05-18
279.82	6.68	-5.86	-76.4	-3.702	289.49	2010-05-19
274.75	6.814	-5.07	-109.0	-4.282	288.54	2010-05-20
270.87	6.888	-3.88	-126.4	-4.998	287.4	2010-05-21
271.17	6.694	0.3	-118.1	-5.477	286.35	2010-05-24
262.92	6.819	-8.25	-162.4	-6.448	284.84	2010-05-25
262.83	6.587	-0.09	-175.8	-7.143	283.42	2010-05-26
269.78	6.62	6.95	-122.3	-7.052	282.54	2010-05-27
273.06	6.552	3.28	-63.3	-6.638	281.93	2010-05-28
272.76	6.411	-0.3	-65.05	-6.262	281.34	2010-06-01
276.24	6.532	3.48	-39.76	-5.619	281.01	2010-06-02
282.9	6.641	6.66	46.66	-4.519	281.13	2010-06-03
279.72	6.592	-3.18	53.11	-3.86	281.04	2010-06-04
279.62	6.568	-0.1	7.084	-3.307	280.95	2010-06-07
275.54	6.553	-4.08	-1.104	-3.162	280.6	2010-06-08
276.14	6.418	0.6	-9.68	-2.965	280.31	2010-06-09
283.0	6.542	6.86	54.33	-2.229	280.49	2010-06-10
284.98	6.479	1.98	119.3	-1.469	280.78	2010-06-11
288.96	6.315	3.98	137.4	-0.5396	281.3	2010-06-14
299.19	6.722	10.23	199.2	1.011	282.46	2010-06-15
302.08	6.576	2.89	216.3	2.445	283.72	2010-06-16
296.91	6.681	-5.17	162.5	3.128	284.57	2010-06-17
299.99	6.963	3.08	147.2	3.873	285.57	2010-06-18
300.68	6.714	0.69	130.7	4.468	286.54	2010-06-21
296.01	6.852	-4.67	82.35	4.51	287.15	2010-06-22
297.11	6.724	1.1	76.04	4.58	287.8	2010-06-23
305.35	6.968	8.24	111.0	5.24	288.93	2010-06-24
303.76	6.896	-1.59	102.2	5.57	289.89	2010-06-25
304.06	6.63	0.3	92.07	5.789	290.8	2010-06-28
294.62	6.831	-9.44	45.77	5.142	291.05	2010-06-29
294.82	6.655	0.2	19.04	4.592	291.29	2010-06-30
291.64	6.577	-3.18	4.24	3.856	291.31	2010-07-01
290.95	6.519	-0.69	-23.99	3.179	291.29	2010-07-02
291.44	6.288	0.49	-22.06	2.652	291.3	2010-07-05
297.31	6.35	5.87	11.51	2.678	291.69	2010-07-06
305.55	6.84	8.24	71.64	3.324	292.58	2010-07-07
306.25	6.82	0.7	118.3	3.849	293.46	2010-07-08
306.15	6.68	-0.1	116.4	4.208	294.28	2010-07-09
307.54	6.516	1.39	117.9	4.552	295.14	2010-07-12
310.82	6.342	3.28	145.9	5.032	296.15	2010-07-13
311.12	6.102	0.3	144.2	5.374	297.11	2010-07-14
308.83	5.978	-2.29	115.1	5.398	297.87	2010-07-15
307.24	6.055	-1.59	93.29	5.229	298.48	2010-07-16
305.95	5.92	-1.29	57.84	4.934	298.96	2010-07-19
301.48	5.972	-4.47	12.9	4.29	299.12	2010-07-20
306.15	6.014	4.67	43.05	4.109	299.57	2010-07-21
309.63	5.954	3.48	66.79	4.198	300.22	2010-07-22
312.51	5.891	2.88	93.68	4.449	301.02	2010-07-23
310.52	5.91	-1.99	82.43	4.437	301.63	2010-07-26
305.75	6.112	-4.77	38.94	3.996	301.89	2010-07-27
302.08	6.563	-3.67	-13.29	3.313	301.91	2010-07-28
304.76	6.492	2.68	-5.234	2.953	302.09	2010-07-29
301.98	6.418	-2.78	-30.75	2.416	302.08	2010-07-30
307.94	6.591	5.96	-15.33	2.443	302.46	2010-08-02
318.97	6.986	11.03	195.6	3.316	303.53	2010-08-03
317.08	7.006	-1.89	216.6	3.812	304.4	2010-08-04
316.98	6.732	-0.1	164.3	4.149	305.21	2010-08-05
316.88	6.599	-0.1	140.6	4.358	305.96	2010-08-06
319.37	6.362	2.49	150.8	4.67	306.83	2010-08-09
321.65	6.369	2.28	132.7	5.044	307.79	2010-08-10
317.68	6.319	-3.97	108.3	4.962	308.42	2010-08-11
328.01	6.648	10.33	151.1	5.666	309.69	2010-08-12
325.72	6.89	-2.29	139.3	5.97	310.72	2010-08-13
322.15	6.823	-3.57	99.99	5.855	311.46	2010-08-16
324.33	6.776	2.18	95.39	5.872	312.29	2010-08-17
325.72	6.555	1.39	101.9	5.93	313.16	2010-08-18
319.66	6.69	-6.06	62.54	5.424	313.58	2010-08-19
320.46	6.582	0.8	33.74	5.03	314.02	2010-08-20
319.96	6.409	-0.5	35.71	4.623	314.4	2010-08-23
318.67	6.242	-1.29	8.505	4.15	314.68	2010-08-24
322.84	6.336	4.17	55.04	4.064	315.21	2010-08-25
321.25	6.238	-1.59	50.53	3.823	315.6	2010-08-26
327.22	6.396	5.97	100.9	4.068	316.35	2010-08-27
323.24	6.351	-3.98	66.72	3.895	316.79	2010-08-31
329.3	6.43	6.06	149.6	4.199	317.6	2010-09-01
323.74	6.488	-5.56	76.37	3.946	317.99	2010-09-02
326.22	6.444	2.48	50.97	3.9	318.52	2010-09-03
330.1	6.345	3.88	170.0	4.13	319.27	2010-09-06
329.0	6.169	-1.1	134.8	4.175	319.9	2010-09-07
335.86	6.367	6.86	228.1	4.709	320.93	2010-09-08
343.91	6.586	8.05	292.7	5.717	322.41	2010-09-09
341.23	6.307	-2.68	230.3	6.227	323.63	2010-09-10
340.73	6.197	-0.5	170.5	6.516	324.73	2010-09-13
341.82	6.152	1.09	136.8	6.756	325.83	2010-09-14
340.33	6.018	-1.49	118.1	6.747	326.77	2010-09-15
338.84	5.858	-1.49	87.03	6.545	327.55	2010-09-16
339.04	5.901	0.2	90.51	6.328	328.29	2010-09-17
338.84	5.835	-0.2	70.08	6.069	328.97	2010-09-20
331.89	6.106	-6.95	24.32	5.243	329.16	2010-09-21
332.98	6.089	1.09	-7.011	4.624	329.4	2010-09-22
330.79	6.278	-2.19	-10.67	3.911	329.49	2010-09-23
331.19	6.106	0.4	-36.17	3.339	329.6	2010-09-24
325.43	6.216	-5.76	-70.36	2.394	329.33	2010-09-27
326.02	6.1	0.59	-103.2	1.673	329.12	2010-09-28
322.28	6.08	-3.74	-126.0	0.7912	328.68	2010-09-29
321.49	5.951	-0.79	-123.1	0.02812	328.21	2010-09-30
319.01	5.895	-2.48	-144.1	-0.7679	327.62	2010-10-01
319.9	5.737	0.89	-132.3	-1.312	327.12	2010-10-04
324.97	5.774	5.07	-90.96	-1.319	326.98	2010-10-05
319.8	5.831	-5.17	-92.8	-1.721	326.52	2010-10-06
321.79	5.776	1.99	-82.58	-1.858	326.21	2010-10-07
325.56	5.768	3.77	-58.78	-1.644	326.17	2010-10-08
329.04	5.704	3.48	-16.15	-1.18	326.36	2010-10-11
327.95	5.587	-1.09	-11.62	-0.8893	326.46	2010-10-12
326.96	5.507	-0.99	1.512	-0.7307	326.49	2010-10-13
325.66	5.362	-1.3	-13.48	-0.7018	326.44	2010-10-14
322.28	5.391	-3.38	-47.1	-0.9408	326.17	2010-10-15
319.9	5.254	-2.38	-89.45	-1.307	325.77	2010-10-18
322.38	5.284	2.48	-56.79	-1.381	325.55	2010-10-19
321.99	5.148	-0.39	-59.05	-1.455	325.32	2010-10-20
327.15	5.327	5.16	37.66	-1.085	325.44	2010-10-21
323.48	5.337	-3.67	23.91	-1.075	325.31	2010-10-22
322.19	5.225	-1.29	-5.321	-1.158	325.11	2010-10-25
319.6	5.235	-2.59	-98.34	-1.416	324.75	2010-10-26
316.62	5.494	-2.98	-121.0	-1.84	324.23	2010-10-27
319.8	5.478	3.18	-98.16	-1.897	323.94	2010-10-28
330.14	5.875	10.34	87.4	-1.096	324.34	2010-10-29
325.96	5.952	-4.18	113.1	-0.7892	324.45	2010-11-01
326.66	5.739	0.7	55.14	-0.4839	324.59	2010-11-02
329.24	5.756	2.58	112.0	-0.03338	324.89	2010-11-03
328.64	5.707	-0.6	128.2	0.2721	325.13	2010-11-04
333.61	5.789	4.97	153.5	0.9048	325.68	2010-11-05
331.73	5.666	-1.88	133.1	1.24	326.07	2010-11-08
332.22	5.63	0.49	132.8	1.528	326.47	2010-11-09
334.11	5.633	1.89	139.6	1.887	326.96	2010-11-10
333.91	5.692	-0.2	121.8	2.13	327.41	2010-11-11
338.09	6.151	4.18	144.1	2.631	328.1	2010-11-12
335.6	6.095	-2.49	115.5	2.794	328.58	2010-11-15
331.33	6.099	-4.27	69.9	2.549	328.76	2010-11-16
330.14	6.302	-1.19	-1.612	2.233	328.85	2010-11-17
328.94	6.469	-1.2	-20.21	1.865	328.85	2010-11-18
327.85	6.447	-1.09	-23.94	1.468	328.79	2010-11-19
327.45	6.299	-0.4	-11.26	1.108	328.7	2010-11-22
319.4	6.445	-8.05	-119.7	0.172	328.1	2010-11-23
320.1	6.347	0.7	-141.3	-0.5079	327.59	2010-11-24
322.28	6.284	2.18	-132.2	-0.8609	327.24	2010-11-25
314.04	6.609	-8.24	-211.1	-1.785	326.39	2010-11-26
309.07	6.726	-4.97	-216.5	-2.885	325.27	2010-11-29
305.19	6.693	-3.88	-214.2	-4.024	323.98	2010-11-30
310.96	6.698	5.77	-152.8	-4.409	323.14	2010-12-01
315.92	6.667	4.96	-95.46	-4.266	322.67	2010-12-02
316.02	6.525	0.1	-75.43	-4.097	322.24	2010-12-03
314.43	6.464	-1.59	-66.89	-4.044	321.74	2010-12-06
314.93	6.264	0.5	-68.1	-3.917	321.3	2010-12-07
316.92	6.093	1.99	-50.01	-3.615	321.02	2010-12-08
318.71	5.949	1.79	-16.9	-3.193	320.87	2010-12-09
322.48	5.85	3.77	15.11	-2.526	320.97	2010-12-10
323.97	5.702	1.49	44.64	-1.856	321.17	2010-12-13
326.66	5.565	2.69	74.89	-1.095	321.52	2010-12-14
328.25	5.487	1.59	102.7	-0.3593	321.95	2010-12-15
331.83	5.499	3.58	143.9	0.5067	322.59	2010-12-16
328.55	5.532	-3.28	126.0	0.9177	322.98	2010-12-17
333.22	5.57	4.67	142.2	1.602	323.64	2010-12-20
334.91	5.548	1.69	147.1	2.254	324.36	2010-12-21
336.0	5.393	1.09	126.3	2.827	325.12	2010-12-22
336.69	5.164	0.69	117.7	3.298	325.86	2010-12-23
340.17	5.157	3.48	120.3	3.907	326.78	2010-12-24
333.91	5.456	-6.26	91.36	3.841	327.24	2010-12-29
332.22	5.407	-1.69	59.76	3.61	327.57	2010-12-30
329.54	5.291	-2.68	37.81	3.175	327.69	2010-12-31
330.04	5.219	0.5	23.79	2.837	327.84	2011-01-04
333.61	5.399	3.57	40.68	2.825	328.22	2011-01-05
332.92	5.497	-0.69	53.16	2.728	328.52	2011-01-06
334.11	5.373	1.19	51.14	2.716	328.88	2011-01-07
331.73	5.302	-2.38	34.15	2.486	329.06	2011-01-10
331.03	5.292	-0.7	-3.779	2.222	329.19	2011-01-11
325.37	5.482	-5.66	-104.7	1.538	328.94	2011-01-12
327.15	5.389	1.78	-137.5	1.126	328.83	2011-01-13
325.17	5.473	-1.98	-158.2	0.633	328.59	2011-01-14
326.76	5.302	1.59	-135.9	0.3662	328.47	2011-01-17
333.42	5.463	6.66	-23.49	0.6844	328.79	2011-01-18
327.95	5.619	-5.47	-33.02	0.4894	328.74	2011-01-19
327.45	5.494	-0.5	-74.4	0.2913	328.66	2011-01-20
324.47	5.812	-2.98	-126.2	-0.105	328.39	2011-01-21
325.07	5.787	0.6	-123.1	-0.3665	328.17	2011-01-24
324.07	5.863	-1.0	-140.6	-0.6469	327.91	2011-01-25
324.87	5.771	0.8	-79.52	-0.7954	327.71	2011-01-26
323.38	6.026	-1.49	-133.1	-1.022	327.43	2011-01-27
321.49	5.943	-1.89	-136.6	-1.338	327.05	2011-01-28
317.91	5.873	-3.58	-152.6	-1.856	326.46	2011-01-31
325.86	6.022	7.95	-72.97	-1.607	326.42	2011-02-01
324.77	6.287	-1.09	-11.21	-1.48	326.31	2011-02-02
324.07	6.313	-0.7	-37.31	-1.42	326.17	2011-02-03
326.06	6.111	1.99	-10.15	-1.197	326.16	2011-02-04
328.55	6.071	2.49	67.66	-0.8111	326.32	2011-02-07
325.96	6.014	-2.59	30.32	-0.7058	326.29	2011-02-08
331.73	6.032	5.77	142.6	-0.1549	326.64	2011-02-09
331.73	5.807	0.0	152.5	0.2784	326.97	2011-02-10
342.46	6.415	10.73	258.5	1.471	327.97	2011-02-11
