Close	ATR	Momentum	CCI	MACD	EMA	Times
9.87	0.4594	0.03	-114.0	-0.1932	10.48	2009-02-20
9.4	0.4752	-0.47	-148.9	-0.2471	10.41	2009-02-23
9.81	0.4734	0.41	-116.4	-0.2538	10.37	2009-02-24
9.67	0.4753	-0.14	-109.7	-0.2673	10.33	2009-02-25
9.48	0.4749	-0.19	-104.3	-0.29	10.27	2009-02-26
9.54	0.4653	0.06	-111.5	-0.2997	10.22	2009-02-27
9.37	0.4556	-0.17	-112.6	-0.3174	10.17	2009-03-02
9.42	0.4424	0.05	-99.76	-0.3237	10.12	2009-03-03
9.98	0.4636	0.56	-31.72	-0.2803	10.11	2009-03-04
9.52	0.4648	-0.46	-67.02	-0.2797	10.07	2009-03-05
9.28	0.4759	-0.24	-94.29	-0.2953	10.02	2009-03-06
8.91	0.4797	-0.37	-136.7	-0.3336	9.95	2009-03-09
9.58	0.5005	0.67	-71.07	-0.3064	9.93	2009-03-10
9.83	0.4969	0.25	-7.691	-0.2616	9.92	2009-03-11
10.15	0.4957	0.32	52.14	-0.1981	9.94	2009-03-12
10.15	0.481	0.0	97.05	-0.146	9.95	2009-03-13
10.11	0.4709	-0.04	125.4	-0.1067	9.96	2009-03-16
10.56	0.4701	0.45	178.4	-0.03884	10.0	2009-03-17
10.8	0.4801	0.24	224.0	0.03393	10.05	2009-03-18
10.62	0.4751	-0.18	167.1	0.0762	10.09	2009-03-19
10.41	0.479	-0.21	116.4	0.09169	10.11	2009-03-20
11.11	0.4962	0.7	150.2	0.1586	10.17	2009-03-23
10.92	0.4822	-0.19	138.7	0.1941	10.22	2009-03-24
10.84	0.4842	-0.08	109.7	0.2133	10.26	2009-03-25
11.33	0.4882	0.49	133.9	0.265	10.33	2009-03-26
11.09	0.4748	-0.24	107.3	0.2833	10.38	2009-03-27
10.67	0.4816	-0.42	49.59	0.261	10.4	2009-03-30
10.97	0.48	0.3	73.59	0.2644	10.43	2009-03-31
11.43	0.5036	0.46	95.57	0.3008	10.5	2009-04-01
11.87	0.5212	0.44	163.6	0.361	10.59	2009-04-02
11.88	0.5111	0.01	154.6	0.4048	10.67	2009-04-03
11.47	0.5253	-0.41	86.53	0.4018	10.72	2009-04-06
11.03	0.5321	-0.44	34.51	0.3598	10.74	2009-04-07
11.21	0.5162	0.18	52.95	0.3371	10.77	2009-04-08
11.66	0.5236	0.45	119.4	0.3514	10.83	2009-04-09
11.71	0.4998	0.05	115.3	0.3626	10.89	2009-04-13
11.73	0.4912	0.02	104.9	0.3689	10.94	2009-04-14
11.49	0.4869	-0.24	65.01	0.3504	10.98	2009-04-15
11.83	0.4814	0.34	94.24	0.359	11.03	2009-04-16
11.77	0.4627	-0.06	86.37	0.357	11.08	2009-04-17
11.33	0.4661	-0.44	12.5	0.3161	11.1	2009-04-20
11.58	0.4628	0.25	21.87	0.3005	11.13	2009-04-21
11.41	0.4569	-0.17	29.54	0.2713	11.14	2009-04-22
11.53	0.4478	0.12	-1.577	0.2549	11.17	2009-04-23
12.05	0.4573	0.52	119.5	0.2806	11.23	2009-04-24
12.02	0.4517	-0.03	112.5	0.2951	11.28	2009-04-27
12.22	0.4573	0.2	143.5	0.3191	11.34	2009-04-28
12.6	0.4647	0.38	210.8	0.3646	11.42	2009-04-29
12.64	0.47	0.04	214.3	0.3993	11.5	2009-04-30
12.81	0.47	0.17	178.6	0.4354	11.58	2009-05-01
12.76	0.465	-0.05	154.7	0.4548	11.66	2009-05-04
12.85	0.4482	0.09	129.1	0.472	11.74	2009-05-05
12.83	0.4548	-0.02	111.5	0.4785	11.81	2009-05-06
12.4	0.488	-0.43	72.07	0.4438	11.84	2009-05-07
12.26	0.4846	-0.14	34.88	0.4004	11.87	2009-05-08
12.18	0.4757	-0.08	6.876	0.3555	11.89	2009-05-11
12.25	0.4546	0.07	16.01	0.3218	11.91	2009-05-12
11.81	0.4543	-0.44	-36.83	0.2567	11.91	2009-05-13
11.84	0.4332	0.03	-47.11	0.2051	11.9	2009-05-14
11.73	0.423	-0.11	-65.57	0.1536	11.89	2009-05-15
12.25	0.4342	0.52	-11.99	0.1529	11.92	2009-05-18
12.36	0.4361	0.11	32.18	0.1595	11.94	2009-05-19
12.17	0.4328	-0.19	-7.388	0.1476	11.96	2009-05-20
11.85	0.4369	-0.32	-94.7	0.1111	11.95	2009-05-21
11.71	0.4285	-0.14	-124.0	0.07009	11.94	2009-05-22
