Close	ATR	Momentum	CCI	MACD	EMA	Times
34.08	1.468	-0.85	-174.9	-0.7574	36.77	2009-02-20
32.97	1.523	-1.11	-168.2	-0.9306	36.53	2009-02-23
34.19	1.536	1.22	-131.4	-0.9584	36.38	2009-02-24
33.26	1.514	-0.93	-122.0	-1.043	36.17	2009-02-25
33.09	1.494	-0.17	-113.8	-1.112	35.98	2009-02-26
31.8	1.485	-1.29	-147.1	-1.256	35.71	2009-02-27
30.18	1.495	-1.62	-177.1	-1.483	35.35	2009-03-02
30.24	1.455	0.06	-158.6	-1.64	35.02	2009-03-03
31.05	1.453	0.81	-118.2	-1.679	34.76	2009-03-04
29.57	1.467	-1.48	-142.0	-1.809	34.43	2009-03-05
30.52	1.471	0.95	-113.1	-1.814	34.18	2009-03-06
30.53	1.444	0.01	-97.37	-1.797	33.94	2009-03-09
32.36	1.471	1.83	-48.07	-1.617	33.84	2009-03-10
32.07	1.458	-0.29	-31.78	-1.48	33.73	2009-03-11
33.21	1.443	1.14	-0.7996	-1.266	33.69	2009-03-12
32.95	1.41	-0.26	13.66	-1.104	33.64	2009-03-13
32.97	1.404	0.02	19.56	-0.963	33.6	2009-03-16
34.21	1.413	1.24	61.31	-0.7426	33.64	2009-03-17
34.88	1.426	0.67	102.0	-0.5081	33.72	2009-03-18
35.16	1.422	0.28	148.5	-0.2962	33.81	2009-03-19
33.9	1.459	-1.26	92.35	-0.2273	33.82	2009-03-20
36.22	1.522	2.32	139.2	0.0143	33.97	2009-03-23
36.13	1.479	-0.09	147.9	0.1963	34.11	2009-03-24
36.51	1.461	0.38	135.3	0.3669	34.27	2009-03-25
36.76	1.422	0.25	132.3	0.5164	34.43	2009-03-26
36.09	1.383	-0.67	97.55	0.5741	34.54	2009-03-27
34.99	1.395	-1.1	53.91	0.5251	34.56	2009-03-30
35.22	1.361	0.23	59.39	0.499	34.61	2009-03-31
35.78	1.371	0.56	55.46	0.5176	34.68	2009-04-01
36.83	1.385	1.05	103.6	0.61	34.82	2009-04-02
36.92	1.342	0.09	96.39	0.6826	34.96	2009-04-03
36.61	1.314	-0.31	75.0	0.707	35.06	2009-04-06
35.83	1.294	-0.78	43.61	0.6559	35.11	2009-04-07
35.87	1.264	0.04	33.23	0.6115	35.16	2009-04-08
36.26	1.226	0.39	58.88	0.6009	35.23	2009-04-09
35.61	1.239	-0.65	-15.01	0.5339	35.26	2009-04-13
34.88	1.224	-0.73	-72.83	0.417	35.23	2009-04-14
34.94	1.187	0.06	-98.91	0.3255	35.21	2009-04-15
34.54	1.179	-0.4	-120.1	0.2182	35.17	2009-04-16
34.58	1.132	0.04	-103.7	0.1349	35.13	2009-04-17
33.46	1.136	-1.12	-187.3	-0.02134	35.02	2009-04-20
33.99	1.127	0.53	-157.5	-0.1012	34.96	2009-04-21
33.39	1.096	-0.6	-147.1	-0.2105	34.86	2009-04-22
34.33	1.092	0.94	-92.86	-0.2187	34.82	2009-04-23
34.89	1.081	0.56	-24.48	-0.178	34.83	2009-04-24
34.26	1.071	-0.63	-70.01	-0.1943	34.79	2009-04-27
34.57	1.081	0.31	-47.96	-0.1802	34.78	2009-04-28
35.39	1.068	0.82	6.255	-0.1016	34.82	2009-04-29
34.62	1.092	-0.77	-19.36	-0.1003	34.8	2009-04-30
35.03	1.078	0.41	-14.18	-0.06547	34.82	2009-05-01
34.93	1.073	-0.1	28.75	-0.0454	34.82	2009-05-04
34.44	1.055	-0.49	-23.48	-0.06824	34.8	2009-05-05
35.68	1.077	1.24	87.34	0.01356	34.86	2009-05-06
35.61	1.056	-0.07	125.5	0.07191	34.91	2009-05-07
36.87	1.091	1.26	239.6	0.2173	35.03	2009-05-08
35.62	1.113	-1.25	124.1	0.229	35.07	2009-05-11
36.24	1.092	0.62	137.3	0.2851	35.15	2009-05-12
35.67	1.074	-0.57	85.54	0.2803	35.18	2009-05-13
35.54	1.039	-0.13	59.28	0.2629	35.2	2009-05-14
34.84	1.029	-0.7	1.687	0.1905	35.18	2009-05-15
34.92	0.9936	0.08	-4.784	0.138	35.16	2009-05-18
34.83	0.9448	-0.09	-25.64	0.08809	35.14	2009-05-19
34.49	0.9466	-0.34	-51.45	0.02086	35.1	2009-05-20
34.1	0.9304	-0.39	-142.9	-0.06316	35.03	2009-05-21
34.08	0.9168	-0.02	-101.9	-0.1299	34.97	2009-05-22
34.73	0.9306	0.65	-95.66	-0.1288	34.96	2009-05-26
34.15	0.9341	-0.58	-88.14	-0.1728	34.91	2009-05-27
34.81	0.946	0.66	-55.32	-0.1526	34.9	2009-05-28
