Close	ATR	Momentum	CCI	MACD	EMA	Times
1055.64	17.34	-2.99	-4.188	11.69	1049.93	2010-01-06
1062.61	17.17	6.97	11.89	10.62	1050.75	2010-01-07
1062.61	16.58	0.0	15.72	9.658	1051.51	2010-01-08
1059.63	16.25	-2.98	3.683	8.558	1052.04	2010-01-11
1051.66	16.3	-7.97	-77.19	6.963	1052.01	2010-01-12
1054.65	16.35	2.99	-60.4	5.872	1052.18	2010-01-13
1066.6	16.53	11.95	16.85	5.904	1053.11	2010-01-14
1059.63	16.56	-6.97	-6.062	5.306	1053.53	2010-01-15
1070.58	16.44	10.95	31.57	5.65	1054.63	2010-01-18
1072.57	16.69	1.99	20.96	6.014	1055.79	2010-01-19
1068.59	16.64	-3.98	31.92	5.913	1056.62	2010-01-20
1069.58	16.87	0.99	72.15	5.846	1057.45	2010-01-21
1063.61	16.52	-5.97	-18.25	5.25	1057.85	2010-01-22
1054.65	16.34	-8.96	-86.06	4.009	1057.64	2010-01-25
1052.65	16.17	-2.0	-151.2	2.831	1057.32	2010-01-26
1049.67	15.94	-2.98	-134.8	1.639	1056.83	2010-01-27
1043.69	16.01	-5.98	-124.4	0.2084	1055.98	2010-01-28
1050.66	15.57	6.97	-121.3	-0.3584	1055.64	2010-01-29
1050.66	15.46	0.0	-80.97	-0.7985	1055.32	2010-02-01
1057.63	15.56	6.97	-61.79	-0.5781	1055.47	2010-02-02
1041.7	15.94	-15.93	-112.9	-1.67	1054.58	2010-02-03
1021.78	16.87	-19.92	-202.0	-4.095	1052.46	2010-02-04
995.89	17.98	-25.89	-299.2	-8.014	1048.81	2010-02-05
1005.85	17.83	9.96	-233.9	-10.2	1046.04	2010-02-08
1009.83	17.76	3.98	-175.6	-11.48	1043.7	2010-02-09
1020.79	18.06	10.96	-118.1	-11.47	1042.23	2010-02-10
1013.81	19.4	-6.98	-132.7	-11.89	1040.39	2010-02-11
1025.77	20.29	11.96	-60.17	-11.14	1039.45	2010-02-12
1025.77	19.77	0.0	-43.84	-10.42	1038.57	2010-02-15
1035.72	19.21	9.95	-15.92	-8.938	1038.38	2010-02-16
1045.68	18.76	9.96	21.12	-6.884	1038.85	2010-02-17
1056.64	18.63	10.96	60.02	-4.322	1040.0	2010-02-18
