Close	ATR	Momentum	CCI	MACD	EMA	Times
14.85	0.7668	-0.13	-112.4	-1.018	17.09	2009-02-20
14.37	0.7678	-0.48	-116.0	-1.054	16.91	2009-02-23
15.18	0.7844	0.81	-84.73	-1.006	16.8	2009-02-24
14.7	0.7826	-0.48	-94.12	-0.9946	16.66	2009-02-25
14.28	0.7731	-0.42	-107.8	-1.008	16.51	2009-02-26
14.2	0.7608	-0.08	-120.8	-1.013	16.36	2009-02-27
13.59	0.7586	-0.61	-147.5	-1.055	16.18	2009-03-02
13.86	0.7473	0.27	-123.8	-1.054	16.03	2009-03-03
14.35	0.7617	0.49	-90.11	-1.002	15.92	2009-03-04
13.54	0.7738	-0.81	-128.0	-1.014	15.77	2009-03-05
13.41	0.7849	-0.13	-134.6	-1.023	15.62	2009-03-06
13.2	0.776	-0.21	-128.8	-1.034	15.46	2009-03-09
14.07	0.8106	0.87	-91.43	-0.9625	15.37	2009-03-10
14.05	0.7891	-0.02	-42.05	-0.8968	15.29	2009-03-11
14.76	0.7884	0.71	10.05	-0.7784	15.25	2009-03-12
14.51	0.77	-0.25	28.72	-0.6968	15.2	2009-03-13
14.58	0.7493	0.07	48.01	-0.6193	15.16	2009-03-16
15.09	0.7365	0.51	81.63	-0.5108	15.16	2009-03-17
15.34	0.7367	0.25	124.0	-0.4001	15.17	2009-03-18
14.99	0.7334	-0.35	102.1	-0.3367	15.16	2009-03-19
14.78	0.7353	-0.21	65.35	-0.2999	15.14	2009-03-20
16.02	0.7713	1.24	158.8	-0.1688	15.19	2009-03-23
15.49	0.7691	-0.53	130.4	-0.1064	15.21	2009-03-24
15.69	0.7756	0.2	124.6	-0.04034	15.24	2009-03-25
16.14	0.7652	0.45	141.5	0.04776	15.3	2009-03-26
15.75	0.7505	-0.39	109.4	0.08513	15.33	2009-03-27
15.12	0.7605	-0.63	44.12	0.06318	15.32	2009-03-30
15.38	0.7469	0.26	60.09	0.06601	15.32	2009-03-31
15.91	0.7528	0.53	80.06	0.1097	15.36	2009-04-01
17.12	0.8026	1.21	181.7	0.2393	15.47	2009-04-02
16.94	0.7824	-0.18	173.8	0.3237	15.57	2009-04-03
