Close	ATR	Momentum	CCI	MACD	EMA	Times
37.36	1.27	-0.36	-137.0	0.2279	38.44	2019-05-07
37.03	1.235	-0.33	-127.3	0.07686	38.35	2019-05-08
37.35	1.226	0.32	-117.0	-0.01678	38.28	2019-05-09
37.45	1.2	0.1	-87.39	-0.08198	38.23	2019-05-10
35.95	1.231	-1.5	-128.6	-0.2518	38.08	2019-05-13
37.03	1.252	1.08	-93.84	-0.2958	38.01	2019-05-14
37.36	1.246	0.33	-68.75	-0.3006	37.97	2019-05-15
37.38	1.199	0.02	-48.46	-0.2993	37.93	2019-05-16
35.85	1.23	-1.53	-103.8	-0.417	37.8	2019-05-17
35.34	1.186	-0.51	-140.4	-0.5451	37.64	2019-05-20
35.73	1.16	0.39	-119.2	-0.6081	37.52	2019-05-21
35.43	1.111	-0.3	-131.6	-0.6745	37.38	2019-05-22
34.37	1.132	-1.06	-172.6	-0.8034	37.19	2019-05-23
34.72	1.108	0.35	-143.7	-0.8673	37.03	2019-05-24
34.27	1.096	-0.45	-138.7	-0.9434	36.85	2019-05-28
34.37	1.089	0.1	-123.0	-0.9843	36.69	2019-05-29
34.7	1.042	0.33	-99.56	-0.9788	36.56	2019-05-30
33.48	1.055	-1.22	-132.3	-1.061	36.36	2019-05-31
34.34	1.041	0.86	-101.9	-1.044	36.23	2019-06-03
35.75	1.067	1.41	-19.85	-0.9067	36.2	2019-06-04
36.04	1.068	0.29	6.29	-0.7656	36.19	2019-06-05
36.55	1.051	0.51	50.49	-0.6057	36.21	2019-06-06
36.73	1.018	0.18	75.24	-0.4591	36.25	2019-06-07
36.96	0.9864	0.23	102.5	-0.3207	36.29	2019-06-10
37.26	0.9473	0.3	102.3	-0.1847	36.36	2019-06-11
37.58	0.929	0.32	113.2	-0.05045	36.43	2019-06-12
37.86	0.909	0.28	124.8	0.07761	36.53	2019-06-13
36.62	0.9405	-1.24	82.16	0.07814	36.53	2019-06-14
35.33	0.9805	-1.29	-10.65	-0.02524	36.46	2019-06-17
35.52	0.9726	0.19	1.937	-0.09079	36.39	2019-06-18
34.72	1.001	-0.8	-35.47	-0.2049	36.29	2019-06-19
35.03	0.9852	0.31	-32.71	-0.2673	36.21	2019-06-20
34.62	0.9634	-0.41	-52.92	-0.3458	36.1	2019-06-21
35.5	0.9653	0.88	-29.67	-0.3332	36.06	2019-06-24
35.57	0.9564	0.07	-12.31	-0.3139	36.03	2019-06-25
36.12	0.9666	0.55	24.88	-0.2514	36.04	2019-06-26
36.45	0.9326	0.33	38.55	-0.1732	36.06	2019-06-27
35.3	0.9745	-1.15	-24.91	-0.2017	36.02	2019-06-28
35.91	0.9506	0.61	-29.2	-0.173	36.01	2019-07-01
35.37	0.9542	-0.54	-64.95	-0.1917	35.97	2019-07-02
35.32	0.9096	-0.05	-62.29	-0.2082	35.93	2019-07-03
35.3	0.866	-0.02	-67.57	-0.2203	35.89	2019-07-05
34.74	0.8613	-0.56	-86.68	-0.2719	35.81	2019-07-08
34.27	0.8519	-0.47	-136.0	-0.3468	35.71	2019-07-09
34.04	0.8368	-0.23	-136.9	-0.4198	35.6	2019-07-10
34.21	0.822	0.17	-142.2	-0.4587	35.51	2019-07-11
35.59	0.8783	1.38	-8.773	-0.3738	35.52	2019-07-12
36.46	0.882	0.87	123.7	-0.2337	35.58	2019-07-15
37.46	0.9069	1.0	219.3	-0.04146	35.7	2019-07-16
36.94	0.8978	-0.52	164.8	0.06814	35.78	2019-07-17
37.05	0.873	0.11	138.2	0.162	35.86	2019-07-18
36.88	0.8277	-0.17	115.0	0.2201	35.93	2019-07-19
36.43	0.8179	-0.45	69.53	0.2273	35.96	2019-07-22
37.67	0.8623	1.24	121.3	0.3292	36.07	2019-07-23
37.79	0.8493	0.12	127.0	0.4149	36.18	2019-07-24
36.35	0.9158	-1.44	41.01	0.3624	36.19	2019-07-25
35.16	0.9454	-1.19	-36.85	0.2222	36.13	2019-07-26
34.4	0.9357	-0.76	-86.97	0.04925	36.01	2019-07-29
34.65	0.9024	0.25	-82.47	-0.06689	35.93	2019-07-30
34.68	0.9137	0.03	-60.57	-0.1547	35.85	2019-07-31
33.54	0.9413	-1.14	-104.0	-0.3127	35.7	2019-08-01
32.65	0.9833	-0.89	-138.5	-0.504	35.5	2019-08-02
32.05	0.9917	-0.6	-170.5	-0.6959	35.28	2019-08-05
31.81	1.009	-0.24	-155.1	-0.8575	35.05	2019-08-06
32.14	0.9924	0.33	-136.3	-0.948	34.87	2019-08-07
33.5	1.02	1.36	-81.63	-0.8996	34.78	2019-08-08
33.39	0.9929	-0.11	-65.53	-0.8602	34.69	2019-08-09
32.71	0.9877	-0.68	-73.54	-0.8738	34.56	2019-08-12
33.54	1.029	0.83	-48.95	-0.8083	34.5	2019-08-13
31.56	1.101	-1.98	-95.73	-0.9057	34.31	2019-08-14
31.06	1.094	-0.5	-117.0	-1.012	34.1	2019-08-15
31.87	1.12	0.81	-96.62	-1.018	33.95	2019-08-16
32.65	1.109	0.78	-47.7	-0.9499	33.87	2019-08-19
30.9	1.16	-1.75	-97.82	-1.025	33.68	2019-08-20
30.99	1.132	0.09	-103.0	-1.065	33.5	2019-08-21
30.1	1.148	-0.89	-130.2	-1.155	33.28	2019-08-22
29.15	1.148	-0.95	-176.2	-1.288	33.02	2019-08-23
29.22	1.104	0.07	-162.9	-1.373	32.77	2019-08-26
29.47	1.072	0.25	-137.6	-1.403	32.56	2019-08-27
30.44	1.092	0.97	-98.07	-1.333	32.42	2019-08-28
30.84	1.075	0.4	-38.72	-1.232	32.32	2019-08-29
31.03	1.036	0.19	-28.78	-1.123	32.24	2019-08-30
30.43	1.039	-0.6	-65.63	-1.073	32.12	2019-09-03
30.97	1.017	0.54	-31.04	-0.9781	32.05	2019-09-04
31.56	1.018	0.59	21.25	-0.8458	32.02	2019-09-05
31.47	0.9977	-0.09	14.05	-0.7396	31.98	2019-09-06
32.36	0.9985	0.89	72.6	-0.577	32.0	2019-09-09
33.72	1.026	1.36	164.4	-0.3346	32.12	2019-09-10
34.12	1.03	0.4	195.8	-0.1089	32.24	2019-09-11
34.19	1.04	0.07	172.9	0.07474	32.37	2019-09-12
35.09	1.042	0.9	191.0	0.2896	32.55	2019-09-13
35.67	1.06	0.58	184.8	0.5008	32.75	2019-09-16
34.94	1.061	-0.73	135.4	0.6024	32.89	2019-09-17
34.58	1.036	-0.36	97.29	0.6464	33.0	2019-09-18
34.68	1.01	0.1	93.88	0.6815	33.11	2019-09-19
35.09	1.03	0.41	87.29	0.7339	33.23	2019-09-20
34.87	1.014	-0.22	72.14	0.7491	33.34	2019-09-23
33.92	1.048	-0.95	44.07	0.6767	33.38	2019-09-24
34.71	1.069	0.79	50.08	0.6752	33.46	2019-09-25
34.38	1.032	-0.33	46.22	0.6401	33.52	2019-09-26
34.26	1.003	-0.12	43.11	0.5957	33.57	2019-09-27
34.68	0.9693	0.42	46.24	0.5876	33.64	2019-09-30
33.46	1.039	-1.22	11.19	0.4772	33.63	2019-10-01
32.7	1.048	-0.76	-101.2	0.3247	33.57	2019-10-02
32.98	1.026	0.28	-102.6	0.2239	33.53	2019-10-03
33.0	0.9927	0.02	-100.2	0.1439	33.5	2019-10-04
32.88	0.9747	-0.12	-120.4	0.07002	33.46	2019-10-07
31.92	0.975	-0.96	-169.3	-0.06524	33.36	2019-10-08
32.04	0.9411	0.12	-145.0	-0.1609	33.27	2019-10-09
32.7	0.9403	0.66	-98.24	-0.1814	33.24	2019-10-10
34.31	1.019	1.61	10.25	-0.06688	33.31	2019-10-11
34.08	0.9997	-0.23	16.99	0.005218	33.36	2019-10-14
