Close	ATR	Momentum	CCI	MACD	EMA	Times
837.03	31.78	16.45	119.5	-8.218	811.37	2010-01-06
850.49	31.72	13.46	183.9	-3.704	813.9	2010-01-07
863.46	30.88	12.97	200.1	0.9097	817.09	2010-01-08
849.5	31.98	-13.96	174.7	3.4	819.18	2010-01-11
805.63	33.62	-43.87	34.69	1.813	818.31	2010-01-12
793.16	33.67	-12.47	-4.597	-0.4454	816.69	2010-01-13
802.14	32.83	8.98	3.773	-1.494	815.75	2010-01-14
794.66	32.2	-7.48	-12.82	-2.895	814.39	2010-01-15
801.64	31.04	6.98	1.954	-3.403	813.57	2010-01-18
804.63	30.03	2.99	5.649	-3.523	812.99	2010-01-19
773.72	30.73	-30.91	-60.01	-6.043	810.46	2010-01-20
725.86	32.85	-47.86	-153.0	-11.77	805.0	2010-01-21
710.41	33.14	-15.45	-218.2	-17.35	798.9	2010-01-22
712.4	32.16	1.99	-192.9	-21.37	793.31	2010-01-25
695.95	32.0	-16.45	-196.8	-25.58	787.03	2010-01-26
670.03	32.28	-25.92	-185.0	-30.66	779.48	2010-01-27
675.01	31.4	4.98	-146.0	-33.9	772.74	2010-01-28
669.53	31.65	-5.48	-129.1	-36.48	766.09	2010-01-29
697.94	31.88	28.41	-95.14	-35.82	761.69	2010-02-01
722.37	31.77	24.43	-56.21	-32.95	759.15	2010-02-02
705.92	31.78	-16.45	-51.41	-31.64	755.72	2010-02-03
669.03	32.54	-36.89	-81.32	-33.19	750.13	2010-02-04
667.53	31.92	-1.5	-97.59	-34.15	744.8	2010-02-05
702.93	32.46	35.4	-52.43	-31.68	742.1	2010-02-08
726.86	32.45	23.93	-9.579	-27.49	741.11	2010-02-09
720.88	32.38	-5.98	4.506	-24.36	739.81	2010-02-10
728.35	32.45	7.47	22.93	-21.04	739.07	2010-02-11
718.38	34.48	-9.97	23.34	-18.99	737.73	2010-02-12
729.35	33.58	10.97	44.92	-16.29	737.19	2010-02-15
757.77	33.43	28.42	109.3	-11.73	738.52	2010-02-16
767.74	32.46	9.97	163.4	-7.222	740.41	2010-02-17
783.19	32.71	15.45	161.3	-2.378	743.17	2010-02-18
771.73	32.62	-11.46	129.3	0.5309	745.01	2010-02-19
775.22	31.99	3.49	135.5	3.082	746.96	2010-02-22
749.29	32.84	-25.93	85.39	2.977	747.11	2010-02-23
754.78	32.35	5.49	55.14	3.299	747.6	2010-02-24
734.84	32.32	-19.94	28.72	1.923	746.78	2010-02-25
748.3	31.25	13.46	39.4	1.897	746.88	2010-02-26
780.2	31.62	31.9	105.9	4.399	749.03	2010-03-01
815.1	31.86	34.9	157.9	9.094	753.29	2010-03-02
837.03	31.68	21.93	185.9	14.42	758.69	2010-03-03
810.11	31.59	-26.92	141.0	16.28	762.01	2010-03-04
844.01	32.15	33.9	168.4	20.25	767.3	2010-03-05
845.51	32.99	1.5	179.1	23.26	772.35	2010-03-08
837.53	32.37	-7.98	122.2	24.71	776.55	2010-03-09
864.45	32.7	26.92	137.4	27.71	782.22	2010-03-10
839.53	32.6	-24.92	102.4	27.76	785.92	2010-03-11
843.52	31.95	3.99	90.55	27.8	789.64	2010-03-12
817.59	31.63	-25.93	50.82	25.45	791.44	2010-03-15
823.57	31.04	5.98	49.68	23.79	793.51	2010-03-16
851.49	30.89	27.92	75.28	24.45	797.25	2010-03-17
834.04	30.25	-17.45	57.55	23.29	799.63	2010-03-18
824.57	30.51	-9.47	45.76	21.37	801.24	2010-03-19
827.56	30.47	2.99	10.06	19.85	802.93	2010-03-22
837.03	29.36	9.47	43.62	19.2	805.13	2010-03-23
817.09	29.29	-19.94	-0.629	16.87	805.9	2010-03-24
825.07	29.73	7.98	-34.45	15.5	807.14	2010-03-25
831.55	29.1	6.48	-8.293	14.76	808.72	2010-03-26
832.55	28.45	1.0	9.531	14.09	810.25	2010-03-29
839.53	27.48	6.98	50.43	13.96	812.14	2010-03-30
845.51	26.52	5.98	67.47	14.18	814.3	2010-03-31
865.45	26.44	19.94	174.7	15.78	817.6	2010-04-01
875.42	25.72	9.97	203.8	17.65	821.33	2010-04-06
869.94	25.03	-5.48	167.8	18.48	824.46	2010-04-07
851.49	25.05	-18.45	81.99	17.45	826.21	2010-04-08
881.4	25.51	29.91	154.8	18.82	829.77	2010-04-09
864.45	25.82	-16.95	133.7	18.33	832.0	2010-04-12
843.52	25.83	-20.93	26.78	16.07	832.75	2010-04-13
867.44	25.91	23.92	60.04	16.03	834.99	2010-04-14
862.46	25.48	-4.98	62.16	15.41	836.76	2010-04-15
840.52	25.76	-21.94	4.194	13.0	837.0	2010-04-16
824.07	25.17	-16.45	-70.09	9.653	836.17	2010-04-19
835.04	24.44	10.97	-52.85	7.795	836.09	2010-04-20
831.05	24.58	-3.99	-48.84	5.933	835.77	2010-04-21
813.6	25.6	-17.45	-108.0	3.014	834.34	2010-04-22
832.55	26.12	18.95	-82.3	2.204	834.22	2010-04-23
837.53	25.82	4.98	-36.44	1.942	834.44	2010-04-26
800.64	26.62	-36.89	-150.2	-1.228	832.26	2010-04-27
804.13	26.6	3.49	-160.7	-3.419	830.44	2010-04-28
815.6	26.48	11.47	-114.8	-4.182	829.48	2010-04-29
799.15	27.26	-16.45	-103.5	-6.045	827.53	2010-04-30
761.26	28.8	-37.89	-188.1	-10.46	823.25	2010-05-04
804.63	30.63	43.37	-123.8	-10.34	822.05	2010-05-05
809.12	31.57	4.49	-66.97	-9.765	821.22	2010-05-06
798.65	32.63	-10.47	-86.11	-10.04	819.76	2010-05-07
858.47	35.46	59.82	70.53	-5.371	822.26	2010-05-10
842.02	35.71	-16.45	59.52	-2.964	823.53	2010-05-11
859.58	36.79	17.56	83.18	0.3572	825.86	2010-05-12
891.49	36.83	31.91	185.5	5.5	830.09	2010-05-13
884.51	37.3	-6.98	192.7	8.911	833.6	2010-05-14
872.54	37.38	-11.97	142.5	10.53	836.12	2010-05-17
873.04	36.67	0.5	114.0	11.71	838.5	2010-05-18
839.14	37.79	-33.9	16.54	9.803	838.54	2010-05-19
812.71	38.94	-26.43	-35.7	6.087	836.87	2010-05-20
847.61	38.9	34.9	11.17	5.891	837.57	2010-05-21
839.14	39.68	-8.47	14.65	4.994	837.67	2010-05-24
