Close	ATR	Momentum	CCI	MACD	EMA	Times
12.08	0.2629	-0.02	-54.14	0.08766	12.14	2010-08-16
12.2	0.2605	0.12	-12.28	0.07757	12.15	2010-08-17
11.99	0.2584	-0.21	-78.08	0.05202	12.14	2010-08-18
11.64	0.267	-0.35	-193.4	0.003492	12.11	2010-08-19
11.49	0.2665	-0.15	-231.8	-0.04653	12.07	2010-08-20
11.54	0.2661	0.05	-198.8	-0.08121	12.03	2010-08-23
11.23	0.2699	-0.31	-216.5	-0.1322	11.98	2010-08-24
11.31	0.2649	0.08	-172.1	-0.1642	11.94	2010-08-25
11.22	0.2574	-0.09	-145.8	-0.1946	11.89	2010-08-26
11.41	0.2605	0.19	-112.4	-0.2011	11.86	2010-08-27
11.19	0.2501	-0.07	-100.0	-0.2305	11.78	2010-08-31
11.45	0.2593	0.26	-62.45	-0.2186	11.76	2010-09-01
11.52	0.248	0.07	-45.18	-0.2012	11.74	2010-09-02
11.7	0.246	0.18	-11.54	-0.171	11.74	2010-09-03
11.55	0.2412	-0.15	-27.0	-0.1573	11.73	2010-09-07
11.71	0.2383	0.16	1.241	-0.132	11.73	2010-09-08
11.85	0.2384	0.14	45.58	-0.0995	11.74	2010-09-09
12.0	0.2285	0.16	97.16	-0.0399	11.76	2010-09-13
11.95	0.2208	-0.05	97.62	-0.01695	11.77	2010-09-14
11.96	0.2114	0.01	97.42	0.002025	11.78	2010-09-15
11.97	0.2013	0.01	105.7	0.01767	11.8	2010-09-16
12.19	0.2048	0.22	134.6	0.04727	11.82	2010-09-17
12.64	0.2266	0.45	194.9	0.1058	11.87	2010-09-20
12.77	0.2311	0.13	203.4	0.1609	11.93	2010-09-21
13.19	0.2337	0.07	159.5	0.324	12.18	2010-09-27
13.11	0.2434	-0.08	119.7	0.3451	12.24	2010-09-28
13.13	0.241	0.02	109.6	0.3593	12.3	2010-09-29
13.08	0.2467	-0.05	89.24	0.3623	12.35	2010-09-30
13.34	0.2514	0.16	77.65	0.3562	12.64	2010-10-08
13.4	0.2484	0.06	97.79	0.3568	12.69	2010-10-11
13.47	0.245	0.07	101.0	0.3587	12.74	2010-10-12
13.52	0.2382	0.05	114.9	0.3601	12.79	2010-10-13
13.46	0.2355	-0.06	97.75	0.3523	12.83	2010-10-14
14.96	0.3265	1.5	384.3	0.4619	12.97	2010-10-15
15.37	0.3375	0.41	324.5	0.5752	13.12	2010-10-18
15.12	0.3398	-0.25	226.1	0.6374	13.25	2010-10-19
15.12	0.3334	0.0	175.7	0.6789	13.37	2010-10-20
15.22	0.3274	0.1	140.0	0.7117	13.49	2010-10-21
15.24	0.3119	0.02	118.4	0.7308	13.6	2010-10-22
15.34	0.311	0.1	111.2	0.7455	13.72	2010-10-25
15.39	0.3067	0.05	93.56	0.7524	13.82	2010-10-26
15.34	0.2983	-0.05	81.84	0.7453	13.92	2010-10-27
15.39	0.2906	0.05	75.91	0.7353	14.02	2010-10-28
15.27	0.2806	-0.12	65.31	0.7094	14.1	2010-10-29
15.3	0.2777	0.03	60.54	0.6835	14.17	2010-11-01
15.31	0.2671	0.01	58.07	0.6562	14.25	2010-11-02
15.43	0.263	0.12	58.17	0.6369	14.32	2010-11-03
15.53	0.2614	0.1	71.16	0.6225	14.4	2010-11-04
15.59	0.2441	0.04	75.25	0.5888	14.55	2010-11-08
15.54	0.2445	-0.05	77.07	0.5649	14.61	2010-11-09
15.49	0.2399	-0.05	59.96	0.5358	14.67	2010-11-10
15.35	0.2378	-0.14	8.477	0.4956	14.71	2010-11-11
15.01	0.2487	-0.34	-152.2	0.4314	14.73	2010-11-12
14.81	0.2488	-0.2	-242.5	0.3603	14.74	2010-11-15
14.52	0.2567	-0.29	-284.9	0.2773	14.72	2010-11-16
14.84	0.2639	0.32	-129.5	0.1788	14.72	2010-11-18
14.7	0.2579	-0.14	-119.4	0.1419	14.72	2010-11-19
14.71	0.258	0.01	-120.3	0.1121	14.72	2010-11-22
14.5	0.2632	-0.21	-128.9	0.07078	14.7	2010-11-23
14.8	0.2687	0.3	-72.13	0.06151	14.71	2010-11-24
14.68	0.2638	-0.12	-76.37	0.04398	14.71	2010-11-26
14.48	0.2628	-0.2	-92.83	0.01379	14.69	2010-11-29
13.82	0.2954	-0.66	-167.4	-0.06267	14.64	2010-11-30
14.04	0.3029	0.22	-131.8	-0.1043	14.6	2010-12-01
14.22	0.297	0.18	-107.7	-0.1214	14.57	2010-12-02
14.25	0.2908	0.03	-92.62	-0.131	14.55	2010-12-03
14.39	0.2864	0.14	-60.22	-0.1259	14.54	2010-12-06
14.61	0.2917	0.22	-8.087	-0.1028	14.55	2010-12-07
14.69	0.2866	0.08	2.573	-0.07727	14.56	2010-12-08
14.71	0.2782	0.02	34.48	-0.05475	14.57	2010-12-09
14.73	0.2655	0.02	49.22	-0.03489	14.58	2010-12-10
14.79	0.2658	0.06	97.27	-0.01414	14.59	2010-12-13
14.8	0.2568	0.01	83.06	0.00307	14.6	2010-12-14
14.68	0.2514	-0.12	53.92	0.006948	14.61	2010-12-15
14.72	0.2434	0.04	43.9	0.0131	14.62	2010-12-16
14.8	0.2343	0.1	66.87	0.02637	14.63	2010-12-20
15.0	0.2347	0.2	120.4	0.05002	14.66	2010-12-21
15.06	0.225	0.06	132.9	0.07276	14.68	2010-12-22
15.03	0.2154	-0.03	115.6	0.08736	14.7	2010-12-23
14.95	0.1956	0.05	78.29	0.09248	14.75	2010-12-29
14.9	0.1887	-0.05	60.03	0.08828	14.76	2010-12-30
14.78	0.1874	-0.12	9.821	0.0744	14.76	2010-12-31
14.98	0.1909	-0.05	84.89	0.08414	14.79	2011-01-04
15.15	0.1951	0.17	121.8	0.09793	14.81	2011-01-05
15.26	0.1976	0.11	197.4	0.1164	14.84	2011-01-06
