Close	ATR	Momentum	CCI	MACD	EMA	Times
1216.27	22.7	-6.49	150.1	9.891	1163.43	2010-08-16
1215.28	21.93	-0.99	124.9	12.46	1166.78	2010-08-17
1214.78	21.33	-0.5	118.3	14.29	1169.87	2010-08-18
1188.81	22.05	-25.97	73.18	13.49	1171.1	2010-08-19
1204.79	22.12	15.98	74.19	13.99	1173.27	2010-08-20
1225.76	22.07	20.97	104.6	15.89	1176.66	2010-08-23
1198.3	22.53	-27.46	68.06	15.01	1178.05	2010-08-24
1203.79	21.99	5.49	54.54	14.58	1179.71	2010-08-25
1208.29	21.27	4.5	57.14	14.44	1181.56	2010-08-26
1223.76	21.18	15.47	76.2	15.4	1184.28	2010-08-27
1219.27	21.06	-4.49	63.15	15.62	1186.54	2010-08-31
1257.22	22.26	37.95	124.9	18.64	1191.1	2010-09-01
1259.71	22.1	2.49	149.8	21.0	1195.52	2010-09-02
1266.7	21.91	6.99	164.1	23.16	1200.12	2010-09-03
1258.21	22.4	10.98	118.8	23.55	1206.71	2010-09-07
1264.21	22.12	6.0	133.2	24.17	1210.42	2010-09-08
1273.19	21.79	8.98	122.5	25.09	1214.47	2010-09-09
1280.68	20.63	6.99	117.1	26.21	1222.31	2010-09-13
1280.18	19.91	-0.5	102.7	26.37	1226.05	2010-09-14
1281.68	19.34	1.5	94.67	26.32	1229.64	2010-09-15
1271.2	18.85	-10.48	77.95	25.14	1232.32	2010-09-16
1272.19	19.29	0.99	81.61	24.01	1234.89	2010-09-17
1288.17	19.76	15.98	87.84	24.12	1238.33	2010-09-20
1280.18	19.42	-7.99	87.21	23.3	1241.03	2010-09-21
1270.7	20.66	7.99	18.95	16.16	1246.71	2010-09-27
1263.21	20.72	-7.49	-56.25	14.6	1247.77	2010-09-28
1249.23	21.2	-13.98	-108.5	12.1	1247.86	2010-09-29
1252.72	21.61	3.49	-110.2	10.28	1248.18	2010-09-30
1301.65	20.61	6.99	161.7	11.59	1256.84	2010-10-08
1296.66	20.13	-4.99	150.6	12.69	1259.4	2010-10-11
1304.15	20.59	7.49	125.1	14.0	1262.29	2010-10-12
1316.63	20.26	12.48	173.1	15.86	1265.8	2010-10-13
1300.65	20.56	-15.98	120.9	15.87	1268.05	2010-10-14
1286.17	20.55	-14.48	50.18	14.53	1269.21	2010-10-15
1302.15	20.76	15.98	73.34	14.6	1271.34	2010-10-18
1290.67	20.42	-11.48	56.03	13.57	1272.59	2010-10-19
1290.17	20.1	-0.5	32.48	12.57	1273.72	2010-10-20
1273.19	21.62	-16.98	-15.12	10.28	1273.69	2010-10-21
1278.68	21.15	5.49	-10.31	8.814	1274.01	2010-10-22
1285.18	21.21	6.5	20.31	8.082	1274.73	2010-10-25
1263.21	21.51	-21.97	-42.7	5.663	1273.99	2010-10-26
1242.93	21.96	-20.28	-140.7	2.087	1271.98	2010-10-27
1231.45	21.68	-11.48	-158.4	-1.656	1269.37	2010-10-28
1219.46	21.27	-11.99	-180.2	-5.525	1266.15	2010-10-29
1222.46	20.71	3.0	-172.6	-8.254	1263.33	2010-11-01
1218.96	20.09	-3.5	-150.9	-10.58	1260.47	2010-11-02
1210.97	19.83	-7.99	-142.6	-12.91	1257.27	2010-11-03
1225.95	20.06	14.98	-102.0	-13.4	1255.25	2010-11-04
1252.42	20.54	-7.99	-18.29	-9.425	1255.38	2010-11-08
1233.94	20.71	-18.48	-48.26	-9.648	1254.0	2010-11-09
1236.44	20.63	2.5	-55.79	-9.514	1252.87	2010-11-10
1227.95	19.97	-8.49	-65.41	-9.977	1251.26	2010-11-11
1221.46	19.62	-6.49	-78.81	-10.74	1249.34	2010-11-12
1220.46	19.18	-1.0	-80.5	-11.3	1247.47	2010-11-15
1211.97	18.99	-8.49	-84.59	-12.29	1245.18	2010-11-16
1255.91	19.81	14.48	54.64	-7.949	1245.65	2010-11-18
1249.92	20.0	-5.99	58.11	-6.283	1245.92	2010-11-19
1245.93	20.03	-3.99	76.13	-5.224	1245.92	2010-11-22
1224.45	20.17	-21.48	-13.36	-6.048	1244.54	2010-11-23
1229.95	20.05	5.5	-43.77	-6.186	1243.6	2010-11-24
1258.91	20.38	17.48	93.46	-3.165	1244.45	2010-11-26
1222.96	21.92	-35.95	10.25	-4.318	1243.07	2010-11-29
1210.47	22.28	-12.49	-92.31	-6.168	1240.96	2010-11-30
1229.45	22.51	18.98	-75.78	-6.034	1240.22	2010-12-01
1239.94	22.5	10.49	-20.83	-5.023	1240.2	2010-12-02
1230.95	22.18	-8.99	10.8	-4.89	1239.61	2010-12-03
1235.44	21.52	4.49	-20.04	-4.373	1239.34	2010-12-06
1240.44	20.88	5.0	44.71	-3.519	1239.41	2010-12-07
1244.93	20.39	4.49	70.76	-2.451	1239.76	2010-12-08
1244.93	19.5	0.0	74.89	-1.587	1240.1	2010-12-09
1248.42	19.28	3.49	80.19	-0.6135	1240.64	2010-12-10
1251.42	18.51	3.0	104.8	0.3957	1241.33	2010-12-13
1255.91	18.01	4.49	103.0	1.54	1242.27	2010-12-14
1267.4	18.37	11.49	147.0	3.336	1243.89	2010-12-15
1269.9	18.12	2.5	190.7	4.904	1245.57	2010-12-16
1261.41	18.15	-2.49	117.2	5.879	1247.7	2010-12-20
1254.42	18.21	-6.99	53.96	5.475	1248.13	2010-12-21
1258.41	18.05	3.99	51.62	5.414	1248.8	2010-12-22
1260.41	17.33	2.0	70.66	5.465	1249.54	2010-12-23
1264.4	19.08	-10.99	105.0	6.603	1252.06	2010-12-29
1257.41	18.39	-6.99	46.54	5.943	1252.41	2010-12-30
1238.44	18.61	-18.97	-54.33	3.845	1251.51	2010-12-31
1267.9	19.78	29.46	61.32	4.508	1252.56	2011-01-04
1250.42	20.33	-17.48	8.817	3.582	1252.43	2011-01-05
1247.92	19.8	-2.5	-66.28	2.616	1252.14	2011-01-06
1236.94	19.53	-10.98	-126.4	0.9529	1251.16	2011-01-07
1232.44	19.03	-4.5	-164.5	-0.7196	1249.95	2011-01-10
1222.96	18.84	-9.48	-207.8	-2.778	1248.21	2011-01-11
1227.45	18.57	4.49	-170.7	-4.001	1246.87	2011-01-12
1223.96	18.49	-3.49	-154.0	-5.192	1245.39	2011-01-13
1223.46	18.2	-0.5	-135.8	-6.106	1243.97	2011-01-14
1180.01	21.43	-23.47	-233.6	-11.88	1237.4	2011-01-18
1189.5	21.26	9.49	-166.5	-13.75	1234.31	2011-01-19
1150.05	22.63	-39.45	-207.4	-18.21	1228.88	2011-01-20
1154.54	21.94	4.49	-184.2	-21.14	1224.08	2011-01-21
1178.01	22.19	23.47	-127.4	-21.32	1221.11	2011-01-24
1166.03	21.89	-11.98	-113.6	-22.18	1217.56	2011-01-25
1171.52	20.99	-3.5	-84.53	-21.67	1212.02	2011-01-27
1142.06	22.31	-29.46	-117.4	-23.61	1207.5	2011-01-28
1127.08	22.0	-14.98	-127.6	-26.06	1202.32	2011-01-31
1145.05	22.14	17.97	-108.9	-26.25	1198.62	2011-02-01
1172.75	23.28	-24.74	10.35	-13.97	1189.78	2011-02-09
1169.25	22.83	-3.5	-1.144	-13.14	1188.46	2011-02-10
1174.75	22.12	5.5	26.15	-11.9	1187.57	2011-02-11
1173.25	21.65	-1.5	35.15	-10.91	1186.65	2011-02-14
1173.25	21.46	0.0	41.36	-10.01	1185.78	2011-02-15
1178.74	20.89	5.49	67.15	-8.752	1185.33	2011-02-16
1184.24	20.54	5.5	63.69	-7.229	1185.26	2011-02-17
1198.72	21.35	14.48	122.5	-4.798	1186.13	2011-02-18
1174.75	21.21	-19.48	52.06	-3.461	1185.88	2011-02-22
1178.74	20.68	3.99	24.57	-3.309	1185.42	2011-02-23
1176.75	20.49	-1.99	7.623	-3.312	1184.86	2011-02-24
1178.74	20.17	1.99	32.95	-3.117	1184.47	2011-02-25
1179.74	19.76	1.0	39.14	-2.849	1184.16	2011-02-28
1170.75	19.64	-8.99	-4.237	-3.324	1183.3	2011-03-01
1164.76	18.85	6.99	-150.8	-5.156	1180.56	2011-03-03
1170.25	19.18	5.49	-20.01	-5.021	1179.89	2011-03-04
1171.75	19.56	1.5	-23.31	-4.738	1179.37	2011-03-07
1177.75	19.12	6.0	-19.7	-3.985	1179.26	2011-03-08
1182.74	18.9	4.99	91.03	-2.95	1179.49	2011-03-09
1186.24	19.01	3.5	127.0	-1.827	1179.92	2011-03-10
1193.73	18.87	7.49	112.8	-0.3291	1180.82	2011-03-11
1185.24	18.41	-8.49	84.67	0.1712	1181.1	2011-03-14
1158.77	19.56	-26.47	-147.5	-1.55	1179.66	2011-03-15
1137.29	20.19	-21.48	-229.3	-4.595	1176.93	2011-03-16
1155.77	20.86	18.48	-184.9	-5.454	1175.56	2011-03-17
1140.78	20.52	-14.99	-152.7	-7.26	1173.32	2011-03-18
1152.77	20.48	11.99	-116.7	-7.636	1171.99	2011-03-21
1151.77	19.96	-1.0	-76.73	-7.924	1170.69	2011-03-22
1152.27	19.53	0.5	-73.94	-8.019	1169.5	2011-03-23
1158.77	19.17	6.5	-56.52	-7.483	1168.81	2011-03-24
1172.75	19.14	13.98	17.68	-5.863	1169.06	2011-03-25
1179.24	18.65	6.49	60.57	-4.01	1169.72	2011-03-28
1182.74	17.96	3.5	61.99	-2.232	1170.56	2011-03-29
1193.73	20.03	10.99	58.12	0.06218	1172.05	2011-03-30
1188.23	19.65	-5.5	103.3	1.42	1173.1	2011-03-31
1199.22	19.78	10.99	116.6	3.345	1174.78	2011-04-01
1211.71	19.28	-4.49	122.6	9.538	1182.0	2011-04-06
1215.21	18.73	3.5	122.0	10.67	1184.15	2011-04-07
1218.7	18.32	3.49	121.3	11.71	1186.37	2011-04-08
1223.7	18.12	5.0	114.1	12.79	1188.78	2011-04-11
1244.67	17.9	11.98	129.6	16.12	1195.04	2011-04-13
1257.16	17.96	17.48	130.9	18.94	1201.74	2011-04-15
1239.68	18.35	-17.48	102.8	18.83	1204.19	2011-04-18
1239.18	18.01	-0.5	84.13	18.49	1206.45	2011-04-19
1263.65	18.61	24.47	126.2	19.97	1210.14	2011-04-20
1247.67	18.82	-15.98	106.6	19.62	1212.56	2011-04-21
1259.16	18.69	11.49	95.22	20.04	1215.56	2011-04-26
1285.13	19.61	25.97	144.8	22.21	1220.05	2011-04-27
1304.11	20.45	18.98	198.1	25.18	1225.48	2011-04-28
1304.11	18.99	0.0	182.8	27.21	1230.55	2011-04-29
1314.6	19.48	10.49	170.9	29.33	1235.97	2011-05-03
1305.31	19.68	-9.29	147.4	29.92	1240.44	2011-05-04
1308.8	20.16	3.49	130.0	30.32	1244.85	2011-05-05
1314.8	19.94	6.0	110.5	30.76	1249.37	2011-05-06
1302.31	19.62	-12.49	89.88	29.76	1252.78	2011-05-09
1300.81	19.0	-1.5	74.0	28.52	1255.88	2011-05-10
1308.3	18.89	7.49	68.66	27.82	1259.26	2011-05-11
1329.78	19.65	21.48	94.68	28.67	1263.81	2011-05-12
1347.27	20.49	17.49	137.7	30.4	1269.2	2011-05-13
1346.77	20.21	-0.5	119.2	31.37	1274.2	2011-05-16
1312.8	21.19	-33.97	71.62	29.07	1276.69	2011-05-17
1319.29	20.39	6.49	57.72	27.44	1279.44	2011-05-18
1335.28	20.58	15.99	85.66	27.14	1283.04	2011-05-19
1331.28	20.11	-4.0	91.36	26.27	1286.15	2011-05-20
1313.3	20.2	-17.98	27.04	23.85	1287.91	2011-05-23
1318.3	19.76	5.0	28.93	22.09	1289.87	2011-05-24
1318.79	21.22	0.49	67.62	20.5	1291.73	2011-05-25
1314.8	20.47	-3.99	-2.233	18.69	1293.22	2011-05-26
1315.8	20.47	1.0	-16.94	17.15	1294.68	2011-05-27
1318.79	20.47	2.99	-22.01	15.98	1296.23	2011-05-31
1305.81	20.54	-12.98	-60.31	13.85	1296.85	2011-06-01
1280.33	20.9	-25.48	-203.7	9.989	1295.79	2011-06-02
1294.32	20.62	13.99	-164.7	7.966	1295.69	2011-06-03
1304.31	20.36	4.5	-71.36	6.041	1296.5	2011-06-07
1293.32	20.12	-10.99	-99.09	4.557	1296.29	2011-06-08
1293.82	19.71	0.5	-111.1	3.382	1296.13	2011-06-09
1275.33	19.88	-18.49	-154.8	0.9485	1294.79	2011-06-10
1281.83	19.74	6.5	-133.6	-0.4507	1293.95	2011-06-13
1286.82	19.2	4.99	-85.89	-1.144	1293.49	2011-06-14
1285.82	18.58	-1.0	-76.12	-1.754	1293.0	2011-06-15
1276.33	18.75	-9.49	-121.8	-2.968	1291.92	2011-06-16
1279.33	18.98	3.0	-116.6	-3.647	1291.11	2011-06-17
1274.34	18.55	-4.99	-108.0	-4.535	1290.03	2011-06-20
1273.84	18.01	-0.5	-94.05	-5.219	1288.98	2011-06-21
1279.83	18.26	5.99	-75.94	-5.218	1288.39	2011-06-22
1271.34	18.35	-8.49	-83.4	-5.834	1287.29	2011-06-23
1294.82	19.58	23.48	27.34	-4.378	1287.78	2011-06-24
1286.32	19.25	-8.5	10.13	-3.865	1287.68	2011-06-27
1301.31	19.31	14.99	81.26	-2.224	1288.56	2011-06-28
1321.29	19.53	19.98	212.7	0.6818	1290.68	2011-06-29
1332.78	19.56	11.49	231.9	3.867	1293.39	2011-06-30
1332.78	19.03	0.0	198.3	6.318	1295.93	2011-07-01
1345.77	18.46	3.5	166.4	11.14	1301.94	2011-07-05
1358.26	18.28	12.49	165.8	13.75	1305.58	2011-07-06
1365.25	18.23	6.99	159.1	16.19	1309.43	2011-07-07
1374.24	18.21	8.99	146.0	18.64	1313.61	2011-07-08
1356.26	18.37	-17.98	110.1	18.91	1316.36	2011-07-11
1363.75	18.88	7.49	91.01	19.51	1319.42	2011-07-12
1357.76	18.39	-5.99	81.15	19.27	1321.89	2011-07-13
1328.79	19.14	-28.97	30.97	16.56	1322.34	2011-07-14
1340.77	19.1	11.98	30.2	15.2	1323.53	2011-07-15
1333.78	18.67	-6.99	21.93	13.4	1324.19	2011-07-18
1321.79	18.51	-11.99	-8.719	10.89	1324.03	2011-07-19
