Close	ATR	Momentum	CCI	MACD	EMA	Times
64.07	4.864	-0.72	-29.22	1.947	63.0	2009-02-20
60.64	4.949	-3.43	-54.0	1.378	62.85	2009-02-23
70.42	5.3	9.78	26.29	1.697	63.34	2009-02-24
68.1	5.257	-2.32	33.87	1.742	63.64	2009-02-25
69.79	5.103	1.69	55.7	1.893	64.04	2009-02-26
68.98	5.057	-0.81	30.56	1.924	64.36	2009-02-27
65.34	4.994	-3.64	-27.61	1.637	64.42	2009-03-02
62.39	5.1	-2.95	-91.23	1.158	64.29	2009-03-03
64.73	5.087	2.34	-77.18	0.9557	64.32	2009-03-04
61.89	5.068	-2.84	-115.3	0.56	64.16	2009-03-05
57.3	5.313	-4.59	-160.7	-0.1226	63.72	2009-03-06
56.01	5.183	-1.29	-180.9	-0.7588	63.22	2009-03-09
64.59	5.435	8.58	-61.58	-0.5642	63.31	2009-03-10
69.98	5.492	5.39	59.38	0.02463	63.74	2009-03-11
73.66	5.496	3.68	123.5	0.7793	64.38	2009-03-12
74.83	5.331	1.17	159.4	1.455	65.06	2009-03-13
71.12	5.395	-3.71	131.1	1.672	65.45	2009-03-16
74.97	5.359	3.85	121.2	2.13	66.06	2009-03-17
79.72	5.522	4.75	167.6	2.843	66.94	2009-03-18
75.21	5.48	-4.51	131.2	3.01	67.48	2009-03-19
73.71	5.38	-1.5	82.18	2.987	67.88	2009-03-20
84.77	5.786	11.06	168.3	3.817	68.97	2009-03-23
83.77	5.714	-1.0	167.6	4.344	69.92	2009-03-24
85.55	5.727	1.78	136.7	4.849	70.93	2009-03-25
84.82	5.52	-0.73	122.7	5.132	71.83	2009-03-26
81.86	5.351	-2.96	94.96	5.058	72.47	2009-03-27
76.09	5.381	-5.77	42.14	4.483	72.71	2009-03-30
80.3	5.432	4.21	62.37	4.317	73.2	2009-03-31
83.53	5.444	3.23	76.07	4.395	73.86	2009-04-01
86.51	5.359	2.98	108.1	4.644	74.68	2009-04-02
90.43	5.367	3.92	124.3	5.099	75.7	2009-04-03
88.35	5.273	-2.08	109.5	5.232	76.51	2009-04-06
87.92	5.231	-0.43	105.2	5.241	77.25	2009-04-07
86.91	5.131	-1.01	83.66	5.109	77.87	2009-04-08
94.17	5.318	7.26	146.6	5.526	78.92	2009-04-09
98.57	5.412	4.4	181.3	6.141	80.19	2009-04-13
87.18	5.839	-11.39	77.5	5.644	80.64	2009-04-14
91.79	5.883	4.61	79.22	5.558	81.36	2009-04-15
91.79	5.685	0.0	96.43	5.427	82.03	2009-04-16
91.34	5.495	-0.45	82.13	5.227	82.63	2009-04-17
87.11	5.405	-4.23	22.13	4.673	82.92	2009-04-20
91.16	5.434	4.05	43.61	4.509	83.45	2009-04-21
91.26	5.422	0.1	75.66	4.337	83.96	2009-04-22
93.02	5.292	1.76	74.05	4.293	84.54	2009-04-23
91.87	5.101	-1.15	73.68	4.119	85.02	2009-04-24
91.57	5.009	-0.3	65.26	3.911	85.44	2009-04-27
91.39	4.783	-0.18	49.92	3.689	85.82	2009-04-28
96.33	4.835	4.94	129.9	3.867	86.5	2009-04-29
97.32	4.732	0.99	165.3	4.042	87.2	2009-04-30
96.25	4.617	-1.07	154.4	4.047	87.78	2009-05-01
101.61	4.735	5.36	197.5	4.433	88.67	2009-05-04
102.4	4.594	0.79	200.3	4.747	89.56	2009-05-05
105.44	4.545	3.04	204.1	5.182	90.58	2009-05-06
101.29	4.749	-4.15	140.3	5.133	91.28	2009-05-07
105.72	4.757	4.43	137.1	5.389	92.21	2009-05-08
102.84	4.675	-2.88	112.4	5.299	92.89	2009-05-11
102.56	4.676	-0.28	88.4	5.145	93.52	2009-05-12
97.9	4.74	-4.66	31.63	4.594	93.8	2009-05-13
101.19	4.698	3.29	48.6	4.373	94.28	2009-05-14
101.79	4.573	0.6	62.1	4.198	94.76	2009-05-15
108.42	4.72	6.63	123.8	4.541	95.64	2009-05-18
106.91	4.584	-1.51	127.8	4.638	96.37	2009-05-19
103.34	4.614	-3.57	76.99	4.377	96.82	2009-05-20
104.15	4.585	0.81	58.03	4.186	97.29	2009-05-21
103.54	4.416	-0.61	56.61	3.941	97.69	2009-05-22
107.86	4.506	4.32	86.92	4.048	98.35	2009-05-26
106.32	4.481	-1.54	119.8	3.964	98.86	2009-05-27
109.84	4.486	3.52	133.1	4.133	99.57	2009-05-28
109.78	4.416	-0.06	138.5	4.213	100.23	2009-05-29
109.6	4.321	-0.18	144.8	4.214	100.84	2009-06-01
108.68	4.173	-0.92	101.5	4.093	101.34	2009-06-02
107.94	4.014	-0.74	67.77	3.893	101.77	2009-06-03
113.5	4.14	5.56	150.9	4.135	102.52	2009-06-04
113.15	3.978	-0.35	156.9	4.25	103.21	2009-06-05
112.65	3.871	-0.5	116.2	4.252	103.82	2009-06-08
113.38	3.74	0.73	123.3	4.263	104.44	2009-06-09
111.38	3.769	-2.0	82.37	4.063	104.88	2009-06-10
110.22	3.66	-1.16	61.54	3.768	105.23	2009-06-11
110.59	3.522	0.37	44.67	3.523	105.57	2009-06-12
108.59	3.419	-2.0	6.447	3.132	105.77	2009-06-15
109.47	3.329	0.88	15.72	2.86	106.01	2009-06-16
106.1	3.37	-3.37	-60.17	2.345	106.01	2009-06-17
108.65	3.35	2.55	-41.42	2.119	106.18	2009-06-18
108.68	3.266	0.03	-31.08	1.92	106.34	2009-06-19
104.04	3.385	-4.64	-140.6	1.371	106.2	2009-06-22
107.21	3.371	3.17	-119.5	1.179	106.26	2009-06-23
108.32	3.32	1.11	-41.88	1.104	106.39	2009-06-24
109.67	3.288	1.35	-30.53	1.14	106.61	2009-06-25
111.43	3.285	1.76	49.38	1.295	106.92	2009-06-26
113.42	3.234	1.99	93.64	1.561	107.34	2009-06-29
111.96	3.196	-1.46	72.74	1.635	107.63	2009-06-30
111.87	3.091	-0.09	61.11	1.668	107.91	2009-07-01
108.96	3.089	-2.91	-16.94	1.442	107.98	2009-07-02
