Close	ATR	Momentum	CCI	MACD	EMA	Times
12.94	0.6694	-0.47	-183.5	-0.5909	14.66	2009-02-20
12.44	0.698	-0.5	-191.1	-0.6671	14.52	2009-02-23
13.75	0.7467	1.31	-80.01	-0.6146	14.47	2009-02-24
13.51	0.7298	-0.24	-65.82	-0.5856	14.4	2009-02-25
13.73	0.7048	0.22	-42.83	-0.5387	14.36	2009-02-26
13.89	0.7066	0.16	-27.74	-0.483	14.33	2009-02-27
13.25	0.7083	-0.64	-57.89	-0.485	14.26	2009-03-02
12.56	0.7141	-0.69	-111.7	-0.536	14.15	2009-03-03
12.64	0.6945	0.08	-110.2	-0.5635	14.05	2009-03-04
12.07	0.7014	-0.57	-131.0	-0.6241	13.93	2009-03-05
11.97	0.7013	-0.1	-140.4	-0.6724	13.8	2009-03-06
12.12	0.7205	0.15	-125.1	-0.6907	13.69	2009-03-09
13.08	0.7454	0.96	-49.19	-0.6205	13.65	2009-03-10
13.25	0.7265	0.17	-6.64	-0.5449	13.63	2009-03-11
13.69	0.731	0.44	36.83	-0.4444	13.63	2009-03-12
13.95	0.7367	0.26	87.02	-0.3398	13.65	2009-03-13
13.56	0.7319	-0.39	87.19	-0.2851	13.64	2009-03-16
14.46	0.7446	0.9	137.3	-0.1672	13.7	2009-03-17
15.21	0.7771	0.75	191.4	-0.01309	13.79	2009-03-18
15.11	0.7523	-0.1	182.7	0.09982	13.88	2009-03-19
14.92	0.7457	-0.19	143.8	0.172	13.95	2009-03-20
15.66	0.7468	0.74	163.1	0.2856	14.06	2009-03-23
15.45	0.7213	-0.21	147.1	0.3546	14.15	2009-03-24
15.68	0.7269	0.23	135.8	0.423	14.25	2009-03-25
16.26	0.7264	0.58	139.4	0.518	14.38	2009-03-26
15.91	0.7138	-0.35	108.4	0.5586	14.48	2009-03-27
15.74	0.7093	-0.17	79.33	0.5705	14.56	2009-03-30
15.87	0.7129	0.13	77.15	0.5837	14.64	2009-03-31
16.05	0.7091	0.18	77.54	0.6017	14.73	2009-04-01
16.68	0.7263	0.63	113.5	0.6593	14.86	2009-04-02
