Close	ATR	Momentum	CCI	MACD	EMA	Times
207.64	4.169	3.23	165.4	1.33	199.38	2010-08-16
204.33	4.201	-3.31	118.3	1.491	199.7	2010-08-17
207.17	4.203	2.84	119.0	1.827	200.18	2010-08-18
210.6	4.178	3.43	156.2	2.343	200.85	2010-08-19
206.64	4.253	-3.96	118.8	2.405	201.23	2010-08-20
206.1	4.144	-0.54	86.09	2.383	201.54	2010-08-23
206.98	4.095	0.88	82.72	2.408	201.89	2010-08-24
206.02	4.165	-0.96	77.06	2.325	202.16	2010-08-25
204.17	4.147	-1.85	39.49	2.085	202.29	2010-08-26
202.75	3.982	-1.42	8.75	1.76	202.32	2010-08-27
203.4	3.794	0.92	-5.336	1.288	202.4	2010-08-31
205.21	3.72	1.81	18.35	1.281	202.58	2010-09-01
206.98	3.768	1.77	64.92	1.401	202.86	2010-09-02
209.29	3.716	2.31	105.1	1.664	203.28	2010-09-03
207.33	3.603	-1.5	65.93	1.792	203.87	2010-09-07
210.94	3.702	3.61	125.1	2.041	204.33	2010-09-08
213.75	3.768	2.81	221.6	2.438	204.94	2010-09-09
214.14	3.705	0.39	210.8	2.752	205.53	2010-09-13
214.21	3.885	0.07	168.2	2.972	206.09	2010-09-14
213.41	3.88	-0.8	134.3	3.047	206.56	2010-09-15
213.68	3.866	0.27	122.1	3.093	207.02	2010-09-16
216.98	3.95	3.3	139.1	3.356	207.67	2010-09-17
225.21	4.374	8.23	208.9	4.181	208.8	2010-09-20
226.79	4.647	1.58	204.8	4.906	209.96	2010-09-21
237.37	5.67	-4.69	176.1	8.191	215.96	2010-09-27
235.41	5.55	-1.96	122.6	8.363	217.22	2010-09-28
235.18	5.434	-0.23	103.1	8.383	218.38	2010-09-29
236.95	5.329	1.77	96.46	8.444	219.58	2010-09-30
227.6	6.189	-0.65	-3.61	5.618	223.79	2010-10-08
226.6	6.08	-1.0	-14.21	4.854	223.97	2010-10-11
224.1	5.92	-2.5	-49.85	4.001	223.98	2010-10-12
232.75	6.203	8.65	-2.104	3.977	224.55	2010-10-13
229.79	6.211	-2.96	-4.038	3.677	224.88	2010-10-14
229.33	6.303	-0.46	-11.05	3.363	225.17	2010-10-15
228.91	6.342	-0.42	-71.32	3.045	225.41	2010-10-18
227.91	6.395	-1.0	-74.08	2.682	225.57	2010-10-19
225.98	6.339	-1.93	-90.51	2.212	225.6	2010-10-20
234.91	6.56	8.93	-2.091	2.532	226.2	2010-10-21
231.98	6.586	-2.93	24.74	2.52	226.57	2010-10-22
235.14	6.478	3.16	69.8	2.733	227.13	2010-10-25
229.95	6.548	-5.19	12.8	2.456	227.31	2010-10-26
225.68	6.595	-4.27	-86.24	1.869	227.2	2010-10-27
224.95	6.688	-0.73	-96.15	1.331	227.06	2010-10-28
226.25	6.482	1.3	-110.9	0.9971	227.01	2010-10-29
228.93	6.397	2.68	-9.535	0.9382	227.13	2010-11-01
228.31	6.218	-0.62	-22.86	0.8318	227.21	2010-11-02
229.28	5.91	0.97	4.906	0.8164	227.34	2010-11-03
231.97	5.849	2.69	75.98	1.01	227.64	2010-11-04
237.64	5.984	5.67	201.5	1.602	228.28	2010-11-08
