Close	ATR	Momentum	CCI	MACD	EMA	Times
649.49	15.33	1.59	-25.84	5.526	647.68	2010-08-16
662.59	15.31	13.1	31.12	5.766	648.64	2010-08-17
647.85	15.27	-14.74	-47.81	4.713	648.59	2010-08-18
630.68	15.92	-17.17	-157.6	2.464	647.43	2010-08-19
629.39	15.86	-1.29	-209.3	0.5714	646.27	2010-08-20
634.36	15.45	4.97	-162.9	-0.5215	645.5	2010-08-23
625.13	15.45	-9.23	-176.0	-2.108	644.19	2010-08-24
626.71	15.22	1.58	-143.7	-3.201	643.06	2010-08-25
628.1	14.84	1.39	-119.6	-3.91	642.09	2010-08-26
632.17	14.55	4.07	-98.34	-4.096	641.45	2010-08-27
638.82	14.59	6.65	-65.76	-3.665	641.28	2010-08-31
647.06	14.73	8.24	-20.25	-2.628	641.66	2010-09-01
647.06	14.25	0.0	6.226	-1.786	642.0	2010-09-02
649.44	14.14	2.38	34.55	-0.9157	642.48	2010-09-03
657.38	13.38	-0.4	82.53	1.468	644.37	2010-09-07
649.84	13.41	-7.54	39.85	1.655	644.72	2010-09-08
656.59	13.45	6.75	77.27	2.32	645.49	2010-09-09
672.76	13.82	16.27	160.1	4.454	647.91	2010-09-13
671.07	13.53	-1.69	147.8	5.559	649.41	2010-09-14
671.47	13.14	0.4	135.4	6.394	650.83	2010-09-15
670.28	12.74	-1.19	115.2	6.88	652.08	2010-09-16
667.6	12.76	-2.68	93.39	6.968	653.08	2010-09-17
674.45	12.63	6.85	100.3	7.505	654.46	2010-09-20
665.91	12.61	-8.54	80.68	7.158	655.2	2010-09-21
655.89	12.33	-5.36	-13.06	4.107	656.02	2010-09-27
654.5	12.28	-1.39	-60.35	3.267	655.92	2010-09-28
644.08	12.62	-10.42	-113.3	1.741	655.16	2010-09-29
640.11	12.77	-3.97	-146.1	0.2084	654.19	2010-09-30
653.21	11.88	-3.38	-52.93	0.1392	654.23	2010-10-08
656.88	11.44	3.67	-29.8	0.2979	654.4	2010-10-11
658.17	11.41	1.29	-26.4	0.5217	654.64	2010-10-12
666.01	11.78	7.84	42.74	1.317	655.38	2010-10-13
657.28	12.04	-8.73	39.41	1.228	655.5	2010-10-14
648.35	12.69	-8.93	-60.92	0.432	655.04	2010-10-15
655.39	12.59	7.04	-31.71	0.3651	655.06	2010-10-18
655.49	12.49	0.1	39.58	0.3166	655.09	2010-10-19
