Close	ATR	Momentum	CCI	MACD	EMA	Times
463.85	11.09	-0.15	125.5	2.702	450.15	2010-01-06
458.14	10.83	-5.71	103.5	2.953	450.67	2010-01-07
466.43	10.97	8.29	120.5	3.777	451.69	2010-01-08
470.0	10.8	3.57	127.4	4.665	452.87	2010-01-11
460.43	10.72	-9.57	89.86	4.544	453.36	2010-01-12
461.43	10.6	1.0	67.2	4.477	453.88	2010-01-13
465.71	10.28	4.28	78.28	4.715	454.64	2010-01-14
469.28	10.11	3.57	104.6	5.132	455.58	2010-01-15
468.0	9.794	-1.28	91.63	5.299	456.39	2010-01-18
469.57	9.543	1.57	88.32	5.494	457.24	2010-01-19
468.86	9.28	-0.71	95.46	5.528	457.99	2010-01-20
473.28	9.127	4.42	121.0	5.844	458.97	2010-01-21
468.28	9.597	-5.0	113.2	5.626	459.57	2010-01-22
466.0	9.442	-2.28	37.88	5.209	459.99	2010-01-25
470.28	9.315	4.28	85.09	5.165	460.65	2010-01-26
473.28	9.266	3.0	100.3	5.31	461.47	2010-01-27
482.57	9.441	9.29	203.2	6.105	462.83	2010-01-28
489.71	9.46	7.14	267.6	7.228	464.56	2010-01-29
489.28	9.387	-0.43	202.7	7.991	466.16	2010-02-01
486.57	9.186	-2.71	163.9	8.281	467.47	2010-02-02
475.85	9.428	-10.72	75.27	7.559	468.01	2010-02-03
487.57	9.592	11.72	131.8	7.842	469.28	2010-02-04
475.28	10.52	-12.29	5.958	6.994	469.66	2010-02-05
477.85	11.21	2.57	63.89	6.455	470.19	2010-02-08
471.43	11.21	-6.42	-11.11	5.447	470.27	2010-02-09
483.28	11.38	11.85	34.45	5.541	471.11	2010-02-10
487.43	11.18	4.15	110.8	5.882	472.16	2010-02-11
494.28	11.1	6.85	120.5	6.629	473.59	2010-02-12
491.43	10.82	-2.85	120.2	6.911	474.74	2010-02-15
493.57	10.65	2.14	111.3	7.224	475.96	2010-02-16
509.71	11.26	16.14	187.0	8.674	478.13	2010-02-17
507.85	11.18	-1.86	176.3	9.563	480.05	2010-02-18
507.71	10.93	-0.14	154.9	10.14	481.84	2010-02-19
505.28	10.66	-2.43	131.3	10.28	483.35	2010-02-22
501.43	10.6	-3.85	109.2	9.969	484.51	2010-02-23
500.85	10.44	-0.58	77.01	9.564	485.57	2010-02-24
499.14	10.19	-1.71	52.64	9.001	486.44	2010-02-25
508.0	10.14	8.86	98.36	9.165	487.83	2010-02-26
512.14	10.49	4.14	123.2	9.519	489.4	2010-03-01
526.85	11.09	14.71	147.2	10.86	491.82	2010-03-02
508.3	11.82	-18.55	84.1	10.31	492.88	2010-03-03
505.87	11.71	-2.43	60.01	9.565	493.72	2010-03-04
476.86	12.95	-29.01	-128.4	6.559	492.63	2010-03-05
510.3	14.59	33.44	64.98	6.797	493.77	2010-03-08
506.16	13.98	-4.14	39.92	6.575	494.57	2010-03-09
509.87	13.69	3.71	38.27	6.623	495.56	2010-03-10
506.87	13.1	-3.0	43.39	6.345	496.29	2010-03-11
504.87	12.66	-2.0	18.85	5.896	496.84	2010-03-12
502.59	12.57	-2.28	-4.63	5.295	497.21	2010-03-15
490.15	12.62	-12.44	-163.1	3.771	496.76	2010-03-16
480.72	13.16	-9.43	-201.6	1.782	495.72	2010-03-17
488.15	13.16	7.43	-155.8	0.7964	495.23	2010-03-18
487.29	12.74	-0.86	-100.5	-0.05375	494.72	2010-03-19
486.58	12.39	-0.71	-105.4	-0.7758	494.2	2010-03-22
484.15	11.98	-2.43	-90.23	-1.527	493.55	2010-03-23
493.01	12.4	8.86	-52.07	-1.391	493.51	2010-03-24
489.3	12.42	-3.71	-40.92	-1.564	493.24	2010-03-25
486.01	11.99	-3.29	-71.64	-1.945	492.77	2010-03-26
487.29	11.87	1.28	-61.67	-2.119	492.42	2010-03-29
483.87	11.82	-3.42	-58.3	-2.504	491.87	2010-03-30
478.15	11.9	-5.72	-94.6	-3.233	490.98	2010-03-31
487.72	12.11	9.57	-65.56	-3.004	490.77	2010-04-01
487.72	11.8	0.0	-44.02	-2.791	490.58	2010-04-06
486.44	11.54	-1.28	-51.34	-2.694	490.31	2010-04-07
491.87	11.63	5.43	-19.15	-2.154	490.41	2010-04-08
496.01	11.29	4.14	61.76	-1.376	490.77	2010-04-09
500.16	11.15	4.15	133.8	-0.4199	491.38	2010-04-12
499.73	11.27	-0.43	124.7	0.2996	491.92	2010-04-13
496.58	11.17	-3.15	131.2	0.6087	492.22	2010-04-14
494.87	10.75	-1.71	89.98	0.7075	492.39	2010-04-15
494.44	10.29	-0.43	65.29	0.7425	492.52	2010-04-16
488.72	10.54	-5.72	-31.49	0.3052	492.28	2010-04-19
491.3	10.3	2.58	9.025	0.1649	492.21	2010-04-20
