Close	ATR	Momentum	CCI	MACD	EMA	Times
48.75	1.607	-0.08	-138.5	0.7597	49.27	2009-02-20
46.33	1.694	-2.42	-221.7	0.3855	49.08	2009-02-23
47.44	1.69	1.11	-192.1	0.1764	48.97	2009-02-24
47.17	1.737	-0.27	-175.3	-0.01092	48.85	2009-02-25
48.85	1.782	1.68	-75.67	-0.02355	48.85	2009-02-26
50.53	1.861	1.68	-3.536	0.1008	48.96	2009-02-27
48.9	1.856	-1.63	-33.53	0.06712	48.96	2009-03-02
48.19	1.841	-0.71	-68.49	-0.0167	48.91	2009-03-03
49.14	1.852	0.95	-37.34	-0.006397	48.92	2009-03-04
48.04	1.844	-1.1	-61.35	-0.086	48.87	2009-03-05
47.12	1.886	-0.92	-104.2	-0.2208	48.75	2009-03-06
45.84	1.899	-1.28	-129.0	-0.426	48.57	2009-03-09
47.91	1.912	2.07	-83.89	-0.4167	48.52	2009-03-10
48.66	1.886	0.75	-21.51	-0.3449	48.53	2009-03-11
49.64	1.873	0.98	21.14	-0.2066	48.6	2009-03-12
49.62	1.793	-0.02	51.61	-0.09742	48.67	2009-03-13
50.09	1.768	0.47	115.5	0.02671	48.76	2009-03-16
51.02	1.739	0.93	129.5	0.1978	48.91	2009-03-17
50.49	1.751	-0.53	104.9	0.2874	49.01	2009-03-18
50.88	1.699	0.39	130.1	0.3854	49.13	2009-03-19
50.8	1.687	-0.08	131.6	0.4514	49.24	2009-03-20
54.2	1.81	3.4	210.6	0.7692	49.56	2009-03-23
53.98	1.76	-0.22	208.0	0.9919	49.84	2009-03-24
53.78	1.782	-0.2	166.5	1.139	50.1	2009-03-25
54.24	1.712	0.46	153.5	1.278	50.36	2009-03-26
51.7	1.826	-2.54	58.33	1.17	50.45	2009-03-27
51.9	1.81	0.2	41.87	1.088	50.54	2009-03-30
53.2	1.843	1.3	92.14	1.115	50.72	2009-03-31
53.6	1.802	0.4	87.76	1.155	50.9	2009-04-01
55.36	1.844	1.76	130.9	1.314	51.19	2009-04-02
56.13	1.828	0.77	135.1	1.485	51.51	2009-04-03
55.77	1.785	-0.36	115.9	1.573	51.78	2009-04-06
54.22	1.777	-1.55	74.66	1.5	51.94	2009-04-07
55.56	1.76	1.34	91.54	1.533	52.17	2009-04-08
55.84	1.72	0.28	101.9	1.564	52.41	2009-04-09
54.88	1.702	-0.96	71.87	1.494	52.57	2009-04-13
54.51	1.646	-0.37	43.36	1.392	52.69	2009-04-14
54.28	1.639	-0.23	12.53	1.278	52.8	2009-04-15
55.7	1.642	1.42	81.42	1.288	52.98	2009-04-16
55.61	1.617	-0.09	81.2	1.273	53.15	2009-04-17
55.15	1.582	-0.46	51.21	1.211	53.28	2009-04-20
56.18	1.637	1.03	71.48	1.23	53.47	2009-04-21
56.31	1.63	0.13	113.9	1.242	53.65	2009-04-22
55.69	1.631	-0.62	66.71	1.187	53.78	2009-04-23
54.95	1.596	-0.74	30.15	1.072	53.86	2009-04-24
54.88	1.576	-0.07	20.23	0.9639	53.93	2009-04-27
55.98	1.6	1.1	66.6	0.956	54.06	2009-04-28
57.13	1.616	1.15	201.1	1.031	54.26	2009-04-29
56.67	1.627	-0.46	214.4	1.041	54.41	2009-04-30
57.44	1.586	0.77	182.7	1.098	54.61	2009-05-01
58.31	1.557	0.87	221.7	1.2	54.85	2009-05-04
58.12	1.497	-0.19	179.0	1.251	55.06	2009-05-05
57.75	1.46	-0.37	120.2	1.247	55.23	2009-05-06
56.63	1.473	-1.12	56.85	1.14	55.32	2009-05-07
56.02	1.523	-0.61	5.981	0.9953	55.37	2009-05-08
56.8	1.53	0.78	33.41	0.9325	55.46	2009-05-11
57.37	1.5	0.57	62.34	0.9181	55.58	2009-05-12
56.44	1.495	-0.93	3.81	0.8222	55.64	2009-05-13
55.78	1.465	-0.66	-31.04	0.685	55.65	2009-05-14
55.95	1.459	0.17	-27.73	0.5833	55.67	2009-05-15
57.72	1.487	1.77	61.58	0.6382	55.8	2009-05-18
58.24	1.464	0.52	118.3	0.7153	55.96	2009-05-19
57.43	1.445	-0.81	81.45	0.7031	56.05	2009-05-20
56.75	1.433	-0.68	-15.72	0.6312	56.1	2009-05-21
56.24	1.392	-0.51	-39.88	0.527	56.11	2009-05-22
57.97	1.474	1.73	38.68	0.5773	56.23	2009-05-26
56.81	1.458	-1.16	18.38	0.5177	56.26	2009-05-27
57.79	1.45	0.98	48.43	0.5432	56.36	2009-05-28
58.66	1.446	0.87	125.0	0.6264	56.51	2009-05-29
59.82	1.437	1.16	214.7	0.777	56.72	2009-06-01
58.97	1.419	-0.85	169.0	0.8184	56.87	2009-06-02
58.78	1.386	-0.19	100.6	0.8263	56.99	2009-06-03
