Close	ATR	Momentum	CCI	MACD	EMA	Times
381.7	14.54	6.9	229.0	3.969	358.67	2010-01-06
385.08	13.99	3.38	202.2	5.426	360.38	2010-01-07
385.34	13.57	0.26	187.7	6.527	361.99	2010-01-08
384.04	13.24	-1.3	151.2	7.211	363.41	2010-01-11
379.88	13.08	-4.16	99.94	7.333	364.47	2010-01-12
378.44	12.61	-1.44	80.43	7.23	365.37	2010-01-13
377.53	12.37	-0.91	70.45	6.995	366.16	2010-01-14
369.72	12.33	-7.81	29.73	6.107	366.39	2010-01-15
371.67	12.05	1.95	30.29	5.498	366.73	2010-01-18
372.59	11.72	0.92	30.99	5.032	367.11	2010-01-19
364.51	11.87	-8.08	-11.18	3.964	366.94	2010-01-20
361.91	11.73	-2.6	-41.64	2.875	366.62	2010-01-21
346.68	12.29	-15.23	-119.7	0.7744	365.33	2010-01-22
348.24	12.88	1.56	-126.1	-0.756	364.23	2010-01-25
356.31	13.13	8.07	-75.75	-1.303	363.72	2010-01-26
353.97	12.91	-2.34	-96.27	-1.903	363.09	2010-01-27
354.49	13.07	0.52	-81.26	-2.31	362.53	2010-01-28
349.67	13.0	-4.82	-98.26	-2.987	361.7	2010-01-29
351.5	12.57	1.83	-106.3	-3.337	361.04	2010-02-01
361.78	13.06	10.28	-56.84	-2.753	361.09	2010-02-02
356.57	13.4	-5.21	-40.33	-2.681	360.8	2010-02-03
356.44	12.45	-0.13	-51.93	-2.603	360.52	2010-02-04
322.86	14.4	-33.58	-206.7	-5.192	358.09	2010-02-05
326.11	14.31	3.25	-200.5	-6.901	356.03	2010-02-08
323.64	14.13	-2.47	-179.5	-8.359	353.94	2010-02-09
330.93	13.97	7.29	-128.4	-8.824	352.45	2010-02-10
324.68	13.96	-6.25	-130.8	-9.587	350.66	2010-02-11
319.99	13.95	-4.69	-131.7	-10.45	348.68	2010-02-12
317.39	13.4	-2.6	-122.5	-11.21	346.66	2010-02-15
326.76	13.13	9.37	-87.61	-10.94	345.38	2010-02-16
336.26	12.92	9.5	-39.38	-9.837	344.79	2010-02-17
334.05	12.78	-2.21	-31.35	-9.04	344.1	2010-02-18
334.57	12.39	0.52	-34.02	-8.271	343.48	2010-02-19
331.97	11.93	-2.6	-27.1	-7.782	342.74	2010-02-22
330.02	11.59	-1.95	-30.48	-7.466	341.92	2010-02-23
324.42	11.51	-5.6	-60.44	-7.579	340.79	2010-02-24
314.65	11.54	-9.77	-99.01	-8.361	339.1	2010-02-25
315.56	11.23	0.91	-103.6	-8.806	337.59	2010-02-26
315.69	10.79	0.13	-104.5	-9.044	336.17	2010-03-01
313.74	10.4	-1.95	-114.9	-9.283	334.73	2010-03-02
315.04	10.31	1.3	-116.9	-9.26	333.46	2010-03-03
325.07	10.69	10.03	-39.37	-8.337	332.91	2010-03-04
341.08	11.52	16.01	157.0	-6.242	333.44	2010-03-05
335.74	11.38	-5.34	126.4	-4.955	333.59	2010-03-08
330.41	11.14	-5.33	44.63	-4.315	333.38	2010-03-09
336.52	11.01	6.11	72.19	-3.278	333.59	2010-03-10
334.57	10.6	-1.95	75.19	-2.583	333.65	2010-03-11
352.8	11.37	18.23	167.3	-0.5549	334.89	2010-03-12
343.42	11.47	-9.38	139.2	0.2921	335.44	2010-03-15
348.5	11.38	5.08	142.8	1.358	336.28	2010-03-16
