Close	ATR	Momentum	CCI	MACD	EMA	Times
1916.34	31.38	9.9	32.64	24.63	1880.87	2010-01-06
1931.2	31.41	14.86	58.49	24.38	1884.12	2010-01-07
1931.2	30.86	0.0	62.06	23.9	1887.15	2010-01-08
1919.31	30.28	-11.89	39.67	22.31	1889.23	2010-01-11
1933.18	29.53	13.87	53.93	21.91	1892.06	2010-01-12
1929.22	29.55	-3.96	58.82	21.03	1894.46	2010-01-13
1940.11	28.43	10.89	63.25	20.97	1897.41	2010-01-14
1980.72	29.79	40.61	155.1	23.93	1902.78	2010-01-15
2019.34	31.2	38.62	263.2	29.05	1910.3	2010-01-18
2045.09	32.23	25.75	277.5	34.79	1919.0	2010-01-19
1976.26	35.48	-68.83	106.1	33.4	1922.69	2010-01-20
1988.15	35.07	11.89	120.1	32.87	1926.92	2010-01-21
1989.14	34.97	0.99	109.1	32.17	1930.93	2010-01-22
1972.3	34.24	-16.84	63.8	29.91	1933.6	2010-01-25
2010.93	35.4	38.63	85.43	30.87	1938.59	2010-01-26
2020.84	36.06	9.91	116.6	32.07	1943.89	2010-01-27
1986.17	36.74	-34.67	75.08	29.88	1946.62	2010-01-28
2006.97	36.73	20.8	72.49	29.48	1950.52	2010-01-29
1983.2	36.51	-23.77	34.83	26.93	1952.62	2010-02-01
2018.86	37.87	35.66	66.42	27.48	1956.9	2010-02-02
2048.58	38.56	29.72	122.3	29.96	1962.81	2010-02-03
2035.7	38.56	-12.88	124.6	30.54	1967.51	2010-02-04
2006.97	39.77	-28.73	61.24	28.35	1970.06	2010-02-05
2041.64	39.9	34.67	99.01	29.08	1974.68	2010-02-08
2018.86	39.46	-22.78	68.15	27.5	1977.53	2010-02-09
2000.04	40.32	-18.82	14.22	24.45	1978.98	2010-02-10
2022.82	40.62	22.78	28.33	23.6	1981.81	2010-02-11
2037.68	39.92	14.86	92.05	23.85	1985.41	2010-02-12
2019.85	39.82	-17.83	75.0	22.35	1987.64	2010-02-15
1985.18	40.09	-34.67	-73.54	18.15	1987.48	2010-02-16
1981.22	38.93	-3.96	-107.8	14.34	1987.07	2010-02-17
2015.89	38.98	34.67	-28.6	13.96	1988.93	2010-02-18
2060.46	39.94	44.57	129.2	17.06	1993.55	2010-02-19
2036.69	39.92	-23.77	125.3	17.39	1996.33	2010-02-22
2028.76	38.98	-7.93	72.39	16.83	1998.42	2010-02-23
2024.8	37.61	-3.96	45.43	15.87	2000.12	2010-02-24
2016.88	36.41	-7.92	-11.9	14.32	2001.21	2010-02-25
2026.78	35.15	9.9	32.28	13.72	2002.86	2010-02-26
2083.25	37.52	56.47	179.7	17.6	2008.04	2010-03-01
2093.15	36.4	9.9	242.1	21.23	2013.53	2010-03-02
2117.92	36.7	24.77	244.1	25.81	2020.27	2010-03-03
2119.9	36.13	1.98	214.0	29.26	2026.7	2010-03-04
2133.77	35.39	13.87	187.0	32.74	2033.6	2010-03-05
2124.85	34.21	-8.92	150.7	34.38	2039.49	2010-03-08
2071.36	36.36	-53.49	51.46	31.01	2041.55	2010-03-09
2079.29	35.68	7.93	41.39	28.64	2043.98	2010-03-10
2081.27	35.25	1.98	48.73	26.62	2046.39	2010-03-11
2058.48	34.93	-22.79	15.53	22.92	2047.17	2010-03-12
2039.66	34.48	-18.82	-29.62	18.25	2046.68	2010-03-15
2035.7	33.86	-3.96	-45.77	14.07	2045.97	2010-03-16
2012.92	33.85	-22.78	-78.43	8.82	2043.84	2010-03-17
2028.76	33.69	15.84	-88.51	5.868	2042.87	2010-03-18
2011.92	33.48	-16.84	-86.97	2.146	2040.87	2010-03-19
2030.75	33.64	18.83	-72.82	0.7067	2040.22	2010-03-22
2021.83	34.63	-8.92	-68.95	-1.14	2039.03	2010-03-23
2020.84	33.57	-0.99	-66.47	-2.653	2037.86	2010-03-24
2041.64	33.65	20.8	-54.23	-2.149	2038.1	2010-03-25
2031.74	32.1	-9.9	-55.58	-2.52	2037.69	2010-03-26
2026.78	31.57	-4.96	-63.33	-3.177	2036.99	2010-03-29
2010.93	31.16	-15.85	-80.13	-4.92	2035.31	2010-03-30
1991.12	31.05	-19.81	-107.5	-7.809	2032.46	2010-03-31
1985.18	30.32	-5.94	-126.4	-10.46	2029.41	2010-04-01
1960.41	31.41	-24.77	-179.9	-14.39	2024.96	2010-04-06
2011.92	33.84	51.51	-106.5	-13.2	2024.11	2010-04-07
1989.14	33.33	-22.78	-94.72	-13.93	2021.86	2010-04-08
1982.21	32.72	-6.93	-105.0	-14.9	2019.3	2010-04-09
1991.12	31.16	8.91	-93.55	-14.78	2017.48	2010-04-12
1987.16	30.28	-3.96	-82.14	-14.83	2015.53	2010-04-13
1989.14	30.31	1.98	-40.48	-14.54	2013.82	2010-04-14
1968.34	30.2	-20.8	-113.3	-15.81	2010.89	2010-04-15
1932.68	31.79	-35.66	-199.0	-19.47	2005.84	2010-04-16
1928.71	31.0	-3.97	-201.1	-22.43	2000.87	2010-04-19
1952.49	30.98	23.78	-134.9	-22.6	1997.75	2010-04-20
1927.72	31.53	-24.77	-141.7	-24.45	1993.23	2010-04-21
1910.88	32.04	-16.84	-150.7	-26.96	1987.92	2010-04-22
1934.66	33.14	23.78	-107.4	-26.73	1984.48	2010-04-23
1928.71	32.33	-5.95	-99.28	-26.71	1980.88	2010-04-26
1934.66	33.42	5.95	-53.67	-25.93	1977.9	2010-04-27
1926.73	34.92	-7.93	-67.58	-25.64	1974.6	2010-04-28
1888.1	35.83	-38.63	-145.3	-28.21	1969.02	2010-04-29
1849.46	37.09	-38.64	-199.1	-32.99	1961.3	2010-04-30
1864.32	36.56	14.86	-176.6	-35.16	1955.05	2010-05-04
1830.64	36.78	-33.68	-189.5	-39.16	1947.02	2010-05-05
1806.87	36.56	-23.77	-200.8	-43.73	1937.98	2010-05-06
1763.28	38.69	-43.59	-220.0	-50.3	1926.71	2010-05-07
1796.96	39.46	33.68	-157.8	-52.18	1918.34	2010-05-10
1814.79	39.9	17.83	-117.2	-51.64	1911.66	2010-05-11
1828.66	40.23	13.87	-83.47	-49.53	1906.3	2010-05-12
1847.48	38.92	18.82	-51.4	-45.8	1902.51	2010-05-13
1806.87	40.03	-40.61	-71.54	-45.6	1896.34	2010-05-14
1799.93	40.35	-6.94	-81.32	-45.47	1890.12	2010-05-17
1791.02	39.88	-8.91	-84.55	-45.57	1883.72	2010-05-18
1753.38	39.79	-37.64	-110.6	-48.13	1875.31	2010-05-19
1736.54	41.05	-16.84	-118.3	-50.93	1866.36	2010-05-20
1745.45	40.81	8.91	-123.2	-51.83	1858.56	2010-05-21
1782.1	40.79	36.65	-68.97	-49.02	1853.63	2010-05-24
1743.47	41.35	-38.63	-95.19	-49.34	1846.52	2010-05-25
1750.4	40.37	6.93	-83.29	-48.48	1840.32	2010-05-26
1768.23	39.76	17.83	-72.9	-45.83	1835.67	2010-05-27
