Close	ATR	Momentum	CCI	MACD	EMA	Times
628.08	16.72	12.51	254.1	10.69	586.82	2010-01-06
637.75	17.03	9.67	260.7	12.88	590.11	2010-01-07
642.3	17.07	4.55	221.8	14.82	593.47	2010-01-08
640.6	17.15	-1.7	180.4	16.03	596.51	2010-01-11
628.08	17.96	-12.52	117.0	15.79	598.55	2010-01-12
634.91	17.97	6.83	92.88	15.98	600.9	2010-01-13
638.89	18.19	3.98	93.34	16.26	603.35	2010-01-14
634.91	17.87	-3.98	85.91	15.97	605.38	2010-01-15
635.48	17.45	0.57	72.81	15.61	607.32	2010-01-18
630.93	17.62	-4.55	47.75	14.79	608.85	2010-01-19
619.55	17.54	-11.38	26.94	13.07	609.54	2010-01-20
618.98	17.39	-0.57	21.05	11.53	610.15	2010-01-21
613.86	17.0	-5.12	-16.01	9.779	610.39	2010-01-22
624.67	17.47	10.81	5.952	9.16	611.31	2010-01-25
619.55	16.92	-5.12	-10.94	8.162	611.84	2010-01-26
615.57	16.6	-3.98	-54.16	6.97	612.08	2010-01-27
621.26	16.76	5.69	-13.29	6.41	612.67	2010-01-28
623.53	16.33	2.27	-12.78	6.08	613.37	2010-01-29
626.94	15.69	3.41	-17.63	6.024	614.25	2010-02-01
637.18	15.8	10.24	66.59	6.728	615.73	2010-02-02
638.89	15.48	1.71	89.81	7.34	617.22	2010-02-03
628.08	15.47	-10.81	24.16	6.873	617.92	2010-02-04
605.33	16.36	-22.75	-151.2	4.614	617.11	2010-02-05
605.33	16.24	0.0	-188.1	2.792	616.35	2010-02-08
603.62	15.98	-1.71	-171.8	1.195	615.53	2010-02-09
613.29	16.42	9.67	-65.36	0.7028	615.38	2010-02-10
632.63	16.92	19.34	44.9	1.852	616.5	2010-02-11
621.82	17.4	-10.81	24.82	1.868	616.84	2010-02-12
624.67	17.42	2.85	27.9	2.087	617.35	2010-02-15
622.96	16.99	-1.71	23.26	2.099	617.71	2010-02-16
641.17	17.2	18.21	127.2	3.536	619.22	2010-02-17
640.6	16.82	-0.57	132.2	4.577	620.6	2010-02-18
645.72	16.76	5.12	143.7	5.749	622.22	2010-02-19
654.25	16.46	8.53	185.2	7.281	624.29	2010-02-22
646.86	16.42	-7.39	141.9	7.81	625.74	2010-02-23
646.86	15.9	0.0	102.5	8.135	627.11	2010-02-24
630.36	16.15	-16.5	29.63	6.981	627.32	2010-02-25
642.87	15.89	12.51	58.98	6.995	628.32	2010-02-26
651.41	18.42	8.54	30.79	7.607	629.81	2010-03-01
660.51	18.33	9.1	141.7	8.726	631.79	2010-03-02
658.23	17.8	-2.28	125.2	9.322	633.5	2010-03-03
682.7	19.82	24.47	180.1	11.63	636.67	2010-03-04
687.25	19.63	4.55	212.7	13.68	639.93	2010-03-05
710.57	20.25	23.32	226.6	16.98	644.49	2010-03-08
711.14	20.39	0.57	202.0	19.42	648.79	2010-03-09
729.35	20.76	18.21	196.9	22.57	653.99	2010-03-10
727.64	20.21	-1.71	164.7	24.63	658.74	2010-03-11
732.76	19.54	5.12	145.4	26.38	663.52	2010-03-12
729.92	19.04	-2.84	120.9	27.23	667.8	2010-03-15
723.66	18.86	-6.26	98.22	27.08	671.4	2010-03-16
740.73	18.93	17.07	103.7	28.01	675.88	2010-03-17
729.92	18.76	-10.81	85.15	27.57	679.36	2010-03-18
731.06	18.31	1.14	75.96	26.99	682.7	2010-03-19
736.74	18.16	5.68	77.24	26.69	686.18	2010-03-22
757.79	18.82	21.05	98.18	27.82	690.8	2010-03-23
756.09	18.41	-1.7	103.8	28.26	695.02	2010-03-24
760.64	17.9	4.55	101.1	28.65	699.25	2010-03-25
762.91	17.4	2.27	104.4	28.8	703.36	2010-03-26
761.21	16.8	-1.7	108.5	28.46	707.09	2010-03-29
757.79	16.04	-3.42	98.3	27.59	710.36	2010-03-30
750.97	16.28	-6.82	81.63	26.06	712.98	2010-03-31
774.86	16.82	23.89	114.3	26.46	716.97	2010-04-01
783.96	16.81	9.1	149.0	27.2	721.29	2010-04-06
784.53	17.16	0.57	155.6	27.52	725.37	2010-04-07
768.03	17.44	-16.5	83.12	26.14	728.13	2010-04-08
764.05	17.37	-3.98	63.49	24.44	730.44	2010-04-09
760.64	16.74	-3.41	43.07	22.56	732.39	2010-04-12
754.95	16.31	-5.69	13.67	20.38	733.85	2010-04-13
753.39	16.25	-1.56	-13.16	18.31	735.11	2010-04-14
749.41	16.06	-3.98	-36.13	16.16	736.03	2010-04-15
737.46	15.89	-11.95	-106.6	13.34	736.12	2010-04-16
732.34	16.22	-5.12	-145.2	10.57	735.88	2010-04-19
735.18	15.75	2.84	-138.9	8.509	735.83	2010-04-20
732.34	15.23	-2.84	-144.1	6.569	735.61	2010-04-21
773.88	19.59	41.54	145.3	8.287	738.08	2010-04-22
789.81	19.98	15.93	156.8	10.81	741.42	2010-04-23
835.9	22.46	46.09	257.3	16.34	747.51	2010-04-26
822.81	22.15	-13.09	204.5	19.44	752.37	2010-04-27
802.33	22.2	-20.48	116.2	20.02	755.59	2010-04-28
812.0	22.28	9.67	105.6	21.01	759.23	2010-04-29
811.43	22.15	-0.57	95.44	21.51	762.6	2010-04-30
771.03	24.67	-40.4	31.11	18.42	763.14	2010-05-04
773.88	25.35	2.85	-17.93	16.03	763.84	2010-05-05
773.31	25.9	-0.57	-0.8134	13.92	764.45	2010-05-06
728.92	28.36	-44.39	-92.7	8.573	762.15	2010-05-07
796.64	31.17	67.72	21.21	9.686	764.38	2010-05-10
789.81	30.36	-6.83	32.74	9.903	766.02	2010-05-11
794.36	29.7	4.55	42.67	10.32	767.85	2010-05-12
796.64	28.59	2.28	46.82	10.72	769.71	2010-05-13
777.86	28.34	-18.78	9.811	9.405	770.23	2010-05-14
773.88	28.14	-3.98	-15.81	7.952	770.47	2010-05-17
778.43	26.99	4.55	-17.38	7.086	770.98	2010-05-18
732.34	28.35	-46.09	-143.3	2.651	768.49	2010-05-19
697.63	30.88	-34.71	-258.8	-3.624	763.92	2010-05-20
702.75	30.58	5.12	-212.4	-8.09	759.97	2010-05-21
693.08	30.39	-9.67	-173.7	-12.27	755.66	2010-05-24
657.8	30.86	-35.28	-193.8	-18.22	749.34	2010-05-25
710.72	33.17	52.92	-100.1	-18.45	746.85	2010-05-26
740.87	33.12	30.15	-45.18	-16.01	746.46	2010-05-27
745.43	32.01	4.56	-8.438	-13.56	746.4	2010-05-28
735.18	31.47	-10.25	-32.75	-12.3	745.67	2010-06-01
747.7	31.42	12.52	-16.84	-10.18	745.8	2010-06-02
757.95	30.92	10.25	31.45	-7.576	746.59	2010-06-03
738.03	32.29	-19.92	-4.861	-7.043	746.04	2010-06-04
731.77	32.18	-6.26	-28.21	-7.044	745.12	2010-06-07
730.63	31.38	-1.14	-28.39	-7.056	744.18	2010-06-08
746.0	30.28	15.37	-0.2807	-5.758	744.3	2010-06-09
765.34	30.88	19.34	51.14	-3.134	745.66	2010-06-10
764.77	30.06	-0.57	67.07	-1.087	746.89	2010-06-11
795.5	30.39	30.73	141.0	2.981	750.03	2010-06-14
804.61	30.33	9.11	171.0	6.86	753.55	2010-06-15
808.02	29.63	3.41	178.1	10.09	757.06	2010-06-16
819.4	28.9	11.38	159.2	13.42	761.08	2010-06-17
838.18	28.82	18.78	170.7	17.37	766.06	2010-06-18
838.75	28.47	0.57	165.3	20.31	770.75	2010-06-21
