Close	ATR	Momentum	CCI	MACD	EMA	Times
122.61	2.068	-0.92	-89.58	0.2669	124.22	2010-08-16
122.29	2.063	-0.32	-106.4	0.05529	124.1	2010-08-17
124.64	2.117	2.35	-30.7	0.07637	124.13	2010-08-18
124.59	2.077	-0.05	-16.75	0.08802	124.16	2010-08-19
123.04	2.073	-1.55	-79.23	-0.0275	124.09	2010-08-20
124.07	2.073	1.03	-50.28	-0.03553	124.09	2010-08-23
122.87	2.041	-1.2	-75.43	-0.1371	124.01	2010-08-24
123.16	1.999	0.29	-69.02	-0.1921	123.96	2010-08-25
122.79	1.952	-0.37	-80.52	-0.2624	123.88	2010-08-26
120.36	2.046	-2.43	-154.0	-0.5084	123.65	2010-08-27
120.28	2.113	0.49	-144.9	-0.8753	123.2	2010-08-31
123.33	2.204	3.05	-49.65	-0.7274	123.21	2010-09-01
122.22	2.189	-1.11	-32.46	-0.6918	123.15	2010-09-02
123.15	2.195	0.93	13.01	-0.5819	123.15	2010-09-03
126.88	2.283	1.07	188.7	0.05054	123.55	2010-09-07
127.61	2.282	0.73	208.1	0.3647	123.81	2010-09-08
128.46	2.236	0.85	207.8	0.6746	124.11	2010-09-09
130.43	2.419	1.97	195.8	1.067	124.52	2010-09-13
132.23	2.45	1.8	229.3	1.505	125.02	2010-09-14
135.52	2.613	3.29	222.7	2.095	125.69	2010-09-15
131.86	2.708	-3.66	151.1	2.24	126.09	2010-09-16
132.14	2.655	0.28	125.1	2.351	126.48	2010-09-17
133.56	2.586	1.42	117.9	2.524	126.94	2010-09-20
135.89	2.623	2.33	127.6	2.817	127.52	2010-09-21
134.42	2.72	-0.68	83.93	2.868	129.1	2010-09-27
134.03	2.608	-0.39	66.35	2.775	129.42	2010-09-28
134.59	2.649	0.56	74.84	2.716	129.75	2010-09-29
135.12	2.618	0.53	71.81	2.681	130.1	2010-09-30
136.73	2.625	0.98	70.27	2.595	132.36	2010-10-08
136.46	2.57	-0.27	81.34	2.473	132.62	2010-10-11
136.62	2.554	0.16	46.88	2.361	132.88	2010-10-12
140.01	2.644	3.39	156.5	2.517	133.34	2010-10-13
141.48	2.702	1.47	223.1	2.728	133.86	2010-10-14
136.68	3.092	-4.8	114.6	2.48	134.05	2010-10-15
138.05	3.1	1.37	35.78	2.366	134.3	2010-10-18
133.84	3.205	-4.21	-48.3	1.914	134.27	2010-10-19
134.15	3.134	0.31	-91.32	1.563	134.27	2010-10-20
150.74	4.112	16.59	383.3	2.593	135.33	2010-10-21
151.74	4.063	1.0	292.0	3.451	136.39	2010-10-22
150.07	4.002	-1.67	204.7	3.95	137.27	2010-10-25
150.08	3.84	0.01	152.5	4.297	138.1	2010-10-26
148.31	3.76	-1.77	106.5	4.379	138.76	2010-10-27
147.84	3.747	-0.47	91.62	4.355	139.34	2010-10-28
147.59	3.658	-0.25	72.46	4.267	139.87	2010-10-29
148.83	3.594	1.24	79.54	4.249	140.45	2010-11-01
150.07	3.484	1.24	74.5	4.285	141.07	2010-11-02
150.29	3.342	0.22	75.94	4.282	141.67	2010-11-03
152.9	3.319	2.61	87.31	4.439	142.39	2010-11-04
150.27	3.324	-2.63	67.76	4.301	142.9	2010-11-08
151.69	3.251	1.42	68.97	4.258	143.47	2010-11-09
153.22	3.278	1.53	78.61	4.297	144.1	2010-11-10
151.84	3.168	-1.38	69.67	4.169	144.6	2010-11-11
149.06	3.177	-2.78	29.46	3.8	144.88	2010-11-12
150.3	3.136	1.24	29.93	3.566	145.23	2010-11-15
147.72	3.197	-2.58	-12.92	3.136	145.39	2010-11-16
149.3	3.163	1.58	-6.484	2.889	145.65	2010-11-18
147.43	3.145	-1.87	-113.9	2.514	145.76	2010-11-19
151.19	3.287	3.76	24.01	2.492	146.11	2010-11-22
149.76	3.336	-1.43	-0.566	2.331	146.35	2010-11-23
149.15	3.29	-0.61	-29.63	2.131	146.53	2010-11-24
151.11	3.479	-1.15	84.94	2.133	147.17	2010-11-26
152.32	3.42	1.21	105.3	2.154	147.5	2010-11-29
151.55	3.399	-0.77	45.02	2.085	147.76	2010-11-30
151.81	3.266	0.26	50.57	2.028	148.02	2010-12-01
153.84	3.294	2.03	112.0	2.122	148.4	2010-12-02
155.21	3.234	1.37	185.1	2.281	148.84	2010-12-03
156.32	3.187	1.11	202.7	2.468	149.32	2010-12-06
157.43	3.123	1.11	198.9	2.675	149.84	2010-12-07
155.79	3.083	-1.64	130.7	2.675	150.23	2010-12-08
156.63	3.034	0.84	140.1	2.713	150.64	2010-12-09
156.43	2.949	-0.2	105.0	2.695	151.01	2010-12-10
156.48	3.026	0.05	72.24	2.654	151.37	2010-12-13
156.6	2.971	0.12	89.94	2.602	151.7	2010-12-14
159.22	2.968	2.62	120.5	2.74	152.19	2010-12-15
163.62	3.087	4.4	183.8	3.168	152.93	2010-12-16
166.54	3.356	2.92	206.9	3.7	153.81	2010-12-20
165.46	3.326	-1.08	199.7	3.989	154.56	2010-12-21
165.84	3.242	0.38	172.1	4.2	155.29	2010-12-22
167.11	3.139	1.27	156.2	4.419	156.05	2010-12-23
168.95	2.732	0.88	103.7	4.752	158.88	2010-12-29
170.99	2.706	2.04	113.7	4.897	159.66	2010-12-30
171.21	2.682	0.22	107.1	4.973	160.4	2010-12-31
172.36	2.548	0.76	109.3	5.037	161.85	2011-01-04
172.34	2.469	-0.02	98.24	5.001	162.53	2011-01-05
172.75	2.464	0.41	97.63	4.949	163.19	2011-01-06
167.31	2.777	-5.44	48.16	4.418	163.45	2011-01-07
168.81	2.897	1.5	36.45	4.071	163.8	2011-01-10
165.46	3.147	-3.35	-20.43	3.486	163.91	2011-01-11
167.73	3.16	2.27	-19.05	3.169	164.15	2011-01-12
159.65	3.551	-8.08	-191.4	2.239	163.86	2011-01-13
159.13	3.606	-0.52	-195.8	1.444	163.56	2011-01-14
164.91	3.704	2.5	-82.73	0.9579	163.57	2011-01-18
161.62	3.728	-3.29	-109.6	0.5994	163.45	2011-01-19
163.46	3.735	1.84	-94.79	0.4585	163.45	2011-01-20
161.46	3.667	-2.0	-96.55	0.1833	163.32	2011-01-21
162.92	3.613	1.46	-76.24	0.08213	163.3	2011-01-24
161.72	3.588	-1.2	-69.34	-0.09384	163.19	2011-01-25
158.8	3.648	-2.92	-94.53	-0.4636	162.91	2011-01-27
157.72	3.827	-1.08	-101.7	-0.8341	162.58	2011-01-28
154.88	3.844	-2.84	-148.4	-1.341	162.08	2011-01-31
153.38	3.876	-1.5	-155.9	-1.843	161.52	2011-02-01
155.41	3.785	1.51	-69.89	-2.672	158.97	2011-02-09
151.88	3.805	-3.53	-94.61	-2.806	158.51	2011-02-10
151.11	3.689	-0.77	-106.2	-2.941	158.04	2011-02-11
154.29	3.701	3.18	-62.11	-2.759	157.79	2011-02-14
154.12	3.624	-0.17	-46.13	-2.599	157.56	2011-02-15
154.11	3.505	-0.01	-42.32	-2.445	157.33	2011-02-16
154.62	3.354	0.51	-26.27	-2.255	157.16	2011-02-17
153.89	3.326	-0.73	-27.21	-2.14	156.95	2011-02-18
156.22	3.368	-0.89	40.9	-1.527	156.91	2011-02-22
153.18	3.37	-3.04	-52.96	-1.563	156.67	2011-02-23
150.36	3.4	-2.82	-183.9	-1.799	156.26	2011-02-24
149.51	3.385	-0.85	-227.1	-2.031	155.83	2011-02-25
149.25	3.684	-0.26	-119.4	-2.211	155.4	2011-02-28
153.47	3.772	4.22	-49.7	-1.989	155.28	2011-03-01
150.37	3.802	-3.1	-118.9	-2.041	154.96	2011-03-03
152.22	3.759	1.85	-29.08	-1.91	154.79	2011-03-04
150.97	3.672	-1.25	-69.99	-1.885	154.54	2011-03-07
154.79	3.789	3.82	19.57	-1.54	154.56	2011-03-08
153.83	3.734	-0.96	45.49	-1.329	154.51	2011-03-09
153.44	3.589	-0.39	9.566	-1.179	154.44	2011-03-10
151.8	3.478	-1.64	-38.53	-1.179	154.27	2011-03-11
154.03	3.503	2.23	3.351	-0.9875	154.25	2011-03-14
150.57	3.577	-3.46	-96.34	-1.102	154.02	2011-03-15
150.86	3.456	0.29	-70.37	-1.157	153.81	2011-03-16
148.16	3.443	-2.7	-165.2	-1.402	153.45	2011-03-17
146.19	3.411	-1.97	-185.9	-1.734	152.98	2011-03-18
145.23	3.349	-0.96	-201.9	-2.052	152.48	2011-03-21
146.28	3.236	1.05	-158.0	-2.194	152.08	2011-03-22
148.78	3.251	2.5	-95.58	-2.08	151.87	2011-03-23
149.34	3.132	0.56	-45.91	-1.923	151.7	2011-03-24
157.15	3.537	7.81	140.9	-1.155	152.06	2011-03-25
156.03	3.469	-1.12	138.3	-0.6295	152.31	2011-03-28
157.65	3.432	1.62	152.0	-0.08131	152.66	2011-03-29
157.55	3.351	-0.1	145.6	0.3411	152.97	2011-03-30
160.86	3.446	3.31	167.7	0.9323	153.48	2011-03-31
159.94	3.363	-0.92	147.0	1.311	153.9	2011-04-01
162.54	3.28	-0.45	119.6	2.482	155.53	2011-04-06
161.39	3.157	-1.15	91.47	2.551	155.91	2011-04-07
160.38	3.13	-1.01	72.84	2.496	156.2	2011-04-08
161.0	3.186	0.62	64.04	2.474	156.51	2011-04-11
164.3	3.387	3.3	83.35	2.691	157.01	2011-04-13
148.54	4.316	-15.76	-28.24	1.574	156.46	2011-04-15
144.38	4.352	-4.16	-125.3	0.3487	155.68	2011-04-18
143.47	4.215	-0.91	-133.0	-0.6878	154.89	2011-04-19
144.4	4.061	0.93	-125.6	-1.418	154.22	2011-04-20
144.59	3.906	0.19	-119.0	-1.959	153.6	2011-04-21
146.04	3.652	-0.18	-99.36	-2.431	152.66	2011-04-26
146.8	3.478	0.76	-79.54	-2.501	152.29	2011-04-27
145.69	3.344	-1.11	-76.88	-2.615	151.86	2011-04-28
144.42	3.252	-1.27	-81.12	-2.777	151.38	2011-04-29
144.66	3.111	-0.63	-61.9	-2.84	150.58	2011-05-03
142.51	3.133	-2.15	-76.86	-3.009	150.06	2011-05-04
141.3	3.075	-1.21	-80.29	-3.204	149.49	2011-05-05
143.48	3.071	2.18	-64.07	-3.146	149.11	2011-05-06
144.31	3.011	0.83	-52.76	-2.998	148.8	2011-05-09
143.15	2.969	-1.16	-53.52	-2.941	148.43	2011-05-10
144.34	2.898	1.19	-45.97	-2.768	148.17	2011-05-11
143.25	2.804	-1.09	-61.48	-2.688	147.85	2011-05-12
143.13	2.733	-0.12	-67.72	-2.604	147.55	2011-05-13
141.63	2.677	-1.5	-146.3	-2.628	147.16	2011-05-16
141.34	2.635	-0.29	-139.7	-2.64	146.79	2011-05-17
141.18	2.737	-0.16	-142.0	-2.632	146.43	2011-05-18
141.46	2.613	0.28	-114.0	-2.574	146.11	2011-05-19
141.67	2.529	0.21	-97.14	-2.482	145.82	2011-05-20
140.93	2.447	-0.74	-107.6	-2.441	145.5	2011-05-23
141.4	2.366	0.47	-79.65	-2.343	145.24	2011-05-24
138.91	2.492	-2.49	-181.0	-2.439	144.83	2011-05-25
146.51	2.924	7.6	159.0	-1.879	144.94	2011-05-26
146.97	2.867	0.46	160.8	-1.383	145.07	2011-05-27
147.18	2.775	0.62	158.7	-0.6587	145.3	2011-05-31
148.24	2.723	1.06	150.7	-0.2906	145.49	2011-06-01
147.75	2.692	-0.49	119.8	-0.03797	145.63	2011-06-02
148.32	2.64	0.57	129.1	0.2059	145.81	2011-06-03
152.5	2.742	2.87	151.6	0.952	146.47	2011-06-07
151.41	2.641	-1.09	130.9	1.209	146.79	2011-06-08
150.85	2.55	-0.56	105.2	1.352	147.05	2011-06-09
150.85	2.471	0.0	95.14	1.449	147.29	2011-06-10
