Close	ATR	Momentum	CCI	MACD	EMA	Times
8.08	0.4166	0.06	-117.5	-0.1151	8.61	2009-02-20
7.64	0.4261	-0.44	-164.2	-0.1744	8.54	2009-02-23
8.05	0.4285	0.41	-126.9	-0.1861	8.51	2009-02-24
8.24	0.4386	0.19	-61.16	-0.178	8.49	2009-02-25
8.04	0.4494	-0.2	-60.54	-0.1856	8.47	2009-02-26
8.06	0.4466	0.02	-77.27	-0.1879	8.44	2009-02-27
7.79	0.4469	-0.27	-98.6	-0.209	8.4	2009-03-02
7.77	0.4371	-0.02	-108.7	-0.2248	8.36	2009-03-03
8.07	0.4402	0.3	-64.71	-0.2107	8.34	2009-03-04
7.79	0.4337	-0.28	-79.37	-0.2196	8.3	2009-03-05
7.85	0.4406	0.06	-74.97	-0.2192	8.27	2009-03-06
7.94	0.4406	0.09	-56.21	-0.2093	8.25	2009-03-09
8.81	0.4719	0.87	61.93	-0.1297	8.29	2009-03-10
8.83	0.4589	0.02	119.0	-0.06427	8.32	2009-03-11
9.18	0.459	0.35	169.9	0.01564	8.38	2009-03-12
9.3	0.4484	0.12	176.3	0.08764	8.44	2009-03-13
9.01	0.4485	-0.29	150.5	0.1199	8.47	2009-03-16
9.43	0.4465	0.42	153.0	0.1773	8.54	2009-03-17
9.64	0.446	0.21	160.8	0.2371	8.61	2009-03-18
9.58	0.4449	-0.06	131.9	0.2764	8.67	2009-03-19
9.27	0.4602	-0.31	96.53	0.2793	8.71	2009-03-20
9.82	0.4673	0.55	118.4	0.3223	8.78	2009-03-23
9.49	0.4575	-0.33	93.88	0.3259	8.83	2009-03-24
9.45	0.4699	-0.04	83.84	0.3219	8.87	2009-03-25
10.01	0.4792	0.56	105.6	0.3598	8.94	2009-03-26
9.75	0.4706	-0.26	86.32	0.3646	8.99	2009-03-27
9.31	0.4792	-0.44	37.95	0.3291	9.01	2009-03-30
9.51	0.4742	0.2	58.24	0.3135	9.05	2009-03-31
9.51	0.4718	0.0	45.36	0.2977	9.08	2009-04-01
9.93	0.4817	0.42	102.1	0.3154	9.13	2009-04-02
10.09	0.4751	0.16	113.9	0.3385	9.19	2009-04-03
10.03	0.464	-0.06	110.2	0.3479	9.25	2009-04-06
9.77	0.458	-0.26	73.69	0.3306	9.28	2009-04-07
9.66	0.4517	-0.11	49.89	0.3045	9.3	2009-04-08
10.11	0.4559	0.45	131.4	0.3165	9.36	2009-04-09
10.11	0.4476	0.0	116.4	0.3222	9.41	2009-04-13
10.13	0.4428	0.02	140.8	0.3247	9.45	2009-04-14
9.88	0.4519	-0.25	17.08	0.303	9.48	2009-04-15
10.05	0.4439	0.17	68.48	0.296	9.52	2009-04-16
9.87	0.4322	-0.18	43.44	0.2729	9.54	2009-04-17
9.49	0.4285	-0.38	-81.88	0.2213	9.54	2009-04-20
9.72	0.4236	0.23	-43.16	0.1968	9.55	2009-04-21
9.91	0.4397	0.19	31.99	0.1904	9.57	2009-04-22
9.82	0.4398	-0.09	-9.148	0.1761	9.59	2009-04-23
9.88	0.4283	0.06	14.21	0.1677	9.61	2009-04-24
9.67	0.417	-0.21	-32.26	0.1424	9.61	2009-04-27
9.52	0.4044	-0.15	-101.0	0.109	9.6	2009-04-28
9.71	0.3984	0.19	-61.92	0.09677	9.61	2009-04-29
9.98	0.4063	0.27	76.7	0.1076	9.64	2009-04-30
10.0	0.3945	0.02	44.39	0.1165	9.66	2009-05-01
10.54	0.4084	0.54	243.0	0.1652	9.72	2009-05-04
10.31	0.4064	-0.23	165.7	0.1831	9.75	2009-05-05
10.28	0.3988	-0.03	135.2	0.1927	9.79	2009-05-06
10.06	0.4103	-0.22	62.69	0.1804	9.81	2009-05-07
9.75	0.4139	-0.31	-21.25	0.144	9.8	2009-05-08
9.8	0.4129	0.05	-47.73	0.1179	9.8	2009-05-11
9.7	0.4077	-0.1	-61.46	0.08803	9.8	2009-05-12
9.65	0.3957	-0.05	-62.86	0.05968	9.79	2009-05-13
9.91	0.3931	0.26	-10.35	0.05753	9.79	2009-05-14
9.69	0.3865	-0.22	-39.92	0.03764	9.79	2009-05-15
9.9	0.376	0.21	-23.14	0.03838	9.79	2009-05-18
9.98	0.3784	0.08	17.66	0.0449	9.81	2009-05-19
9.94	0.3771	-0.04	37.89	0.04631	9.81	2009-05-20
9.68	0.3745	-0.26	-74.76	0.02614	9.81	2009-05-21
9.6	0.3584	-0.08	-92.35	0.003663	9.79	2009-05-22
9.88	0.3557	0.28	-44.06	0.008346	9.8	2009-05-26
9.86	0.3539	-0.02	0.4393	0.01032	9.8	2009-05-27
10.03	0.355	0.17	-10.36	0.02532	9.82	2009-05-28
10.03	0.3547	0.0	4.113	0.03678	9.83	2009-05-29
10.53	0.3686	0.5	163.0	0.08522	9.88	2009-06-01
10.33	0.3644	-0.2	147.4	0.1063	9.91	2009-06-02
10.17	0.3598	-0.16	75.5	0.1088	9.92	2009-06-03
10.29	0.3513	0.12	123.8	0.119	9.95	2009-06-04
10.16	0.3562	-0.13	108.3	0.1154	9.96	2009-06-05
10.16	0.3529	0.0	60.56	0.1112	9.97	2009-06-08
10.47	0.3591	0.31	144.7	0.1314	10.0	2009-06-09
10.5	0.3549	0.03	128.3	0.1481	10.04	2009-06-10
10.43	0.3474	-0.07	118.7	0.1539	10.06	2009-06-11
10.4	0.3376	-0.03	68.4	0.1543	10.08	2009-06-12
10.19	0.3399	-0.21	20.04	0.1361	10.09	2009-06-15
10.12	0.3335	-0.07	15.0	0.1148	10.09	2009-06-16
10.3	0.3311	0.18	36.98	0.111	10.11	2009-06-17
10.12	0.3253	-0.18	12.42	0.09252	10.11	2009-06-18
10.21	0.3171	0.09	13.54	0.08413	10.11	2009-06-19
10.0	0.3194	-0.21	-44.95	0.05985	10.11	2009-06-22
10.09	0.3137	0.09	-63.52	0.04732	10.11	2009-06-23
10.27	0.3142	0.18	31.03	0.05132	10.12	2009-06-24
10.4	0.3117	0.13	41.46	0.06425	10.13	2009-06-25
10.39	0.3023	-0.01	69.94	0.07284	10.15	2009-06-26
10.45	0.2986	0.06	124.9	0.08353	10.17	2009-06-29
10.56	0.2958	0.11	127.8	0.09973	10.2	2009-06-30
10.87	0.309	0.31	246.7	0.136	10.24	2009-07-01
10.67	0.3033	-0.2	150.8	0.1469	10.27	2009-07-02
10.55	0.3031	-0.12	85.37	0.1442	10.28	2009-07-06
10.37	0.315	-0.18	49.02	0.1261	10.29	2009-07-07
10.17	0.319	-0.2	-56.72	0.09456	10.28	2009-07-08
10.22	0.3119	0.05	-38.36	0.07273	10.28	2009-07-09
10.23	0.306	0.01	-46.49	0.05559	10.28	2009-07-10
10.52	0.3135	0.29	22.4	0.06467	10.29	2009-07-13
10.74	0.3104	0.22	114.0	0.08859	10.32	2009-07-14
11.51	0.3496	0.77	303.2	0.1677	10.4	2009-07-15
11.8	0.3546	0.29	272.1	0.251	10.49	2009-07-16
11.99	0.355	0.19	230.7	0.3285	10.58	2009-07-17
12.06	0.349	0.07	193.2	0.3911	10.68	2009-07-20
12.06	0.3426	0.0	154.4	0.4356	10.77	2009-07-21
12.21	0.3381	0.15	146.4	0.4776	10.86	2009-07-22
12.43	0.3411	0.22	136.4	0.5225	10.96	2009-07-23
12.35	0.3382	-0.08	112.1	0.5454	11.05	2009-07-24
12.42	0.329	0.07	103.9	0.5627	11.14	2009-07-27
12.36	0.3248	-0.06	88.86	0.565	11.22	2009-07-28
12.38	0.3166	0.02	81.93	0.562	11.29	2009-07-29
12.33	0.3169	-0.05	82.51	0.5493	11.36	2009-07-30
12.28	0.3085	-0.05	70.14	0.5291	11.42	2009-07-31
12.36	0.3036	0.08	66.41	0.5136	11.48	2009-08-03
12.32	0.2919	-0.04	57.46	0.4924	11.53	2009-08-04
12.12	0.2911	-0.2	45.34	0.4542	11.57	2009-08-05
12.02	0.2981	-0.1	26.38	0.4111	11.6	2009-08-06
11.89	0.2997	-0.13	2.879	0.3624	11.62	2009-08-07
12.05	0.2933	0.16	-8.327	0.3328	11.65	2009-08-10
11.98	0.2881	-0.07	-29.9	0.3002	11.67	2009-08-11
12.09	0.2882	0.11	-18.44	0.2801	11.7	2009-08-12
12.24	0.2812	0.15	1.514	0.273	11.73	2009-08-13
12.06	0.2825	-0.18	-65.12	0.2501	11.75	2009-08-14
11.86	0.2788	-0.2	-155.5	0.2133	11.76	2009-08-17
12.06	0.2781	0.2	-88.39	0.198	11.78	2009-08-18
