Close	ATR	Momentum	CCI	MACD	EMA	Times
33.77	0.7613	-0.51	-158.4	-0.4226	35.23	2009-02-20
33.16	0.7741	-0.61	-198.4	-0.5147	35.09	2009-02-23
33.71	0.7681	0.55	-153.2	-0.5372	35.0	2009-02-24
33.35	0.7647	-0.36	-140.7	-0.5774	34.9	2009-02-25
32.41	0.8065	-0.94	-165.5	-0.6773	34.74	2009-02-26
30.9	0.8596	-1.51	-230.2	-0.8683	34.49	2009-02-27
29.61	0.8939	-1.29	-252.7	-1.111	34.17	2009-03-02
29.44	0.8822	-0.17	-212.3	-1.302	33.87	2009-03-03
30.34	0.9063	0.9	-157.2	-1.365	33.64	2009-03-04
29.46	0.9159	-0.88	-147.5	-1.469	33.37	2009-03-05
29.64	0.9204	0.18	-124.3	-1.519	33.13	2009-03-06
28.8	0.9304	-0.84	-124.3	-1.609	32.85	2009-03-09
29.53	0.9197	0.73	-96.56	-1.602	32.64	2009-03-10
29.6	0.9047	0.07	-76.48	-1.573	32.44	2009-03-11
30.28	0.9279	0.68	-60.36	-1.478	32.3	2009-03-12
31.29	0.9409	1.01	-22.78	-1.306	32.24	2009-03-13
31.35	0.9123	0.06	-1.658	-1.152	32.18	2009-03-16
31.34	0.9057	-0.01	-11.11	-1.019	32.13	2009-03-17
31.31	0.9003	-0.03	8.285	-0.905	32.07	2009-03-18
30.94	0.9103	-0.37	-1.024	-0.8352	32.0	2009-03-19
31.93	0.931	0.99	49.03	-0.692	32.0	2009-03-20
32.9	0.9338	0.97	95.71	-0.4946	32.05	2009-03-23
32.57	0.9235	-0.33	107.9	-0.3606	32.09	2009-03-24
32.67	0.9132	0.1	108.5	-0.2436	32.12	2009-03-25
32.69	0.9123	0.02	118.2	-0.1475	32.16	2009-03-26
32.65	0.8793	-0.04	105.5	-0.07369	32.19	2009-03-27
32.76	0.865	0.11	97.97	-0.006276	32.23	2009-03-30
32.51	0.8511	-0.25	85.15	0.02667	32.25	2009-03-31
32.78	0.8489	0.27	73.19	0.07372	32.28	2009-04-01
32.73	0.8533	-0.05	85.4	0.1057	32.31	2009-04-02
32.23	0.8609	-0.5	48.47	0.08975	32.31	2009-04-03
32.26	0.838	0.03	31.82	0.07859	32.3	2009-04-06
31.74	0.8188	-0.52	-4.581	0.02747	32.27	2009-04-07
31.8	0.7903	0.06	-18.69	-0.008108	32.24	2009-04-08
31.77	0.776	-0.03	-32.42	-0.03828	32.21	2009-04-09
31.61	0.7449	-0.16	-61.4	-0.07425	32.17	2009-04-13
31.75	0.7495	0.14	-30.0	-0.09042	32.14	2009-04-14
31.99	0.7281	0.24	-35.72	-0.08291	32.13	2009-04-15
32.26	0.7097	0.27	-15.03	-0.05455	32.14	2009-04-16
32.78	0.7104	0.52	66.67	0.009782	32.18	2009-04-17
32.43	0.7104	-0.35	48.91	0.03215	32.2	2009-04-20
32.42	0.6982	-0.01	11.8	0.04851	32.21	2009-04-21
31.63	0.7076	-0.79	-93.83	-0.002245	32.17	2009-04-22
31.76	0.71	0.13	-124.3	-0.03161	32.15	2009-04-23
31.47	0.7128	-0.29	-105.6	-0.0774	32.1	2009-04-24
31.43	0.7098	-0.04	-102.0	-0.1156	32.06	2009-04-27
31.3	0.6976	-0.13	-120.7	-0.1545	32.01	2009-04-28
31.54	0.6907	0.24	-114.6	-0.1642	31.98	2009-04-29
32.36	0.7106	0.82	37.62	-0.1044	32.0	2009-04-30
32.5	0.7006	0.14	70.62	-0.04525	32.04	2009-05-01
33.22	0.7084	0.72	187.3	0.05905	32.11	2009-05-04
33.59	0.6999	0.37	208.7	0.1696	32.21	2009-05-05
33.5	0.7014	-0.09	178.0	0.2471	32.29	2009-05-06
33.92	0.7155	0.42	166.6	0.3385	32.4	2009-05-07
33.98	0.7002	0.06	170.7	0.4111	32.5	2009-05-08
33.44	0.6937	-0.54	108.6	0.4202	32.56	2009-05-11
33.99	0.6999	0.55	112.6	0.4664	32.65	2009-05-12
34.08	0.6906	0.09	115.2	0.5044	32.74	2009-05-13
34.0	0.6698	-0.08	102.3	0.5221	32.83	2009-05-14
34.24	0.6541	0.24	95.26	0.5492	32.92	2009-05-15
34.64	0.6467	0.4	108.3	0.596	33.03	2009-05-18
34.54	0.6234	-0.1	102.7	0.618	33.13	2009-05-19
34.53	0.6088	-0.01	98.67	0.6273	33.22	2009-05-20
34.28	0.6154	-0.25	71.45	0.6075	33.28	2009-05-21
34.15	0.6071	-0.13	65.62	0.5748	33.34	2009-05-22
34.45	0.6216	0.3	61.49	0.5665	33.41	2009-05-26
33.8	0.6365	-0.65	39.71	0.5016	33.44	2009-05-27
34.0	0.6382	0.2	18.05	0.4611	33.47	2009-05-28
34.39	0.649	0.39	44.15	0.4552	33.53	2009-05-29
34.78	0.6419	0.39	141.7	0.4765	33.61	2009-06-01
35.04	0.6339	0.26	174.9	0.5085	33.7	2009-06-02
35.01	0.6172	-0.03	147.5	0.5254	33.79	2009-06-03
34.81	0.6146	-0.2	116.6	0.5166	33.86	2009-06-04
34.87	0.6178	0.06	87.46	0.5087	33.92	2009-06-05
34.68	0.6173	-0.19	65.01	0.4815	33.97	2009-06-08
34.73	0.601	0.05	84.35	0.4588	34.02	2009-06-09
