Close	ATR	Momentum	CCI	MACD	EMA	Times
13.25	1.5	-0.47	-206.6	-0.7551	16.28	2009-02-20
12.99	1.492	-0.26	-163.0	-0.8929	16.07	2009-02-23
13.99	1.487	1.0	-128.9	-0.9109	15.94	2009-02-24
14.47	1.528	0.48	-73.38	-0.8764	15.84	2009-02-25
15.35	1.535	0.88	-15.41	-0.7691	15.81	2009-02-26
15.21	1.523	-0.14	-33.09	-0.6875	15.77	2009-02-27
14.09	1.498	-1.12	-63.51	-0.705	15.66	2009-03-02
13.99	1.453	-0.1	-68.98	-0.7187	15.55	2009-03-03
12.85	1.488	-1.14	-98.26	-0.8122	15.38	2009-03-04
11.05	1.537	-1.8	-162.5	-1.02	15.1	2009-03-05
10.61	1.556	-0.44	-168.4	-1.206	14.81	2009-03-06
10.59	1.552	-0.02	-159.3	-1.34	14.54	2009-03-09
12.98	1.612	2.39	-78.05	-1.238	14.44	2009-03-10
13.58	1.582	0.6	-28.78	-1.097	14.38	2009-03-11
15.45	1.627	1.87	47.22	-0.8247	14.45	2009-03-12
15.81	1.579	0.36	107.6	-0.5732	14.54	2009-03-13
15.37	1.575	-0.44	118.0	-0.4048	14.59	2009-03-16
16.74	1.603	1.37	124.3	-0.1589	14.73	2009-03-17
18.05	1.638	1.31	169.3	0.1401	14.95	2009-03-18
16.61	1.655	-1.44	130.4	0.2579	15.05	2009-03-19
15.41	1.623	-1.2	65.83	0.2515	15.08	2009-03-20
19.21	1.793	3.8	157.4	0.5467	15.34	2009-03-23
17.58	1.813	-1.63	128.5	0.6418	15.49	2009-03-24
19.02	1.816	1.44	121.5	0.8238	15.72	2009-03-25
19.37	1.779	0.35	128.4	0.985	15.95	2009-03-26
18.24	1.743	-1.13	98.02	1.01	16.1	2009-03-27
16.54	1.743	-1.7	42.39	0.8823	16.13	2009-03-30
17.7	1.726	1.16	54.46	0.8647	16.23	2009-03-31
18.74	1.745	1.04	70.55	0.9241	16.39	2009-04-01
18.78	1.728	0.04	89.37	0.9633	16.54	2009-04-02
19.53	1.689	0.75	91.08	1.043	16.74	2009-04-03
18.81	1.645	-0.72	78.35	1.036	16.87	2009-04-06
18.18	1.584	-0.63	49.28	0.9684	16.96	2009-04-07
18.3	1.534	0.12	36.36	0.914	17.04	2009-04-08
21.84	1.694	3.54	210.2	1.143	17.35	2009-04-09
22.48	1.684	0.64	234.2	1.361	17.68	2009-04-13
20.48	1.709	-2.0	149.3	1.357	17.86	2009-04-14
21.72	1.716	1.24	142.1	1.437	18.11	2009-04-15
22.17	1.672	0.45	157.0	1.519	18.37	2009-04-16
22.18	1.621	0.01	133.0	1.567	18.62	2009-04-17
19.8	1.677	-2.38	43.43	1.396	18.7	2009-04-20
21.7	1.75	1.9	62.11	1.399	18.89	2009-04-21
21.28	1.759	-0.42	82.01	1.351	19.04	2009-04-22
22.15	1.733	0.87	84.28	1.368	19.24	2009-04-23
22.26	1.716	0.11	88.36	1.374	19.44	2009-04-24
21.86	1.658	-0.4	71.28	1.331	19.59	2009-04-27
21.87	1.609	0.01	65.46	1.284	19.74	2009-04-28
23.0	1.578	1.13	96.77	1.322	19.95	2009-04-29
22.01	1.582	-0.99	79.11	1.257	20.08	2009-04-30
21.67	1.551	-0.34	42.83	1.166	20.19	2009-05-01
23.87	1.606	2.2	123.1	1.256	20.42	2009-05-04
23.22	1.563	-0.65	127.6	1.261	20.6	2009-05-05
24.82	1.572	1.6	207.6	1.377	20.88	2009-05-06
23.5	1.651	-1.32	176.7	1.348	21.05	2009-05-07
25.97	1.709	2.47	216.4	1.507	21.36	2009-05-08
23.9	1.735	-2.07	124.0	1.449	21.53	2009-05-11
23.58	1.715	-0.32	56.13	1.361	21.66	2009-05-12
22.71	1.673	-0.87	13.18	1.208	21.73	2009-05-13
23.7	1.639	0.99	38.72	1.153	21.85	2009-05-14
23.28	1.583	-0.42	34.85	1.063	21.95	2009-05-15
24.85	1.587	1.57	97.96	1.106	22.13	2009-05-18
23.88	1.564	-0.97	82.45	1.049	22.25	2009-05-19
23.04	1.572	-0.84	15.88	0.9261	22.3	2009-05-20
23.28	1.539	0.24	-20.38	0.8381	22.36	2009-05-21
22.95	1.472	-0.33	-21.96	0.7334	22.4	2009-05-22
24.37	1.482	1.42	36.37	0.7562	22.53	2009-05-26
23.12	1.474	-1.25	2.647	0.6658	22.56	2009-05-27
24.44	1.467	1.32	41.74	0.6927	22.69	2009-05-28
24.61	1.428	0.17	74.7	0.7194	22.81	2009-05-29
24.08	1.42	-0.53	66.54	0.6898	22.89	2009-06-01
23.01	1.397	-1.07	-75.66	0.5734	22.9	2009-06-02
22.66	1.36	-0.35	-117.8	0.4478	22.88	2009-06-03
23.58	1.333	0.92	-48.49	0.4177	22.93	2009-06-04
23.04	1.298	-0.54	-49.95	0.3462	22.94	2009-06-05
23.6	1.261	0.56	-18.46	0.331	22.98	2009-06-08
23.52	1.204	-0.08	3.863	0.3089	23.01	2009-06-09
23.24	1.18	-0.28	-41.36	0.2657	23.03	2009-06-10
23.3	1.159	0.06	-29.85	0.2336	23.05	2009-06-11
23.43	1.107	0.13	-29.67	0.2162	23.07	2009-06-12
22.68	1.085	-0.75	-116.0	0.1403	23.05	2009-06-15
22.34	1.056	-0.34	-172.1	0.05206	23.0	2009-06-16
21.83	1.045	-0.51	-244.9	-0.05833	22.92	2009-06-17
22.79	1.045	0.96	-119.7	-0.06758	22.92	2009-06-18
23.34	1.033	0.55	-31.6	-0.03018	22.94	2009-06-19
21.92	1.061	-1.42	-121.3	-0.1138	22.88	2009-06-22
22.39	1.044	0.47	-109.0	-0.1405	22.85	2009-06-23
22.32	1.01	-0.07	-98.58	-0.1655	22.81	2009-06-24
22.77	1.004	0.45	-71.94	-0.1472	22.81	2009-06-25
22.98	0.9919	0.21	-21.48	-0.1145	22.82	2009-06-26
23.08	0.9524	0.1	10.17	-0.07955	22.84	2009-06-29
22.75	0.928	-0.33	-7.664	-0.0776	22.83	2009-06-30
22.56	0.9053	-0.19	-29.59	-0.09035	22.81	2009-07-01
21.55	0.9127	-1.01	-146.1	-0.1799	22.73	2009-07-02
21.78	0.8961	0.23	-169.3	-0.2296	22.67	2009-07-06
21.92	0.8928	0.14	-107.9	-0.2548	22.62	2009-07-07
21.85	0.9105	-0.07	-110.1	-0.2772	22.57	2009-07-08
22.46	0.8947	0.61	-30.25	-0.243	22.57	2009-07-09
21.6	0.9008	-0.86	-94.24	-0.282	22.5	2009-07-10
23.18	0.9493	1.58	51.72	-0.1833	22.55	2009-07-13
23.18	0.9308	0.0	128.5	-0.1038	22.59	2009-07-14
24.22	0.9629	1.04	233.3	0.04252	22.69	2009-07-15
24.13	0.9505	-0.09	186.8	0.1495	22.79	2009-07-16
24.64	0.9341	0.51	207.7	0.2724	22.91	2009-07-17
24.7	0.9081	0.06	187.2	0.3703	23.02	2009-07-20
24.67	0.8768	-0.03	151.4	0.4404	23.13	2009-07-21
24.6	0.867	-0.07	120.5	0.4847	23.22	2009-07-22
25.48	0.8958	0.88	140.3	0.5841	23.37	2009-07-23
25.33	0.8725	-0.15	123.5	0.6433	23.49	2009-07-24
25.47	0.9002	0.14	124.2	0.6936	23.62	2009-07-27
25.44	0.8623	-0.03	96.2	0.7227	23.74	2009-07-28
25.23	0.8386	-0.21	81.56	0.7205	23.84	2009-07-29
25.7	0.8508	0.47	96.95	0.748	23.96	2009-07-30
25.82	0.8243	0.12	86.75	0.7707	24.08	2009-07-31
26.45	0.8176	0.63	115.4	0.8299	24.23	2009-08-03
26.86	0.8228	0.41	128.1	0.8995	24.4	2009-08-04
27.91	0.859	1.05	172.7	1.028	24.63	2009-08-05
27.22	0.9041	-0.69	148.3	1.061	24.79	2009-08-06
28.29	0.9531	1.07	178.1	1.161	25.02	2009-08-07
28.52	0.9429	0.23	169.5	1.244	25.24	2009-08-10
27.55	0.9591	-0.97	109.3	1.217	25.39	2009-08-11
28.19	0.9577	0.64	105.7	1.234	25.57	2009-08-12
28.66	0.9457	0.47	114.9	1.27	25.77	2009-08-13
28.35	0.931	-0.31	95.41	1.26	25.94	2009-08-14
27.21	0.9474	-1.14	42.33	1.146	26.02	2009-08-17
27.85	0.934	0.64	55.66	1.095	26.14	2009-08-18
27.66	0.9102	-0.19	46.04	1.027	26.24	2009-08-19
28.33	0.903	0.67	70.01	1.016	26.37	2009-08-20
29.16	0.9049	0.83	112.8	1.062	26.55	2009-08-21
28.73	0.9017	-0.43	111.2	1.051	26.69	2009-08-24
29.11	0.8909	0.38	120.4	1.061	26.85	2009-08-25
28.92	0.868	-0.19	99.6	1.042	26.98	2009-08-26
29.02	0.8581	0.1	85.83	1.023	27.11	2009-08-27
28.67	0.8618	-0.35	74.11	0.9684	27.21	2009-08-28
29.03	0.8738	0.36	64.38	0.9433	27.33	2009-08-31
27.83	0.9193	-1.2	-2.105	0.8173	27.36	2009-09-01
27.29	0.9186	-0.54	-106.3	0.6661	27.36	2009-09-02
28.13	0.9194	0.84	-56.6	0.6071	27.41	2009-09-03
28.28	0.8873	0.15	-18.89	0.5659	27.46	2009-09-04
28.41	0.8811	0.13	8.74	0.5375	27.53	2009-09-08
28.63	0.851	0.22	33.84	0.5267	27.6	2009-09-09
28.74	0.8352	0.11	31.89	0.5211	27.67	2009-09-10
28.39	0.8191	-0.35	29.72	0.4828	27.72	2009-09-11
29.22	0.8485	0.83	66.03	0.5134	27.81	2009-09-14
28.85	0.8664	-0.37	72.17	0.5021	27.88	2009-09-15
29.82	0.8753	0.97	157.7	0.5649	28.01	2009-09-16
30.03	0.8563	0.21	200.0	0.6244	28.14	2009-09-17
30.02	0.8259	-0.01	198.0	0.6631	28.26	2009-09-18
29.76	0.8012	-0.26	130.2	0.6652	28.35	2009-09-21
31.04	0.8397	1.28	202.2	0.7613	28.53	2009-09-22
30.1	0.8525	-0.94	149.5	0.7529	28.63	2009-09-23
29.64	0.8652	-0.46	86.85	0.7011	28.69	2009-09-24
29.16	0.8527	-0.48	18.22	0.6142	28.72	2009-09-25
29.93	0.8475	0.77	54.91	0.6006	28.8	2009-09-28
29.98	0.8234	0.05	71.16	0.587	28.88	2009-09-29
29.27	0.8339	-0.71	20.42	0.5131	28.9	2009-09-30
27.63	0.8914	-1.64	-106.8	0.3185	28.82	2009-10-01
27.99	0.9178	0.36	-134.3	0.1911	28.77	2009-10-02
29.29	0.9515	1.3	-26.92	0.1928	28.8	2009-10-05
30.03	0.9407	0.74	55.38	0.251	28.88	2009-10-06
