Close	ATR	Momentum	CCI	MACD	EMA	Times
228.79	5.829	-3.38	7.74	-1.229	230.23	2010-01-06
228.59	5.86	-0.2	-18.72	-1.154	230.13	2010-01-07
224.41	5.911	-4.18	-31.82	-1.417	229.76	2010-01-08
229.58	5.915	5.17	6.774	-1.194	229.75	2010-01-11
230.28	5.834	0.7	26.55	-0.9493	229.78	2010-01-12
229.48	5.608	-0.8	36.76	-0.8109	229.76	2010-01-13
225.7	5.769	-3.78	-22.96	-0.9948	229.5	2010-01-14
224.41	5.762	-1.29	-35.44	-1.23	229.17	2010-01-15
227.0	5.642	2.59	-3.788	-1.194	229.03	2010-01-18
226.7	5.559	-0.3	-11.87	-1.177	228.88	2010-01-19
225.21	5.354	-1.49	-38.09	-1.268	228.64	2010-01-20
222.12	5.369	-3.09	-86.5	-1.572	228.22	2010-01-21
222.32	5.391	0.2	-111.7	-1.776	227.84	2010-01-22
219.54	5.382	-2.78	-173.2	-2.137	227.31	2010-01-25
216.85	5.417	-2.69	-254.0	-2.611	226.63	2010-01-26
213.97	5.3	-2.88	-230.7	-3.181	225.82	2010-01-27
210.09	5.433	-3.88	-210.0	-3.902	224.8	2010-01-28
211.18	5.329	1.09	-185.6	-4.335	223.92	2010-01-29
215.46	5.439	4.28	-120.1	-4.284	223.38	2010-02-01
213.87	5.334	-1.59	-96.27	-4.321	222.76	2010-02-02
210.19	5.43	-3.68	-126.7	-4.595	221.95	2010-02-03
205.11	5.617	-5.08	-138.1	-5.162	220.86	2010-02-04
199.54	5.621	-5.57	-167.8	-5.993	219.49	2010-02-05
197.45	5.681	-2.09	-166.3	-6.741	218.07	2010-02-08
203.02	5.887	5.57	-122.7	-6.807	217.1	2010-02-09
206.31	5.907	3.29	-77.83	-6.518	216.4	2010-02-10
208.89	5.797	2.58	-51.59	-6.012	215.92	2010-02-11
208.49	5.639	-0.4	-42.43	-5.578	215.44	2010-02-12
204.61	5.698	-3.88	-64.64	-5.485	214.74	2010-02-15
205.21	5.496	0.6	-67.89	-5.301	214.12	2010-02-16
212.08	5.722	6.87	0.5769	-4.549	213.99	2010-02-17
216.25	6.18	4.17	42.1	-3.575	214.14	2010-02-18
218.24	6.03	1.99	102.0	-2.613	214.4	2010-02-19
214.66	6.019	-3.58	93.87	-2.114	214.42	2010-02-22
