Close	ATR	Momentum	CCI	MACD	EMA	Times
12.84	0.3734	-0.14	7.962	-0.1001	12.98	2009-02-20
12.62	0.3746	-0.22	-52.77	-0.1111	12.96	2009-02-23
12.91	0.3714	0.29	-1.416	-0.09535	12.95	2009-02-24
12.7	0.3684	-0.21	-24.22	-0.09866	12.94	2009-02-25
12.31	0.38	-0.39	-132.0	-0.1312	12.9	2009-02-26
12.24	0.3714	-0.07	-188.0	-0.1609	12.85	2009-02-27
11.9	0.3706	-0.34	-212.8	-0.2093	12.79	2009-03-02
11.64	0.377	-0.26	-209.9	-0.2657	12.72	2009-03-03
11.91	0.3822	0.27	-150.9	-0.2853	12.67	2009-03-04
11.34	0.4042	-0.57	-187.5	-0.3428	12.58	2009-03-05
11.72	0.4046	0.38	-134.2	-0.3537	12.52	2009-03-06
11.61	0.4	-0.11	-105.4	-0.367	12.47	2009-03-09
11.74	0.3935	0.13	-92.02	-0.3628	12.42	2009-03-10
11.99	0.3912	0.25	-53.68	-0.3355	12.39	2009-03-11
12.37	0.3961	0.38	-18.0	-0.2799	12.39	2009-03-12
12.49	0.3899	0.12	16.03	-0.2236	12.4	2009-03-13
12.5	0.3814	0.01	42.28	-0.1762	12.4	2009-03-16
12.56	0.3727	0.06	38.16	-0.1322	12.41	2009-03-17
12.62	0.3732	0.06	56.87	-0.09149	12.43	2009-03-18
12.78	0.3594	0.16	82.77	-0.04576	12.45	2009-03-19
12.92	0.3545	0.14	113.1	0.001753	12.48	2009-03-20
13.37	0.3613	0.45	151.4	0.07486	12.54	2009-03-23
13.33	0.3555	-0.04	147.5	0.1281	12.59	2009-03-24
13.55	0.3494	0.22	158.0	0.1859	12.65	2009-03-25
13.59	0.3501	0.04	136.5	0.2322	12.71	2009-03-26
13.66	0.3415	0.07	129.5	0.2715	12.77	2009-03-27
13.3	0.3529	-0.36	88.43	0.2704	12.81	2009-03-30
13.31	0.3462	0.01	85.16	0.2673	12.84	2009-03-31
13.59	0.3536	0.28	84.78	0.2842	12.89	2009-04-01
13.73	0.3541	0.14	101.9	0.3053	12.94	2009-04-02
13.62	0.3567	-0.11	87.67	0.3096	12.99	2009-04-03
13.63	0.3462	0.01	76.38	0.3102	13.03	2009-04-06
13.52	0.3365	-0.11	65.2	0.2984	13.06	2009-04-07
13.63	0.3253	0.11	67.24	0.2946	13.1	2009-04-08
13.63	0.3213	0.0	79.65	0.2882	13.13	2009-04-09
13.55	0.3112	-0.08	49.61	0.2735	13.16	2009-04-13
13.39	0.309	-0.16	11.31	0.2461	13.17	2009-04-14
13.64	0.3091	0.25	48.36	0.2418	13.2	2009-04-15
13.66	0.3127	0.02	67.18	0.2373	13.23	2009-04-16
13.64	0.3068	-0.02	73.36	0.2294	13.26	2009-04-17
13.43	0.3113	-0.21	-45.07	0.2039	13.27	2009-04-20
13.05	0.3398	-0.38	-190.4	0.1513	13.26	2009-04-21
13.0	0.3291	-0.05	-259.2	0.1043	13.24	2009-04-22
13.0	0.3156	0.0	-199.0	0.06633	13.22	2009-04-23
12.96	0.3045	-0.04	-170.9	0.03264	13.21	2009-04-24
12.79	0.302	-0.17	-171.3	-0.007696	13.18	2009-04-27
12.81	0.2926	0.02	-154.8	-0.03761	13.16	2009-04-28
12.94	0.2888	0.13	-101.3	-0.05025	13.14	2009-04-29
13.04	0.2975	0.1	-52.65	-0.05161	13.14	2009-04-30
12.86	0.2984	-0.18	-88.96	-0.06644	13.12	2009-05-01
13.08	0.2992	0.22	-63.79	-0.05975	13.11	2009-05-04
13.07	0.2936	-0.01	-30.68	-0.05463	13.11	2009-05-05
13.01	0.2904	-0.06	-41.29	-0.05478	13.11	2009-05-06
12.96	0.2861	-0.05	-52.51	-0.05826	13.1	2009-05-07
13.0	0.28	0.04	-49.05	-0.05714	13.09	2009-05-08
12.95	0.2735	-0.05	-49.29	-0.05959	13.08	2009-05-11
13.45	0.2961	0.5	65.01	-0.02095	13.1	2009-05-12
13.22	0.2957	-0.23	59.7	-0.008782	13.11	2009-05-13
13.6	0.3074	0.38	156.3	0.03116	13.14	2009-05-14
13.62	0.2948	0.02	186.0	0.0637	13.17	2009-05-15
13.95	0.3051	0.33	231.3	0.1148	13.22	2009-05-18
14.13	0.3076	0.18	231.6	0.1679	13.28	2009-05-19
14.24	0.3014	0.11	203.8	0.2163	13.34	2009-05-20
14.14	0.2934	-0.1	151.3	0.2438	13.4	2009-05-21
14.33	0.2953	0.19	150.8	0.2778	13.46	2009-05-22
14.3	0.2871	-0.03	126.8	0.2988	13.51	2009-05-26
14.12	0.2809	-0.18	96.12	0.2975	13.55	2009-05-27
14.21	0.2794	0.09	87.41	0.3003	13.59	2009-05-28
14.89	0.308	0.68	133.3	0.3533	13.68	2009-05-29
14.85	0.3017	-0.04	139.2	0.3876	13.75	2009-06-01
15.04	0.3023	0.19	138.0	0.4252	13.84	2009-06-02
14.87	0.3	-0.17	112.5	0.4363	13.9	2009-06-03
15.07	0.3021	0.2	113.8	0.4559	13.98	2009-06-04
14.98	0.2963	-0.09	112.1	0.459	14.04	2009-06-05
14.96	0.293	-0.02	94.86	0.4545	14.1	2009-06-08
14.87	0.2877	-0.09	83.04	0.4386	14.15	2009-06-09
14.66	0.2958	-0.21	50.72	0.4045	14.18	2009-06-10
14.84	0.3011	0.18	63.04	0.3875	14.23	2009-06-11
14.94	0.2917	0.1	65.81	0.3777	14.27	2009-06-12
14.7	0.2887	-0.24	33.28	0.3466	14.3	2009-06-15
14.61	0.2788	-0.09	8.287	0.3111	14.32	2009-06-16
14.64	0.2768	0.03	12.46	0.2821	14.34	2009-06-17
15.14	0.2941	0.5	79.3	0.2961	14.39	2009-06-18
14.91	0.2988	-0.23	83.08	0.2853	14.43	2009-06-19
14.66	0.2954	-0.25	-5.284	0.2537	14.44	2009-06-22
14.6	0.2914	-0.06	-40.31	0.2212	14.45	2009-06-23
14.51	0.2949	-0.09	-90.47	0.1861	14.45	2009-06-24
14.62	0.2924	0.11	-131.0	0.1652	14.47	2009-06-25
14.7	0.2858	0.08	-78.9	0.1534	14.48	2009-06-26
14.75	0.2739	0.05	-29.06	0.1463	14.5	2009-06-29
14.66	0.2644	-0.09	-67.37	0.1319	14.51	2009-06-30
15.02	0.2805	0.36	93.4	0.1479	14.54	2009-07-01
14.93	0.2747	-0.09	87.72	0.1515	14.57	2009-07-02
14.97	0.2694	0.04	58.89	0.1559	14.59	2009-07-06
14.86	0.2637	-0.11	56.4	0.1487	14.61	2009-07-07
14.82	0.2599	-0.04	16.44	0.1382	14.62	2009-07-08
14.88	0.2485	0.06	39.53	0.1332	14.64	2009-07-09
14.76	0.2493	-0.12	-6.123	0.1181	14.65	2009-07-10
14.98	0.2551	0.22	55.82	0.1226	14.67	2009-07-13
15.06	0.2504	0.08	104.7	0.131	14.69	2009-07-14
15.44	0.2604	0.38	223.1	0.1665	14.74	2009-07-15
15.52	0.2575	0.08	233.5	0.1987	14.79	2009-07-16
15.37	0.2562	-0.15	167.3	0.2098	14.83	2009-07-17
15.59	0.2587	0.22	176.7	0.2336	14.88	2009-07-20
15.38	0.2673	-0.21	118.8	0.2328	14.91	2009-07-21
15.01	0.2811	-0.37	36.58	0.2001	14.92	2009-07-22
15.02	0.286	0.01	22.91	0.1729	14.92	2009-07-23
15.08	0.2827	0.06	9.069	0.1545	14.93	2009-07-24
15.13	0.2725	0.05	17.21	0.1422	14.95	2009-07-27
15.09	0.2695	-0.04	8.54	0.1278	14.96	2009-07-28
15.05	0.2688	-0.04	7.384	0.1119	14.96	2009-07-29
15.17	0.2768	0.12	58.77	0.1077	14.98	2009-07-30
15.23	0.2727	0.06	46.26	0.108	14.99	2009-07-31
15.15	0.2711	-0.08	19.64	0.1006	15.0	2009-08-03
15.12	0.2689	-0.03	14.91	0.09129	15.01	2009-08-04
15.02	0.2625	-0.1	-45.27	0.07496	15.01	2009-08-05
