Close	ATR	Momentum	CCI	MACD	EMA	Times
118.12	1.352	0.0	-52.49	-1.307	120.32	2010-01-06
118.12	1.256	0.0	-48.94	-1.246	120.18	2010-01-07
117.62	1.449	-0.5	-122.5	-1.224	120.01	2010-01-08
117.62	1.558	0.0	-84.38	-1.192	119.86	2010-01-11
121.1	1.695	3.48	290.0	-0.8767	119.94	2010-01-12
123.08	1.814	1.98	347.7	-0.4614	120.14	2010-01-13
124.32	1.773	1.24	309.2	-0.0319	120.41	2010-01-14
123.58	1.699	-0.74	196.1	0.246	120.62	2010-01-15
123.58	1.577	0.0	153.0	0.4609	120.81	2010-01-18
120.6	1.678	-2.98	37.94	0.3863	120.79	2010-01-19
119.61	1.701	-0.99	21.67	0.2444	120.72	2010-01-20
121.35	1.703	1.74	53.45	0.2693	120.76	2010-01-21
121.1	1.6	-0.25	39.73	0.2658	120.78	2010-01-22
121.1	1.485	0.0	35.92	0.26	120.8	2010-01-25
120.85	1.468	-0.25	20.9	0.2326	120.8	2010-01-26
120.6	1.487	-0.25	-6.881	0.1885	120.79	2010-01-27
120.6	1.523	0.0	-3.822	0.1518	120.78	2010-01-28
119.61	1.521	-0.99	-32.75	0.04239	120.7	2010-01-29
119.11	1.448	-0.5	-56.26	-0.08373	120.6	2010-02-01
118.12	1.557	-0.99	-85.68	-0.2606	120.44	2010-02-02
118.87	1.641	0.75	-80.92	-0.3363	120.34	2010-02-03
119.36	1.772	0.49	-67.06	-0.3527	120.28	2010-02-04
119.36	1.645	0.0	-61.03	-0.3616	120.22	2010-02-05
119.36	1.528	0.0	-69.1	-0.3644	120.16	2010-02-08
121.1	1.614	1.74	19.56	-0.2236	120.22	2010-02-09
121.1	1.711	0.0	7.942	-0.1108	120.28	2010-02-10
120.6	1.73	-0.5	30.92	-0.06104	120.3	2010-02-11
119.11	1.802	-1.49	-64.12	-0.1402	120.22	2010-02-12
119.11	1.78	0.0	-86.02	-0.2006	120.15	2010-02-15
118.12	1.794	-0.99	-132.4	-0.3247	120.02	2010-02-16
118.87	1.869	0.75	-82.93	-0.3583	119.95	2010-02-17
118.62	1.895	-0.25	-62.55	-0.4005	119.86	2010-02-18
118.87	1.901	0.25	-94.51	-0.4091	119.8	2010-02-19
119.86	1.974	0.99	64.27	-0.3322	119.8	2010-02-22
118.62	1.961	-1.24	-48.8	-0.3671	119.72	2010-02-23
118.37	1.891	-0.25	-75.44	-0.4101	119.64	2010-02-24
118.62	1.863	0.25	-47.04	-0.4193	119.57	2010-02-25
118.37	1.78	-0.25	-75.08	-0.4416	119.49	2010-02-26
118.87	1.728	0.5	-43.99	-0.4142	119.45	2010-03-01
119.11	1.671	0.24	-27.56	-0.3688	119.43	2010-03-02
118.14	1.688	-0.97	-120.1	-0.4064	119.35	2010-03-03
118.89	1.646	0.75	-51.81	-0.3715	119.32	2010-03-04
118.64	1.617	-0.25	-65.01	-0.3598	119.27	2010-03-05
118.64	1.571	0.0	-53.24	-0.3465	119.23	2010-03-08
118.39	1.53	-0.25	-61.66	-0.3521	119.18	2010-03-09
117.65	1.515	-0.74	-135.0	-0.4115	119.08	2010-03-10
117.4	1.495	-0.25	-205.8	-0.4733	118.97	2010-03-11
117.4	1.468	0.0	-185.7	-0.5164	118.87	2010-03-12
117.15	1.417	-0.25	-182.7	-0.5641	118.76	2010-03-15
117.15	1.387	0.0	-143.0	-0.5951	118.66	2010-03-16
117.15	1.342	0.0	-127.0	-0.6126	118.56	2010-03-17
117.15	1.292	0.0	-106.4	-0.6194	118.47	2010-03-18
115.41	1.382	-1.74	-190.9	-0.7564	118.27	2010-03-19
114.92	1.336	-0.49	-217.8	-0.8942	118.05	2010-03-22
115.41	1.329	0.49	-161.8	-0.9529	117.88	2010-03-23
117.4	1.439	1.99	-63.33	-0.8293	117.85	2010-03-24
116.9	1.428	-0.5	-33.17	-0.7629	117.79	2010-03-25
117.89	1.458	0.99	30.86	-0.6232	117.8	2010-03-26
118.39	1.453	0.5	60.45	-0.4667	117.84	2010-03-29
118.39	1.402	0.0	83.74	-0.3388	117.87	2010-03-30
118.14	1.338	-0.25	63.32	-0.2547	117.89	2010-03-31
118.14	1.273	0.0	70.3	-0.1859	117.91	2010-04-01
117.89	1.342	-0.25	34.26	-0.1498	117.9	2010-04-06
117.89	1.36	0.0	50.34	-0.1199	117.9	2010-04-07
117.89	1.348	0.0	67.5	-0.09501	117.9	2010-04-08
117.89	1.317	0.0	56.5	-0.07446	117.9	2010-04-09
117.89	1.293	0.0	47.93	-0.0575	117.9	2010-04-12
117.89	1.272	0.0	44.46	-0.04357	117.9	2010-04-13
117.89	1.287	0.0	26.6	-0.03215	117.9	2010-04-14
117.15	1.316	-0.74	-2.929	-0.08187	117.85	2010-04-15
116.9	1.328	-0.25	-33.8	-0.1398	117.79	2010-04-16
116.9	1.351	0.0	-42.02	-0.1837	117.73	2010-04-19
116.4	1.343	-0.5	-76.69	-0.2558	117.65	2010-04-20
115.91	1.339	-0.49	-153.5	-0.3485	117.53	2010-04-21
114.92	1.368	-0.99	-238.5	-0.4961	117.37	2010-04-22
114.67	1.491	-0.25	-211.3	-0.626	117.19	2010-04-23
114.67	1.491	0.0	-181.5	-0.7207	117.03	2010-04-26
114.42	1.491	-0.25	-154.0	-0.8066	116.86	2010-04-27
113.92	1.473	-0.5	-159.4	-0.9046	116.67	2010-04-28
113.67	1.438	-0.25	-138.0	-0.991	116.48	2010-04-29
114.67	1.513	1.0	-84.93	-0.9677	116.36	2010-04-30
115.66	1.582	0.99	-17.52	-0.8593	116.32	2010-05-04
116.16	1.593	0.5	6.642	-0.7248	116.31	2010-05-05
116.16	1.621	0.0	6.862	-0.6111	116.3	2010-05-06
115.16	1.683	-1.0	-33.18	-0.5949	116.22	2010-05-07
115.16	1.705	0.0	-36.89	-0.5754	116.15	2010-05-10
114.92	1.659	-0.24	-53.92	-0.5727	116.07	2010-05-11
114.67	1.611	-0.25	-54.75	-0.584	115.98	2010-05-12
114.42	1.595	-0.25	-79.49	-0.6061	115.88	2010-05-13
114.17	1.605	-0.25	-72.15	-0.6365	115.77	2010-05-14
114.42	1.549	0.25	-62.31	-0.6331	115.69	2010-05-17
114.67	1.527	0.25	-48.57	-0.6033	115.62	2010-05-18
114.67	1.472	0.0	-26.09	-0.5731	115.56	2010-05-19
115.16	1.437	0.49	8.872	-0.5038	115.53	2010-05-20
115.16	1.413	0.0	45.2	-0.4437	115.51	2010-05-21
115.91	1.383	0.75	105.3	-0.3318	115.53	2010-05-24
115.91	1.348	0.0	109.5	-0.2403	115.56	2010-05-25
116.4	1.376	0.49	128.0	-0.1268	115.61	2010-05-26
121.12	1.73	4.72	327.4	0.34	115.97	2010-05-27
121.62	1.82	0.5	328.8	0.7419	116.33	2010-05-28
121.62	1.76	0.0	241.8	1.048	116.67	2010-06-01
121.62	1.709	0.0	183.1	1.276	116.99	2010-06-02
122.11	1.729	0.49	155.7	1.48	117.32	2010-06-03
123.6	1.818	1.49	143.4	1.741	117.73	2010-06-04
123.35	1.831	-0.25	124.4	1.906	118.09	2010-06-07
123.35	1.753	0.0	105.5	2.013	118.43	2010-06-08
122.86	1.734	-0.49	88.78	2.035	118.72	2010-06-09
122.11	1.734	-0.75	64.44	1.97	118.94	2010-06-10
122.11	1.611	0.0	61.39	1.896	119.14	2010-06-11
122.11	1.638	0.0	56.37	1.816	119.33	2010-06-14
122.11	1.62	0.0	49.39	1.733	119.51	2010-06-15
122.11	1.646	0.0	47.97	1.648	119.68	2010-06-16
122.11	1.635	0.0	40.02	1.563	119.84	2010-06-17
120.87	1.623	-1.24	14.09	1.38	119.9	2010-06-18
121.12	1.572	0.25	1.053	1.24	119.98	2010-06-21
120.38	1.619	-0.74	-50.03	1.058	120.01	2010-06-22
120.38	1.538	0.0	-74.76	0.9028	120.03	2010-06-23
120.38	1.517	0.0	-176.1	0.771	120.05	2010-06-24
119.88	1.479	-0.5	-146.2	0.6191	120.04	2010-06-25
119.88	1.381	0.0	-127.7	0.4931	120.03	2010-06-28
117.65	1.513	-2.23	-209.0	0.2108	119.88	2010-06-29
116.65	1.546	-1.0	-209.9	-0.09255	119.67	2010-06-30
115.41	1.577	-1.24	-221.8	-0.4281	119.39	2010-07-01
116.16	1.624	0.75	-168.8	-0.6262	119.19	2010-07-02
116.16	1.64	0.0	-136.4	-0.7743	118.99	2010-07-05
115.91	1.644	-0.25	-124.0	-0.9015	118.79	2010-07-06
115.66	1.605	-0.25	-111.6	-1.011	118.59	2010-07-07
116.65	1.624	0.99	-82.23	-1.006	118.46	2010-07-08
116.9	1.571	0.25	-62.47	-0.9707	118.36	2010-07-09
116.65	1.513	-0.25	-56.97	-0.952	118.25	2010-07-12
118.39	1.582	1.74	-6.927	-0.7877	118.26	2010-07-13
118.39	1.611	0.0	10.6	-0.65	118.27	2010-07-14
120.13	1.62	1.74	57.14	-0.3959	118.39	2010-07-15
120.13	1.574	0.0	80.8	-0.1923	118.5	2010-07-16
119.14	1.586	-0.99	48.06	-0.1096	118.54	2010-07-19
118.39	1.579	-0.75	21.99	-0.1033	118.53	2010-07-20
117.65	1.555	-0.74	-1.802	-0.1563	118.48	2010-07-21
116.9	1.585	-0.75	-29.04	-0.2559	118.38	2010-07-22
116.9	1.579	0.0	-31.83	-0.3309	118.28	2010-07-23
116.9	1.545	0.0	-33.37	-0.386	118.19	2010-07-26
116.4	1.541	-0.5	-51.47	-0.4646	118.08	2010-07-27
115.66	1.573	-0.74	-88.69	-0.5799	117.92	2010-07-28
115.16	1.673	-0.5	-98.83	-0.7036	117.74	2010-07-29
115.16	1.66	0.0	-121.7	-0.7924	117.57	2010-07-30
115.16	1.648	0.0	-114.2	-0.853	117.42	2010-08-02
114.92	1.637	-0.24	-112.0	-0.9099	117.26	2010-08-03
114.92	1.59	0.0	-114.3	-0.9441	117.11	2010-08-04
116.16	1.672	1.24	-52.99	-0.8612	117.05	2010-08-05
116.16	1.641	0.0	-42.09	-0.7865	116.99	2010-08-06
116.16	1.622	0.0	-45.14	-0.7189	116.94	2010-08-09
116.16	1.614	0.0	-36.45	-0.6578	116.89	2010-08-10
115.91	1.588	-0.25	-43.0	-0.6224	116.82	2010-08-11
115.41	1.528	-0.5	-56.36	-0.6274	116.73	2010-08-12
115.16	1.507	-0.25	-96.53	-0.6442	116.63	2010-08-13
115.16	1.542	0.0	-70.26	-0.65	116.54	2010-08-16
114.42	1.507	-0.74	-117.1	-0.7061	116.4	2010-08-17
114.42	1.488	0.0	-129.3	-0.7421	116.27	2010-08-18
114.17	1.488	-0.25	-147.8	-0.7817	116.14	2010-08-19
113.92	1.457	-0.25	-152.4	-0.8238	115.99	2010-08-20
113.92	1.442	0.0	-134.6	-0.8474	115.86	2010-08-23
113.18	1.427	-0.74	-176.7	-0.9153	115.69	2010-08-24
