Close	ATR	Momentum	CCI	MACD	EMA	Times
34.45	0.9828	-0.46	-203.4	-0.7774	36.7	2009-02-20
34.0	0.989	-0.45	-178.4	-0.8569	36.53	2009-02-23
34.57	0.9669	0.57	-138.9	-0.864	36.4	2009-02-24
34.27	0.9529	-0.3	-124.2	-0.8836	36.27	2009-02-25
33.26	1.004	-1.01	-147.4	-0.9695	36.07	2009-02-26
33.29	0.9967	0.03	-156.0	-1.023	35.89	2009-02-27
33.03	0.9869	-0.26	-145.7	-1.075	35.71	2009-03-02
33.4	0.995	0.37	-101.9	-1.073	35.56	2009-03-03
33.86	0.9882	0.46	-80.03	-1.023	35.45	2009-03-04
32.4	1.041	-1.46	-130.4	-1.088	35.25	2009-03-05
33.2	1.028	0.8	-103.0	-1.063	35.12	2009-03-06
33.33	1.052	0.13	-74.64	-1.021	35.0	2009-03-09
33.51	1.042	0.18	-55.86	-0.9625	34.91	2009-03-10
32.51	1.07	-1.0	-98.93	-0.9852	34.75	2009-03-11
33.24	1.081	0.73	-84.8	-0.9335	34.66	2009-03-12
33.37	1.054	0.13	-45.45	-0.8719	34.57	2009-03-13
32.93	1.041	-0.44	-60.57	-0.8489	34.47	2009-03-16
34.17	1.073	1.24	-2.148	-0.7223	34.45	2009-03-17
35.31	1.094	1.14	140.4	-0.5239	34.5	2009-03-18
34.85	1.086	-0.46	157.1	-0.3992	34.53	2009-03-19
33.89	1.112	-0.96	72.86	-0.3735	34.48	2009-03-20
35.14	1.127	1.25	118.1	-0.2494	34.53	2009-03-23
34.12	1.127	-1.02	81.93	-0.2307	34.5	2009-03-24
35.05	1.129	0.93	110.6	-0.1392	34.54	2009-03-25
35.71	1.108	0.66	160.2	-0.01334	34.61	2009-03-26
35.05	1.084	-0.66	116.4	0.0328	34.64	2009-03-27
34.35	1.097	-0.7	24.76	0.01273	34.62	2009-03-30
34.77	1.084	0.42	75.21	0.03037	34.63	2009-03-31
35.19	1.073	0.42	72.16	0.07735	34.67	2009-04-01
35.9	1.079	0.71	142.3	0.1699	34.75	2009-04-02
36.08	1.05	0.18	126.4	0.2549	34.83	2009-04-03
35.64	1.022	-0.44	103.9	0.2834	34.88	2009-04-06
35.29	1.011	-0.35	55.6	0.2746	34.91	2009-04-07
35.4	0.9744	0.11	64.57	0.2734	34.94	2009-04-08
36.1	0.9826	0.7	135.2	0.3251	35.02	2009-04-09
35.75	0.9474	-0.35	96.1	0.3341	35.06	2009-04-13
34.92	0.9526	-0.83	2.594	0.271	35.06	2009-04-14
34.37	0.966	-0.55	-121.9	0.1747	35.01	2009-04-15
34.85	0.9442	0.48	-53.82	0.1355	35.0	2009-04-16
35.73	0.9546	0.88	55.33	0.1735	35.05	2009-04-17
35.25	0.9292	-0.48	20.91	0.1629	35.06	2009-04-20
35.44	0.9172	0.19	31.36	0.168	35.09	2009-04-21
34.56	0.9566	-0.88	-31.6	0.09983	35.05	2009-04-22
35.23	0.9562	0.67	-40.52	0.09874	35.06	2009-04-23
34.6	0.9522	-0.63	-68.94	0.0465	35.03	2009-04-24
34.71	0.9349	0.11	-81.89	0.01382	35.01	2009-04-27
34.74	0.9288	0.03	-67.78	-0.009545	34.99	2009-04-28
34.66	0.9067	-0.08	-69.13	-0.03413	34.97	2009-04-29
33.95	0.9391	-0.71	-129.1	-0.1096	34.91	2009-04-30
33.38	0.9413	-0.57	-225.0	-0.213	34.81	2009-05-01
33.62	0.9455	0.24	-148.9	-0.2724	34.73	2009-05-04
33.87	0.918	0.25	-118.9	-0.2959	34.68	2009-05-05
34.2	0.9174	0.33	-61.95	-0.2847	34.65	2009-05-06
34.01	0.9169	-0.19	-79.23	-0.2877	34.6	2009-05-07
34.99	0.9457	0.98	43.34	-0.2087	34.63	2009-05-08
34.66	0.9181	-0.33	4.19	-0.1707	34.63	2009-05-11
34.38	0.924	-0.28	-31.72	-0.1613	34.62	2009-05-12
34.08	0.8958	-0.3	-77.71	-0.1761	34.58	2009-05-13
34.13	0.8718	0.05	-58.53	-0.1817	34.55	2009-05-14
34.06	0.8781	-0.07	-48.51	-0.1895	34.52	2009-05-15
34.53	0.8711	0.47	-27.93	-0.156	34.52	2009-05-18
34.32	0.8432	-0.21	1.384e-12	-0.1448	34.51	2009-05-19
35.84	0.9251	1.52	222.8	-0.01306	34.59	2009-05-20
35.48	0.9062	-0.36	165.1	0.06158	34.65	2009-05-21
36.36	0.9322	0.88	220.7	0.1895	34.76	2009-05-22
37.49	0.9634	1.13	248.5	0.3778	34.94	2009-05-26
36.84	0.9489	-0.65	192.8	0.4691	35.06	2009-05-27
37.03	0.9354	0.19	149.1	0.5505	35.19	2009-05-28
37.58	0.93	0.55	143.3	0.6518	35.34	2009-05-29
38.13	0.9122	0.55	153.8	0.7677	35.52	2009-06-01
38.47	0.9063	0.34	150.0	0.8768	35.71	2009-06-02
38.86	0.8987	0.39	139.4	0.9835	35.91	2009-06-03
38.7	0.8738	-0.16	124.2	1.043	36.09	2009-06-04
38.46	0.8642	-0.24	102.4	1.059	36.25	2009-06-05
37.72	0.8997	-0.74	57.79	0.9998	36.34	2009-06-08
37.95	0.8732	0.23	67.33	0.9607	36.45	2009-06-09
37.49	0.8916	-0.46	48.12	0.8824	36.51	2009-06-10
37.04	0.8772	-0.45	24.77	0.775	36.55	2009-06-11
37.49	0.8588	0.45	23.41	0.718	36.61	2009-06-12
37.11	0.8489	-0.38	-0.1066	0.6349	36.64	2009-06-15
36.66	0.8383	-0.45	-34.63	0.5266	36.64	2009-06-16
36.85	0.8262	0.19	-35.29	0.4509	36.66	2009-06-17
37.36	0.8408	0.51	-12.35	0.4271	36.7	2009-06-18
37.37	0.8186	0.01	-4.339	0.4045	36.74	2009-06-19
36.74	0.808	-0.63	-85.41	0.3318	36.74	2009-06-22
36.46	0.7953	-0.28	-116.5	0.2488	36.73	2009-06-23
36.16	0.787	-0.3	-145.9	0.157	36.69	2009-06-24
36.91	0.8015	0.75	-93.39	0.1431	36.7	2009-06-25
36.61	0.7771	-0.3	-88.99	0.1066	36.7	2009-06-26
36.76	0.7559	0.15	-80.57	0.08884	36.7	2009-06-29
36.93	0.7448	0.17	-35.66	0.08744	36.72	2009-06-30
37.4	0.7402	0.47	15.38	0.1228	36.76	2009-07-01
36.9	0.7323	-0.5	-34.26	0.1093	36.77	2009-07-02
37.25	0.7457	0.35	-5.654	0.1253	36.8	2009-07-06
36.49	0.7503	-0.76	-63.62	0.07587	36.78	2009-07-07
36.64	0.7317	0.15	-98.22	0.04821	36.77	2009-07-08
36.47	0.7259	-0.17	-105.4	0.01242	36.75	2009-07-09
36.65	0.7276	0.18	-47.32	-0.001394	36.75	2009-07-10
36.79	0.7199	0.14	-41.02	-0.001035	36.75	2009-07-13
36.91	0.6992	0.12	-10.0	0.00883	36.76	2009-07-14
36.67	0.685	-0.24	-40.57	-0.002687	36.75	2009-07-15
36.76	0.6553	0.09	-26.6	-0.0045	36.75	2009-07-16
37.15	0.6464	0.39	82.99	0.02524	36.78	2009-07-17
37.44	0.6309	0.29	191.7	0.07139	36.82	2009-07-20
37.66	0.6209	0.22	179.1	0.1243	36.88	2009-07-21
37.78	0.6279	0.12	210.8	0.1739	36.93	2009-07-22
36.03	0.7295	-1.75	-151.6	0.07115	36.88	2009-07-23
36.02	0.7103	-0.01	-159.9	-0.01094	36.82	2009-07-24
35.95	0.6874	-0.07	-154.1	-0.08071	36.76	2009-07-27
36.27	0.6797	0.32	-106.3	-0.1089	36.73	2009-07-28
36.23	0.6662	-0.04	-76.57	-0.133	36.7	2009-07-29
35.71	0.6707	-0.52	-128.4	-0.1918	36.64	2009-07-30
35.37	0.6628	-0.34	-167.7	-0.2628	36.55	2009-07-31
35.41	0.6483	0.04	-159.2	-0.3123	36.48	2009-08-03
35.34	0.6284	-0.07	-131.3	-0.3531	36.41	2009-08-04
35.39	0.6036	0.05	-119.7	-0.377	36.34	2009-08-05
35.23	0.5869	-0.16	-112.6	-0.4042	36.27	2009-08-06
35.46	0.5735	0.23	-89.12	-0.4026	36.22	2009-08-07
36.14	0.5918	0.68	-18.2	-0.3425	36.21	2009-08-10
35.98	0.5731	-0.16	-21.0	-0.3042	36.2	2009-08-11
36.14	0.5722	0.16	-8.449	-0.258	36.19	2009-08-12
35.83	0.5813	-0.31	-21.78	-0.2436	36.17	2009-08-13
35.5	0.5841	-0.33	-72.4	-0.2559	36.13	2009-08-14
35.01	0.5774	-0.49	-112.9	-0.3017	36.05	2009-08-17
35.5	0.5747	0.49	-81.99	-0.295	36.02	2009-08-18
35.75	0.5744	0.25	-6.776	-0.2665	36.0	2009-08-19
36.06	0.5605	0.31	50.69	-0.2164	36.01	2009-08-20
36.14	0.5469	0.08	86.25	-0.1683	36.01	2009-08-21
35.91	0.5392	-0.23	46.23	-0.147	36.01	2009-08-24
36.26	0.5393	0.35	102.0	-0.1008	36.02	2009-08-25
36.61	0.5436	0.35	145.0	-0.03548	36.06	2009-08-26
36.72	0.5319	0.11	142.2	0.02487	36.1	2009-08-27
36.33	0.5539	-0.39	107.8	0.04075	36.12	2009-08-28
36.44	0.5415	0.11	74.08	0.06151	36.14	2009-08-31
36.06	0.5464	-0.38	47.57	0.04676	36.13	2009-09-01
35.88	0.5538	-0.18	-27.46	0.02031	36.12	2009-09-02
36.01	0.5393	0.13	-15.08	0.009724	36.11	2009-09-03
36.38	0.5393	0.37	53.46	0.03084	36.13	2009-09-04
36.43	0.5294	0.05	97.12	0.05102	36.15	2009-09-08
35.7	0.5623	-0.73	-66.31	0.00801	36.12	2009-09-09
35.54	0.5514	-0.16	-73.29	-0.03854	36.08	2009-09-10
35.25	0.5534	-0.29	-111.7	-0.0977	36.03	2009-09-11
35.14	0.5375	-0.11	-150.2	-0.1517	35.97	2009-09-14
35.63	0.5512	0.49	-81.9	-0.1532	35.95	2009-09-15
36.59	0.5883	0.96	58.22	-0.07607	35.99	2009-09-16
36.59	0.5777	0.0	95.82	-0.01476	36.03	2009-09-17
36.94	0.5693	0.35	123.2	0.06137	36.09	2009-09-18
36.38	0.5829	-0.56	58.53	0.07564	36.11	2009-09-21
36.17	0.5834	-0.21	25.1	0.0692	36.11	2009-09-22
35.99	0.5775	-0.18	3.555	0.04901	36.1	2009-09-23
36.37	0.5755	0.38	34.87	0.06295	36.12	2009-09-24
36.9	0.5965	0.53	136.2	0.1154	36.17	2009-09-25
37.05	0.5875	0.15	161.3	0.1672	36.23	2009-09-28
37.05	0.5734	0.0	141.3	0.2059	36.28	2009-09-29
36.98	0.5839	-0.07	89.53	0.2282	36.33	2009-09-30
36.77	0.5736	-0.21	74.75	0.2264	36.35	2009-10-01
36.75	0.5826	-0.02	57.65	0.2208	36.38	2009-10-02
36.68	0.5739	-0.07	50.5	0.2083	36.4	2009-10-05
37.22	0.5807	0.54	97.77	0.2392	36.45	2009-10-06
37.03	0.5778	-0.19	80.57	0.2455	36.49	2009-10-07
36.85	0.5744	-0.18	71.02	0.2333	36.51	2009-10-08
36.74	0.5719	-0.11	7.375	0.2123	36.53	2009-10-09
36.73	0.5761	-0.01	49.7	0.1927	36.54	2009-10-12
36.97	0.5635	0.24	55.82	0.1942	36.57	2009-10-13
37.26	0.564	0.29	144.9	0.2163	36.61	2009-10-14
37.71	0.5694	0.45	170.4	0.2671	36.68	2009-10-15
38.09	0.583	0.38	236.6	0.3342	36.77	2009-10-16
38.41	0.5721	0.32	242.4	0.4084	36.88	2009-10-19
38.18	0.5784	-0.23	189.3	0.4436	36.96	2009-10-20
37.8	0.5878	-0.38	110.5	0.4358	37.02	2009-10-21
38.56	0.6508	0.76	186.7	0.4853	37.12	2009-10-22
38.51	0.6314	-0.05	129.1	0.5146	37.21	2009-10-23
38.36	0.6256	-0.15	114.6	0.5197	37.28	2009-10-26
38.25	0.6195	-0.11	70.18	0.509	37.34	2009-10-27
38.0	0.6088	-0.25	59.11	0.4749	37.39	2009-10-28
38.32	0.5946	0.32	61.16	0.4683	37.45	2009-10-29
37.98	0.5957	-0.34	49.51	0.4307	37.48	2009-10-30
38.34	0.5967	0.36	58.73	0.425	37.54	2009-11-02
38.39	0.587	0.05	61.68	0.4197	37.59	2009-11-03
39.07	0.6215	0.68	124.9	0.465	37.69	2009-11-04
