Close	ATR	Momentum	CCI	MACD	EMA	Times
24.13	0.9431	0.09	-125.3	-1.224	26.68	2009-02-20
23.19	0.9571	-0.94	-141.3	-1.287	26.46	2009-02-23
24.2	0.9716	1.01	-104.7	-1.242	26.31	2009-02-24
23.8	0.9537	-0.4	-94.84	-1.224	26.15	2009-02-25
23.66	0.9284	-0.14	-85.78	-1.208	25.99	2009-02-26
23.21	0.9057	-0.45	-107.9	-1.217	25.81	2009-02-27
21.88	0.9395	-1.33	-153.6	-1.316	25.56	2009-03-02
22.02	0.9196	0.14	-143.8	-1.368	25.33	2009-03-03
22.89	0.9382	0.87	-96.19	-1.323	25.17	2009-03-04
21.71	0.9726	-1.18	-135.6	-1.367	24.95	2009-03-05
21.36	0.991	-0.35	-148.7	-1.414	24.72	2009-03-06
21.48	0.9659	0.12	-136.5	-1.425	24.51	2009-03-09
23.23	1.033	1.75	-59.45	-1.278	24.43	2009-03-10
23.9	1.044	0.67	11.53	-1.095	24.39	2009-03-11
24.51	1.039	0.61	59.51	-0.89	24.4	2009-03-12
24.51	1.008	0.0	84.98	-0.7195	24.41	2009-03-13
24.24	0.9817	-0.27	85.3	-0.5992	24.4	2009-03-16
24.9	0.9615	0.66	101.2	-0.4455	24.43	2009-03-17
25.12	0.9679	0.22	114.5	-0.3024	24.47	2009-03-18
24.24	0.9737	-0.88	77.25	-0.2571	24.46	2009-03-19
23.45	0.9763	-0.79	22.36	-0.2816	24.39	2009-03-20
25.19	1.034	1.74	89.94	-0.1589	24.44	2009-03-23
24.66	1.011	-0.53	89.3	-0.1032	24.46	2009-03-24
25.03	1.049	0.37	99.38	-0.02883	24.5	2009-03-25
26.06	1.051	1.03	124.1	0.1119	24.6	2009-03-26
25.7	1.016	-0.36	110.7	0.1922	24.67	2009-03-27
24.84	1.026	-0.86	61.54	0.1843	24.68	2009-03-30
25.39	1.022	0.55	79.8	0.2199	24.72	2009-03-31
25.86	1.027	0.47	87.35	0.2827	24.8	2009-04-01
26.62	1.036	0.76	151.6	0.3894	24.92	2009-04-02
26.61	1.007	-0.01	142.4	0.4677	25.02	2009-04-03
26.59	0.9709	-0.02	132.8	0.5222	25.13	2009-04-06
25.94	0.953	-0.65	87.03	0.507	25.18	2009-04-07
26.24	0.9278	0.3	87.37	0.5133	25.25	2009-04-08
27.13	0.9458	0.89	154.3	0.5834	25.37	2009-04-09
27.24	0.9404	0.11	131.5	0.6404	25.49	2009-04-13
27.03	0.9118	-0.21	115.8	0.661	25.59	2009-04-14
27.44	0.9088	0.41	117.4	0.7024	25.71	2009-04-15
27.96	0.9096	0.52	135.5	0.7682	25.85	2009-04-16
27.48	0.8953	-0.48	117.3	0.7728	25.96	2009-04-17
26.54	0.9114	-0.94	42.46	0.6926	26.0	2009-04-20
27.21	0.8998	0.67	59.45	0.6753	26.07	2009-04-21
27.09	0.912	-0.12	68.16	0.6444	26.14	2009-04-22
27.68	0.924	0.59	80.01	0.66	26.24	2009-04-23
29.11	0.978	1.43	177.2	0.7788	26.42	2009-04-24
29.29	0.9717	0.18	209.6	0.8773	26.61	2009-04-27
28.88	0.9523	-0.41	176.0	0.9118	26.76	2009-04-28
29.37	0.935	0.49	171.5	0.9675	26.92	2009-04-29
29.41	0.9404	0.04	158.2	1.003	27.08	2009-04-30
29.56	0.9089	0.15	125.9	1.032	27.24	2009-05-01
29.86	0.8861	0.3	127.1	1.066	27.41	2009-05-04
29.84	0.8585	-0.02	110.7	1.08	27.57	2009-05-05
30.2	0.8529	0.36	109.7	1.107	27.74	2009-05-06
30.01	0.8499	-0.19	98.59	1.1	27.89	2009-05-07
30.68	0.8427	0.67	117.6	1.136	28.07	2009-05-08
30.18	0.8325	-0.5	88.27	1.111	28.2	2009-05-11
30.4	0.8259	0.22	84.6	1.096	28.34	2009-05-12
29.08	0.8741	-1.32	24.74	0.9669	28.39	2009-05-13
29.59	0.8616	0.51	32.83	0.8953	28.47	2009-05-14
29.58	0.8451	-0.01	39.74	0.8282	28.54	2009-05-15
30.25	0.8354	0.67	70.94	0.8196	28.65	2009-05-18
30.13	0.8208	-0.12	70.31	0.794	28.75	2009-05-19
29.98	0.8193	-0.15	82.5	0.7529	28.83	2009-05-20
29.13	0.8408	-0.85	-74.11	0.6443	28.85	2009-05-21
28.88	0.8179	-0.25	-119.3	0.532	28.85	2009-05-22
29.83	0.8602	0.95	-53.43	0.5137	28.91	2009-05-26
28.87	0.8787	-0.96	-94.78	0.4169	28.91	2009-05-27
29.13	0.8767	0.26	-130.8	0.3571	28.92	2009-05-28
29.41	0.859	0.28	-78.31	0.3285	28.95	2009-05-29
30.54	0.8998	1.13	105.2	0.3925	29.06	2009-06-01
30.89	0.882	0.35	143.7	0.466	29.17	2009-06-02
30.65	0.864	-0.24	102.1	0.4992	29.27	2009-06-03
30.83	0.8337	0.18	107.0	0.5339	29.37	2009-06-04
31.39	0.827	0.56	154.1	0.5997	29.5	2009-06-05
31.26	0.8408	-0.13	118.5	0.634	29.61	2009-06-08
31.08	0.815	-0.18	105.3	0.6393	29.71	2009-06-09
31.14	0.8204	0.06	102.7	0.6409	29.8	2009-06-10
31.2	0.7989	0.06	112.3	0.6397	29.89	2009-06-11
31.42	0.7819	0.22	92.21	0.649	29.99	2009-06-12
30.55	0.8103	-0.87	32.99	0.5795	30.03	2009-06-15
30.09	0.801	-0.46	-3.372	0.4817	30.03	2009-06-16
30.41	0.7816	0.32	9.219	0.4252	30.05	2009-06-17
30.55	0.7665	0.14	24.4	0.3872	30.09	2009-06-18
30.58	0.7582	0.03	26.25	0.3554	30.12	2009-06-19
29.6	0.7755	-0.98	-64.06	0.2483	30.09	2009-06-22
29.39	0.7615	-0.21	-117.2	0.1448	30.04	2009-06-23
29.61	0.7621	0.22	-89.58	0.07957	30.01	2009-06-24
30.34	0.7798	0.73	-64.87	0.08582	30.03	2009-06-25
30.52	0.7534	0.18	-20.77	0.1041	30.07	2009-06-26
30.89	0.746	0.37	18.28	0.1467	30.12	2009-06-29
30.96	0.7199	0.07	50.26	0.1841	30.17	2009-06-30
31.29	0.7127	0.33	98.36	0.2375	30.24	2009-07-01
31.03	0.7011	-0.26	55.39	0.256	30.3	2009-07-02
31.25	0.6932	0.22	69.51	0.2851	30.36	2009-07-06
30.27	0.7401	-0.98	11.07	0.2264	30.35	2009-07-07
30.4	0.7401	0.13	-55.46	0.1883	30.35	2009-07-08
30.44	0.7137	0.04	-17.72	0.1594	30.36	2009-07-09
30.8	0.7077	0.36	20.39	0.1637	30.39	2009-07-10
31.16	0.7021	0.36	85.02	0.1939	30.44	2009-07-13
31.23	0.6884	0.07	113.3	0.221	30.49	2009-07-14
31.94	0.6949	0.71	185.1	0.2963	30.58	2009-07-15
32.66	0.7089	0.72	228.1	0.4094	30.72	2009-07-16
32.41	0.7068	-0.25	180.4	0.4734	30.83	2009-07-17
32.88	0.6942	0.47	184.4	0.5556	30.96	2009-07-20
33.07	0.6953	0.19	175.9	0.6288	31.09	2009-07-21
33.31	0.6764	0.24	163.4	0.6982	31.24	2009-07-22
35.76	0.8138	2.45	245.7	0.94	31.53	2009-07-23
35.76	0.8128	0.0	212.1	1.119	31.8	2009-07-24
36.01	0.7912	0.25	184.3	1.266	32.07	2009-07-27
36.0	0.7682	-0.01	154.0	1.366	32.33	2009-07-28
35.4	0.7691	-0.6	116.2	1.381	32.53	2009-07-29
36.01	0.7848	0.61	117.5	1.426	32.75	2009-07-30
36.32	0.7831	0.31	114.6	1.469	32.98	2009-07-31
37.16	0.8	0.84	118.1	1.554	33.25	2009-08-03
37.1	0.7793	-0.06	104.4	1.597	33.5	2009-08-04
37.0	0.7793	-0.1	93.03	1.605	33.72	2009-08-05
37.29	0.7537	0.29	89.9	1.616	33.95	2009-08-06
37.55	0.7434	0.26	93.98	1.627	34.19	2009-08-07
36.53	0.7853	-1.02	61.91	1.536	34.34	2009-08-10
36.75	0.7735	0.22	54.86	1.465	34.49	2009-08-11
37.26	0.7818	0.51	71.51	1.433	34.67	2009-08-12
37.4	0.7588	0.14	81.6	1.402	34.85	2009-08-13
36.74	0.7768	-0.66	49.83	1.31	34.97	2009-08-14
36.1	0.7877	-0.64	-2.347	1.172	35.04	2009-08-17
36.24	0.7564	0.14	-13.41	1.061	35.12	2009-08-18
36.73	0.7681	0.49	-0.08155	1.002	35.22	2009-08-19
