Close	ATR	Momentum	CCI	MACD	EMA	Times
220.42	8.481	-3.19	-130.7	3.453	223.99	2019-12-05
221.42	8.159	1.0	-108.0	2.593	223.82	2019-12-06
220.22	7.989	-1.2	-133.4	1.794	223.59	2019-12-09
218.83	7.659	-1.39	-125.8	1.037	223.28	2019-12-10
217.84	7.312	-0.99	-123.4	0.353	222.93	2019-12-11
228.58	7.614	10.74	-50.89	0.6698	223.29	2019-12-12
242.7	8.292	14.12	123.3	2.037	224.55	2019-12-13
242.11	8.154	-0.59	125.1	3.037	225.68	2019-12-16
233.95	8.162	-8.16	51.55	3.136	226.21	2019-12-17
232.76	7.82	-1.19	13.04	3.082	226.64	2019-12-18
235.54	7.546	2.78	32.16	3.227	227.21	2019-12-19
236.34	7.29	0.8	45.05	3.367	227.8	2019-12-20
236.34	7.117	0.0	45.97	3.439	228.35	2019-12-23
236.74	6.958	0.4	48.84	3.488	228.89	2019-12-24
236.74	6.688	0.0	49.77	3.486	229.4	2019-12-27
237.13	6.409	0.39	54.02	3.477	229.9	2019-12-30
235.94	6.178	-1.19	50.88	3.334	230.29	2019-12-31
242.51	6.348	6.57	83.14	3.709	231.08	2020-01-02
246.68	6.406	4.17	100.9	4.293	232.08	2020-01-03
245.29	6.176	-1.39	98.36	4.591	232.93	2020-01-06
243.5	6.19	-1.79	97.62	4.629	233.62	2020-01-07
244.3	6.103	0.8	81.04	4.67	234.31	2020-01-08
241.91	6.084	-2.39	79.5	4.458	234.8	2020-01-09
241.91	5.891	0.0	58.28	4.241	235.25	2020-01-10
241.31	5.783	-0.6	41.77	3.975	235.65	2020-01-13
239.32	5.569	-1.99	-1.593	3.563	235.88	2020-01-14
239.32	5.515	0.0	-34.89	3.199	236.1	2020-01-15
240.72	5.363	1.4	4.705	2.989	236.4	2020-01-16
244.89	5.491	4.17	80.18	3.124	236.95	2020-01-17
247.68	5.369	2.79	126.1	3.416	237.64	2020-01-20
248.28	5.298	0.6	137.2	3.653	238.33	2020-01-21
244.5	5.303	-3.78	68.55	3.497	238.73	2020-01-22
242.7	5.27	-1.8	53.05	3.19	238.98	2020-01-23
244.1	5.235	1.4	61.45	3.026	239.31	2020-01-24
240.72	5.359	-3.38	-63.3	2.592	239.4	2020-01-27
243.3	5.374	2.58	-1.577	2.429	239.66	2020-01-28
243.7	5.274	0.4	48.28	2.306	239.92	2020-01-29
241.11	5.153	-2.59	-34.43	1.976	239.99	2020-01-30
238.93	5.368	-2.18	-111.0	1.521	239.92	2020-01-31
242.11	5.354	3.18	-36.88	1.402	240.07	2020-02-03
241.71	5.384	-0.4	20.16	1.26	240.17	2020-02-04
240.72	5.206	-0.99	-37.48	1.055	240.21	2020-02-05
237.73	5.351	-2.99	-118.4	0.6445	240.05	2020-02-06
237.93	5.183	0.2	-135.4	0.3313	239.91	2020-02-07
238.93	5.111	1.0	-85.0	0.162	239.85	2020-02-10
242.9	5.03	3.97	-14.57	0.3441	240.04	2020-02-11
244.69	5.487	1.79	11.17	0.6257	240.34	2020-02-12
245.89	5.578	1.2	34.63	0.9349	240.7	2020-02-13
247.68	5.393	1.79	142.3	1.309	241.15	2020-02-14
245.29	5.484	-2.39	106.7	1.397	241.42	2020-02-17
247.68	5.462	2.39	101.8	1.641	241.82	2020-02-18
250.07	5.41	2.39	177.9	2.003	242.35	2020-02-19
248.47	5.279	-1.6	145.4	2.137	242.75	2020-02-20
243.3	5.386	-5.17	59.91	1.805	242.79	2020-02-21
230.17	6.067	-13.13	-220.4	0.4769	241.97	2020-02-24
226.59	6.088	-3.58	-245.5	-0.8547	240.98	2020-02-25
222.41	6.165	-4.18	-258.0	-2.222	239.78	2020-02-26
209.68	6.662	-12.73	-272.0	-4.283	237.84	2020-02-27
197.74	7.302	-11.94	-273.2	-6.801	235.25	2020-02-28
192.57	7.868	-5.17	-224.1	-9.109	232.5	2020-03-02
201.52	8.087	8.95	-159.5	-10.1	230.5	2020-03-03
201.52	8.127	0.0	-127.3	-10.76	228.63	2020-03-04
196.85	8.382	-4.67	-122.5	-11.53	226.58	2020-03-05
188.49	8.685	-8.36	-129.4	-12.67	224.12	2020-03-06
171.48	9.749	-17.01	-152.9	-14.77	220.73	2020-03-09
169.3	10.14	-2.18	-134.1	-16.42	217.41	2020-03-10
167.11	9.998	-2.19	-126.6	-17.71	214.16	2020-03-11
147.81	10.82	-19.3	-152.8	-20.05	209.88	2020-03-12
145.42	11.23	-2.39	-139.0	-21.85	205.72	2020-03-13
108.82	13.33	-36.6	-191.4	-25.93	199.47	2020-03-16
100.76	14.06	-8.06	-188.5	-29.47	193.1	2020-03-17
93.15	14.25	-7.61	-171.9	-32.52	186.65	2020-03-18
125.23	15.98	32.08	-117.9	-31.98	182.69	2020-03-19
110.01	16.91	-15.22	-102.5	-32.4	178.0	2020-03-20
116.18	16.8	6.17	-97.95	-31.87	174.01	2020-03-23
138.26	17.18	22.08	-53.03	-29.33	171.71	2020-03-24
149.7	18.42	11.44	-11.78	-26.1	170.29	2020-03-25
139.85	17.97	-9.85	-24.78	-24.05	168.32	2020-03-26
133.89	17.92	-5.96	-40.82	-22.65	166.1	2020-03-27
116.88	18.39	-17.01	-52.96	-22.65	162.93	2020-03-30
112.0	19.21	-4.88	-55.2	-22.78	159.64	2020-03-31
108.42	18.55	-3.58	-78.6	-22.91	156.34	2020-04-01
118.17	18.08	9.75	-57.42	-21.97	153.87	2020-04-02
108.82	17.52	-9.35	-63.18	-21.73	150.97	2020-04-03
117.17	16.98	8.35	-43.52	-20.63	148.79	2020-04-06
129.36	17.19	12.19	16.17	-18.56	147.53	2020-04-07
133.29	16.97	3.93	27.06	-16.41	146.61	2020-04-08
141.25	16.79	7.96	77.92	-13.91	146.27	2020-04-09
145.23	16.14	3.98	117.1	-11.47	146.2	2020-04-14
145.23	15.29	0.0	109.2	-9.43	146.14	2020-04-15
127.82	15.48	-17.41	45.01	-9.113	144.96	2020-04-16
129.91	14.91	2.09	25.26	-8.593	143.99	2020-04-17
131.71	14.15	1.8	15.42	-7.945	143.19	2020-04-20
127.77	13.5	-3.94	-0.7717	-7.66	142.2	2020-04-21
127.42	13.74	-0.35	26.67	-7.378	141.25	2020-04-22
125.43	13.07	-1.99	-21.86	-7.232	140.23	2020-04-23
124.44	12.75	-0.99	-31.96	-7.114	139.21	2020-04-24
125.33	12.56	0.89	-7.363	-6.869	138.31	2020-04-27
129.27	12.29	3.94	15.08	-6.285	137.73	2020-04-28
138.67	12.15	9.4	76.64	-5.006	137.79	2020-04-29
131.66	12.19	-7.01	53.06	-4.506	137.39	2020-04-30
128.62	11.85	-3.04	-2.787	-4.305	136.83	2020-05-01
123.04	11.73	-5.58	-61.55	-4.544	135.94	2020-05-04
123.44	11.2	0.4	-79.65	-4.647	135.13	2020-05-05
126.73	10.95	3.29	-71.54	-4.413	134.59	2020-05-06
131.01	11.48	4.28	24.98	-3.838	134.36	2020-05-07
128.37	12.0	-2.64	22.4	-3.554	133.97	2020-05-11
128.12	11.48	-0.25	-37.22	-3.311	133.59	2020-05-12
118.71	12.24	-9.41	-87.68	-3.833	132.63	2020-05-13
