Close	ATR	Momentum	CCI	MACD	EMA	Times
15.12	0.5553	-0.23	-88.6	-0.03276	15.55	2009-02-20
15.0	0.5456	-0.12	-104.9	-0.07122	15.51	2009-02-23
15.35	0.5459	0.35	-82.58	-0.07261	15.5	2009-02-24
15.02	0.5377	-0.33	-97.41	-0.0992	15.47	2009-02-25
14.01	0.5814	-1.01	-190.0	-0.1995	15.37	2009-02-26
13.02	0.6113	-0.99	-282.8	-0.3547	15.22	2009-02-27
12.61	0.6026	-0.41	-267.1	-0.505	15.05	2009-03-02
12.4	0.6074	-0.21	-218.1	-0.6338	14.88	2009-03-03
12.68	0.6062	0.28	-169.7	-0.7051	14.74	2009-03-04
12.11	0.6115	-0.57	-157.2	-0.7984	14.57	2009-03-05
12.44	0.6028	0.33	-124.3	-0.8361	14.43	2009-03-06
11.48	0.6647	-0.96	-140.1	-0.9327	14.24	2009-03-09
12.15	0.6694	0.67	-102.7	-0.9443	14.11	2009-03-10
12.0	0.658	-0.15	-86.59	-0.9546	13.97	2009-03-11
13.15	0.706	1.15	-52.25	-0.86	13.92	2009-03-12
14.81	0.7992	1.66	32.82	-0.6437	13.98	2009-03-13
14.34	0.7935	-0.47	43.64	-0.5044	14.0	2009-03-16
14.56	0.7697	0.22	40.91	-0.372	14.04	2009-03-17
14.75	0.7683	0.19	59.2	-0.2488	14.08	2009-03-18
14.25	0.7705	-0.5	46.58	-0.1893	14.09	2009-03-19
14.62	0.7605	0.37	63.91	-0.1111	14.13	2009-03-20
15.31	0.7555	0.69	90.61	0.006521	14.2	2009-03-23
15.18	0.7258	-0.13	97.3	0.08822	14.27	2009-03-24
15.05	0.7211	-0.13	86.55	0.1409	14.32	2009-03-25
15.09	0.6982	0.04	83.79	0.1837	14.37	2009-03-26
14.86	0.6804	-0.23	67.22	0.1968	14.4	2009-03-27
14.53	0.6718	-0.33	43.12	0.1785	14.41	2009-03-30
14.64	0.646	0.11	46.92	0.1709	14.42	2009-03-31
14.77	0.6577	0.13	39.28	0.1734	14.44	2009-04-01
14.77	0.6557	0.0	48.28	0.1733	14.47	2009-04-02
14.48	0.656	-0.29	29.8	0.1482	14.47	2009-04-03
14.59	0.6585	0.11	35.68	0.1356	14.47	2009-04-06
14.37	0.6371	-0.22	-13.36	0.1066	14.47	2009-04-07
14.64	0.6131	0.27	-11.46	0.1042	14.48	2009-04-08
14.39	0.6228	-0.25	-40.87	0.08125	14.47	2009-04-09
14.25	0.6041	-0.14	-123.7	0.05114	14.46	2009-04-13
14.05	0.5845	-0.2	-163.5	0.01101	14.43	2009-04-14
14.36	0.5763	0.31	-115.2	0.00418	14.43	2009-04-15
14.14	0.5801	-0.22	-122.0	-0.01877	14.41	2009-04-16
14.08	0.5716	-0.06	-109.3	-0.04133	14.39	2009-04-17
13.8	0.5593	-0.28	-157.2	-0.08086	14.35	2009-04-20
12.88	0.6086	-0.92	-294.5	-0.1843	14.26	2009-04-21
12.57	0.6123	-0.31	-283.7	-0.288	14.15	2009-04-22
12.71	0.5957	0.14	-213.9	-0.3548	14.05	2009-04-23
12.83	0.5732	0.12	-155.4	-0.3935	13.97	2009-04-24
12.83	0.5508	0.0	-122.9	-0.4193	13.9	2009-04-27
12.68	0.5357	-0.15	-112.7	-0.4467	13.82	2009-04-28
13.08	0.5325	0.4	-77.6	-0.4312	13.77	2009-04-29
13.26	0.5209	0.18	-43.4	-0.3998	13.74	2009-04-30
13.3	0.5058	0.04	-42.44	-0.3674	13.71	2009-05-01
13.47	0.4904	0.17	-16.46	-0.3243	13.7	2009-05-04
13.45	0.4796	-0.02	-8.72	-0.2885	13.68	2009-05-05
13.47	0.4725	0.02	-7.177	-0.2555	13.67	2009-05-06
13.79	0.4824	0.32	29.57	-0.2012	13.68	2009-05-07
13.58	0.4815	-0.21	32.31	-0.1731	13.67	2009-05-08
13.35	0.4664	-0.23	2.838	-0.1675	13.65	2009-05-11
13.67	0.4716	0.32	34.69	-0.1357	13.65	2009-05-12
14.05	0.4922	0.38	102.8	-0.07885	13.68	2009-05-13
14.25	0.4806	0.2	135.1	-0.0175	13.71	2009-05-14
13.94	0.482	-0.31	112.9	0.006047	13.73	2009-05-15
14.08	0.4704	0.14	102.8	0.03559	13.75	2009-05-18
14.1	0.4604	0.02	99.2	0.05993	13.77	2009-05-19
14.28	0.454	0.18	127.5	0.09267	13.81	2009-05-20
14.29	0.4522	0.01	99.1	0.1181	13.84	2009-05-21
14.32	0.4349	0.03	111.1	0.139	13.87	2009-05-22
14.53	0.4403	0.21	109.7	0.1706	13.91	2009-05-26
14.57	0.4217	0.04	129.8	0.1966	13.95	2009-05-27
14.65	0.4166	0.08	126.5	0.2211	14.0	2009-05-28
15.09	0.4197	0.44	170.9	0.2729	14.07	2009-05-29
15.06	0.4183	-0.03	166.3	0.3079	14.13	2009-06-01
15.16	0.4148	0.1	152.8	0.3399	14.2	2009-06-02
15.1	0.4102	-0.06	123.2	0.3562	14.26	2009-06-03
14.75	0.423	-0.35	96.59	0.3371	14.29	2009-06-04
14.46	0.4435	-0.29	30.98	0.2951	14.3	2009-06-05
14.39	0.439	-0.07	-4.842	0.2532	14.31	2009-06-08
