Close	ATR	Momentum	CCI	MACD	EMA	Times
74.07	1.973	0.64	133.6	0.4001	71.7	2010-01-06
73.83	1.997	-0.24	109.6	0.5052	71.84	2010-01-07
73.35	2.036	-0.48	112.5	0.5435	71.94	2010-01-08
73.0	2.001	-0.35	80.09	0.5394	72.01	2010-01-11
71.61	2.196	-1.39	14.9	0.4191	71.98	2010-01-12
71.01	2.172	-0.6	-14.91	0.2722	71.92	2010-01-13
69.9	2.19	-1.11	-90.6	0.06553	71.79	2010-01-14
69.22	2.15	-0.68	-146.1	-0.1514	71.62	2010-01-15
69.46	2.161	0.24	-124.3	-0.3005	71.48	2010-01-18
69.46	2.114	0.0	-131.4	-0.4139	71.35	2010-01-19
69.98	2.019	0.52	-91.93	-0.4565	71.26	2010-01-20
68.35	2.076	-1.63	-113.4	-0.6148	71.08	2010-01-21
66.25	2.155	-2.1	-189.3	-0.8993	70.76	2010-01-22
64.9	2.182	-1.35	-220.5	-1.22	70.39	2010-01-25
66.29	2.239	1.39	-163.4	-1.346	70.12	2010-01-26
66.33	2.21	0.04	-112.9	-1.426	69.88	2010-01-27
65.22	2.276	-1.11	-113.6	-1.561	69.58	2010-01-28
66.49	2.289	1.27	-92.37	-1.548	69.38	2010-01-29
66.29	2.196	-0.2	-82.82	-1.536	69.18	2010-02-01
67.48	2.15	1.19	-58.73	-1.414	69.07	2010-02-02
66.41	2.149	-1.07	-59.75	-1.388	68.9	2010-02-03
88.79	3.594	22.38	414.3	0.4335	70.18	2010-02-04
64.3	5.143	-24.49	-102.6	-0.09788	69.8	2010-02-05
64.7	4.884	0.4	-94.76	-0.4811	69.47	2010-02-08
64.62	4.62	-0.08	-83.19	-0.7823	69.16	2010-02-09
65.53	4.364	0.91	-62.98	-0.9368	68.93	2010-02-10
67.44	4.231	1.91	-24.21	-0.8947	68.83	2010-02-11
66.8	4.193	-0.64	-31.02	-0.9027	68.7	2010-02-12
65.69	3.999	-1.11	-35.85	-0.9871	68.5	2010-02-15
65.93	3.821	0.24	-44.15	-1.023	68.34	2010-02-16
67.04	3.684	1.11	-14.43	-0.9508	68.25	2010-02-17
67.56	3.591	0.52	0.8987	-0.8419	68.21	2010-02-18
68.39	3.476	0.83	18.27	-0.6808	68.22	2010-02-19
70.85	3.557	2.46	89.33	-0.3506	68.39	2010-02-22
69.11	3.505	-1.74	53.48	-0.2267	68.44	2010-02-23
68.63	3.336	-0.48	22.7	-0.1653	68.45	2010-02-24
66.72	3.294	-1.91	-7.618	-0.2677	68.34	2010-02-25
69.11	3.237	2.39	11.49	-0.1543	68.39	2010-02-26
71.33	3.187	2.22	61.6	0.1135	68.58	2010-03-01
72.24	3.07	0.91	75.14	0.3946	68.81	2010-03-02
73.19	2.958	0.95	80.73	0.6861	69.1	2010-03-03
75.85	2.951	2.66	193.6	1.119	69.53	2010-03-04
94.91	4.102	19.06	435.8	2.966	71.17	2010-03-05
76.25	5.173	-18.66	103.5	2.89	71.5	2010-03-08
76.65	4.942	0.4	88.7	2.83	71.83	2010-03-09
82.16	5.079	5.51	137.1	3.19	72.5	2010-03-10
82.88	4.853	0.72	128.6	3.493	73.17	2010-03-11
86.29	4.866	3.41	139.2	3.963	74.01	2010-03-12
84.51	4.811	-1.78	113.9	4.144	74.69	2010-03-15
83.71	4.626	-0.8	89.26	4.175	75.27	2010-03-16
86.84	4.674	3.13	91.79	4.401	76.02	2010-03-17
86.01	4.442	-0.83	89.08	4.462	76.66	2010-03-18
86.33	4.233	0.32	82.4	4.484	77.29	2010-03-19
86.33	4.0	0.0	72.02	4.451	77.87	2010-03-22
87.72	3.871	1.39	73.18	4.485	78.51	2010-03-23
87.16	3.784	-0.56	70.63	4.415	79.06	2010-03-24
88.32	3.668	1.16	73.1	4.403	79.66	2010-03-25
87.12	3.526	-1.2	59.04	4.248	80.14	2010-03-26
86.92	3.377	-0.2	50.92	4.062	80.58	2010-03-29
87.56	3.204	0.64	53.96	3.921	81.03	2010-03-30
87.6	3.157	0.04	48.17	3.769	81.45	2010-03-31
88.99	3.075	1.39	70.45	3.718	81.94	2010-04-01
92.21	3.091	3.22	145.2	3.892	82.6	2010-04-06
91.9	2.968	-0.31	168.3	3.96	83.2	2010-04-07
91.5	2.821	-0.4	165.6	3.936	83.74	2010-04-08
91.3	2.71	-0.2	146.5	3.856	84.23	2010-04-09
92.02	2.656	0.72	135.2	3.807	84.73	2010-04-12
91.7	2.571	-0.32	109.3	3.7	85.18	2010-04-13
91.62	2.481	-0.08	94.57	3.567	85.59	2010-04-14
91.1	2.457	-0.52	79.87	3.381	85.95	2010-04-15
89.55	2.5	-1.55	35.35	3.073	86.18	2010-04-16
91.66	2.558	2.11	40.5	2.965	86.53	2010-04-19
93.05	2.512	1.39	102.2	2.958	86.96	2010-04-20
91.74	2.517	-1.31	80.62	2.814	87.26	2010-04-21
93.61	2.57	1.87	94.07	2.818	87.67	2010-04-22
95.12	2.638	1.51	160.7	2.91	88.15	2010-04-23
95.83	2.802	0.71	208.6	3.005	88.65	2010-04-26
94.2	2.746	-1.63	128.1	2.915	89.01	2010-04-27
91.14	2.792	-3.06	8.211	2.568	89.14	2010-04-28
95.24	2.938	4.1	85.96	2.593	89.54	2010-04-29
95.12	2.867	-0.12	126.9	2.574	89.9	2010-04-30
88.99	3.1	-6.13	-157.5	2.041	89.84	2010-05-04
90.22	3.138	1.23	-78.63	1.698	89.86	2010-05-05
89.31	3.104	-0.91	-109.8	1.337	89.83	2010-05-06
84.34	3.292	-4.97	-232.7	0.6429	89.47	2010-05-07
91.3	3.585	6.96	-74.1	0.6469	89.59	2010-05-10
92.05	3.631	0.75	-28.68	0.7024	89.75	2010-05-11
93.37	3.615	1.32	37.4	0.8432	89.98	2010-05-12
96.11	3.619	2.74	100.0	1.163	90.38	2010-05-13
93.49	3.676	-2.62	71.11	1.19	90.58	2010-05-14
91.78	3.738	-1.71	9.324	1.062	90.66	2010-05-17
91.26	3.644	-0.52	-30.32	0.9083	90.7	2010-05-18
88.36	3.688	-2.9	-105.9	0.546	90.55	2010-05-19
85.13	3.871	-3.23	-152.2	-0.00173	90.2	2010-05-20
84.34	3.89	-0.79	-168.5	-0.4939	89.82	2010-05-21
83.74	3.795	-0.6	-148.4	-0.9217	89.43	2010-05-24
80.92	3.864	-2.82	-189.1	-1.471	88.88	2010-05-25
86.33	4.031	5.41	-90.82	-1.454	88.71	2010-05-26
86.49	3.931	0.16	-56.73	-1.41	88.57	2010-05-27
88.04	3.886	1.55	-19.28	-1.237	88.54	2010-05-28
87.08	3.896	-0.96	-29.25	-1.163	88.44	2010-06-01
86.72	3.779	-0.36	-51.65	-1.121	88.33	2010-06-02
89.31	3.851	2.59	28.0	-0.8689	88.39	2010-06-03
85.41	3.886	-3.9	-37.2	-0.9723	88.2	2010-06-04
84.46	3.841	-0.95	-76.52	-1.118	87.96	2010-06-07
83.22	3.78	-1.24	-88.36	-1.318	87.65	2010-06-08
83.54	3.733	0.32	-99.57	-1.435	87.39	2010-06-09
84.3	3.639	0.76	-67.86	-1.449	87.19	2010-06-10
84.5	3.507	0.2	-53.65	-1.428	87.02	2010-06-11
86.25	3.441	1.75	-6.273	-1.255	86.97	2010-06-14
88.0	3.488	1.75	29.94	-0.9662	87.03	2010-06-15
89.15	3.358	1.15	111.2	-0.6369	87.17	2010-06-16
88.08	3.246	-1.07	96.2	-0.4571	87.23	2010-06-17
91.94	3.392	3.86	163.0	-0.003018	87.53	2010-06-18
91.18	3.354	-0.76	176.1	0.2921	87.77	2010-06-21
92.45	3.248	1.27	149.1	0.6213	88.07	2010-06-22
92.05	3.201	-0.4	136.6	0.8403	88.33	2010-06-23
89.71	3.283	-2.34	86.79	0.8156	88.42	2010-06-24
88.2	3.318	-1.51	37.72	0.6665	88.4	2010-06-25
87.36	3.317	-0.84	-19.53	0.4751	88.33	2010-06-28
84.06	3.387	-3.3	-73.31	0.05643	88.06	2010-06-29
83.7	3.302	-0.36	-77.35	-0.3009	87.78	2010-06-30
80.92	3.359	-2.78	-136.9	-0.7992	87.34	2010-07-01
83.3	3.314	2.38	-93.17	-0.9907	87.07	2010-07-02
82.35	3.171	-0.95	-90.24	-1.205	86.77	2010-07-05
85.17	3.169	2.82	-57.03	-1.135	86.67	2010-07-06
86.8	3.167	1.63	-26.72	-0.9362	86.68	2010-07-07
89.71	3.256	2.91	47.7	-0.5381	86.87	2010-07-08
89.87	3.166	0.16	59.34	-0.2072	87.06	2010-07-09
89.91	3.096	0.04	50.12	0.05756	87.25	2010-07-12
91.42	3.062	1.51	78.07	0.3848	87.52	2010-07-13
91.14	3.031	-0.28	68.48	0.6145	87.75	2010-07-14
90.34	2.945	-0.8	53.01	0.7236	87.92	2010-07-15
89.39	2.925	-0.95	42.78	0.725	88.01	2010-07-16
88.87	2.825	-0.52	24.17	0.6764	88.07	2010-07-19
87.6	2.8	-1.27	5.538	0.5293	88.04	2010-07-20
91.06	2.881	3.46	58.04	0.6841	88.23	2010-07-21
92.49	2.857	1.43	100.0	0.9116	88.51	2010-07-22
93.49	2.846	1.0	119.2	1.159	88.83	2010-07-23
93.65	2.754	0.16	114.9	1.353	89.14	2010-07-26
93.88	2.648	0.23	109.3	1.507	89.45	2010-07-27
92.02	2.617	-1.86	79.6	1.463	89.61	2010-07-28
91.62	2.541	-0.4	54.78	1.38	89.74	2010-07-29
92.81	2.516	1.19	78.09	1.393	89.94	2010-07-30
95.12	2.518	2.31	120.9	1.573	90.27	2010-08-02
93.61	2.52	-1.51	107.6	1.575	90.49	2010-08-03
92.69	2.48	-0.92	62.29	1.485	90.63	2010-08-04
91.5	2.413	-1.19	3.259	1.303	90.69	2010-08-05
90.94	2.372	-0.56	-21.18	1.101	90.7	2010-08-06
93.45	2.464	2.51	67.05	1.13	90.88	2010-08-09
92.09	2.418	-1.36	23.44	1.031	90.96	2010-08-10
90.19	2.395	-1.9	-55.19	0.791	90.91	2010-08-11
88.32	2.415	-1.87	-138.2	0.4444	90.74	2010-08-12
88.67	2.381	0.35	-126.2	0.1957	90.61	2010-08-13
