Close	ATR	Momentum	CCI	MACD	EMA	Times
13.28	0.5512	0.07	-31.47	-0.2505	13.73	2009-02-20
12.7	0.564	-0.58	-84.71	-0.2943	13.67	2009-02-23
12.67	0.5758	-0.03	-138.7	-0.3276	13.6	2009-02-24
12.51	0.5761	-0.16	-137.3	-0.3628	13.53	2009-02-25
12.11	0.57	-0.4	-143.5	-0.4181	13.44	2009-02-26
11.92	0.5514	-0.19	-157.1	-0.4718	13.34	2009-02-27
11.65	0.5399	-0.27	-165.2	-0.5301	13.23	2009-03-02
11.72	0.5327	0.07	-142.1	-0.5641	13.14	2009-03-03
11.89	0.5218	0.17	-108.5	-0.5708	13.06	2009-03-04
11.27	0.5288	-0.62	-128.7	-0.6189	12.94	2009-03-05
11.27	0.5303	0.0	-124.1	-0.6496	12.83	2009-03-06
11.18	0.526	-0.09	-107.5	-0.6735	12.73	2009-03-09
12.16	0.5656	0.98	-58.63	-0.6063	12.69	2009-03-10
12.62	0.5659	0.46	-7.801	-0.51	12.69	2009-03-11
12.55	0.5584	-0.07	-5.706	-0.4344	12.68	2009-03-12
12.28	0.5642	-0.27	-14.49	-0.3917	12.65	2009-03-13
11.99	0.5617	-0.29	-18.04	-0.377	12.61	2009-03-16
12.47	0.5559	0.48	8.471	-0.3228	12.6	2009-03-17
12.51	0.5483	0.04	42.46	-0.2735	12.59	2009-03-18
12.65	0.537	0.14	79.57	-0.2206	12.6	2009-03-19
12.59	0.5394	-0.06	92.57	-0.1814	12.6	2009-03-20
13.52	0.5816	0.93	191.6	-0.07449	12.66	2009-03-23
13.23	0.5657	-0.29	161.9	-0.01298	12.69	2009-03-24
13.19	0.5668	-0.04	135.7	0.03217	12.73	2009-03-25
13.89	0.5791	0.7	172.7	0.123	12.8	2009-03-26
13.38	0.5785	-0.51	123.6	0.1521	12.84	2009-03-27
12.9	0.5829	-0.48	53.65	0.1349	12.84	2009-03-30
13.55	0.6098	0.65	108.5	0.1717	12.89	2009-03-31
14.25	0.6284	0.7	139.8	0.2544	12.98	2009-04-01
14.23	0.6299	-0.02	151.8	0.3147	13.06	2009-04-02
13.83	0.6299	-0.4	96.98	0.3265	13.11	2009-04-03
13.84	0.6107	0.01	75.43	0.3328	13.15	2009-04-06
13.84	0.5935	0.0	87.99	0.3339	13.2	2009-04-07
14.16	0.5968	0.32	112.3	0.3565	13.26	2009-04-08
14.51	0.5806	0.35	122.5	0.3981	13.34	2009-04-09
14.45	0.5648	-0.06	118.2	0.4214	13.41	2009-04-13
14.28	0.5552	-0.17	86.02	0.4212	13.47	2009-04-14
13.89	0.5598	-0.39	40.51	0.3852	13.5	2009-04-15
14.58	0.5698	0.69	98.98	0.4076	13.57	2009-04-16
14.17	0.5691	-0.41	71.0	0.3878	13.6	2009-04-17
13.73	0.5621	-0.44	-7.608	0.3328	13.61	2009-04-20
14.0	0.5491	0.27	10.38	0.3075	13.64	2009-04-21
13.86	0.5356	-0.14	7.157	0.2729	13.65	2009-04-22
13.96	0.5216	0.1	-21.08	0.2507	13.67	2009-04-23
15.43	0.6043	1.47	228.9	0.3477	13.79	2009-04-24
15.05	0.5947	-0.38	185.6	0.3895	13.87	2009-04-27
14.7	0.5844	-0.35	110.1	0.3898	13.92	2009-04-28
14.94	0.5934	0.24	147.8	0.4048	13.99	2009-04-29
14.95	0.6088	0.01	132.7	0.4127	14.05	2009-04-30
14.93	0.5911	-0.02	82.38	0.4126	14.11	2009-05-01
14.9	0.571	-0.03	78.75	0.4054	14.16	2009-05-04
14.6	0.5616	-0.3	37.43	0.3713	14.19	2009-05-05
14.6	0.5458	0.0	24.83	0.3403	14.21	2009-05-06
14.25	0.5518	-0.35	-20.23	0.2842	14.21	2009-05-07
14.33	0.5388	0.08	-29.54	0.2434	14.22	2009-05-08
14.25	0.5382	-0.08	-33.0	0.2022	14.22	2009-05-11
14.67	0.539	0.42	20.32	0.2012	14.25	2009-05-12
14.57	0.5184	-0.1	15.42	0.1902	14.27	2009-05-13
14.8	0.5071	0.23	42.19	0.1977	14.31	2009-05-14
14.92	0.498	0.12	63.85	0.2109	14.35	2009-05-15
15.2	0.4824	0.28	93.48	0.2411	14.4	2009-05-18
15.08	0.4737	-0.12	99.28	0.2525	14.45	2009-05-19
15.13	0.4649	0.05	92.47	0.2626	14.49	2009-05-20
14.72	0.4774	-0.41	-20.33	0.2348	14.5	2009-05-21
14.66	0.4804	-0.06	-27.63	0.2055	14.51	2009-05-22
15.1	0.499	0.44	38.56	0.2153	14.55	2009-05-26
14.95	0.4919	-0.15	74.43	0.2086	14.58	2009-05-27
15.18	0.4875	0.23	95.17	0.2193	14.62	2009-05-28
15.51	0.4869	0.33	153.1	0.2515	14.67	2009-05-29
15.89	0.4857	0.38	211.1	0.3042	14.75	2009-06-01
15.89	0.4925	0.0	206.1	0.342	14.83	2009-06-02
16.13	0.4823	0.24	177.2	0.3869	14.91	2009-06-03
16.21	0.465	0.08	168.2	0.424	14.99	2009-06-04
16.44	0.4582	0.23	172.3	0.4666	15.09	2009-06-05
16.37	0.4619	-0.07	136.5	0.4891	15.17	2009-06-08
16.39	0.4518	0.02	125.0	0.5027	15.25	2009-06-09
16.74	0.4488	0.35	131.8	0.5356	15.35	2009-06-10
16.95	0.4546	0.21	145.5	0.572	15.45	2009-06-11
17.32	0.4564	0.37	144.3	0.6235	15.57	2009-06-12
17.39	0.4516	0.07	138.6	0.6624	15.69	2009-06-15
17.41	0.4558	0.02	142.7	0.6868	15.8	2009-06-16
17.58	0.4583	0.17	121.1	0.7118	15.91	2009-06-17
17.45	0.4462	-0.13	105.8	0.7128	16.01	2009-06-18
17.87	0.4587	0.42	127.6	0.739	16.13	2009-06-19
17.29	0.4695	-0.58	84.01	0.7048	16.21	2009-06-22
17.33	0.4602	0.04	70.57	0.6732	16.28	2009-06-23
17.43	0.4488	0.1	71.62	0.6487	16.35	2009-06-24
17.66	0.4546	0.23	73.3	0.6405	16.44	2009-06-25
17.34	0.4471	-0.32	54.09	0.6013	16.5	2009-06-26
17.72	0.4509	0.38	80.46	0.594	16.57	2009-06-29
17.65	0.4508	-0.07	82.63	0.5759	16.64	2009-06-30
17.85	0.4465	0.2	102.2	0.5711	16.72	2009-07-01
17.35	0.4589	-0.5	34.29	0.521	16.76	2009-07-02
17.23	0.4525	-0.12	-32.5	0.4662	16.79	2009-07-06
16.73	0.4595	-0.5	-113.3	0.3781	16.79	2009-07-07
16.75	0.4638	0.02	-177.1	0.3064	16.79	2009-07-08
16.66	0.4542	-0.09	-158.3	0.2395	16.78	2009-07-09
16.62	0.4425	-0.04	-170.6	0.1811	16.77	2009-07-10
17.25	0.4716	0.63	-75.53	0.1836	16.8	2009-07-13
17.16	0.4579	-0.09	-42.92	0.1763	16.82	2009-07-14
17.91	0.4788	0.75	89.6	0.2284	16.89	2009-07-15
18.15	0.4753	0.24	126.1	0.2858	16.97	2009-07-16
18.04	0.4599	-0.11	116.9	0.3187	17.04	2009-07-17
18.21	0.4471	0.17	127.4	0.3544	17.12	2009-07-20
18.44	0.4401	0.23	141.8	0.3967	17.2	2009-07-21
18.41	0.4294	-0.03	129.0	0.4229	17.28	2009-07-22
18.98	0.448	0.57	166.6	0.4841	17.39	2009-07-23
17.41	0.5617	-1.57	-24.91	0.4012	17.39	2009-07-24
17.16	0.5509	-0.25	-44.78	0.3118	17.38	2009-07-27
17.43	0.5466	0.27	-27.57	0.2598	17.38	2009-07-28
17.67	0.5375	0.24	8.085	0.2352	17.4	2009-07-29
17.68	0.5377	0.01	37.34	0.214	17.42	2009-07-30
17.46	0.5293	-0.22	9.214	0.1775	17.42	2009-07-31
17.69	0.5108	0.23	10.01	0.1651	17.44	2009-08-03
17.65	0.49	-0.04	1.851	0.1504	17.45	2009-08-04
17.68	0.4807	0.03	22.61	0.1395	17.47	2009-08-05
17.42	0.4835	-0.26	-29.54	0.1087	17.46	2009-08-06
17.49	0.4683	0.07	-33.77	0.08889	17.46	2009-08-07
17.39	0.4484	-0.1	-69.33	0.06438	17.46	2009-08-10
17.17	0.4364	-0.22	-106.7	0.02689	17.44	2009-08-11
