Close	ATR	Momentum	CCI	MACD	EMA	Times
8.65	0.3982	0.02	-118.8	-0.3358	9.32	2009-02-20
8.38	0.4062	-0.27	-119.6	-0.3514	9.26	2009-02-23
8.65	0.4151	0.27	-109.4	-0.338	9.22	2009-02-24
8.49	0.409	-0.16	-94.1	-0.3364	9.17	2009-02-25
8.27	0.4019	-0.22	-113.8	-0.3489	9.11	2009-02-26
8.37	0.4032	0.1	-111.9	-0.3467	9.07	2009-02-27
8.01	0.4016	-0.36	-135.4	-0.3698	9.0	2009-03-02
8.07	0.3943	0.06	-112.9	-0.3789	8.94	2009-03-03
8.57	0.4133	0.5	-46.87	-0.3418	8.91	2009-03-04
8.1	0.4252	-0.47	-94.75	-0.3463	8.86	2009-03-05
8.1	0.4227	0.0	-107.1	-0.3459	8.81	2009-03-06
7.82	0.4189	-0.28	-143.8	-0.364	8.75	2009-03-09
8.43	0.4383	0.61	-55.25	-0.3254	8.73	2009-03-10
8.8	0.4413	0.37	74.54	-0.2619	8.73	2009-03-11
9.04	0.4447	0.24	129.5	-0.19	8.75	2009-03-12
9.05	0.4351	0.01	141.9	-0.1307	8.77	2009-03-13
8.9	0.4255	-0.15	135.3	-0.09474	8.78	2009-03-16
9.2	0.4258	0.3	147.5	-0.04155	8.81	2009-03-17
9.31	0.4182	0.11	168.2	0.009372	8.84	2009-03-18
9.42	0.4426	0.11	137.4	0.05794	8.88	2009-03-19
9.12	0.4625	-0.3	121.7	0.07139	8.89	2009-03-20
9.65	0.4708	0.53	133.6	0.1234	8.94	2009-03-23
9.24	0.4694	-0.41	98.73	0.13	8.96	2009-03-24
9.4	0.4665	0.16	93.53	0.1465	8.99	2009-03-25
9.65	0.4611	0.25	114.9	0.1777	9.03	2009-03-26
9.49	0.4439	-0.16	93.42	0.1873	9.06	2009-03-27
9.38	0.4386	-0.11	57.93	0.184	9.08	2009-03-30
9.5	0.4344	0.12	78.83	0.1888	9.11	2009-03-31
9.53	0.4262	0.03	68.24	0.1929	9.14	2009-04-01
10.23	0.4586	0.7	161.8	0.2497	9.21	2009-04-02
10.51	0.4509	0.28	203.9	0.3137	9.29	2009-04-03
10.39	0.4387	-0.12	186.2	0.3507	9.36	2009-04-06
10.11	0.4331	-0.28	127.9	0.3533	9.41	2009-04-07
10.18	0.4193	0.07	116.2	0.357	9.46	2009-04-08
10.8	0.4365	0.62	165.3	0.4052	9.55	2009-04-09
10.77	0.4324	-0.03	144.8	0.436	9.62	2009-04-13
10.42	0.4444	-0.35	91.72	0.4272	9.68	2009-04-14
10.56	0.4291	0.14	91.19	0.4266	9.73	2009-04-15
10.9	0.4291	0.34	117.2	0.4485	9.81	2009-04-16
11.07	0.4242	0.17	129.7	0.474	9.89	2009-04-17
10.61	0.4318	-0.46	82.65	0.4519	9.94	2009-04-20
10.8	0.4238	0.19	82.52	0.4446	9.99	2009-04-21
11.15	0.4478	0.35	111.7	0.4617	10.07	2009-04-22
11.02	0.4472	-0.13	102.1	0.4595	10.13	2009-04-23
11.09	0.4332	0.07	104.6	0.4582	10.19	2009-04-24
10.97	0.4265	-0.12	88.08	0.4423	10.24	2009-04-27
11.27	0.4382	0.3	106.9	0.4487	10.31	2009-04-28
10.73	0.454	-0.54	54.58	0.4056	10.33	2009-04-29
10.63	0.4623	-0.1	26.24	0.3592	10.35	2009-04-30
10.73	0.4429	0.1	5.555	0.3267	10.38	2009-05-01
11.2	0.4455	0.47	82.87	0.3351	10.43	2009-05-04
11.15	0.4265	-0.05	95.35	0.3338	10.48	2009-05-05
11.07	0.4189	-0.08	90.0	0.3226	10.52	2009-05-06
10.76	0.4354	-0.31	8.396	0.2854	10.53	2009-05-07
11.03	0.4458	0.27	6.42	0.2746	10.56	2009-05-08
10.77	0.4375	-0.26	-37.6	0.2422	10.58	2009-05-11
10.33	0.4484	-0.44	-194.4	0.179	10.56	2009-05-12
10.04	0.4485	-0.29	-284.8	0.1043	10.53	2009-05-13
10.33	0.445	0.29	-174.3	0.06774	10.51	2009-05-14
10.08	0.4418	-0.25	-157.9	0.01837	10.49	2009-05-15
10.38	0.4324	0.3	-115.1	0.003404	10.48	2009-05-18
10.55	0.4315	0.17	-63.73	0.005204	10.48	2009-05-19
10.27	0.43	-0.28	-75.39	-0.01578	10.47	2009-05-20
10.41	0.4186	0.14	-77.72	-0.02087	10.47	2009-05-21
10.62	0.4129	0.21	-21.21	-0.007875	10.48	2009-05-22
10.98	0.4213	0.36	43.07	0.03112	10.51	2009-05-26
11.03	0.4126	0.05	88.96	0.0653	10.54	2009-05-27
11.17	0.4082	0.14	92.26	0.1025	10.58	2009-05-28
11.56	0.414	0.39	143.3	0.1616	10.65	2009-05-29
12.01	0.4266	0.45	204.7	0.242	10.73	2009-06-01
11.72	0.419	-0.29	160.8	0.279	10.8	2009-06-02
11.79	0.4098	0.07	129.3	0.3105	10.86	2009-06-03
11.71	0.4019	-0.08	116.3	0.3252	10.92	2009-06-04
11.87	0.3961	0.16	124.0	0.3458	10.98	2009-06-05
11.81	0.3871	-0.06	97.01	0.3532	11.03	2009-06-08
11.94	0.3787	0.13	94.68	0.3653	11.09	2009-06-09
11.61	0.3924	-0.33	66.74	0.3443	11.12	2009-06-10
11.53	0.3829	-0.08	51.59	0.3176	11.15	2009-06-11
11.52	0.3748	-0.01	32.41	0.2922	11.17	2009-06-12
11.39	0.3652	-0.13	15.39	0.2587	11.19	2009-06-15
11.26	0.3627	-0.13	3.269	0.219	11.19	2009-06-16
11.12	0.3532	-0.14	-31.56	0.1743	11.19	2009-06-17
11.46	0.3687	0.34	3.712	0.1644	11.21	2009-06-18
11.54	0.3667	0.08	32.73	0.1612	11.23	2009-06-19
11.25	0.3633	-0.29	-53.11	0.1337	11.23	2009-06-22
10.9	0.3652	-0.35	-136.6	0.08269	11.21	2009-06-23
10.79	0.3627	-0.11	-164.6	0.03302	11.18	2009-06-24
10.44	0.3782	-0.35	-245.4	-0.03419	11.13	2009-06-25
10.35	0.3641	-0.09	-198.9	-0.09365	11.08	2009-06-26
10.53	0.3581	0.18	-147.2	-0.1248	11.05	2009-06-29
10.54	0.3496	0.01	-117.2	-0.147	11.01	2009-06-30
10.67	0.3489	0.13	-90.44	-0.1523	10.99	2009-07-01
10.39	0.344	-0.28	-105.0	-0.1771	10.95	2009-07-02
10.57	0.3423	0.18	-83.89	-0.1801	10.93	2009-07-06
10.42	0.3329	-0.15	-85.1	-0.1924	10.9	2009-07-07
10.49	0.3234	0.07	-76.48	-0.1943	10.87	2009-07-08
10.39	0.3167	-0.1	-73.18	-0.2015	10.84	2009-07-09
10.44	0.3112	0.05	-67.27	-0.2009	10.81	2009-07-10
10.49	0.3054	0.05	-55.65	-0.1941	10.79	2009-07-13
10.56	0.2993	0.07	-38.55	-0.181	10.78	2009-07-14
10.77	0.3022	0.21	-8.509	-0.1519	10.78	2009-07-15
10.83	0.3028	0.06	17.98	-0.1226	10.78	2009-07-16
10.67	0.299	-0.16	10.47	-0.111	10.77	2009-07-17
10.75	0.2948	0.08	44.98	-0.0943	10.77	2009-07-20
10.6	0.2995	-0.15	42.28	-0.09209	10.76	2009-07-21
10.49	0.2923	-0.11	-6.191	-0.09808	10.74	2009-07-22
10.41	0.2872	-0.08	-47.37	-0.108	10.72	2009-07-23
10.62	0.2931	0.21	-8.028	-0.09785	10.71	2009-07-24
10.66	0.2836	0.04	44.31	-0.08557	10.71	2009-07-27
10.77	0.2855	0.11	78.05	-0.0662	10.72	2009-07-28
11.07	0.2958	0.3	207.6	-0.02633	10.74	2009-07-29
11.42	0.3061	0.35	314.8	0.03312	10.78	2009-07-30
11.53	0.3164	0.11	290.5	0.0881	10.83	2009-07-31
11.53	0.3059	0.0	215.0	0.1302	10.88	2009-08-03
11.71	0.3048	0.18	182.3	0.176	10.93	2009-08-04
11.61	0.3037	-0.1	153.3	0.2019	10.97	2009-08-05
11.73	0.2963	0.12	131.0	0.2295	11.02	2009-08-06
11.82	0.2916	0.09	122.2	0.2557	11.07	2009-08-07
11.63	0.2908	-0.19	90.47	0.2581	11.11	2009-08-10
11.56	0.2864	-0.07	64.48	0.2515	11.14	2009-08-11
11.71	0.2881	0.15	75.24	0.2554	11.18	2009-08-12
11.77	0.2797	0.06	75.1	0.2604	11.21	2009-08-13
11.57	0.2847	-0.2	56.0	0.2453	11.24	2009-08-14
11.29	0.2886	-0.28	12.59	0.2084	11.24	2009-08-17
11.32	0.278	0.03	3.399	0.1795	11.25	2009-08-18
11.56	0.2853	0.24	23.34	0.174	11.27	2009-08-19
11.6	0.2785	0.04	38.29	0.1708	11.29	2009-08-20
11.33	0.2843	-0.27	-19.63	0.1449	11.29	2009-08-21
11.4	0.274	0.07	-27.59	0.1285	11.3	2009-08-24
11.23	0.2737	-0.17	-79.75	0.1006	11.29	2009-08-25
11.29	0.2699	0.06	-112.6	0.08241	11.29	2009-08-26
11.57	0.2849	0.28	-37.23	0.08955	11.31	2009-08-27
11.44	0.2874	-0.13	-13.46	0.08375	11.32	2009-08-28
11.27	0.2819	-0.17	-99.6	0.0647	11.32	2009-08-31
11.07	0.2825	-0.2	-157.3	0.03307	11.3	2009-09-01
10.85	0.2794	-0.22	-211.4	-0.009628	11.27	2009-09-02
10.99	0.2716	0.14	-163.3	-0.03181	11.25	2009-09-03
11.09	0.2658	0.1	-122.9	-0.04084	11.24	2009-09-04
11.3	0.2618	0.21	-48.24	-0.0307	11.25	2009-09-08
11.32	0.2574	0.02	-27.1	-0.02082	11.25	2009-09-09
11.33	0.2526	0.01	-1.144	-0.01203	11.26	2009-09-10
11.25	0.251	-0.08	-4.286	-0.0114	11.26	2009-09-11
11.23	0.2573	-0.02	-65.91	-0.01237	11.25	2009-09-14
11.18	0.2539	-0.05	-58.5	-0.01697	11.25	2009-09-15
11.69	0.2801	0.51	118.1	0.0203	11.28	2009-09-16
11.88	0.2886	0.19	235.8	0.06442	11.32	2009-09-17
11.98	0.2816	0.1	239.4	0.1062	11.36	2009-09-18
11.97	0.2865	-0.01	189.4	0.137	11.4	2009-09-21
11.98	0.2817	0.01	167.5	0.1603	11.44	2009-09-22
