Close	ATR	Momentum	CCI	MACD	EMA	Times
0.17	0.01425	0.0	-110.5	-0.001379	0.19	2009-02-20
0.17	0.01395	0.0	-108.2	-0.002473	0.19	2009-02-23
0.18	0.01367	0.01	-87.12	-0.002504	0.19	2009-02-24
0.18	0.01412	0.0	-64.81	-0.0025	0.18	2009-02-25
0.19	0.01454	0.01	10.36	-0.001671	0.19	2009-02-26
0.19	0.01422	0.0	-25.32	-0.001002	0.19	2009-02-27
0.17	0.01463	-0.02	-78.16	-0.002062	0.18	2009-03-02
0.18	0.01501	0.01	-56.83	-0.002071	0.18	2009-03-03
0.19	0.01537	0.01	-1.832	-0.001257	0.18	2009-03-04
0.19	0.01499	0.0	19.05	-0.0006046	0.18	2009-03-05
0.19	0.01463	0.0	24.54	-8.683e-05	0.19	2009-03-06
0.19	0.01501	0.0	62.35	0.0003199	0.19	2009-03-09
0.21	0.01537	0.02	157.3	0.00223	0.19	2009-03-10
0.21	0.01927	0.0	293.2	0.003702	0.19	2009-03-11
0.23	0.01932	0.02	208.6	0.006408	0.19	2009-03-12
0.22	0.01866	-0.01	168.4	0.007657	0.19	2009-03-13
0.22	0.01875	0.0	128.3	0.008549	0.19	2009-03-16
0.23	0.01884	0.01	121.7	0.009947	0.2	2009-03-17
0.23	0.01893	0.0	126.4	0.01093	0.2	2009-03-18
0.23	0.01829	0.0	119.0	0.01158	0.2	2009-03-19
0.22	0.01841	-0.01	63.44	0.01115	0.2	2009-03-20
0.23	0.01781	0.01	78.79	0.01149	0.2	2009-03-23
0.22	0.01725	-0.01	60.38	0.01083	0.21	2009-03-24
0.23	0.01745	0.01	78.24	0.01098	0.21	2009-03-25
0.24	0.01692	0.01	95.24	0.01177	0.21	2009-03-26
0.24	0.01642	0.0	113.7	0.01226	0.21	2009-03-27
0.22	0.01668	-0.02	28.75	0.01091	0.21	2009-03-30
0.23	0.0162	0.01	40.66	0.01052	0.21	2009-03-31
0.23	0.01647	0.0	14.89	0.0101	0.21	2009-04-01
0.24	0.01672	0.01	156.7	0.01045	0.22	2009-04-02
0.26	0.01696	0.02	213.3	0.0122	0.22	2009-04-03
0.26	0.01646	0.0	201.5	0.01344	0.22	2009-04-06
0.25	0.016	-0.01	148.1	0.01345	0.22	2009-04-07
0.26	0.01557	0.01	141.9	0.01411	0.23	2009-04-08
0.28	0.01589	0.02	206.6	0.01606	0.23	2009-04-09
0.27	0.01618	-0.01	131.8	0.0166	0.23	2009-04-13
0.27	0.01645	0.0	127.5	0.01684	0.23	2009-04-14
0.26	0.01671	-0.01	62.27	0.01604	0.24	2009-04-15
0.27	0.01623	0.01	94.43	0.01602	0.24	2009-04-16
0.27	0.01578	0.0	84.35	0.01583	0.24	2009-04-17
0.25	0.01608	-0.02	24.8	0.0139	0.24	2009-04-20
0.25	0.01565	0.0	20.34	0.01224	0.24	2009-04-21
0.26	0.01596	0.01	47.31	0.01159	0.24	2009-04-22
0.26	0.01553	0.0	25.79	0.01095	0.24	2009-04-23
0.26	0.01514	0.0	22.05	0.01032	0.24	2009-04-24
0.25	0.01549	-0.01	18.76	0.008913	0.24	2009-04-27
0.25	0.01509	0.0	-16.13	0.00771	0.25	2009-04-28
0.25	0.01473	0.0	-33.33	0.006679	0.25	2009-04-29
0.26	0.01511	0.01	17.49	0.006593	0.25	2009-04-30
0.27	0.01474	0.01	83.33	0.007249	0.25	2009-05-01
0.28	0.0144	0.01	164.5	0.008477	0.25	2009-05-04
