Close	ATR	Momentum	CCI	MACD	EMA	Times
261.3	5.014	-0.4	133.9	7.663	242.73	2010-01-06
261.3	4.899	0.0	116.9	7.852	243.93	2010-01-07
262.0	4.692	0.7	107.7	7.966	245.1	2010-01-08
261.1	4.585	-0.9	99.34	7.893	246.13	2010-01-11
259.0	4.537	-2.1	76.11	7.579	246.96	2010-01-12
256.5	4.391	-2.5	52.77	7.046	247.57	2010-01-13
257.0	4.235	0.5	49.06	6.589	248.18	2010-01-14
254.0	4.254	-3.0	27.66	5.916	248.56	2010-01-15
258.5	4.307	4.5	37.87	5.68	249.2	2010-01-18
258.5	4.249	0.0	38.32	5.431	249.8	2010-01-19
256.0	4.259	-2.5	20.62	4.974	250.2	2010-01-20
252.7	4.324	-3.3	-31.24	4.297	250.36	2010-01-21
253.8	4.208	1.1	-68.69	3.804	250.58	2010-01-22
248.0	4.322	-5.8	-156.1	2.913	250.42	2010-01-25
247.5	4.228	-0.5	-193.0	2.141	250.23	2010-01-26
243.0	4.247	-4.5	-221.1	1.153	249.76	2010-01-27
240.0	4.408	-3.0	-210.8	0.1266	249.13	2010-01-28
238.8	4.386	-1.2	-187.2	-0.7748	248.46	2010-01-29
239.8	4.337	1.0	-149.2	-1.392	247.91	2010-02-01
243.5	4.427	3.7	-109.3	-1.565	247.62	2010-02-02
242.5	4.418	-1.0	-92.6	-1.763	247.29	2010-02-03
238.5	4.424	-4.0	-104.8	-2.216	246.72	2010-02-04
233.5	4.465	-5.0	-136.7	-2.945	245.87	2010-02-05
236.8	4.482	3.3	-109.3	-3.22	245.29	2010-02-08
237.6	4.49	0.8	-95.01	-3.334	244.79	2010-02-09
239.0	4.427	1.4	-74.49	-3.274	244.42	2010-02-10
239.5	4.332	0.5	-55.8	-3.15	244.1	2010-02-11
242.0	4.323	2.5	-31.49	-2.817	243.96	2010-02-12
243.0	4.186	1.0	-15.47	-2.445	243.9	2010-02-15
247.8	4.316	4.8	42.22	-1.742	244.15	2010-02-16
251.6	4.394	3.8	101.7	-0.8687	244.63	2010-02-17
254.0	4.366	2.4	151.4	0.01703	245.24	2010-02-18
254.8	4.272	0.8	167.8	0.7746	245.85	2010-02-19
254.2	4.224	-0.6	160.7	1.311	246.39	2010-02-22
254.8	4.1	0.6	142.9	1.765	246.94	2010-02-23
255.5	4.022	0.7	121.2	2.156	247.49	2010-02-24
250.2	4.113	-5.3	80.08	2.015	247.66	2010-02-25
252.5	4.098	2.3	70.31	2.065	247.98	2010-02-26
260.5	4.377	8.0	118.5	2.719	248.78	2010-03-01
262.0	4.407	1.5	133.0	3.32	249.64	2010-03-02
261.5	4.313	-0.5	114.6	3.713	250.4	2010-03-03
259.5	4.283	-2.0	93.79	3.819	250.99	2010-03-04
266.0	4.441	6.5	127.7	4.377	251.96	2010-03-05
271.1	4.56	5.1	163.3	5.171	253.19	2010-03-08
274.5	4.691	3.4	177.2	6.006	254.57	2010-03-09
281.0	5.149	6.5	188.8	7.11	256.27	2010-03-10
280.0	5.045	-1.0	176.7	7.814	257.8	2010-03-11
282.9	4.899	2.9	167.9	8.508	259.42	2010-03-12
280.0	4.835	-2.9	133.6	8.723	260.75	2010-03-15
285.4	4.961	5.4	131.8	9.224	262.34	2010-03-16
281.6	5.007	-3.8	104.5	9.207	263.58	2010-03-17
282.1	4.92	0.5	91.58	9.129	264.78	2010-03-18
282.1	4.748	0.0	83.55	8.964	265.89	2010-03-19
283.0	4.623	0.9	78.57	8.804	267.0	2010-03-22
281.5	4.528	-1.5	71.3	8.459	267.93	2010-03-23
285.0	4.526	3.5	80.33	8.372	269.03	2010-03-24
288.6	4.549	3.6	92.12	8.495	270.3	2010-03-25
291.6	4.607	3.0	108.9	8.734	271.67	2010-03-26
294.0	4.545	2.4	129.0	9.013	273.11	2010-03-29
293.1	4.506	-0.9	121.0	9.057	274.4	2010-03-30
289.8	4.463	-3.3	104.8	8.725	275.4	2010-03-31
291.8	4.344	2.0	109.4	8.526	276.45	2010-04-01
292.0	4.298	0.2	102.4	8.288	277.46	2010-04-06
292.1	4.148	0.1	93.62	8.015	278.4	2010-04-07
292.7	4.163	0.6	81.26	7.758	279.32	2010-04-08
293.1	4.05	0.4	88.62	7.5	280.21	2010-04-09
293.2	3.963	0.1	82.49	7.22	281.05	2010-04-12
293.9	3.937	0.7	77.27	6.975	281.88	2010-04-13
295.8	3.848	1.9	104.2	6.854	282.78	2010-04-14
298.0	3.802	2.2	123.6	6.858	283.76	2010-04-15
