Close	ATR	Momentum	CCI	MACD	EMA	Times
6.69	0.2811	-0.15	-141.2	-0.4341	7.56	2009-02-20
6.47	0.2789	-0.22	-198.5	-0.4452	7.49	2009-02-23
6.63	0.2775	0.16	-170.4	-0.436	7.43	2009-02-24
6.38	0.282	-0.25	-193.9	-0.4438	7.36	2009-02-25
6.19	0.2861	-0.19	-193.5	-0.46	7.29	2009-02-26
6.0	0.28	-0.19	-208.7	-0.4827	7.21	2009-02-27
5.69	0.2836	-0.31	-209.8	-0.5196	7.11	2009-03-02
5.79	0.2826	0.1	-162.7	-0.5347	7.02	2009-03-03
6.1	0.291	0.31	-107.6	-0.5156	6.96	2009-03-04
6.18	0.2881	0.08	-82.77	-0.4885	6.91	2009-03-05
6.21	0.281	0.03	-70.11	-0.4592	6.87	2009-03-06
6.16	0.2795	-0.05	-61.24	-0.435	6.82	2009-03-09
6.38	0.2781	0.22	-32.29	-0.3936	6.79	2009-03-10
6.24	0.274	-0.14	-30.36	-0.3678	6.76	2009-03-11
6.84	0.3016	0.6	45.45	-0.2956	6.76	2009-03-12
7.09	0.3107	0.25	108.6	-0.2157	6.78	2009-03-13
6.9	0.3185	-0.19	117.2	-0.1657	6.79	2009-03-16
6.95	0.3101	0.05	91.51	-0.1208	6.8	2009-03-17
6.95	0.3179	0.0	95.72	-0.08414	6.81	2009-03-18
6.68	0.3245	-0.27	60.93	-0.07602	6.8	2009-03-19
6.65	0.317	-0.03	52.23	-0.07119	6.79	2009-03-20
6.84	0.3101	0.19	70.71	-0.05144	6.8	2009-03-23
6.79	0.2987	-0.05	69.37	-0.03937	6.8	2009-03-24
6.95	0.3023	0.16	84.05	-0.0167	6.81	2009-03-25
7.01	0.2957	0.06	87.22	0.006039	6.82	2009-03-26
6.85	0.2896	-0.16	58.61	0.01102	6.82	2009-03-27
6.68	0.2861	-0.17	22.83	0.001239	6.81	2009-03-30
6.64	0.2764	-0.04	6.522	-0.009631	6.8	2009-03-31
6.82	0.278	0.18	17.54	-0.003678	6.8	2009-04-01
6.71	0.2718	-0.11	16.57	-0.007748	6.8	2009-04-02
6.61	0.2631	-0.1	-40.9	-0.01882	6.78	2009-04-03
6.69	0.2671	0.08	-11.63	-0.02091	6.78	2009-04-06
6.59	0.2573	-0.1	-83.21	-0.03028	6.77	2009-04-07
6.57	0.2518	-0.02	-114.2	-0.03887	6.75	2009-04-08
6.61	0.2467	0.04	-101.3	-0.04197	6.74	2009-04-09
6.57	0.2398	-0.04	-96.4	-0.04711	6.73	2009-04-13
6.51	0.2341	-0.06	-137.3	-0.05538	6.72	2009-04-14
6.76	0.2388	0.25	-29.12	-0.04129	6.72	2009-04-15
6.78	0.2367	0.02	10.17	-0.02819	6.72	2009-04-16
6.9	0.2327	0.12	99.12	-0.008027	6.74	2009-04-17
6.63	0.2368	-0.27	-25.26	-0.01368	6.73	2009-04-20
6.59	0.2384	-0.04	-111.5	-0.02114	6.72	2009-04-21
6.36	0.2378	-0.23	-163.6	-0.04509	6.7	2009-04-22
6.48	0.2401	0.12	-161.8	-0.05377	6.68	2009-04-23
6.42	0.2365	-0.06	-134.7	-0.06475	6.67	2009-04-24
6.58	0.2332	0.16	-54.61	-0.05984	6.66	2009-04-27
6.53	0.2344	-0.05	-55.7	-0.05931	6.65	2009-04-28
6.55	0.2334	0.02	-52.88	-0.05662	6.65	2009-04-29
6.51	0.2317	-0.04	-28.3	-0.05706	6.64	2009-04-30
6.62	0.2266	0.11	-18.11	-0.04797	6.64	2009-05-01
6.82	0.2247	0.2	115.9	-0.02436	6.65	2009-05-04
6.96	0.2236	0.14	198.1	0.005591	6.67	2009-05-05
6.86	0.2248	-0.1	148.5	0.02101	6.68	2009-05-06
6.98	0.2295	0.12	157.3	0.04243	6.7	2009-05-07
7.1	0.2259	0.12	173.3	0.0683	6.73	2009-05-08
6.98	0.2212	-0.12	121.2	0.07822	6.74	2009-05-11
7.36	0.2426	0.38	183.0	0.1154	6.78	2009-05-12
7.53	0.2488	0.17	207.6	0.1568	6.83	2009-05-13
7.57	0.2418	0.04	174.4	0.1906	6.88	2009-05-14
7.4	0.2409	-0.17	123.2	0.2014	6.91	2009-05-15
7.49	0.2323	0.09	114.2	0.2147	6.95	2009-05-18
7.45	0.225	-0.04	102.5	0.2195	6.98	2009-05-19
7.45	0.2196	0.0	93.15	0.2208	7.01	2009-05-20
7.31	0.2218	-0.14	62.55	0.2081	7.03	2009-05-21
7.38	0.2209	0.07	56.48	0.2013	7.05	2009-05-22
7.41	0.2216	0.03	57.65	0.1962	7.08	2009-05-26
7.23	0.2215	-0.18	30.83	0.1755	7.09	2009-05-27
7.24	0.2157	0.01	18.05	0.1581	7.1	2009-05-28
7.49	0.2203	0.25	51.28	0.1626	7.12	2009-05-29
7.28	0.231	-0.21	40.97	0.1476	7.13	2009-06-01
7.39	0.2266	0.11	35.71	0.1429	7.15	2009-06-02
7.34	0.2226	-0.05	-3.865	0.1336	7.16	2009-06-03
7.22	0.2188	-0.12	-39.33	0.1152	7.16	2009-06-04
7.16	0.2203	-0.06	-102.4	0.09468	7.16	2009-06-05
7.06	0.2189	-0.1	-174.4	0.06956	7.16	2009-06-08
6.97	0.2154	-0.09	-201.0	0.04191	7.15	2009-06-09
6.93	0.2136	-0.04	-192.2	0.01658	7.13	2009-06-10
7.22	0.2254	0.29	-78.81	0.01967	7.14	2009-06-11
7.28	0.2286	0.06	-1.036	0.02666	7.15	2009-06-12
6.97	0.2387	-0.31	-120.9	0.007102	7.14	2009-06-15
6.98	0.2338	0.01	-113.8	-0.007505	7.13	2009-06-16
7.19	0.2364	0.21	-43.33	-0.002111	7.13	2009-06-17
7.36	0.2409	0.17	62.79	0.0157	7.14	2009-06-18
7.4	0.238	0.04	109.8	0.03267	7.16	2009-06-19
7.29	0.2339	-0.11	44.14	0.03681	7.17	2009-06-22
7.26	0.2243	-0.03	15.29	0.03725	7.17	2009-06-23
7.26	0.2204	0.0	31.58	0.03716	7.18	2009-06-24
7.56	0.2318	0.3	108.2	0.06061	7.2	2009-06-25
7.49	0.2288	-0.07	123.3	0.0727	7.22	2009-06-26
7.53	0.2268	0.04	121.4	0.08454	7.24	2009-06-29
7.4	0.2292	-0.13	76.95	0.08248	7.25	2009-06-30
7.35	0.2242	-0.05	45.3	0.07593	7.26	2009-07-01
7.14	0.2246	-0.21	-26.57	0.05319	7.25	2009-07-02
7.19	0.2207	0.05	-43.82	0.03875	7.25	2009-07-06
7.2	0.2185	0.01	-16.36	0.0278	7.24	2009-07-07
7.21	0.2136	0.01	-21.46	0.0197	7.24	2009-07-08
7.05	0.2148	-0.16	-94.42	0.0003608	7.23	2009-07-09
7.0	0.2059	-0.05	-136.0	-0.01878	7.22	2009-07-10
7.28	0.2112	0.28	-35.77	-0.01123	7.22	2009-07-13
7.35	0.2075	0.07	23.09	0.0004022	7.23	2009-07-14
7.41	0.2056	0.06	43.14	0.0143	7.24	2009-07-15
7.43	0.1987	0.02	66.75	0.02661	7.25	2009-07-16
7.38	0.1938	-0.05	54.21	0.03197	7.26	2009-07-17
7.53	0.1993	0.15	88.4	0.04777	7.28	2009-07-20
7.74	0.2029	0.21	197.2	0.07636	7.31	2009-07-21
7.83	0.2191	0.09	233.7	0.1051	7.34	2009-07-22
7.96	0.222	0.13	218.1	0.1367	7.38	2009-07-23
8.13	0.2226	0.17	201.9	0.1735	7.43	2009-07-24
8.2	0.2217	0.07	179.9	0.206	7.48	2009-07-27
7.91	0.2309	-0.29	120.9	0.2059	7.51	2009-07-28
7.77	0.2301	-0.14	66.83	0.1924	7.52	2009-07-29
7.86	0.2315	0.09	78.26	0.1867	7.55	2009-07-30
7.86	0.225	0.0	67.27	0.1802	7.57	2009-07-31
7.91	0.221	0.05	59.26	0.177	7.59	2009-08-03
7.93	0.2145	0.02	59.98	0.1741	7.61	2009-08-04
