Close	ATR	Momentum	CCI	MACD	EMA	Times
31.05	0.9451	-0.54	-95.56	-1.477	34.02	2009-02-20
30.21	0.9526	-0.84	-120.3	-1.517	33.78	2009-02-23
30.75	0.941	0.54	-101.0	-1.487	33.58	2009-02-24
30.84	0.9295	0.09	-86.1	-1.44	33.4	2009-02-25
30.26	0.921	-0.58	-99.55	-1.433	33.2	2009-02-26
29.76	0.9145	-0.5	-137.6	-1.451	32.98	2009-02-27
28.96	0.9099	-0.8	-173.7	-1.512	32.72	2009-03-02
28.81	0.9106	-0.15	-161.5	-1.555	32.47	2009-03-03
29.23	0.9063	0.42	-131.2	-1.537	32.26	2009-03-04
28.05	0.9465	-1.18	-171.7	-1.6	31.99	2009-03-05
28.24	0.9661	0.19	-151.8	-1.616	31.75	2009-03-06
27.3	0.9756	-0.94	-164.1	-1.685	31.46	2009-03-09
27.91	0.9502	0.61	-130.6	-1.671	31.23	2009-03-10
27.85	0.9259	-0.06	-106.9	-1.646	31.01	2009-03-11
28.28	0.9205	0.43	-89.3	-1.573	30.84	2009-03-12
29.01	0.9176	0.73	-46.53	-1.44	30.72	2009-03-13
29.54	0.9164	0.53	-1.024	-1.277	30.64	2009-03-16
29.64	0.883	0.1	4.835	-1.127	30.58	2009-03-17
29.67	0.8978	0.03	14.08	-0.9937	30.52	2009-03-18
28.61	0.9323	-1.06	-17.48	-0.9628	30.4	2009-03-19
28.17	0.9285	-0.44	-55.66	-0.9627	30.25	2009-03-20
29.5	0.9594	1.33	8.665	-0.8455	30.2	2009-03-23
29.08	0.9494	-0.42	28.55	-0.7776	30.13	2009-03-24
29.69	0.9494	0.61	72.38	-0.6669	30.1	2009-03-25
30.13	0.9395	0.44	105.6	-0.5374	30.1	2009-03-26
30.01	0.9117	-0.12	118.0	-0.4395	30.1	2009-03-27
29.21	0.9351	-0.8	34.85	-0.4215	30.04	2009-03-30
29.09	0.9069	-0.12	31.64	-0.4122	29.98	2009-03-31
29.79	0.9385	0.7	53.81	-0.3444	29.97	2009-04-01
30.53	0.9629	0.74	153.4	-0.2283	30.0	2009-04-02
30.66	0.9399	0.13	135.8	-0.1244	30.05	2009-04-03
30.68	0.9192	0.02	136.9	-0.03993	30.09	2009-04-06
30.08	0.9035	-0.6	88.34	-0.02119	30.09	2009-04-07
29.95	0.8883	-0.13	52.01	-0.01663	30.08	2009-04-08
30.39	0.8655	0.44	83.33	0.02223	30.1	2009-04-09
29.68	0.858	-0.71	25.32	-0.004214	30.07	2009-04-13
29.19	0.8431	-0.49	-55.43	-0.06397	30.01	2009-04-14
30.12	0.8543	0.93	30.66	-0.03588	30.02	2009-04-15
31.16	0.8812	1.04	151.4	0.06951	30.09	2009-04-16
31.92	0.8854	0.76	224.4	0.2119	30.21	2009-04-17
31.34	0.8821	-0.58	170.2	0.2748	30.28	2009-04-20
31.74	0.9148	0.4	132.0	0.3528	30.38	2009-04-21
30.91	0.9131	-0.83	94.53	0.3438	30.41	2009-04-22
30.73	0.8964	-0.18	41.53	0.3184	30.43	2009-04-23
30.85	0.871	0.12	47.53	0.3044	30.46	2009-04-24
31.14	0.868	0.29	63.41	0.3131	30.5	2009-04-27
30.97	0.8475	-0.17	51.42	0.3029	30.53	2009-04-28
31.42	0.8434	0.45	92.43	0.3272	30.59	2009-04-29
30.81	0.8795	-0.61	5.209	0.294	30.61	2009-04-30
30.85	0.8696	0.04	1.264	0.2677	30.62	2009-05-01
31.78	0.8753	0.93	97.97	0.3183	30.7	2009-05-04
31.03	0.8792	-0.75	54.98	0.2945	30.72	2009-05-05
31.68	0.8636	0.65	81.18	0.3243	30.78	2009-05-06
31.99	0.8712	0.31	136.3	0.3687	30.86	2009-05-07
32.14	0.8532	0.15	141.5	0.4113	30.94	2009-05-08
31.39	0.8523	-0.75	63.23	0.3801	30.97	2009-05-11
31.74	0.8514	0.35	61.58	0.3793	31.02	2009-05-12
31.76	0.8392	0.02	55.27	0.3759	31.07	2009-05-13
31.66	0.8185	-0.1	82.86	0.361	31.11	2009-05-14
31.58	0.8072	-0.08	57.17	0.3388	31.14	2009-05-15
32.73	0.836	1.15	172.4	0.4093	31.24	2009-05-18
33.0	0.832	0.27	215.6	0.4814	31.35	2009-05-19
33.66	0.8532	0.66	253.7	0.5851	31.5	2009-05-20
33.04	0.8594	-0.62	143.0	0.6101	31.6	2009-05-21
33.05	0.8331	0.01	134.7	0.6236	31.69	2009-05-22
33.51	0.8371	0.46	128.7	0.6638	31.81	2009-05-26
32.27	0.8752	-1.24	55.5	0.5888	31.84	2009-05-27
32.77	0.882	0.5	35.75	0.5632	31.9	2009-05-28
32.37	0.8718	-0.4	24.84	0.5048	31.93	2009-05-29
33.25	0.8853	0.88	84.87	0.5235	32.02	2009-06-01
33.47	0.8649	0.22	109.5	0.5498	32.11	2009-06-02
33.53	0.8445	0.06	90.3	0.5688	32.2	2009-06-03
33.25	0.8235	-0.28	74.01	0.555	32.27	2009-06-04
33.14	0.8104	-0.11	64.44	0.529	32.33	2009-06-05
33.12	0.7968	-0.02	43.09	0.501	32.38	2009-06-08
32.66	0.7799	-0.46	-3.855	0.4367	32.39	2009-06-09
32.45	0.7842	-0.21	-38.4	0.3646	32.4	2009-06-10
32.41	0.7639	-0.04	-45.71	0.3008	32.4	2009-06-11
32.75	0.755	0.34	-45.18	0.2744	32.42	2009-06-12
31.99	0.7668	-0.76	-137.6	0.19	32.39	2009-06-15
31.22	0.782	-0.77	-215.1	0.06034	32.32	2009-06-16
31.16	0.7597	-0.06	-199.7	-0.04675	32.24	2009-06-17
31.89	0.7662	0.73	-135.0	-0.07189	32.22	2009-06-18
31.56	0.7658	-0.33	-123.3	-0.1171	32.18	2009-06-19
31.51	0.7403	-0.05	-124.3	-0.1552	32.13	2009-06-22
31.5	0.7067	-0.01	-106.4	-0.184	32.09	2009-06-23
31.5	0.697	0.0	-95.58	-0.2045	32.06	2009-06-24
32.21	0.7322	0.71	-41.94	-0.1616	32.07	2009-06-25
32.25	0.7235	0.04	-18.93	-0.123	32.08	2009-06-26
32.55	0.7068	0.3	15.29	-0.06737	32.11	2009-06-29
31.84	0.722	-0.71	-27.37	-0.07967	32.09	2009-06-30
32.41	0.7347	0.57	23.2	-0.04293	32.11	2009-07-01
31.85	0.7387	-0.56	-28.59	-0.05833	32.09	2009-07-02
32.51	0.7709	0.66	23.72	-0.01708	32.12	2009-07-06
32.35	0.7523	-0.16	63.46	0.00267	32.14	2009-07-07
32.8	0.755	0.45	102.9	0.05401	32.18	2009-07-08
32.66	0.726	-0.14	112.1	0.08245	32.21	2009-07-09
32.54	0.6992	-0.12	87.87	0.09422	32.23	2009-07-10
33.02	0.6978	0.48	136.8	0.1407	32.28	2009-07-13
33.36	0.6937	0.34	169.4	0.2026	32.35	2009-07-14
34.06	0.6991	0.7	214.9	0.3046	32.46	2009-07-15
34.41	0.6913	0.35	230.4	0.409	32.59	2009-07-16
34.85	0.6862	0.44	215.3	0.5212	32.73	2009-07-17
34.62	0.6765	-0.23	174.2	0.5848	32.86	2009-07-20
34.58	0.8139	-0.04	100.8	0.6248	32.97	2009-07-21
34.47	0.7872	-0.11	122.6	0.6403	33.06	2009-07-22
34.65	0.7653	0.18	114.7	0.6595	33.17	2009-07-23
35.08	0.7435	0.43	120.6	0.7013	33.29	2009-07-24
35.04	0.7182	-0.04	106.1	0.7228	33.4	2009-07-27
34.99	0.6976	-0.05	92.49	0.7275	33.5	2009-07-28
35.25	0.6842	0.26	98.07	0.7436	33.62	2009-07-29
35.32	0.6832	0.07	104.0	0.7533	33.73	2009-07-30
34.87	0.6937	-0.45	78.6	0.7165	33.8	2009-07-31
34.93	0.6891	0.06	57.72	0.6842	33.87	2009-08-03
34.84	0.6678	-0.09	54.78	0.644	33.94	2009-08-04
33.86	0.7165	-0.98	-47.7	0.5269	33.93	2009-08-05
32.32	0.7896	-1.54	-144.2	0.3064	33.83	2009-08-06
32.68	0.7946	0.36	-151.1	0.1588	33.75	2009-08-07
32.77	0.7693	0.09	-153.1	0.04854	33.69	2009-08-10
32.62	0.7301	-0.15	-141.4	-0.05036	33.62	2009-08-11
32.71	0.7065	0.09	-120.2	-0.1201	33.56	2009-08-12
32.85	0.6825	0.14	-103.3	-0.1622	33.52	2009-08-13
32.9	0.6759	0.05	-82.45	-0.1893	33.48	2009-08-14
32.8	0.6483	-0.1	-75.4	-0.2164	33.43	2009-08-17
32.95	0.6284	0.15	-64.53	-0.2232	33.4	2009-08-18
33.17	0.6185	0.22	-47.45	-0.2084	33.39	2009-08-19
33.3	0.5965	0.13	-34.57	-0.1841	33.38	2009-08-20
33.66	0.5889	0.36	-9.23	-0.1342	33.4	2009-08-21
33.51	0.5897	-0.15	-6.609	-0.1056	33.41	2009-08-24
33.54	0.5847	0.03	3.63	-0.07957	33.41	2009-08-25
33.52	0.5658	-0.02	9.749	-0.05987	33.42	2009-08-26
33.33	0.5568	-0.19	-7.011	-0.0589	33.42	2009-08-27
33.41	0.5499	0.08	6.249	-0.05109	33.42	2009-08-28
33.99	0.5699	0.58	74.98	0.001878	33.45	2009-08-31
33.3	0.5849	-0.69	59.5	-0.01169	33.44	2009-09-01
33.17	0.5638	-0.13	21.41	-0.03255	33.42	2009-09-02
33.21	0.5457	0.04	1.254	-0.04534	33.41	2009-09-03
33.2	0.5217	-0.01	1.394	-0.05563	33.4	2009-09-04
34.05	0.5452	0.85	138.5	0.004739	33.44	2009-09-08
33.77	0.5405	-0.28	124.0	0.02965	33.46	2009-09-09
35.2	0.6169	1.43	312.4	0.1629	33.57	2009-09-10
34.95	0.6179	-0.25	249.5	0.2455	33.66	2009-09-11
34.74	0.6001	-0.21	162.7	0.2907	33.73	2009-09-14
34.57	0.5901	-0.17	128.4	0.3092	33.79	2009-09-15
34.74	0.5858	0.17	104.9	0.3337	33.85	2009-09-16
34.88	0.5804	0.14	123.3	0.3603	33.91	2009-09-17
36.01	0.6283	1.13	181.1	0.4672	34.05	2009-09-18
35.87	0.6148	-0.14	149.0	0.5344	34.17	2009-09-21
35.96	0.5959	0.09	133.4	0.5882	34.28	2009-09-22
35.96	0.5933	0.0	126.4	0.6236	34.39	2009-09-23
36.33	0.5831	0.37	121.4	0.6738	34.52	2009-09-24
36.44	0.5714	0.11	127.7	0.7142	34.64	2009-09-25
36.53	0.5599	0.09	119.2	0.7449	34.76	2009-09-28
36.38	0.5478	-0.15	97.73	0.7485	34.87	2009-09-29
36.38	0.5444	0.0	80.27	0.7427	34.96	2009-09-30
35.57	0.5719	-0.81	35.92	0.6652	35.0	2009-10-01
35.65	0.5632	0.08	16.59	0.6032	35.04	2009-10-02
35.6	0.5644	-0.05	4.045	0.5438	35.08	2009-10-05
35.82	0.5498	0.22	26.06	0.5086	35.13	2009-10-06
35.77	0.5255	-0.05	11.28	0.4713	35.17	2009-10-07
36.21	0.5287	0.44	56.55	0.4717	35.24	2009-10-08
36.16	0.5067	-0.05	48.26	0.4627	35.3	2009-10-09
36.12	0.5133	-0.04	68.19	0.4472	35.35	2009-10-12
35.97	0.5067	-0.15	-2.847	0.418	35.39	2009-10-13
36.0	0.4912	0.03	-2.181	0.3927	35.43	2009-10-14
35.96	0.4811	-0.04	-31.68	0.3653	35.46	2009-10-15
36.08	0.4732	0.12	5.49	0.3492	35.5	2009-10-16
36.3	0.4758	0.22	46.87	0.3501	35.55	2009-10-19
36.51	0.4897	0.21	133.8	0.3636	35.62	2009-10-20
36.39	0.4925	-0.12	98.83	0.3605	35.67	2009-10-21
36.79	0.5002	0.4	119.0	0.3858	35.74	2009-10-22
36.48	0.5059	-0.31	80.35	0.3766	35.79	2009-10-23
36.01	0.5276	-0.47	8.375	0.3275	35.8	2009-10-26
36.19	0.5235	0.18	9.378	0.2997	35.83	2009-10-27
36.22	0.529	0.03	55.26	0.2769	35.85	2009-10-28
37.69	0.6155	1.47	299.1	0.3732	35.97	2009-10-29
36.71	0.648	-0.98	143.8	0.3661	36.02	2009-10-30
37.31	0.6467	0.6	141.0	0.4043	36.1	2009-11-02
37.08	0.634	-0.23	113.6	0.4113	36.16	2009-11-03
37.36	0.6373	0.28	149.6	0.4344	36.24	2009-11-04
38.27	0.6647	0.91	194.7	0.5201	36.37	2009-11-05
38.64	0.6793	0.37	203.6	0.6109	36.52	2009-11-06
39.15	0.6787	0.51	200.1	0.7157	36.69	2009-11-09
39.15	0.6702	0.0	183.7	0.7897	36.85	2009-11-10
39.39	0.6566	0.24	158.0	0.8578	37.01	2009-11-11
38.8	0.6554	-0.59	116.6	0.8543	37.13	2009-11-12
39.0	0.645	0.2	100.7	0.8578	37.25	2009-11-13
39.41	0.6468	0.41	117.3	0.8835	37.39	2009-11-16
39.44	0.6278	0.03	105.2	0.8959	37.52	2009-11-17
39.5	0.6151	0.06	88.93	0.9003	37.65	2009-11-18
39.34	0.6118	-0.16	73.29	0.8806	37.76	2009-11-19
39.12	0.6017	-0.22	61.29	0.8376	37.84	2009-11-20
39.7	0.6109	0.58	86.06	0.8407	37.96	2009-11-23
39.75	0.593	0.05	86.76	0.8375	38.08	2009-11-24
39.79	0.5856	0.04	98.45	0.8286	38.19	2009-11-25
39.55	0.6009	-0.24	56.22	0.7931	38.28	2009-11-27
39.46	0.598	-0.09	66.8	0.749	38.35	2009-11-30
39.82	0.601	0.36	97.31	0.7347	38.45	2009-12-01
40.0	0.5823	0.18	116.3	0.7295	38.55	2009-12-02
39.6	0.5829	-0.4	79.3	0.6851	38.62	2009-12-03
39.62	0.5891	0.02	67.63	0.6442	38.68	2009-12-04
39.54	0.5778	-0.08	16.27	0.5984	38.74	2009-12-07
39.16	0.5758	-0.38	-71.04	0.5254	38.76	2009-12-08
39.39	0.5668	0.23	-41.26	0.4805	38.8	2009-12-09
39.39	0.5613	0.0	4.353	0.4399	38.84	2009-12-10
39.46	0.5498	0.07	12.79	0.4087	38.88	2009-12-11
39.88	0.5441	0.42	79.32	0.413	38.95	2009-12-14
39.32	0.5559	-0.56	-44.43	0.3671	38.97	2009-12-15
39.34	0.5412	0.02	-34.4	0.3285	38.99	2009-12-16
